,0
0,-0.01812242218416102
1,-0.12768979355892235
2,-0.2769104681980167
3,-0.1429243584507826
4,-1.0577265115805181
5,-1.9191627989459552
6,-2.3659115738622174
7,-2.510456567573543
8,-2.5429592483705816
9,-2.601832730747224
10,-2.7299306769307674
11,-2.922695110938041
12,-3.1688063615942816
13,-3.5275994272847067
14,-4.102590990956143
15,-4.882541121789323
16,-5.874509742828067
17,-7.181444721512078
18,-8.85704493175981
19,-10.849752722220858
20,-13.133182225192773
21,-15.711941554784246
22,-18.54040052266918
23,-21.561285342889004
24,-24.74453431978938
25,-28.08252345215554
26,-31.456613283281456
27,-34.26192224661511
28,-36.020116985050194
29,-36.8432336149008
30,-36.29006106234649
31,-33.542984320893
32,-28.72857649308608
33,-21.565612972556316
34,-24.380087659029662
35,-27.520626112738682
36,-30.286929176885636
37,-43.366513541210225
38,-71.5649406826703
39,-104.2808154056317
40,-142.34476934731381
41,-188.13390203594633
42,-240.68975651420544
43,-298.8797051388955
44,-364.78047850653553
45,-378.51631504174486
46,-281.58375766003167
47,-326.43591562633065
48,-417.89659506148183
49,-482.0087458351172
50,-521.4641450879051
51,-538.9304523264801
52,-536.5847340607625
53,-516.6467846551154
54,-481.4765229104423
55,-432.851935836604
56,-470.155504310997
57,-510.7562591120877
58,-540.8489939934957
59,-560.4318691977736
60,-572.7923001499432
61,-572.4617940807505
62,-554.6957737720775
63,-522.8771770927298
64,-474.5756759783754
65,-469.7444094364253
66,-578.2996349684163
67,-685.4652144077205
68,-732.6196105345157
69,-744.2072601134714
70,-746.0013863359185
71,-738.7204770100582
72,-723.6367534584879
73,-702.1348774788244
74,-675.0078127713377
75,-642.8025252129843
76,-606.4438068652582
77,-566.9779829365161
78,-525.0335659762741
79,-481.0030279152208
80,-435.53694840307384
81,-389.22355353519555
82,-368.5092722063843
83,-379.1920269407862
84,-388.069488438894
85,-393.2005655836356
86,-395.6979599966443
87,-397.78004822486787
88,-397.0995395401918
89,-392.94354858541436
90,-389.39470223763493
91,-385.550179109706
92,-377.8503851444816
93,-369.9536221208724
94,-363.82142724554103
95,-354.5399027563086
96,-343.3385066444754
97,-334.4067821876415
98,-324.15022993782065
99,-324.6719711367445
100,-352.6495068632763
101,-379.31514558358737
102,-405.0827578198026
103,-430.3080433727032
104,-454.796349776783
105,-478.6173565962955
106,-501.9798709311638
107,-524.7253717207767
108,-546.735279712144
109,-568.0372821219362
110,-588.5065156225611
111,-607.9839354782171
112,-622.6678250112932
113,-628.6515658609001
114,-626.754579021579
115,-617.8221326630787
116,-602.6697346477429
117,-582.0271557703713
118,-556.5573003855553
119,-526.9993751794664
120,-494.14749093701573
121,-458.63302537385835
122,-420.9758007025332
123,-381.70182425338317
124,-359.73565297406054
125,-369.671633337572
126,-377.1785130119162
127,-382.10065734303606
128,-384.7155107551662
129,-385.3697500615408
130,-383.85652674334085
131,-380.5808409531435
132,-376.03078566533253
133,-369.74791265822614
134,-362.2442880483967
135,-354.2627574841241
136,-344.6915474929974
137,-334.0637176523608
138,-323.6079954817661
139,-311.4238454739617
140,-297.9353416928687
141,-285.73427523501573
142,-295.7604263026473
143,-320.70401869186963
144,-344.84138746906393
145,-367.7241408694866
146,-389.8845176495195
147,-411.688650201882
148,-432.4952168491409
149,-452.32806640785975
150,-471.86323845637895
151,-490.88927312949863
152,-509.0123271440766
153,-526.605485394558
154,-543.833127730749
155,-560.1837524195518
156,-571.5640605522013
157,-574.5620460675377
158,-570.1816231831484
159,-558.9753357072574
160,-541.6276969458736
161,-519.1664554099491
162,-492.51331841001104
163,-462.23925375291077
164,-428.8886924769579
165,-393.183332478686
166,-370.8502067912759
167,-383.31039107048855
168,-393.93948575079406
169,-401.77079714483597
170,-406.3084543037963
171,-409.5831029239522
172,-411.0098464139661
173,-408.72698041576973
174,-405.0211682021911
175,-401.25108215760866
176,-394.2019722538881
177,-384.9409131853697
178,-377.66616776223975
179,-369.2956666127397
180,-357.73243584875985
181,-348.373064812968
182,-340.4749680867635
183,-329.14403281272087
184,-318.3184898878598
185,-310.3491596909907
186,-331.53057248911193
187,-355.51118277610783
188,-378.93114903956393
189,-401.58215375178895
190,-423.98571001504183
191,-446.294260939841
192,-468.32113773794873
193,-490.2057476972509
194,-512.0275216473094
195,-533.6029768325765
196,-554.8327814370273
197,-575.6089081742803
198,-595.7132482824529
199,-614.0982427058941
200,-624.5921050417091
201,-626.6897413310983
202,-621.2414365206425
203,-609.089171937833
204,-591.0199887798942
205,-567.7510191665236
206,-540.0554728018703
207,-508.76676211805375
208,-474.56430524200573
209,-438.00106353799094
210,-399.627112284981
211,-359.91283729033614
212,-345.04926479031985
213,-353.8811207448762
214,-360.2387782641326
215,-364.39883454897875
216,-366.7564392682375
217,-367.06581580842095
218,-365.7508818766819
219,-363.381171495855
220,-359.3790871172845
221,-354.2597672464883
222,-348.7582176841146
223,-341.47856294420694
224,-333.355148180289
225,-325.9059694707462
226,-316.7041837145846
227,-305.8755476918833
228,-296.74369287970615
229,-286.89326294980395
230,-311.36695335528253
231,-337.18395236233005
232,-361.83501869425896
233,-385.8111778649487
234,-409.55087599191603
235,-432.4743751223948
236,-454.6375292352769
237,-476.69459540129515
238,-498.3857230856794
239,-519.2828827979614
240,-539.7190595900113
241,-559.8194304840932
242,-578.9750005249577
243,-591.8636451964358
244,-596.339858769499
245,-593.4353842924245
246,-583.7137602550408
247,-567.8097021213689
248,-546.7191263200798
249,-521.3659674423244
250,-492.3065374197226
251,-460.0616718205853
252,-425.341032900026
253,-388.64943163033035
254,-350.3193212228058
255,-356.18543179969265
256,-366.6658714699374
257,-373.7239246971676
258,-379.45743710200713
259,-383.7720816867902
260,-384.3765363877013
261,-383.0080410965453
262,-381.873357533649
263,-377.794974311328
264,-370.7231252014363
265,-365.41512459873644
266,-359.63046597359175
267,-350.0017218080255
268,-341.59366264014255
269,-335.1365370664503
270,-325.2189726360974
271,-314.60243462402457
272,-306.76814085480106
273,-317.50881530756357
274,-343.15767612598
275,-368.23884234348736
276,-392.43663564240927
277,-416.1802284039565
278,-439.7087237531444
279,-462.8419993891374
280,-485.66288890903365
281,-508.26720084695825
282,-530.4818313599044
283,-552.1854603046836
284,-573.2704962614221
285,-593.5137175453798
286,-610.7555141376639
287,-619.334179397169
288,-619.6704218924019
289,-612.6033884464475
290,-598.9661392680176
291,-579.5406038182048
292,-555.0370972870646
293,-526.2168250046102
294,-493.9045864805264
295,-458.7747875981086
296,-421.37066632239777
297,-382.23401934719385
298,-356.94145204700396
299,-367.9278706123077
300,-376.56147624978246
301,-382.6814897321194
302,-386.5321469879759
303,-388.53126907568526
304,-388.44641623330426
305,-386.6459848213784
306,-383.73620329567837
307,-379.1720773142889
308,-373.36663513512417
309,-367.1178121487098
310,-359.1175823644987
311,-350.11542321548427
312,-341.71187014437714
313,-331.6335362838725
314,-319.80004157583886
315,-309.5318112400085
316,-306.06625784329873
317,-332.1434417910027
318,-357.57969161074493
319,-381.8130519185215
320,-405.2911792023989
321,-428.4918298705726
322,-450.8275257135966
323,-472.28843674879715
324,-493.573676518664
325,-514.4843608162878
326,-534.552389743655
327,-554.0875068578297
328,-573.2476588993245
329,-591.3585619808878
