,num,Time,tx,ty,traj_tx,traj_ty
0,1,0,2.197600431,-3.000002549,2.211489264,-3
1,2,0.01,2.336472982,-3.00000201,2.35035389,-3
2,3,0.02,2.475319012,-3.000000493,2.489185801,-3
3,4,0.03,2.614139923,-2.999998006,2.627987284,-3
4,5,0.04,2.752936353,-2.999994477,2.766758897,-3
5,6,0.05,2.89170832,-2.999989693,2.905500481,-3
6,7,0.06,3.030455553,-2.99998339,3.044211995,-3
7,8,0.07,3.169177795,-2.999975384,3.182893848,-3
8,9,0.08,3.307874962,-2.999965616,3.321546853,-3
9,10,0.09,3.446547161,-2.999954236,3.460172081,-3
10,11,0.1,3.585194621,-2.999941682,3.598770655,-3
11,12,0.11,3.723817608,-2.999928703,3.737343582,-3
12,13,0.12,3.862416365,-2.999916285,3.875891692,-3
13,14,0.13,4.000991089,-2.999905506,4.014415683,-3
14,15,0.14,4.139541935,-2.999897337,4.152916175,-3
15,16,0.15,4.278069043,-2.999892497,4.291393773,-3
16,17,0.16,4.41657255,-2.999891452,4.429849083,-3
17,18,0.17,4.555052606,-2.999894454,4.568282715,-3
18,19,0.18,4.693509374,-2.999901572,4.706695255,-3
19,20,0.19,4.831943026,-2.999912693,4.84508725,-3
20,21,0.2,4.970353737,-2.999927512,4.98345919,-3
21,22,0.21,5.108741682,-2.999945538,5.121811503,-3
22,23,0.22,5.247107036,-2.999966118,5.260144561,-3
23,24,0.23,5.385449969,-2.9999885,5.398458684,-3
24,25,0.24,5.523770651,-3.000011928,5.536754145,-3
25,26,0.25,5.662069251,-3.000035745,5.675031172,-3
26,27,0.26,5.800345939,-3.000059483,5.813289954,-3
27,28,0.27,5.938600884,-3.000082896,5.951530641,-3
28,29,0.28,6.076834259,-3.000105934,6.089753344,-3
29,30,0.29,6.215046232,-3.000128699,6.227958138,-3
30,31,0.3,6.353236973,-3.000151399,6.366145067,-3
31,32,0.31,6.491406653,-3.000174309,6.504314144,-3
32,33,0.32,6.629555439,-3.000197733,6.642465355,-3
33,34,0.33,6.767683499,-3.000221971,6.780598666,-3
34,35,0.34,6.905790999,-3.000247295,6.918714024,-3
35,36,0.35,7.043878108,-3.000273925,7.056811364,-3
36,37,0.36,7.181944992,-3.000302024,7.194890611,-3
37,38,0.37,7.319991815,-3.000331687,7.332951682,-3
38,39,0.38,7.458018743,-3.000362944,7.47099449,-3
39,40,0.39,7.596025937,-3.000395772,7.609018946,-3
40,41,0.4,7.734013561,-3.000430105,7.747024961,-3
41,42,0.41,7.871981776,-3.000465847,7.885012451,-3
42,43,0.42,8.009930742,-3.000502874,8.022981337,-3
43,44,0.43,8.147860622,-3.000541035,8.160931548,-3
44,45,0.44,8.285771576,-3.000580148,8.298863024,-3
45,46,0.45,8.423663763,-3.000620005,8.436775712,-3
46,47,0.46,8.561537344,-3.000660384,8.574669575,-3
47,48,0.47,8.699392478,-3.000701065,8.712544588,-3
48,49,0.48,8.837229323,-3.000741833,8.850400741,-3
49,50,0.49,8.975048038,-3.000782492,8.988238041,-3
50,51,0.5,9.11284878,-3.000822868,9.12605651,-3
51,52,0.51,9.250631708,-3.000862815,9.263856189,-3
52,53,0.52,9.38839698,-3.000902216,9.401637135,-3
53,54,0.53,9.526144753,-3.000940985,9.539399423,-3
54,55,0.54,9.663875186,-3.000979065,9.677143147,-3
55,56,0.55,9.801588435,-3.001016429,9.814868419,-3
56,57,0.56,9.939284659,-3.001053071,9.952575368,-3
57,58,0.57,10.07696402,-3.001089009,10.09026414,-3
58,59,0.58,10.21462666,-3.001124278,10.22793489,-3
59,60,0.59,10.35227276,-3.001158926,10.36558779,-3
60,61,0.6,10.48990246,-3.001193017,10.50322304,-3
61,62,0.61,10.62751593,-3.001226633,10.64084082,-3
62,63,0.62,10.76511332,-3.001259889,10.77844135,-3
63,64,0.63,10.9026948,-3.001292944,10.91602484,-3
64,65,0.64,11.04026052,-3.001326008,11.05359151,-3
65,66,0.65,11.17781065,-3.001359336,11.19114159,-3
66,67,0.66,11.31534535,-3.001393212,11.32867532,-3
67,68,0.67,11.45286477,-3.001427924,11.46619293,-3
68,69,0.68,11.59036909,-3.001463739,11.60369467,-3
69,70,0.69,11.72785847,-3.001500888,11.74118077,-3
70,71,0.7,11.86533306,-3.001539552,11.8786515,-3
71,72,0.71,12.00279303,-3.001579862,12.0161071,-3
72,73,0.72,12.14023854,-3.001621905,12.15354783,-3
73,74,0.73,12.27766976,-3.001665734,12.29097393,-3
74,75,0.74,12.41508685,-3.001711387,12.42838567,-3
75,76,0.75,12.55248997,-3.001758904,12.56578328,-3
76,77,0.76,12.68987929,-3.001808344,12.70316702,-3
77,78,0.77,12.82725497,-3.001859793,12.84053713,-3
78,79,0.78,12.96461718,-3.001913377,12.97789384,-3
79,80,0.79,13.10196607,-3.001969261,13.11523737,-3
80,81,0.8,13.23930182,-3.002027651,13.25256796,-3
81,82,0.81,13.37662459,-3.002088792,13.38988582,-3
82,83,0.82,13.51393453,-3.00215296,13.52719117,-3
83,84,0.83,13.65123183,-3.00222045,13.6644842,-3
84,85,0.84,13.78851663,-3.002291571,13.80176513,-3
85,86,0.85,13.92578911,-3.002366627,13.93903414,-3
86,87,0.86,14.06304942,-3.002445907,14.07629143,-3
87,88,0.87,14.20029773,-3.002529673,14.21353718,-3
88,89,0.88,14.33753419,-3.00261815,14.35077156,-3
89,90,0.89,14.47475899,-3.00271152,14.48799476,-3
90,91,0.9,14.61197226,-3.002809924,14.62520693,-3
91,92,0.91,14.74917419,-3.002913471,14.76240824,-3
92,93,0.92,14.88636492,-3.003022245,14.89959885,-3
93,94,0.93,15.02354463,-3.003136313,15.03677889,-3
94,95,0.94,15.16071346,-3.00325574,15.17394853,-3
95,96,0.95,15.29787159,-3.003380598,15.3111079,-3
96,97,0.96,15.43501917,-3.003510972,15.44825713,-3
97,98,0.97,15.57215637,-3.003646971,15.58539638,-3
98,99,0.98,15.70928333,-3.003788729,15.72252576,-3
99,100,0.99,15.84640022,-3.003936403,15.85964541,-3
100,101,1,15.9835072,-3.004090174,15.99675546,-3
101,102,1.01,16.12060442,-3.00425023,16.13385603,-3
102,103,1.02,16.25769205,-3.004416758,16.27094724,-3
103,104,1.03,16.39477023,-3.004589928,16.40802923,-3
104,105,1.04,16.53183913,-3.004769888,16.54510211,-3
105,106,1.05,16.66889889,-3.004956758,16.68216601,-3
106,107,1.06,16.80594969,-3.005150626,16.81922106,-3
107,108,1.07,16.94299166,-3.005351556,16.95626737,-3
108,109,1.08,17.08002496,-3.005559585,17.09330507,-3
109,110,1.09,17.21704976,-3.005774737,17.23033429,-3
110,111,1.1,17.35406619,-3.00599702,17.36735515,-3
111,112,1.11,17.49107442,-3.006226439,17.50436779,-3
112,113,1.12,17.6280746,-3.00646299,17.64137233,-3
113,114,1.13,17.76506687,-3.006706669,17.7783689,-3
114,115,1.14,17.9020514,-3.006957472,17.91535764,-3
115,116,1.15,18.03902832,-3.007215396,18.05233869,-3
116,117,1.16,18.1759978,-3.007480437,18.18931216,-3
117,118,1.17,18.31295998,-3.007752594,18.32627821,-3
118,119,1.18,18.44991501,-3.008031865,18.46323698,-3
119,120,1.19,18.58686304,-3.008318249,18.60018859,-3
120,121,1.2,18.72380422,-3.008611746,18.7371332,-3
121,122,1.21,18.8607387,-3.008912351,18.87407095,-3
122,123,1.22,18.99766662,-3.009220059,19.01100198,-3
123,124,1.23,19.13458813,-3.009534862,19.14792644,-3
124,125,1.24,19.27150338,-3.009856749,19.28484448,-3
125,126,1.25,19.40841252,-3.010185705,19.42175622,-3
126,127,1.26,19.54531568,-3.010521712,19.55866183,-3
127,128,1.27,19.68221302,-3.010864746,19.69556146,-3
128,129,1.28,19.81910469,-3.01121475,19.83245526,-3
129,130,1.29,19.95599082,-3.011571592,19.96934337,-3
130,131,1.3,20.09287157,-3.011935005,20.10622596,-3
131,132,1.31,20.22974707,-3.012304542,20.24310318,-3
132,133,1.32,20.36661748,-3.012679544,20.37997519,-3
133,134,1.33,20.50348294,-3.013059134,20.51684215,-3
134,135,1.34,20.64034359,-3.013442259,20.65370423,-3
135,136,1.35,20.77719958,-3.013827766,20.7905616,-3
136,137,1.36,20.91405105,-3.014214501,20.92741441,-3
137,138,1.37,21.05089815,-3.014601413,21.06426285,-3
138,139,1.38,21.18774102,-3.014987645,21.20110706,-3
139,140,1.39,21.3245798,-3.015372582,21.33794722,-3
140,141,1.4,21.46141462,-3.015755846,21.4747835,-3
141,142,1.41,21.59824564,-3.016137253,21.61161604,-3
142,143,1.42,21.73507297,-3.016516738,21.748445,-3
143,144,1.43,21.87189677,-3.016894277,21.88527053,-3
144,145,1.44,22.00871716,-3.017269788,22.02209278,-3
145,146,1.45,22.1455343,-3.017643037,22.15891188,-3
146,147,1.46,22.2823483,-3.018013542,22.29572796,-3
147,148,1.47,22.41915932,-3.018380497,22.43254116,-3
148,149,1.48,22.55596748,-3.018742717,22.56935161,-3
149,150,1.49,22.69277293,-3.019098628,22.70615942,-3
150,151,1.5,22.8295758,-3.019446318,22.84296474,-3
151,152,1.51,22.96637623,-3.019783635,22.97976768,-3
152,153,1.52,23.10317433,-3.020108332,23.11656837,-3
153,154,1.53,23.23997024,-3.020418225,23.25336694,-3
154,155,1.54,23.37676408,-3.020711355,23.39016353,-3
155,156,1.55,23.51355599,-3.020986114,23.52695827,-3
156,157,1.56,23.65034608,-3.021241296,23.6637513,-3
157,158,1.57,23.78713449,-3.021476081,23.80054275,-3
158,159,1.58,23.92392134,-3.021689952,23.93733276,-3
159,160,1.59,24.06070676,-3.021882566,24.07412144,-3
160,161,1.6,24.19749086,-3.022053597,24.21090893,-3
161,162,1.61,24.33427378,-3.02220257,24.34769531,-3
162,163,1.62,24.47105564,-3.022328689,24.48448071,-3
163,164,1.63,24.60783655,-3.022430688,24.6212652,-3
164,165,1.64,24.74461662,-3.022506732,24.75804887,-3
165,166,1.65,24.88139596,-3.022554393,24.89483177,-3
166,167,1.66,25.01817467,-3.022570728,25.03161398,-3
167,168,1.67,25.15495283,-3.022552434,25.16839553,-3
168,169,1.68,25.29173053,-3.022496085,25.30517649,-3
169,170,1.69,25.42850785,-3.022398396,25.44195691,-3
170,171,1.7,25.56528487,-3.022256496,25.57873686,-3
171,172,1.71,25.70206169,-3.022068141,25.71551641,-3
172,173,1.72,25.83883841,-3.021831779,25.85229568,-3
173,174,1.73,25.97561512,-3.021546434,25.98907475,-3
174,175,1.74,26.11239193,-3.021211553,26.12585374,-3
175,176,1.75,26.24916895,-3.020826863,26.26263276,-3
176,177,1.76,26.38594628,-3.020392211,26.39941191,-3
177,178,1.77,26.52272402,-3.019907347,26.53619127,-3
178,179,1.78,26.65950227,-3.019371683,26.67297091,-3
179,180,1.79,26.79628112,-3.018784043,26.80975087,-3
180,181,1.8,26.93306062,-3.018142438,26.94653115,-3
181,182,1.81,27.06984082,-3.017443942,27.08331172,-3
182,183,1.82,27.20662173,-3.016684699,27.22009249,-3
183,184,1.83,27.34340336,-3.015860089,27.35687335,-3
184,185,1.84,27.48018565,-3.014965036,27.49365417,-3
185,186,1.85,27.61696859,-3.013994422,27.63043481,-3
186,187,1.86,27.75375212,-3.012943559,27.76721516,-3
187,188,1.87,27.89053625,-3.011808628,27.90399517,-3
188,189,1.88,28.02732099,-3.010586932,28.04077484,-3
189,190,1.89,28.16410638,-3.009276809,28.17755422,-3
190,191,1.9,28.30089247,-3.007877393,28.31433339,-3
191,192,1.91,28.43767934,-3.006388357,28.45111246,-3
192,193,1.92,28.57446704,-3.004809695,28.58789153,-3
193,194,1.93,28.71125566,-3.003141549,28.72467072,-3
194,195,1.94,28.84804527,-3.001384016,28.86145013,-3
195,196,1.95,28.98483593,-2.99953688,28.99822979,-3
