#{"t_start": 1695201058.1338315, "env_id": null}
r,l,t
-4332411.92633,727,114.696626
-2938619.603947,393,140.381526
-960962.850491,418,165.924801
-3031874.721063,644,202.423886
-910611.79542,347,226.135631
-883053.331185,370,249.337801
-1644655.98868,586,283.93938
-2968009.213236,539,315.323431
-4884798.115722,710,355.228294
-2091455.98724,679,394.033069
-1327497.307231,540,425.842935
-5965729.551405,941,479.045433
-2628966.454133,522,512.828712
-3175439.967734,1183,579.115327
-954825.780874,452,607.663279
-3817118.366579,894,658.282384
-2906432.248018,415,684.777142
-851712.568901,319,704.722518
-907288.480704,262,721.976574
-1019067.145014,400,745.59696
-1123490.145498,508,774.097187
-3736378.939555,1000,826.265518
-3092824.24383,646,861.398194
-2330416.922612,917,909.466133
-4531080.144238,836,953.879156
-883984.634277,403,977.517015
-3871512.275609,613,1011.042012
-3643631.036605,542,1041.408683
-9421472.915231,1171,1101.481617
-972322.321234,424,1126.168911
-2669821.222675,429,1151.664577
-842560.124599,256,1168.81559
-1188724.413125,468,1195.368613
-3046280.850108,505,1225.59273
-2970667.343124,406,1251.052574
-3903869.106224,737,1292.388551
-2571747.318218,1300,1362.120125
-1205998.462384,413,1387.428962
-7160695.95615,1073,1445.382286
-3821560.905162,542,1477.383513
-3161816.76067,624,1512.911246
-1322998.072653,658,1550.585521
-816926.598516,341,1572.252647
-3168231.922318,894,1621.473758
-2602246.073598,423,1647.545346
-1038850.113501,342,1669.45097
-2737779.649155,428,1695.696799
-1205914.976654,373,1719.079901
-1564703.982952,500,1748.692735
-2943783.096834,676,1787.378877
-1109980.553226,333,1808.950249
-1067773.060565,490,1838.442935
-962191.201391,325,1859.489718
-3408409.01755,476,1888.124674
-4989296.81063,1211,1953.22039
-6503665.883251,1023,2009.245442
-2969200.900615,693,2048.841336
-1764755.620611,575,2082.119338
-993642.299364,361,2104.910387
-2846928.614089,404,2130.001331
-1104216.850998,307,2150.263281
-4481792.896398,1167,2213.05965
-2908978.228999,374,2236.459943
-2963201.064747,788,2280.58314
-880480.419952,301,2300.641017
-1736745.868301,665,2338.400542
-3075025.76025,665,2376.550192
-999287.556782,385,2400.506983
-798503.674076,276,2419.075682
-4463994.940225,569,2452.124707
-3290498.611183,789,2496.198148
-3082119.82482,568,2529.453023
-3168814.654484,434,2555.906736
-2569516.047751,366,2578.871285
-6194928.46547,710,2619.315504
-1793941.218866,508,2649.640631
-1125121.985755,344,2671.664243
-2740592.644424,333,2693.127634
-2514883.945955,417,2718.578314
-892921.846083,330,2739.666436
-3835444.488237,576,2772.903159
