,0
0,-2.3995756665738703
1,-3.5274056797829845
2,-4.682270922032263
3,-4.142549505566159
4,-2.940672781921871
5,-1.7142484989584044
6,-0.46178002477444907
7,-0.8239229124200386
8,-2.1386113539436966
9,-3.4996613542220185
10,-4.914508663412429
11,-4.030272478393588
12,-2.787008549371226
13,-1.5953563952452157
14,-1.4083530992209365
15,-3.1833569546450606
16,-5.088716492527717
17,-7.075390223189312
18,-6.1782426029192274
19,-5.254593161950529
20,-4.754004985929729
21,-5.879000224676424
22,-7.785219097971869
23,-9.790144945727096
24,-9.459972886820392
25,-8.380785057115936
26,-7.859116195820674
27,-8.623645598483423
28,-10.198590306338616
29,-12.034954507329207
30,-10.876942870068909
31,-10.105597601531334
32,-10.322708923583825
33,-11.612889369869702
34,-13.47365357603617
35,-13.798119809888831
36,-13.318836296773208
37,-13.596224116205544
38,-14.683628258326971
39,-16.309336385292074
40,-16.85004998032437
41,-16.400217690575353
42,-16.556586654313477
43,-17.35328169868529
44,-18.650188891454583
45,-18.704882671461114
46,-18.371660211716026
47,-18.68345968108799
48,-19.627345786921325
49,-21.078523664085104
50,-20.75619843131831
51,-20.990239950880127
52,-21.815164985915345
53,-23.142348032718814
54,-23.836708175968067
55,-23.972124083700947
56,-24.566183548721945
57,-25.574653991721817
58,-26.604249220444316
59,-26.476566637639955
60,-26.751612959997857
61,-27.432290674456688
62,-28.487391441082146
63,-28.300329045595987
64,-28.504655059718104
65,-29.163632127620694
66,-30.24845068226403
67,-30.38550568349831
68,-30.781227175887857
69,-31.609089962555977
70,-32.82054953917822
71,-33.11687576144614
72,-33.61797851634156
73,-34.45718136094055
74,-35.59174666452054
75,-35.700796472594874
76,-36.095576143303106
77,-36.78594964342009
78,-37.548001676076964
79,-37.57104083539995
80,-37.922049066631445
81,-38.60587274667864
82,-39.12252061451122
83,-39.30708065261044
84,-39.854954775175294
85,-40.75292475036157
86,-41.16345780825321
87,-41.62487973273206
88,-42.41317659933708
89,-43.376577135353834
90,-43.685692129702105
91,-44.27217910065009
92,-45.11409204452272
93,-45.64516970727769
94,-45.96185378942257
95,-46.5210038365427
96,-47.29315062873624
97,-47.36773407453009
98,-47.70307622299225
99,-48.30318146032441
100,-48.66551592202582
101,-48.894043668872186
102,-49.41321065922453
103,-50.11946052152554
104,-50.323740452224975
105,-50.820206167508466
106,-51.596382124052255
107,-52.031544388455146
108,-52.485615998803084
109,-53.189816238414465
110,-53.83996613018047
111,-54.17986358312329
112,-54.7397874476834
113,-55.49706250722028
114,-55.6739748258858
115,-56.05828058542427
116,-56.64525861497917
117,-56.89035139605815
118,-57.1224215953719
119,-57.57029189208931
120,-57.916365823649265
121,-58.0623436823577
122,-58.44156004933706
123,-58.92871667592087
124,-59.04944793827377
125,-59.41028850050861
126,-60.00656883633498
127,-60.17614398611693
128,-60.53569067577109
129,-61.12351126534789
130,-61.4369407850463
131,-61.77672096595953
132,-62.32639814879885
133,-62.726066321749975
134,-63.00299748076081
135,-63.47187538938557
136,-63.90324425868267
137,-64.08737786083046
138,-64.45499130761618
139,-64.89205800901395
140,-64.97909599243934
141,-65.24769192539512
142,-65.68544440061179
143,-65.6862573325045
144,-65.87013397364628
145,-66.23551711313637
146,-66.24888103462952
147,-66.3692495880155
148,-66.67515452736366
149,-66.72316264571401
150,-66.80038925370673
151,-67.06483939069966
152,-67.15475419745157
153,-67.20109943994723
154,-67.4339146325838
155,-67.5666024543899
156,-67.58754708923361
157,-67.79271974405809
158,-67.96526621047607
159,-67.96222259899722
160,-68.14047096452657
161,-68.34842637150454
162,-68.32080942515341
163,-68.47135656870184
164,-68.71011918640296
165,-68.6564032136344
166,-68.77735847568458
167,-69.0414755862178
168,-68.9573980222787
169,-69.0430001730328
170,-69.29488096781361
171,-69.19992824407248
172,-69.2409113786671
173,-69.4434731339739
174,-69.35668523478157
175,-69.34691513753391
176,-69.49611033017754
177,-69.4146150234656
178,-69.35354859271969
179,-69.45031725237439
180,-69.3760423113932
181,-69.26632011624925
182,-69.3137865351695
183,-69.25036700746
184,-69.09439295314529
185,-69.09400247045622
186,-69.04265388756652
187,-68.83883257549624
188,-68.78768146733097
189,-68.74624397191423
190,-68.49004136288383
191,-68.3837211874211
192,-68.35059905239858
193,-68.0386684649653
194,-67.87475662821527
195,-67.85127231566943
196,-67.48252004587707
197,-67.26048632410588
198,-67.18433945884512
199,-66.82398391909155
200,-66.5434235423632
201,-66.40760218650973
202,-66.06500710231565
203,-65.72449139457731
204,-65.52731419899101
205,-65.20501466556382
206,-64.80224473751004
207,-64.54139504490018
208,-64.27969433863683
209,-64.46112684965202
210,-64.78931016776626
211,-65.17787512923147
212,-65.31016958037867
213,-65.5875588548673
214,-66.00956909386579
215,-66.10340582531023
216,-66.32602423665818
217,-66.69195157878741
218,-66.83606344545213
219,-66.9997979396619
220,-67.30566128145753
221,-67.5042049930896
222,-67.60513235661936
223,-67.84718887466289
224,-68.105558066507
225,-68.14004868621693
226,-68.31482230627743
227,-68.63029487239092
228,-68.60432588955642
229,-68.7084744701554
230,-68.95305561767621
231,-68.999104334347
232,-69.0292107333043
233,-69.1994768311412
234,-69.32636194965148
235,-69.27876026944143
236,-69.37099285449591
237,-69.58867144494782
238,-69.45944603633897
239,-69.46965917731572
240,-69.62095584595446
241,-69.57443372784171
242,-69.49840055951083
243,-69.56360551365019
244,-69.62793667374437
245,-69.4611891576153
246,-69.43572133363982
247,-69.55357156584311
248,-69.36318001101972
249,-69.24212812581702
250,-69.26504186252357
251,-69.21082939837314
252,-68.98891365237623
253,-68.91140124378121
254,-68.98094573324587
255,-68.68356097406547
256,-68.49961730713616
257,-68.46383002735642
258,-68.33512487352651
259,-68.03819105940164
260,-67.89015329955424
261,-67.8946161328852
262,-67.5374335514036
263,-67.26949129743348
264,-67.15553479883319
265,-67.00984366193563
266,-66.61360329653903
267,-66.37223379156006
268,-66.29084230145715
269,-65.9369856302528
270,-65.55823758865121
271,-65.34119666151872
272,-65.25756467893059
273,-64.73056449783957
274,-64.36595116283544
275,-64.1713025725926
276,-63.910929904074045
277,-63.38611039498382
278,-63.03348013370285
279,-62.86208171682091
280,-62.43457101093859
281,-61.91251428384064
282,-61.576632581488276
283,-61.43756411820648
284,-60.86012207459613
285,-60.34584235676441
286,-60.033909401556265
287,-59.93513334191141
288,-59.222333258560646
289,-58.71224257064486
290,-58.422257997056406
291,-58.26143496873276
292,-57.52150607090266
293,-57.00203098886949
294,-56.72605328310543
295,-56.5319858628456
296,-55.74146117940066
297,-55.19563184368165
298,-54.926800080295806
299,-54.74789904943471
300,-53.874372545174865
301,-53.277893356010914
302,-53.007330857586076
303,-52.926104882457096
304,-51.91393705567633
305,-51.222415676537786
306,-50.935531523384896
307,-51.11805204608778
308,-49.86795448694235
309,-48.99437605363634
310,-48.672247764081234
311,-49.06107917674302
312,-47.871722772436755
313,-46.594292483204136
314,-46.21061844511715
315,-47.25359751766588
316,-46.948509005622704
317,-44.87982710208177
318,-45.21134770925755
319,-48.35441742372757
320,-50.67288759894107
321,-50.76764358166497
322,-52.12409073163535
323,-54.34777057242637
324,-56.99970283337215
325,-58.261142769322454
326,-59.714539807451246
327,-61.65572090168385
328,-63.94034750489669
329,-66.04331855891962
330,-67.52334941379755
331,-69.32076755105668
332,-71.36454846568196
333,-73.59152863560412
334,-75.29459505409523
335,-76.93633502473168
336,-78.75729531051402
337,-80.72278591852374
338,-82.7839927532647
339,-84.27310117934606
340,-85.90690258557972
341,-87.66437034414045
342,-89.52554217437466
343,-91.34041429062819
344,-92.82235121607388
345,-94.40064222815923
346,-96.05475491602925
347,-97.76383485667404
348,-99.35814070639904
349,-100.68532261251826
350,-102.042466406236
351,-103.41275108073405
352,-104.78194958338042
353,-106.02364570121355
354,-106.99519591532078
355,-107.96109752412195
356,-108.91457155236401
357,-109.84878404243256
358,-110.70787820939185
359,-111.26193990766626
360,-111.78136871786668
361,-112.24875305604702
362,-112.64351336473516
363,-112.94284301162782
364,-112.88587780517923
365,-112.65591812274923
366,-112.27512654174157
367,-111.72707535037779
368,-111.00030100398541
369,-109.9867448819173
370,-108.63980051169834
371,-107.11227689207806
372,-105.40382568139624
373,-103.51138560324839
374,-101.42635766127144
375,-98.9469303939548
376,-96.18783205116284
377,-93.16150885698534
378,-89.8252713032154
379,-86.1331415100881
380,-82.03382904178133
381,-77.27667682605336
382,-77.3988965786758
383,-81.71081259854152
384,-86.22202170775431
385,-90.91777557854593
386,-95.72861306301215
387,-100.48333233415428
388,-105.34733306929937
389,-110.29895130266297
390,-115.32175887301966
391,-120.4069476443494
392,-125.39394806827522
393,-130.28923706882856
394,-135.240961235643
395,-140.2682447521231
396,-145.39517939575387
397,-150.55901483202052
398,-155.48054869484065
399,-160.49332114275532
400,-165.6186842664105
401,-170.90158056538908
402,-176.09880522343485
403,-180.78770544126866
404,-185.54327726774312
405,-190.91073265214243
406,-201.36574805404464
407,-215.7971725441962
408,-233.42974097277613
409,-252.07287298753087
410,-271.3384288276142
411,-290.5402809501345
412,-310.4081065343459
413,-330.94079724474943
