,0
0,-3608.181451739003
1,-3600.484873130171
2,-3601.038367041927
3,-3602.9627089747937
4,-3606.286908446959
5,-3597.005390403642
6,-3600.113515434477
7,-3604.5937521950154
8,-3607.4280437804155
9,-3600.5879275254174
10,-3616.0806828943832
11,-3598.8379373758617
12,-3604.899352838221
13,-3609.231677591986
14,-3603.807355187463
15,-3620.6708146891224
16,-3604.718598962753
17,-3611.042444905719
18,-3606.5713050906334
19,-3613.348295915601
20,-3610.3162413616337
21,-3605.497444938459
22,-3612.9273317084653
23,-3620.582897950677
24,-3617.4317410911844
25,-3625.5574885279398
26,-3611.8483396077445
27,-3620.481738057463
28,-3629.386994291419
29,-3616.473012566129
30,-3625.943625239757
31,-3624.6553983222993
32,-3623.6644221976653
33,-3622.975724021098
34,-3622.592512594848
35,-3633.582651721204
36,-3622.7503680711848
37,-3634.3655992689264
38,-3624.1520258282508
39,-3625.3251564986263
40,-3626.8174478948267
41,-3628.632558961865
42,-3630.774067257645
43,-3633.245141437858
44,-3636.0478186013916
45,-3639.1831928381885
46,-3642.6515030164337
47,-3635.3590067939504
48,-3639.4895727363337
49,-3643.9500755447752
50,-3637.6394951140037
51,-3642.7507766413933
52,-3648.1839332649256
53,-3642.8325372353092
54,-3649.8988937411323
55,-3644.172198269449
56,-3651.8606733419056
57,-3646.7485767956414
58,-3655.049459862387
59,-3650.5431309595897
60,-3659.447702723643
61,-3655.5393369396324
62,-3652.9270960901667
63,-3661.723277752655
64,-3659.6984640459937
65,-3657.964263820772
66,-3656.5190923803784
67,-3666.47809253772
68,-3665.6072265297053
69,-3665.0214636881096
70,-3664.719900944012
71,-3665.701800180335
72,-3664.9665907090343
73,-3665.5138159901016
74,-3667.3431146627368
75,-3667.4541924381574
76,-3668.8467530244043
77,-3670.5205145091336
78,-3683.593472215084
79,-3674.710374299817
80,-3677.2256780798007
81,-3680.0204841320005
82,-3683.0940153160614
83,-3686.4453030061354
84,-3678.957745805801
85,-3682.8615870831554
86,-3687.0391026817506
87,-3680.375933927473
88,-3686.096316980883
89,-3690.084291833282
90,-3695.337251637726
91,-3689.745514822059
92,-3684.4166182313957
93,-3690.4511341760685
94,-3685.6386529079864
95,-3692.180715231971
96,-3687.8766695624004
97,-3694.9196680511654
98,-3691.1208470259166
99,-3687.576570101143
100,-3695.370849284633
101,-3692.334469235519
102,-3689.5545475806684
103,-3698.1021664865852
104,-3695.8290585592486
105,-3693.808325318907
106,-3692.036300696373
107,-3690.5080652939155
108,-3689.2176328444257
109,-3688.1586011677846
110,-3687.326006768469
111,-3686.7220730489294
112,-3686.373575419004
113,-3686.3663776518547
114,-3686.8350353445217
115,-3687.8541882700324
116,-3689.4180980726155
117,-3691.5055563135274
118,-3694.102686278574
119,-3686.206250660439
120,-3689.772859113413
121,-3693.7843321648097
122,-3698.2088490898745
123,-3692.0275146544213
124,-3697.185946927242
125,-3702.6743236442526
126,-3697.4812362887888
127,-3703.574863782742
128,-3698.992783916854
129,-3705.733422852937
130,-3701.803770113207
131,-3709.1854630804955
132,-3705.8957314991894
133,-3713.983045932235
134,-3711.5154280785846
135,-3720.6311582202857
136,-3719.4330802618106
137,-3718.983924584467
138,-3729.882341804393
139,-3728.765335760142
140,-3727.5458738104826
141,-3737.278416190934
142,-3735.5413542932697
143,-3733.578807642091
144,-3742.219887607948
145,-3739.3861853678213
146,-3736.140561315476
147,-3743.4799160618463
148,-3739.2684888477106
149,-3734.550907846061
150,-3740.364534568591
151,-3734.519690555884
152,-3728.0689046869174
153,-3732.05654223922
154,-3724.3423479437315
155,-3715.971179722933
156,-3717.9556804602207
157,-3708.228862086698
158,-3708.8148458548167
159,-3697.711775545599
160,-3696.9205712008065
161,-3684.531567305477
162,-3682.4948371700707
163,-3679.8688936581952
164,-3665.776917448882
165,-3662.0585123907604
166,-3657.823084087754
167,-3642.249288497501
168,-3637.0661109828015
169,-3631.428002078648
170,-3625.3514284372714
171,-3618.852149656299
172,-3601.187332982426
173,-3599.138518294467
174,-3608.2271598454877
175,-3617.04469379899
176,-3625.58231470593
177,-3633.8324482259427
178,-3641.7885612725177
179,-3649.4452537304887
180,-3656.798306193438
181,-3675.222066955626
182,-3681.9722639737133
183,-3688.4121082300016
184,-3694.5412537327884
185,-3700.3599689245793
186,-3717.304484173009
187,-3722.5146799214644
188,-3727.415988879958
189,-3743.474034964885
190,-3747.7667850495254
191,-3763.232509762702
192,-3766.910754478048
193,-3781.7739201137165
194,-3784.8260835153856
195,-3799.0711554957043
196,-3801.4800249089385
197,-3815.0860330228834
198,-3816.8298565281066
199,-3829.772579143446
200,-3842.377319826328
201,-3854.637552380513
202,-3854.9860522271083
203,-3867.5460468068854
204,-3877.7909190115643
205,-3888.7568483519362
206,-3899.472737871301
207,-3898.3712265872987
208,-3908.6263502853312
209,-3919.655133242227
210,-3928.4513359255075
211,-3938.005890855221
212,-3948.3101169490583
213,-3956.3568632095016
214,-3965.1403772504605
215,-3973.657090107111
216,-3981.9047731834326
217,-3989.882288483772
218,-3997.5892771740027
219,-4005.025850690694
220,-4012.192452507949
