,0
0,-2.399571259603793
1,-3.5270823607582535
2,-4.681036166656737
3,-4.141554007073701
4,-2.94433851552947
5,-1.7333488025147652
6,-0.5228643534605761
7,-0.96097531339061
8,-2.363609369726165
9,-3.840819621692135
10,-5.394009695757588
11,-4.688067107788301
12,-3.761505865175234
13,-3.2769828596426134
14,-3.7905407539751415
15,-5.13924740940766
16,-6.802376207270517
17,-8.580391136936315
18,-8.02961142081979
19,-7.833198380085706
20,-8.182711693317797
21,-9.094923669766635
22,-10.443666878629752
23,-12.08836728525456
24,-12.458076962295202
25,-12.808126327875081
26,-13.636094316725814
27,-14.880757677134685
28,-16.443186216201084
29,-18.189041014901477
30,-18.75326818242928
31,-19.628814537824326
32,-20.77733359810641
33,-22.154914091638872
34,-23.721788957876832
35,-24.74039099233299
36,-25.626576428810885
37,-26.76107810840908
38,-28.1238776021952
39,-29.690336590982206
40,-30.933032453721456
41,-32.02587642160273
42,-33.333962534094994
43,-34.8297030168935
44,-36.48413658389564
45,-37.74027610168041
46,-38.96738165409616
47,-40.34236266145834
48,-41.84620742871067
49,-43.400115592801576
50,-44.50276439485213
51,-45.73522163272414
52,-47.087186768772874
53,-48.548955594935
54,-49.76224886514395
55,-50.888216086018154
56,-52.13173358200811
57,-53.484365171133405
58,-54.780471573691436
59,-55.8280812766238
60,-56.979845858435894
61,-58.225680045904596
62,-59.50366797493534
63,-60.4476263299521
64,-61.48158119894982
65,-62.60054205252537
66,-63.78785392609275
67,-64.62636891579038
68,-65.55394008464681
69,-66.56753397712143
70,-67.64546215458357
71,-68.40435694207036
72,-69.25261276217965
73,-70.18744589788923
74,-71.14555912763328
75,-71.84372044731607
76,-72.62911018941102
77,-73.49884601171641
78,-74.32013525622996
79,-74.96418129381549
80,-75.6934299679887
81,-76.50595442347496
82,-77.17685453443843
83,-77.77597073807522
84,-78.46035824217236
85,-79.22839916940974
86,-79.74256606940737
87,-80.30849166936812
88,-80.96009645342554
89,-81.59237896828687
90,-82.0507429300391
91,-82.59913566337865
92,-83.23862526729788
93,-83.71334676179521
94,-84.18282568005182
95,-84.74947555208455
96,-85.34228178227605
97,-85.74530060850313
98,-86.24277132826549
99,-86.83157960131409
100,-87.25701583270123
101,-87.67383592097796
102,-88.17876813848878
103,-88.67162640582136
104,-89.00396930827787
105,-89.42423266177782
106,-89.93182712002772
107,-90.2227026368314
108,-90.56405811674475
109,-90.9949738230749
110,-91.33756321058395
111,-91.60797578204233
112,-91.96958856189698
113,-92.35845365351345
114,-92.56365200312936
115,-92.86079056130185
116,-93.24926088299861
117,-93.43223953293547
118,-93.66732451505635
119,-93.99379793137987
120,-94.20970526865645
121,-94.38377651528417
122,-94.64915755599273
123,-94.89047252331814
124,-95.00548634706585
125,-95.21361034425193
126,-95.47916244804736
127,-95.54441452641106
128,-95.70677596119319
129,-95.96705978912848
130,-96.02982887930008
131,-96.15710236654405
132,-96.38403403649326
133,-96.48041411899001
134,-96.57569973843404
135,-96.76996367524154
136,-96.89313801761303
137,-96.95365200654544
138,-97.1118881045847
139,-97.25375411188853
140,-97.27667600771652
141,-97.39673424226714
142,-97.55162411815539
143,-97.53621562555614
144,-97.61805248518871
145,-97.78282958651486
146,-97.73009322988888
147,-97.77511805695072
148,-97.91802317772681
149,-97.86009523497314
150,-97.87031080187992
151,-97.9792045860984
152,-97.92989062822546
153,-97.90756435970692
154,-97.98470291178317
155,-97.94424600962117
156,-97.89274328869567
157,-97.94299064343372
158,-97.91603419461558
159,-97.8429480519674
160,-97.87443991292157
161,-97.86801448266658
162,-97.78229324198587
163,-97.80496268713797
164,-97.82971144793825
165,-97.74567959868243
166,-97.77712282141127
167,-97.85274217874175
168,-97.79135549313528
169,-97.8499133540358
170,-97.98947135382947
171,-97.95868686122724
172,-98.04731436484003
173,-98.24960346068333
174,-98.24438987021827
175,-98.35304612951134
176,-98.57191790400317
177,-98.5997370819333
178,-98.70101341766444
179,-98.90348090118478
180,-98.9445147580709
181,-99.01980527065766
182,-99.19500890440861
183,-99.24668255869001
184,-99.29803507367247
185,-99.4512188608733
186,-99.52112430528534
187,-99.5542727981953
188,-99.6895206567256
189,-99.78143282936544
190,-99.7971094539238
191,-99.91426824471422
192,-100.02958205486873
193,-100.02732543019727
194,-100.1257048679346
195,-100.26552084010113
196,-100.2441089225799
197,-100.32218102415027
198,-100.48705163995267
199,-100.44450229647869
200,-100.50005753493114
201,-100.65305619173762
202,-100.624774847097
203,-100.65678491792612
204,-100.78637621882137
205,-100.78901495108222
206,-100.800270828165
207,-100.90957072422394
208,-100.95011900828275
209,-100.94682885385366
210,-101.04645041559597
211,-101.14419130172101
212,-101.14613679387026
213,-101.25665889228871
214,-101.4331637713478
215,-101.4529027061315
216,-101.57970539673967
217,-101.81121556091489
218,-101.86517596217112
219,-101.994545699521
220,-102.22253198093178
221,-102.3418860758662
222,-102.46028204645113
223,-102.67383447839957
224,-102.85465153807858
225,-102.95652232328025
226,-103.1519689068085
227,-103.39611015037568
228,-103.47986006034287
229,-103.65647639950025
230,-103.92562121861862
231,-104.03663010337614
232,-104.19702413738754
233,-104.44901643196565
234,-104.63554187174944
235,-104.77694709897231
236,-105.00698720573642
237,-105.26813756343826
238,-105.3856242210236
239,-105.58965962932825
240,-105.87916164135005
241,-106.01813920430841
242,-106.19449769765744
243,-106.4549949045174
244,-106.67533365580817
245,-106.82291903954307
246,-107.05254253637624
247,-107.35603800735548
248,-107.47134023580017
249,-107.66638481266531
250,-107.93998631303954
251,-108.13443606155975
252,-108.29174204038988
253,-108.52364967099096
254,-108.79917228123595
255,-108.90215665161675
256,-109.06728255227159
257,-109.28941917664548
258,-109.40938266846833
259,-109.47568909377554
260,-109.59625433205281
261,-109.7613731549444
262,-109.74467114747388
263,-109.79825514106766
264,-109.92743431951347
265,-110.015385739302
266,-110.0502887049871
267,-110.16585826763516
268,-110.35953329517955
269,-110.41371313245622
270,-110.50518682299638
271,-110.66713685403715
272,-110.84729627029745
273,-110.89626035367907
274,-111.00995128249949
275,-111.18665549461572
276,-111.30276697792308
277,-111.35949278824471
278,-111.47706523224447
279,-111.65481752614036
280,-111.71053795387513
281,-111.7697534779615
282,-111.8897465049387
283,-112.0703493204615
284,-112.08288912203336
285,-112.14992470679766
286,-112.27719724561423
287,-112.43193857481015
288,-112.44208574519807
289,-112.50518999968756
290,-112.61716431632306
291,-112.71887748873728
292,-112.69128384683623
293,-112.70569817192784
294,-112.76173066488677
295,-112.79330214605388
296,-112.71208541433181
297,-112.67775968528831
298,-112.69219525724903
299,-112.6919118587362
300,-112.58801228813067
301,-112.53702892141065
302,-112.53909402093824
303,-112.5439636482152
304,-112.43436240703464
305,-112.37700679223241
306,-112.4380282099167
307,-112.55434535776074
308,-112.52211134372111
309,-112.5331085048815
310,-112.58685138181727
311,-112.68297120114237
312,-112.63220692347922
313,-112.60349006635302
314,-112.61735104117943
315,-112.67364404273157
316,-112.64249797781187
317,-112.57820939496531
318,-112.5573876025507
319,-112.5802193227773
320,-112.59000545391321
321,-112.51261852522394
322,-112.56846694994394
323,-112.6674053941677
324,-112.80628810359948
325,-112.81459158272152
326,-112.82980193436966
327,-112.88037676506076
328,-112.96499378345449
329,-113.018541638723
330,-112.97515671829184
331,-112.96506345157891
332,-112.98844638229255
333,-113.04594749470962
334,-113.00238346021723
335,-112.94269783934195
336,-112.92198303446222
337,-112.94112989860619
338,-112.99951884477281
339,-112.9135801436847
340,-112.86820312689524
341,-112.862241607332
342,-112.89416351017013
343,-112.92820920576655
344,-112.86841649631174
345,-112.8863199910484
346,-112.93647152647766
347,-113.01764840028544
348,-113.08372056819029
349,-113.04723727966478
350,-113.03996092500287
351,-113.06127618204164
352,-113.11062642722428
353,-113.15298910118688
354,-113.08432547219381
355,-113.04307031686537
356,-113.02885287755787
357,-113.04131883493831
358,-113.07787243489804
359,-112.97395076569407
360,-112.89638414043795
361,-112.84488193731121
362,-112.81910478166337
363,-112.81866998034995
364,-112.73013087101326
365,-112.61503812458267
366,-112.52521259096622
367,-112.46075281775529
368,-112.42203732073892
369,-112.37674636847528
370,-112.23181084290367
371,-112.117077694902
372,-112.03443858939308
373,-111.98576163601732
374,-111.9727941583453
375,-111.90934113624374
376,-112.17399450850037
377,-112.73046976537731
378,-113.44029273533599
379,-114.31376112976498
380,-115.36327411860368
381,-116.49046122633426
382,-117.79118949884534
383,-119.31955380282783
384,-121.0939388222591
385,-123.13191767654031
386,-125.44909347959388
387,-127.93051578877896
388,-130.69952616201107
389,-133.77637326812084
390,-137.1620295931628
391,-140.854791387848
392,-144.82201842102648
393,-148.9838354524465
394,-153.44941542529395
395,-158.2201632772868
396,-163.30062634598335
397,-168.69856276479635
398,-174.30579821579002
399,-180.24504849570056
400,-186.54256759449393
401,-193.21047106026998
402,-200.2514487595957
403,-207.5597373332363
404,-215.26243402409125
405,-223.3600106499778
406,-231.85141156188988
407,-240.65721001649874
408,-249.8182829545278
409,-259.3808233416446
410,-269.3506200136167
411,-279.66551128050895
412,-290.3653887495194
413,-301.5035793892813
414,-313.0864901303835
415,-325.02055383016653
416,-337.398692540747
417,-350.2300619883364
418,-363.46295571224704
419,-377.0926124643517
420,-391.171645211283
421,-405.6701065014005
422,-420.54750232717345
423,-435.87733847378263
424,-451.63333789160515
425,-467.7819521495039
426,-484.3933499180657
427,-501.424017872649
428,-518.8747645351812
429,-536.7911518426616
430,-555.0975403725498
431,-573.8540892784891
432,-593.0426742753425
433,-612.6349732705065
434,-632.6854438616759
435,-653.1140698005306
436,-685.9249302948201
437,-721.2046152731111
438,-753.2477085737721
439,-784.2586535423417
440,-812.1738383636587
441,-839.0999494898914
442,-863.079594566902
443,-886.1348104717229
444,-906.3871762024849
445,-924.8960176252085
446,-942.5561187865853
447,-957.6660198193786
448,-971.1890685127971
449,-983.1747402247172
450,-993.6722229282091
451,-1002.7310701892964
452,-1010.402293634212
453,-1016.7395807974634
454,-1021.7996265574847
455,-1024.9583755771168
456,-1027.5970638765875
457,-1028.5133643445088
458,-1028.9072056903758
459,-1027.70407464395
460,-1026.0151413862213
461,-1022.798269978683
462,-1018.6478569448977
463,-1013.5818238240404
464,-1007.6215990879423
465,-1001.1824048419568
466,-993.4856670358521
467,-984.9908546029646
468,-975.3859336279095
469,-965.3802582991277
470,-954.6563332384284
471,-943.2422195233845
472,-931.1644392582295
473,-918.4485887650706
474,-904.7990451851642
475,-890.7795998521931
476,-876.0026390013256
477,-860.722238184578
478,-844.9106320014309
479,-828.3772443805893
480,-811.4285771330029
481,-793.883740841404
482,-775.8827118042417
483,-757.3810103672834
484,-738.3982383721789
485,-718.9666379303935
486,-699.0523871123289
487,-678.6845817244384
488,-657.8999700301407
489,-636.5595857128225
490,-615.1958439874052
491,-592.6791890831101
492,-603.9431249341304
493,-620.4118653570631
494,-637.5864929037592
495,-653.8254262549208
496,-670.1617144730639
497,-685.6609969108481
498,-700.9285470674097
499,-715.7856795525838
500,-730.0604426993979
501,-744.0709563230358
502,-757.285543796041
503,-770.0135168332476
504,-782.4542782536638
505,-793.9764951740345
506,-804.8971675846756
507,-815.170428403205
508,-825.1679294586836
509,-834.0069887504569
510,-842.0901964089043
511,-849.3759608604278
512,-855.8236999919325
513,-861.3934937442533
514,-865.4678540954069
515,-869.0923713422212
516,-871.7105950835381
517,-873.2839672870343
518,-873.0724637998023
519,-872.3267429720898
520,-869.6814399839407
521,-866.4285828737779
522,-861.1128530927224
523,-855.1688170475528
524,-846.955042941308
525,-837.2169408244793
526,-825.8894486699676
527,-812.9102084527733
528,-798.2197462463062
529,-782.7134359200728
530,-764.4611302693002
531,-743.329575601899
532,-721.2560219923025
533,-697.2146364231016
534,-671.161034337959
535,-643.0530429775924
536,-612.85090309577
537,-582.859063526465
538,-566.1572477054905
539,-549.8007514617188
540,-533.7504963037949
541,-518.0119601470084
542,-502.6130709311092
543,-487.5551067828375
544,-472.76531208060845
545,-458.3142047104405
546,-444.2039618743487
547,-430.4021584067973
548,-416.88807044810983
549,-403.70957669759923
550,-390.8658980329409
551,-378.2813345426674
552,-366.0051225132635
553,-354.05665685934224
554,-342.42113208347354
555,-331.02367253480406
556,-319.9521622345162
557,-309.20945319010093
558,-298.74370432143604
559,-288.5443408882721
560,-278.67599918710596
561,-269.14214870553826
562,-259.85119743715404
563,-250.8561998670427
564,-242.19766354571527
565,-233.8791381214828
566,-225.77485131205103
567,-217.9923311216873
568,-210.5545909454374
569,-203.46691259635574
570,-196.58628492814267
571,-190.04817723083363
572,-183.8713683279131
573,-178.06209176573532
574,-172.48805157368963
575,-167.25736382192605
576,-162.40573352408424
577,-157.93752448515016
578,-153.77302857046638
579,-149.91415114971707
580,-146.45024215671162
581,-143.38549189533717
582,-140.7238141853091
583,-138.3333854417762
584,-136.33897031473043
585,-135.5568118175244
586,-140.8298027385336
587,-146.62059105689954
588,-152.83448547900596
589,-159.55116416291466
590,-166.79900548496758
591,-174.57481291508506
592,-182.87429973706278
593,-191.6931436519097
594,-200.95886706228217
595,-210.73080939279947
596,-221.02799560947423
597,-231.85301706351234
598,-243.20948978029116
599,-255.101108558235
600,-267.53086901320046
601,-280.5004831989334
602,-293.98899967844125
603,-308.0057911440425
604,-322.5670389128085
605,-337.67102942094823
606,-353.31589506523994
607,-369.49941813343105
608,-386.2191145146331
609,-403.4724019463299
610,-421.25680742939886
611,-439.57005765953056
612,-458.4101125038136
613,-477.77518269252346
614,-497.6637104544048
615,-518.0742604753002
616,-539.005282002903
617,-560.4547428502642
618,-582.419520413143
619,-604.8950200412335
620,-627.8753880318199
621,-664.1306833494148
622,-705.431005586862
623,-744.1112125988443
624,-780.213008566926
625,-813.7860582914789
626,-844.8867330151814
627,-873.576945634385
628,-899.9229932811502
629,-923.994651492088
630,-945.8651164283785
631,-964.4669275811784
632,-982.1448053136857
633,-996.8027792623963
634,-1010.5801108001167
635,-1021.5511615182676
636,-1030.827387178418
637,-1039.3482813804999
638,-1045.3774037836154
639,-1049.9199910448579
640,-1052.2567629271678
641,-1054.0182458701688
642,-1054.4719554770272
643,-1053.685332188335
644,-1051.009851855758
645,-1047.8655459825657
646,-1042.9853820860126
647,-1037.112531980015
648,-1030.758816085271
649,-1022.9057201869634
650,-1014.1721646892069
651,-1004.5986585129813
652,-994.2256122299868
653,-983.0913926986449
654,-971.2312081832443
655,-958.6762262482251
656,-945.4530409341814
657,-931.5842776791378
658,-916.7321664109563
659,-901.5086939694074
660,-885.6678386320277
661,-868.9719421638176
662,-851.7626564706045
663,-834.0039320328868
664,-815.3719870079556
665,-796.292712444326
666,-776.5435512614154
667,-756.1594291656651
668,-735.4197119963936
669,-713.6841895546746
670,-709.7098015434713
671,-730.3726987947931
672,-751.9734065099301
673,-772.8042894496364
674,-793.6135810929893
675,-813.7518547885917
676,-833.7934307104669
677,-853.1476127196398
678,-872.4143811800792
679,-890.9298783526853
680,-909.1128558613225
681,-927.0322444911086
682,-944.273653608513
683,-961.3799810935813
684,-977.6331051022319
685,-993.4128504762213
686,-1008.6841216488504
687,-1023.7921518010218
688,-1037.9336593063392
689,-1051.4915545722124
690,-1064.4339496692264
691,-1076.7284733782594
692,-1088.3415198482253
693,-1099.2377761991738
694,-1109.3800448832271
695,-1118.0777991318769
696,-1126.5055642886882
697,-1134.0478307975413
698,-1139.8888754375316
699,-1145.4089249968627
700,-1149.0377137551964
701,-1151.4630483354777
702,-1152.602601842906
703,-1152.376353837351
704,-1150.7063288874676
705,-1147.5164067063877
706,-1142.7321686665443
707,-1136.2806829921185
708,-1126.9982224819898
709,-1116.8948903185878
710,-1103.7143454548568
711,-1088.4475930370995
712,-1070.999202178377
713,-1052.52214307604
714,-1030.483481374315
715,-1006.0169081143617
716,-977.6716623483496
717,-948.0753579002135
718,-915.8415866523941
719,-880.9158082639697
720,-849.3808709374962
721,-832.4339507020484
722,-815.8355871408038
723,-799.6250333042304
724,-783.771382803791
725,-768.2700422373284
726,-753.1449860830716
727,-738.345275644353
728,-723.9011058427847
729,-709.8142644351952
730,-696.0326977899447
731,-682.6093927556218
732,-669.5183788078361
733,-656.7465369787849
734,-644.3322376966754
735,-632.2259220825304
736,-620.4532263237845
737,-609.0272259441999
738,-597.8758189702673
739,-587.0609882063188
740,-576.548961684701
741,-566.3138535721898
742,-556.3978689029514
743,-546.739250059651
744,-537.3697412269493
745,-528.2994636265131
746,-519.4596165986324
747,-510.9206824298682
748,-502.6345950938563
749,-494.59737283654897
750,-486.84652449190696
751,-479.289291598907
752,-471.99891064733
753,-464.9363616197756
754,-458.07514286491806
755,-451.46790389780926
756,-445.0219941132266
757,-438.81105177205757
758,-432.80268223765654
759,-426.9737544702745
760,-421.3843395634239
761,-415.92810446348125
762,-410.6990365449801
763,-405.6390953772535
764,-400.7498187238864
765,-396.06427814261417
766,-391.4944222107995
767,-387.13805210384504
768,-382.9001467189498
769,-378.8460577238559
770,-374.94741695570485
771,-371.189396390556
772,-367.62241705102355
773,-364.1531842787687
774,-360.8892086224337
775,-357.71328718603456
776,-354.71857736195864
777,-351.83574557870577
778,-349.09469092893073
779,-346.4901122856486
780,-343.9945818434511
781,-341.6624512229351
782,-339.41271698767304
783,-337.3521186966518
784,-335.3489664295133
785,-333.5400790519783
786,-331.79184974818173
787,-330.21737514180165
788,-328.7114822403921
789,-327.35271799219464
790,-326.06650420438535
791,-324.9048970011263
792,-323.81939458493815
793,-322.8424999824942
794,-321.94563093035464
795,-321.147083038495
796,-320.4300295978399
797,-319.8025248461336
798,-319.25070566056047
799,-318.7775146611945
800,-318.36550217514554
801,-318.0205215470726
802,-317.71744792287217
803,-317.4741646455597
804,-317.2534486813537
805,-317.09291851105723
806,-316.937166577403
807,-316.84970688502307
808,-316.74983588236057
809,-316.73267938732164
810,-316.6848362411412
811,-316.73553639512585
812,-316.7392846920545
813,-316.96893174702944
814,-317.2771742738271
815,-317.6314604439279
816,-317.97159892704553
817,-318.33385161004946
818,-318.7151704246274
819,-319.0868403918349
820,-319.5089321595353
821,-319.88171674310587
822,-320.3192492505717
823,-320.6997441754047
824,-321.12330079137917
825,-321.52950490558
826,-321.9332162677144
827,-322.3606056609775
828,-322.73456569573517
829,-323.15524947030303
830,-323.5115368677571
831,-323.89265238622227
832,-324.2639513314157
833,-324.6097684928324
