time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,2.197600431196119,-10.000002549105277,-1.1017425193693217e-09,13.88888888888889,0.0,0.0,0.0,1.9071233481327e-08,0.0,0.009770507566955446,4.45014423853858e-06,,,,
0.01,2.3364729818177334,-10.000002009837804,-7.739373677970568e-08,13.886032896599092,-0.003013444689017425,-0.5369639109017421,-52.35987599999974,1.083973955928741e-06,-6.481981310054558e-08,0.009851674991316712,5.3302455774338146e-06,,,,
0.02,2.4753190123135775,-10.000000494795733,-2.592429590902736e-07,13.883455701654585,-0.010972128616131043,-0.956797405086181,-52.35987599999999,3.82409816523932e-06,-2.3629705961818915e-07,0.009042954159611465,7.732111305838332e-06,,,,
0.03,2.6141399236210656,-9.999998072275398,-5.742113570558265e-07,13.880985466768692,-0.023351751552035813,-1.4401082551417645,-32.39594579094471,7.972076469187073e-06,-5.33182777521564e-07,0.006336944848528807,1.1350137945448678e-05,,,,
0.04,2.752936354736004,-9.999995042477783,-1.2317693419542934e-06,13.878546559049028,-0.03962378828587924,-1.759603284443993,-18.370362381808764,1.2310285503858154e-05,-1.1369651106185892e-06,-0.0014353458895025458,1.505068217235587e-05,,,,
0.05,2.8917083224029607,-9.99999226913893,-2.8844975464615523e-06,13.876090807319594,-0.05495453156593094,-1.2994551079676386,52.359875999999645,1.3767162702293945e-05,-2.641312696746501e-06,-0.01877724741123776,1.6549027424305316e-05,,,,
0.06,3.0304555538195572,-9.999991606243027,-6.949740500601658e-06,13.873604419796187,-0.0650692894656074,-0.7758563479676561,52.35987599999999,6.245759347933699e-06,-6.374555089408336e-06,-0.048478768696585885,1.2007826813273622e-05,,,,
0.07,3.169177782111999,-9.999996188956803,-1.5810198644147415e-05,13.871097394546808,-0.06994805976528419,-0.25225758796769393,52.35987599999648,-1.9827329168720098e-05,-1.4620441440352335e-05,-0.09104342155626441,-3.6009467245586633e-06,,,,
0.08,3.3078748999920373,-10.000010383967624,-3.2761863192398656e-05,13.86858821301317,-0.06959084246496132,0.2713411720322715,52.35987599999651,-7.722826700629071e-05,-3.059470577373843e-05,-0.1419536550447096,-3.613010726656227e-05,,,,
0.09,3.44654697599257,-10.0000393364461,-6.165426438994984e-05,13.866092521558748,-0.06399763756463879,0.7949399320322368,52.359875999996426,-0.00018039858652585394,-5.811611530176348e-05,-0.19332480974582783,-9.123288921295363e-05,,,,
0.1,3.585194196638187,-10.000088156627426,-0.00010625966817661068,13.86361897703354,-0.0531738150127151,1.3142171817309967,49.08680379609582,-0.00034281292711213496,-0.0001009984953514177,-0.23534025398996467,-0.0001728462765228142,,,,
0.11,3.723816798453999,-10.00016090775831,-0.00016950971820654725,13.861170151478586,-0.03787101656145468,1.6677981284345305,23.62961078886803,-0.0005740310394024561,-0.0001622910416436826,-0.25837180377312685,-0.0002819164951595118,,,,
0.12,3.8624150207408166,-10.000259737802521,-0.00025281408335293,13.858745047313786,-0.02033238538458438,1.799810542597524,5.981860794563498,-0.0008769507126409337,-0.00024358126973311967,-0.25675000376730495,-0.0004150720842397182,,,,
0.13,4.00098908798582,-10.000384240752027,-0.00035553936713054833,13.856341853002094,-0.0024716607913925757,1.740358345998798,-16.11706196238226,-0.0012459623829439437,-0.0003444595368206317,-0.22610121840096495,-0.0005640306926741025,,,,
0.14,4.139539208951485,-10.000531048036228,-0.0004746643248100895,13.85395852291255,0.01370040700730002,1.495640494675493,-30.697564151329377,-0.0016661585526431821,-0.0004621509612097503,-0.16601986353259926,-0.0007159842469278081,,,,
0.15,4.278065572968117,-10.000693832091837,-0.0006047475033044547,13.851592164442899,0.026650463707354664,1.1111701522288309,-43.953684839455235,-0.0021138491966095074,-0.0005914464471600773,-0.08124834969743852,-0.0008547352746317781,,,,
0.16,4.41656833987391,-10.000863829844038,-0.0007382971089908036,13.849238924655781,0.03513303085787958,0.6204201437544661,-52.35987599999999,-0.002558675758479012,-0.0007250305570495545,0.018221172486618607,-0.0009626229937697657,,,,
0.17,4.555047634474565,-10.001030889390936,-0.0008665513529530602,13.846895355809522,0.03845743911542423,0.09682138375446579,-52.35987599999999,-0.002967270671971889,-0.0008542229624144963,0.11821943790654081,-0.0010230823566327566,,,,
0.18,4.693503559317993,-10.001184924254181,-0.000980587704144426,13.844560722691517,0.036546236763355736,-0.4264003858586922,-51.98288561315906,-0.003308036049583407,-0.0009700610117744754,0.20258019564120483,-0.0010234818639187806,,,,
0.19,4.831936227558665,-10.001317545433182,-0.001072584328091773,13.842238426187166,0.02962549480885133,-0.8955220890102109,-42.65265802660252,-0.0035562170794527503,-0.0010645575883803959,0.2569724340843775,-0.0009576440245120032,,,,
0.2,4.970345796444615,-10.001423471164987,-0.0011369326565372879,13.839934360181148,0.01861193062562897,-1.2443810917758247,-26.362471861201417,-0.0036978798455891138,-0.001131843066423274,0.27304184649383284,-0.0008271260484986727,,,,
0.21,5.108732475577815,-10.001501380787474,-0.0011709917366556288,13.83765384775446,0.005251092848054094,-1.377513303700831,-4.389561963572538,-0.0037322604777649815,-0.001168954629328423,0.2457207043281866,-0.0006415928853952196,,,,
0.22,5.247096510284722,-10.001554292061021,-0.0011755171843884156,13.835399184146599,-0.008555369371690873,-1.3645372505860567,8.332392488464173,-0.003673052363694751,-0.0011763007714962706,0.17823195622406204,-0.0004190671994421496,,,,
0.23,5.385438144639211,-10.00158937108366,-0.0011546506254924576,13.833168082703342,-0.02121729558507083,-1.1632621639468046,24.27748181233278,-0.0035467963842563677,-0.001157698002366121,0.07688770083149725,-0.00018328224899114693,,,,
0.24,5.523757579308871,-10.001617147387666,-0.001115460888096355,13.830954432917986,-0.031466132657335874,-0.9022236140777544,29.57342405210052,-0.003389691013348184,-0.0011199556634660765,-0.045480444075051404,3.942162034981984e-05,,,,
