#{"t_start": 1697266716.4434264, "env_id": null}
r,l,t
-920548.0,458,73.337624
-1674697.6,578,83.577902
-854926.3,204,92.369297
-882461.56,227,103.509988
-883098.8,207,111.283805
-841821.44,200,122.10132
-871807.1,204,130.053584
-881892.8,205,141.157561
-880702.44,205,149.030418
-880998.56,205,159.955681
-881912.4,205,168.060892
-881317.25,205,179.407506
-881276.2,205,187.548382
-881821.06,205,198.701212
-880989.2,205,206.595951
-880329.1,205,217.659521
-881700.25,205,225.577272
-877876.6,205,236.916559
-884052.94,206,244.952038
-879299.2,205,255.556748
-880657.06,205,263.640251
-878468.2,205,274.90221
-876087.06,205,283.112508
-875416.9,205,294.755297
-877796.7,205,305.163328
-876597.75,205,320.121372
-875277.7,205,328.254403
-874286.94,205,339.254896
-883944.75,206,347.315902
-873830.2,205,358.418871
-873105.6,205,366.765021
-884474.8,206,377.964209
-884950.6,206,386.056619
-881850.06,206,397.157467
-872665.2,205,405.067727
-883238.56,206,416.435332
-884178.9,206,424.562138
-872749.0,205,437.887073
-880871.5,206,446.13509
-881861.94,206,457.348211
-874050.44,205,465.515498
-883499.0,206,476.607867
-880814.6,206,484.839376
-883130.75,207,496.101488
-882905.9,207,504.18998
-883431.2,207,515.433368
-883219.4,207,523.292853
-882212.75,207,534.723907
-881294.1,207,542.747273
-881603.44,207,553.988326
-881178.56,207,562.234512
-882166.6,207,573.609625
-881459.0,207,581.654377
-880910.2,207,592.973506
-880394.4,207,601.109939
-881350.8,207,612.340938
-881718.7,207,620.595548
-881408.94,207,631.634052
-881292.0,207,639.756618
-881027.75,207,651.144618
-881194.56,207,659.235335
-880951.9,207,670.698572
-883146.8,207,678.787239
-880921.4,207,690.195966
-880829.56,207,698.247113
-880696.4,207,709.580044
-881114.44,207,717.547368
-881346.06,207,728.893528
-880399.9,207,736.868444
-881214.75,207,748.057867
-882641.94,207,756.139795
-880121.4,207,767.290246
-880930.25,207,775.498977
-881890.7,207,786.995642
-877158.75,206,795.139997
-877592.6,206,806.628866
-880956.7,206,814.760676
-875988.06,205,826.143023
-873271.44,205,834.179311
-873457.75,205,845.388587
-873621.75,205,853.458313
-875266.94,205,864.549628
-875898.25,205,872.543557
-872506.75,205,883.74462
-872548.6,205,891.742677
-884539.06,206,902.966371
-874995.9,205,910.986301
-876063.44,205,922.202334
-875920.4,205,930.025938
-876604.25,205,941.267173
-872472.0,205,949.345794
-874192.3,205,960.686512
-876536.25,205,968.710048
-876290.8,205,979.898414
-876313.5,205,987.963122
-875732.25,205,999.150073
-872179.2,205,1007.255182
-873451.56,205,1018.461288
-875525.3,205,1026.291852
-877357.94,205,1037.324979
-878641.6,205,1045.189165
-874174.06,205,1056.387786
-877184.94,206,1064.372616
-875315.2,205,1075.551231
-878009.7,205,1083.602763
-875766.0,205,1094.913337
-882367.5,206,1102.817973
-876899.9,205,1114.121753
-876282.0,205,1122.208109
-881259.3,206,1133.470219
-884190.9,206,1141.507212
-877801.2,206,1152.447728
-883268.44,206,1160.581906
-874380.94,205,1171.580144
-879287.3,206,1179.752028
-879504.44,206,1190.977285
-883480.2,206,1199.099557
-884420.9,207,1210.169719
-880509.7,207,1218.374761
-883878.9,207,1229.623084
-875584.2,206,1237.772471
-878200.2,206,1248.824661
-873929.5,206,1256.832174
-881660.4,208,1268.282513
-883753.75,207,1276.212618
-883746.3,208,1287.372338
-874891.06,208,1295.486041
-881085.8,209,1306.988168
-874087.9,211,1315.208698
-873909.94,208,1326.386248
-872468.25,209,1334.559385
-878769.4,209,1346.083301
-876943.56,209,1354.24904
-875163.7,208,1365.356436
-873830.4,211,1373.523402
-871948.56,211,1384.588154
-873605.9,212,1393.123425
-874234.56,215,1404.506136
-881581.75,215,1412.862288
-870503.7,213,1424.081581
-852865.5,208,1432.231356
-830255.7,211,1443.397697
-929153.7,215,1451.757667
-980620.94,229,1463.881609
-1056561.8,241,1480.016346
-3585505.0,557,1492.128706
-877120.25,213,1499.443889
-859117.3,206,1511.563856
-844130.06,204,1518.571731
-927356.5,232,1531.615191
-851760.3,230,1538.732163
-1106430.6,362,1558.329745
-983440.44,339,1564.235363
-1211080.8,693,1600.783163
-2672805.8,1094,1622.827345
-548192.3,603,1637.914798
-566792.8,607,1660.089137
-730295.7,621,1692.808599
-598148.25,596,1724.914956
-566023.75,603,1756.7918
-585053.4,598,1788.237134
-36545844.0,3380,1819.317497
-2711128.0,1180,1851.591943
-1914081.0,1098,1879.021275
-2582581.5,1515,1953.025368
-573729.25,607,1985.553566
-18610056.0,2764,1997.113851
-559189.75,609,2023.704865
-550402.5,611,2035.213652
-562104.9,611,2061.619454
-573457.94,610,2073.184329
-570767.9,611,2099.772415
-544542.56,610,2111.47019
-537302.0,609,2138.066947
-2653081.2,966,2165.681008
-344069.62,1236,2203.451266
-371928.84,1224,2230.611744
-382035.3,1223,2268.991083
-387707.44,1221,2295.999942
-398878.88,1220,2334.601711
-405814.34,1220,2361.436486
-411835.78,1220,2399.513261
-417363.84,1220,2426.615791
-433092.94,1219,2464.873903
-430842.9,1219,2492.228507
-445838.94,1218,2530.590809
-442015.94,1219,2557.756649
-435148.56,1219,2595.917871
-437111.44,1218,2622.980958
-440690.78,1219,2661.007826
-444127.5,1219,2687.876498
-449135.66,1219,2726.259466
-448204.06,1219,2753.419543
-458371.72,1219,2791.47141
-459145.72,1219,2819.150058
-456818.9,1219,2860.500317
-455875.3,1219,2888.886069
-450759.44,1219,2929.436588
-462211.16,1218,2958.390047
-461260.03,1219,2997.839315
-467904.38,1218,3023.746485
-460697.62,1219,3062.464769
-459285.4,1219,3089.391187
-459100.75,1218,3127.828428
-458059.34,1219,3154.901081
-467369.34,1219,3193.702308
-461184.8,1219,3220.220194
-462705.2,1219,3258.776372
-464284.56,1219,3285.550455
-463491.47,1219,3323.711828
-463561.56,1219,3350.392274
-468407.25,1219,3389.134073
-466780.8,1219,3415.674757
-479166.75,1219,3454.341918
-475963.66,1219,3482.999532
-469438.56,1219,3523.352339
-484912.84,1219,3551.05275
-497291.53,1219,3590.102325
-508114.44,1219,3616.849689
-538004.8,1219,3655.519788
-536739.75,1219,3682.607586
-561091.1,1220,3721.112924
-583598.2,1219,3748.137815
-633417.3,1220,3787.255664
-622362.75,1219,3814.27457
-652522.3,1220,3853.448613
-658716.4,1220,3880.364255
-636929.44,1219,3919.684898
-625091.06,1220,3946.698445
-625164.6,1220,3985.199015
-636420.7,1219,4011.7138
-635943.8,1219,4050.929291
-628070.5,1219,4077.909633
-674578.06,1219,4116.799405
-701734.56,1219,4143.704903
-679036.25,1219,4182.410949
-662679.06,1220,4209.529721
-656827.5,1219,4248.851477
-647648.7,1219,4276.126618
-672313.1,1219,4315.12272
-667802.7,1219,4341.81036
-646574.7,1219,4381.13286
-747598.3,1220,4408.267344
-911639.4,1222,4448.094547
-903492.06,1221,4475.290727
-695762.25,1220,4514.978967
-784024.3,1220,4542.243934
-815494.0,1220,4582.166333
-697758.25,1220,4609.550021
-948451.7,1221,4649.465217
-724680.44,1221,4676.264949
-850887.75,1220,4716.456985
-1442774.5,1247,4745.245979
-889601.4,1220,4783.880203
-1103644.5,1229,4812.77539
-1011621.9,1227,4851.127166
-1140579.0,1235,4880.788056
-1027537.5,1226,4918.788224
-717889.94,1221,4948.223469
-846682.3,1221,4986.566113
-765560.7,1221,5016.087152
-904010.56,1224,5056.303477
-690060.56,1220,5086.745496
-733661.5,1221,5126.655761
-664762.75,1220,5155.962101
-822817.8,1221,5194.907274
-712664.75,1220,5224.515672
-712204.4,1220,5263.654499
-683342.44,1220,5293.171824
-668273.0,1220,5332.677512
-670947.2,1220,5361.753695
-703692.25,1220,5400.758154
-703002.0,1221,5430.516509
-626344.9,1220,5469.222119
-757837.06,1220,5498.849737
-706440.44,1220,5538.319643
-724171.06,1220,5568.284995
-738696.6,1221,5608.282553
-652792.7,1221,5638.741021
-770993.75,1221,5679.256094
-715530.3,1221,5709.347974
-906161.1,1221,5749.630021
-886806.25,1219,5779.450506
-783110.06,1221,5819.272673
-747674.2,1221,5848.748356
-751491.3,1222,5888.788567
-829249.7,1222,5919.056137
-629518.94,1220,5958.976702
-657991.94,1221,5988.936644
-812694.5,1221,6028.746915
-795580.9,1221,6058.473469
-763303.4,1220,6097.798561
-757280.9,1222,6127.838678
-924843.75,1221,6167.40516
-897491.3,1220,6197.235297
-876606.7,1221,6236.986074
-922225.8,1221,6266.660556
-942181.94,1219,6306.043539
-1018912.0,1221,6335.992229
-911360.0,1221,6375.672337
-948901.0,1220,6405.799364
-929911.2,1219,6445.957802
-958910.75,1218,6475.884775
-933041.1,1218,6515.343111
-899599.25,1219,6545.18511
-866041.0,1219,6586.21715
-872282.94,1218,6617.496201
