#{"t_start": 1696959593.5949705, "env_id": null}
r,l,t
-1420906.5,471,55.062955
-2325514.5,476,60.921927
-1284027.6,215,74.708154
-1283710.4,213,80.079506
-1281769.2,206,94.092372
-1283439.4,206,99.280224
-1277843.1,205,113.159642
-1278634.1,205,118.33395
-1281286.5,205,131.215935
-1279978.0,205,136.455696
-1279069.8,205,149.594995
-1280366.6,205,154.766569
-1280396.8,205,167.901904
-1291378.9,206,173.191173
-1291313.1,206,186.813934
-1292569.0,206,192.03947
-1288019.5,206,205.997479
-1285595.0,206,211.199255
-1285990.6,206,224.759845
-1286042.2,206,230.047027
-1285690.6,206,245.561442
-1280440.1,206,250.763821
-1293715.4,207,266.269018
-1293359.0,207,271.50968
-1290434.5,207,286.900186
-1293371.9,207,292.096351
-1291126.0,207,307.225237
-1291450.1,207,312.477425
-1291575.8,207,327.958329
-1292860.9,207,333.170938
-1290163.4,207,347.883033
-1290648.9,207,353.100882
-1292397.5,207,367.968045
-1283721.9,206,373.164501
-1282665.8,206,388.181085
-1289754.9,206,393.374121
-1289841.9,206,408.088772
-1292022.9,206,413.287724
-1290152.0,206,427.875866
-1287251.9,206,433.069254
-1279204.8,205,448.112633
-1291239.2,206,453.363536
-1282196.1,205,468.434485
-1293035.2,206,473.673678
-1282265.5,205,487.2655
-1283254.4,205,492.59083
-1283179.9,205,507.07745
-1281210.8,205,512.413229
-1286091.1,205,527.72506
-1284769.1,205,533.025883
-1280827.5,205,548.02248
-1280747.9,205,553.373444
-1278477.9,205,568.433451
-1278583.5,205,573.759362
-1278727.6,205,588.720348
-1292972.1,206,594.139173
-1288559.4,206,609.189191
-1290505.1,206,614.550723
-1283120.2,206,629.538817
-1286777.4,206,634.930714
-1284527.4,206,649.694948
-1285169.5,206,655.070892
-1284184.2,206,670.075536
-1293489.4,207,675.489406
-1278199.4,206,690.367172
-1291351.1,207,695.865575
-1292905.1,207,710.545315
-1281615.5,206,715.971621
-1293379.0,207,730.654024
-1291104.0,207,736.093545
-1291270.1,207,750.979768
-1276996.8,206,756.322027
-1277006.1,206,771.644868
-1278056.9,206,777.028407
-1292623.8,207,792.091748
-1277891.9,206,797.349391
-1293679.4,207,812.656063
-1281421.1,206,817.947896
-1284994.5,206,833.696208
-1281989.1,206,838.96097
-1285235.6,206,854.312727
-1279601.0,206,859.572584
-1286323.8,206,874.483258
-1289178.2,206,879.768826
-1292214.1,206,895.359285
-1276829.2,205,900.605446
-1290745.9,206,915.58651
-1290059.5,206,920.787896
-1278419.4,205,935.256487
-1277023.4,205,940.72533
-1280684.4,205,955.526007
-1281229.5,205,960.754915
-1282558.2,205,975.637084
-1283399.2,205,980.822477
-1281897.6,205,995.608593
-1281925.1,205,1000.805698
-1281675.9,205,1015.784277
-1286000.8,205,1020.966896
-1285258.9,205,1036.374766
-1285623.5,205,1041.58603
-1283524.1,205,1055.619054
