#{"t_start": 1697117326.695499, "env_id": null}
r,l,t
-3712992.2,292,99.575368
-4091791.0,341,109.58937
-4441885.5,252,124.646259
-3924701.8,302,136.335482
-3180400.5,229,148.809163
-3184576.2,227,160.111246
-3143046.2,225,172.560263
-3152957.8,222,183.863858
-3836563.2,232,196.690225
-3533916.2,240,213.03507
-6384222.0,466,224.048645
-3144275.2,223,236.81765
-3158786.5,222,247.784915
-3152475.8,224,260.548082
-3142303.2,225,271.633747
-3131329.0,224,284.347002
-3182384.8,226,295.59719
-2902080.5,223,308.167892
-2801962.0,222,319.243727
-2949593.0,237,332.421068
-3055171.2,239,343.532067
-3280424.0,229,356.342588
-3789627.2,266,368.799781
-3619694.8,268,381.657288
-3501371.8,229,392.736505
-3923665.8,269,407.038978
-3393571.2,223,416.538856
-3652139.5,236,431.265766
-3082559.5,252,441.264874
-3781986.2,245,455.710859
-3497674.0,226,465.110975
-3465361.5,224,479.453899
-3684570.5,238,489.290602
-5396242.5,333,507.109593
-3466211.0,302,515.907951
-3329569.0,285,533.938713
-5804169.0,346,543.252595
-3551725.0,228,559.190527
-3983490.5,303,568.493164
-2706117.5,227,583.092964
-3033927.0,248,593.071687
-2976003.2,248,607.636758
-3204725.0,260,618.054983
-3003291.8,246,632.155937
-2995671.2,245,642.515621
-2729843.0,226,656.004824
-3111192.2,254,667.381647
-3453292.2,274,681.530052
-3216087.2,259,692.324214
-2748126.5,229,705.431601
-3181847.0,259,717.307828
-3101614.5,255,730.287053
-3402800.0,273,742.812802
-3431649.5,277,755.897967
-3127901.2,258,767.727947
-3301266.8,268,781.239067
-2930748.8,242,792.228815
-2845967.8,235,805.462029
-2852289.8,237,816.53064
-2879152.0,240,829.884904
-2802943.2,230,840.575825
-2851741.2,236,854.141573
-2813903.5,235,864.803021
-2875508.2,237,878.432777
-2888631.5,238,889.080466
-2830620.5,236,902.607009
-2791075.0,230,913.007863
-2892234.2,237,926.807615
-2733962.0,226,936.929284
-2981601.5,244,951.346655
-2785248.0,231,960.983573
-2763188.5,230,975.369789
-2870001.0,240,985.340798
-2865498.2,236,999.940004
-3389844.0,276,1011.302658
-3283287.8,263,1025.04068
-3065620.0,249,1035.872614
-3200528.8,267,1050.246874
-3469642.0,290,1061.976948
-3726606.8,324,1077.616024
-2751852.0,230,1085.993101
-3344918.8,279,1103.295947
-3224345.5,270,1111.407688
-3449515.5,288,1129.357622
-3860978.0,317,1138.481907
-3214532.0,262,1154.528982
-3281494.8,273,1164.03044
-3088338.0,254,1179.350719
-3474726.5,274,1189.584072
-3182518.2,260,1204.551872
-2800854.5,232,1213.760538
-3292459.8,269,1229.988685
-3158327.8,261,1238.905354
-3375347.2,268,1255.276759
-3777428.0,292,1265.068089
-3085341.5,251,1280.070928
-3206979.2,257,1290.068687
-3540717.8,291,1306.211803
-3550189.2,286,1315.96381
-3395408.0,271,1331.65596
-2692192.5,226,1339.901865
-3468411.0,284,1357.521905
-3769770.0,297,1366.228998
-3182090.0,258,1383.165829
-3582193.8,283,1391.365294
-3137755.5,256,1408.467635
-3735026.5,293,1417.581866
-3536945.8,278,1434.114995
-3746026.5,288,1443.593125
-2857537.5,237,1458.41567
-2766035.0,232,1467.707129
-2856752.2,238,1482.742635
-3169721.5,259,1492.779474
-3248719.8,265,1507.963748
-3506675.8,292,1518.978898
-2850570.8,234,1535.09596
-3629963.5,320,1543.139909
-3393221.5,274,1556.782701
-3973716.5,315,1566.176762
-3687842.8,289,1582.765012
-3287906.5,269,1591.420634
-3218805.0,262,1607.806947
