#{"t_start": 1697370022.7599216, "env_id": null}
r,l,t
-1654796.2,356,45.015558
-1776748.6,394,51.594063
-1285748.9,207,62.805102
-1281712.4,206,69.200808
-1291505.6,206,80.321948
-1288147.1,206,86.784302
-1292911.4,206,97.992631
-1277122.8,205,104.347021
-1278822.9,205,115.584074
-1277371.0,205,122.105059
-1277630.5,205,133.485445
-1277389.1,205,139.808799
-1280942.5,205,150.970234
-1278324.1,205,157.255589
-1291362.9,206,168.645751
-1291904.4,206,175.040364
-1289890.1,206,186.345671
-1289522.9,206,192.625298
-1289826.6,206,203.792798
-1290181.1,206,210.039374
-1286599.1,206,221.399943
-1284528.0,206,227.616699
-1286585.1,206,238.67206
-1283580.1,206,244.937908
-1281814.4,206,256.322113
-1283084.0,206,262.551294
-1283479.5,206,273.903044
-1284327.1,206,280.239339
-1285810.6,206,291.568997
-1286831.9,206,297.845749
-1287627.4,206,309.225352
-1288676.0,206,315.519356
-1288037.9,206,326.803671
-1286459.0,206,333.038747
-1293088.5,206,344.314407
-1292852.0,206,350.52612
-1280091.2,205,361.861439
-1280310.5,205,368.201345
-1283546.4,205,379.249499
-1285278.5,205,385.70166
-1281486.5,205,397.099665
-1282752.8,205,403.412943
-1286611.1,205,414.707799
-1285719.8,205,421.03668
-1284541.1,205,432.281272
-1285643.9,205,438.554541
-1284078.4,205,449.782494
-1282280.5,205,456.112587
-1287349.1,205,467.43702
-1281745.1,205,473.702661
-1281251.2,205,484.958708
-1278815.1,205,491.293931
-1291942.4,206,502.947585
-1292745.2,206,509.190995
-1284910.9,206,520.524361
-1284130.2,206,526.869302
-1283608.8,206,538.304061
-1282654.1,206,544.536098
-1291584.1,207,555.815762
-1292251.9,207,562.180599
-1277086.4,206,573.526445
-1290311.2,207,579.948224
-1291272.0,207,591.251412
-1291990.5,207,597.510447
-1284331.6,206,608.71041
-1288405.9,206,615.019343
-1276994.9,205,626.132264
-1293236.6,206,632.478784
-1285363.5,205,643.966899
-1282650.8,205,650.316373
-1289665.9,205,661.617314
-1285260.6,205,668.106646
-1285612.4,205,679.482687
-1283498.8,205,685.854741
-1285412.6,205,697.113298
-1287134.5,205,703.477686
-1290346.1,205,714.868712
-1290185.9,205,721.348763
-1288301.5,205,732.530409
-1286051.4,205,738.968806
-1287119.8,205,750.256211
-1286406.8,205,756.641901
-1285756.9,205,767.728511
-1283079.4,205,774.064846
-1278848.0,205,785.310121
-1291687.4,206,791.75108
-1277455.6,205,802.828111
-1284317.2,205,809.302646
-1290404.6,206,820.597449
-1290657.2,206,827.076942
-1288352.4,206,838.217286
-1287249.1,206,844.63177
-1286068.6,206,855.734434
-1289707.6,206,862.209928
-1277822.5,206,873.378969
-1289185.0,206,879.684172
-1278771.9,206,890.754365
