#{"t_start": 1697648001.9996123, "env_id": null}
r,l,t
-2849289.5,684,113.059952
-1108756.5,233,127.855978
-1113842.6,233,142.989763
-1114388.5,234,158.019259
-1119712.9,234,173.305197
-1120449.8,234,188.202732
-1121658.8,235,203.541973
-1113999.8,234,219.429812
-1123051.5,236,234.857605
-1109060.8,233,250.419931
-3133504.8,743,282.399227
-2467947.8,680,311.774985
-1232328.5,338,330.53253
-11561918.0,2515,419.120659
-4395238.5,977,457.602301
-1434922.6,385,478.174253
-2986946.0,1270,525.660793
-3585350.5,1135,568.944826
-6454684.5,2470,654.456888
-6694186.5,3605,778.253328
-2096726.0,1341,826.58794
-5376302.0,3601,941.214882
-6393363.0,3600,1056.164
-6028453.0,3606,1170.623907
-7023633.5,3629,1285.615931
-7175933.0,3594,1399.794235
-7111212.5,3598,1514.768868
-2060330.8,1388,1564.604788
-4115640.8,1605,1619.276963
-6362297.0,3596,1736.175886
-6482087.5,3606,1853.885801
-3164863.8,2160,1927.393223
-6905287.0,3547,2042.257694
-4148822.5,3584,2162.963364
-5505947.0,3516,2276.087004
-5829367.5,3464,2388.370681
-4636968.0,2697,2770.046881
-5952900.5,3590,2891.970132
-5229424.5,3586,3011.449779
-1497345.1,850,3045.389095
-4965942.0,3589,3163.791976
-4515843.0,3589,3281.428901
-5014028.0,3588,3402.191338
-5565472.5,3594,3521.264993
-3741631.0,2168,3596.066915
-4241060.5,3590,3718.015056
-5612996.0,3589,3838.239126
-4558762.5,3586,3958.199214
-4099192.2,3581,4079.252905
-4562389.0,3584,4205.566553
-4184994.0,3585,4332.419565
-4917199.0,3382,4446.387865
-4424470.5,3583,4568.295059
-4126974.2,3583,4690.31721
-4499702.0,3585,4810.221936
-4670744.5,3584,4930.961578
-5116380.5,3587,5047.581846
-6190152.0,3592,5166.332089
-5118766.5,3588,5281.736271
-6107139.5,3591,5396.84795
-4124382.5,3582,5514.8922
-4965893.0,3582,5633.470289
-3782958.0,3585,5751.370019
-4263075.0,3586,5868.69292
-5778903.0,3588,5984.515428
-5514318.5,3587,6100.969046
-4635148.0,3583,6217.256814
-4064688.8,3582,6333.483883
-6135259.0,3590,6450.567824
-4067283.5,3582,6567.508871
-4672618.0,3582,6683.960986
-4360225.0,3583,6798.953387
-5112836.5,3591,6913.547016
-3686569.5,3582,7028.127138
-4225168.5,3579,7143.807745
-3868163.5,3585,7273.070821
-3981152.0,3583,7402.346823
-3957013.8,3582,7531.659265
-4696073.0,3584,7661.17
-4775100.5,3589,7791.310986
-3754116.0,3583,7920.578619
