#{"t_start": 1697702529.5691962, "env_id": null}
r,l,t
-1051721.5,431,33.965191
-3162206.0,1301,78.671386
-9921171.0,3615,203.006469
-4417995.5,1224,250.108047
-629316.56,215,264.796792
-1056582.9,343,283.285584
-720438.94,244,298.80349
-1032724.94,365,318.299357
-747303.6,252,333.993244
-877809.25,289,350.833533
-1233447.8,397,371.092901
-1405856.8,447,392.930071
-774485.4,278,409.340757
-1326477.8,424,430.377285
-1078500.4,358,449.181527
-1062927.1,353,468.133328
-1296750.2,424,489.29869
-863018.0,297,506.178272
-893870.9,298,523.431999
-1208182.2,383,543.553738
-1205498.4,391,564.045327
-1134794.1,371,583.581322
-884472.6,298,600.84728
-1596589.5,492,624.204028
-1272712.6,405,644.813593
-1022839.4,346,663.385666
-1581429.2,508,687.0773
-2582061.2,1091,730.425745
-3462947.5,1669,793.127107
-2917923.5,1223,839.772093
-1517806.6,543,864.593611
-3140964.5,1903,934.131659
-3447379.5,1311,983.84518
-2170924.8,1079,1026.391651
-945022.25,757,1058.270463
-6532704.5,3601,1184.917804
-5524043.5,3604,1310.98875
-2182042.8,1452,1365.265799
-2076076.4,761,1397.4771
-1963515.5,1191,1443.410389
-3187436.2,1503,1499.672274
-2669105.8,1420,1553.545492
-4292302.5,2322,1637.830209
-3572346.5,1536,1695.802134
-878138.0,415,1716.972011
-3406894.5,1692,1780.110253
-4473804.5,2135,1858.508567
-3156157.0,1219,1906.480332
-3619370.0,1835,1974.685385
-3060069.2,1534,2033.272431
-8218892.0,3607,2163.215845
-3399394.2,1641,2226.217838
-3398764.8,2389,2314.544581
-2057043.2,1095,2359.059369
-6918521.0,3592,2489.389552
-1404527.9,1088,2534.05419
-5181791.5,3605,2664.770709
-779310.1,680,2695.698731
-1727597.8,1058,2739.442464
-2685129.2,1958,2814.035512
-2155852.0,1503,2873.266382
-606196.2,269,2890.324049
-1832259.8,1085,2935.206317
-3143044.2,2392,3025.037694
-3495301.8,2057,3103.368378
-3213541.0,2030,3180.825807
-2344572.8,1507,3240.454124
-627204.25,422,3263.083689
-1812608.0,1504,3322.697699
-1944562.9,1375,3377.888519
-1169453.4,463,3401.708783
-3282851.2,1976,3477.774137
-2563048.8,1650,3542.471428
-5816009.0,3601,3675.729011
-3446096.8,1899,3749.494848
-1544134.4,1593,3812.514333
-1252849.6,685,3844.112511
-1957282.4,1606,3907.726728
-1677459.8,1503,3967.725415
-1397133.8,1311,4020.955426
-6888720.0,3622,4155.434851
-2397529.0,2106,4236.776303
-1248105.1,1169,4285.176914
-1046562.9,1064,4329.947853
-1956005.1,1108,4376.275017
-1555576.0,1622,4440.438848
-1334185.9,1151,4488.276492
-2711788.8,2468,4584.073899
-4524708.0,3087,4704.339505
-3724664.5,3594,4851.961442
-4970532.5,3601,4998.281475
-3566548.8,2672,5111.849827
-912182.06,1042,5167.619122
-4421095.0,3600,5313.802817
-3052038.8,2413,5417.868083
-3399077.2,3604,5563.975314
-3047087.2,1927,5651.640983
-5610648.0,3606,5797.05374
-4398528.0,3610,5942.608272
-5305266.5,3604,6088.324997
-2495145.5,2414,6191.869071
-2912500.8,1959,6279.614877
-3063879.2,2401,6382.585751
-6206411.5,3597,6527.982943
-6402719.0,3603,6673.602679
-5566706.5,3601,6820.038974
-1060546.6,780,6867.494962
-6759698.5,3594,7013.644785
-4026292.2,2791,7131.116112
-4831121.0,3597,7277.20842
-4667718.0,2936,7399.790778
-3072114.0,1970,7490.128455
-4476647.0,3599,7647.293952
-3476769.5,2303,7748.047127
-3274100.0,2343,7848.923121
-4269957.0,2685,7964.581263
-1270966.9,981,8025.511408
-1760906.8,1438,8094.706897
-4929309.5,3601,8239.668453
-4215948.0,3597,8384.58348
-5406868.5,3606,8529.769368
-2918678.0,1939,8616.488488
-1556229.6,1097,8674.551327
-5638986.5,3600,8820.159795
-4851624.0,3597,8965.658233
-1131267.4,1077,9022.556186
-1528638.8,1090,9079.912937
-3810032.2,3608,9225.241944
-3935425.0,3592,9371.104779
-1213160.5,877,9429.952365
-1666480.8,1420,9515.670502
-5845295.0,3604,9669.898873
-3096535.8,2017,9760.302457
-1527117.2,1391,9828.791666
-2403142.0,1983,9919.039013
-3209321.0,2657,10032.05577
-4854419.0,3605,10216.906179
-4832094.0,3600,10398.845607
-5089650.5,3596,10546.094126
-4529732.5,3594,10693.12281
-655248.9,719,10738.340867
-4265818.5,3596,10885.702013
-3616214.2,2224,10986.689503
-5339933.0,3603,11143.646523
-4482119.0,3595,11292.479203
-4441344.5,3593,11441.412321
-4839856.5,3597,11591.231146
-3404130.0,3597,11739.650123
-3880754.2,3593,11888.479208
-3881524.0,3597,12037.927035
-907026.75,1009,12093.889645
-986395.75,774,12144.524601
-3804014.2,3598,12299.296311
-3325297.0,2461,12405.296066
-4377288.5,3598,12552.127771
-1840445.1,1472,12623.328104
-2923248.5,2662,12736.630757
-4168763.8,3024,12862.822824
-3318103.2,2698,12977.268039
-3770846.8,3592,13123.649691
-4189508.2,3600,13273.650778
-3771833.8,2686,13387.731903
-2741227.2,2401,13491.762546
-4640212.0,3593,13638.120347
-997064.6,1013,13693.161379
-4042076.0,3589,13839.135527
-2191349.8,1816,13922.580102
-2724920.2,2300,14023.367402
-2365831.2,2035,14114.495251
-2815084.8,2458,14220.431762
-3352889.2,3594,14367.002599
-5771462.5,3603,14513.96234
-4514407.0,3599,14660.523947
-4198464.5,3181,14792.099973
-3885409.5,3594,14938.347266
-3352614.8,3590,15084.636099
-4075456.8,3596,15231.248979
-3371000.2,3589,15377.519652
-4414051.0,3590,15523.7932
-3604460.0,3590,15669.933688
-1293424.6,1177,15730.80331
-4332550.5,3594,15877.327833
-3835621.2,3600,16023.928674
-1295231.5,1066,16080.963874
-4434746.0,3587,16228.497375
-4012251.2,3591,16377.032296
-2840996.8,2068,16469.091909
-1028995.06,777,16515.774812
-4308182.0,3590,16661.715853
-3887236.0,3592,16808.444499
-5245085.0,3601,16954.986723
-3466973.8,3589,17100.993698
-3790823.5,3595,17247.263765
-4682718.5,3595,17393.775468
-1314578.6,1469,17465.887375
-4409095.0,3594,17612.959653
-2469151.2,2047,17704.754262
-4253019.0,3595,17851.655246
-2275889.2,2024,17942.453487
-1347523.5,1054,17999.188525
-4245571.0,3593,18145.931289
-4110084.2,3590,18292.768684
-4326822.5,3590,18439.498847
-1815110.6,1616,18515.963109
-2732623.0,2019,18606.692708
-5435700.0,3598,18753.777249
-2241236.5,1944,18841.73777
-4000044.8,3588,18990.71647
-1067024.2,1079,19049.705679
-3348821.8,3594,19197.205824
-3526444.0,3588,19345.277425
-3725411.8,3588,19492.341954
-4657733.5,3595,19639.685714
-3206773.8,3590,19786.661493
-3301262.0,2496,19894.4223
-1951386.0,1506,19966.952411
-2753107.2,2382,20071.610732
-4395045.5,3593,20218.64694
-3691609.0,3589,20365.502993
-2909715.5,2053,20457.487358
-3862520.0,3591,20604.217799
-1844246.6,1452,20674.979672
-4357180.5,3599,20822.13453
-4950971.5,3593,20969.546286
-1924416.8,1157,21029.888445
-4862162.5,3593,21176.763551
-3980767.5,3589,21323.597612
-4509674.5,3593,21470.451615
-4266437.0,3599,21617.443581
-3239823.8,3594,21764.368867
-3667474.0,3587,21911.057204
-3540774.8,3591,22057.718894
-3979453.0,3590,22204.111929
-4335635.0,3589,22350.95414
-4704320.0,3592,22497.624242
-5592509.5,3595,22644.403182
-4469170.5,3594,22791.333917
-4502488.0,3589,22938.109747
-3757205.8,3589,23084.793385
-4827337.0,3589,23231.262287
-4049684.0,3591,23377.876885
-4579957.5,3593,23524.848406
-4091595.5,3592,23671.419892
-3591017.0,3589,23818.124097
-3541390.8,3587,23964.850684
-5053217.0,3594,24111.710922
-3674964.8,3590,24258.611531
-5192386.0,3593,24405.15716
-3759465.0,3591,24551.950471
-4087255.8,3589,24698.309231
-4206792.0,3591,24845.150403
-1924808.1,1594,24920.823103
-3713994.5,3592,25067.666409
-2974405.8,3588,25214.083149
-4744322.5,3592,25360.878634
-3374848.2,3587,25507.518095
-2410275.8,2028,25598.524182
-3568288.0,3591,25745.216737
-4905369.5,3600,25892.343973
-1840389.5,1508,25965.044657
-3688194.0,3595,26111.826187
-4888348.5,3597,26258.953913
-3173396.0,3600,26405.898547
-3470485.8,3591,26552.528858
-6133718.5,3592,26699.170388
-4057830.8,3600,26846.167156
-3480135.2,3589,26992.650461
-3314573.5,3593,27141.593309
-841944.1,526,27180.074218
-6564118.5,3599,27328.509256
-3149788.0,2314,27430.262612
-3786814.8,3596,27578.77477
