,0
0,-2.3995736464588693
1,-2.4076921068853308
2,-2.4265885240766223
3,-2.455686097639034
4,-2.4946979721320406
5,-2.5436800178278656
6,-2.602739533438196
7,-2.6716685388130883
8,-2.750066244983154
9,-2.8374636758046594
10,-2.933312820758275
11,-3.036995229524478
12,-3.1478571321003495
13,-3.2651921700654474
14,-3.385737297387621
15,-3.501761068071522
16,-3.604539775616242
17,-3.6851768574957626
18,-3.734993044023625
19,-3.745063227371985
20,-3.706005787692649
21,-3.6084666763419824
22,-3.443200530172814
23,-3.2010964331424385
24,-2.8731932085221663
25,-2.4506971962147923
26,-1.925290440184327
27,-1.2931262709197664
28,-0.5524649154116601
29,-0.41577599597743314
30,-1.394520716085081
31,-2.5060810219105387
32,-3.759659001755192
33,-4.950258938728606
34,-3.386173206653151
35,-1.652819979180252
36,-0.38910998205178043
37,-2.485273052887993
38,-4.773812673975723
39,-2.878802281046606
40,-0.202879512708254
41,-2.83496756491487
42,-4.208271055675661
43,-0.8956341790521953
44,-2.78826036281453
45,-3.6089496121890092
46,-0.531629254703072
47,-4.74351609793419
48,-0.9775899749738384
49,-3.8717096649873164
50,-1.3811789779153867
51,-3.9565122055711566
52,-0.812114853907962
53,-5.029809757737855
54,-0.9449824986834077
55,-3.074122058512895
56,-3.540547399304144
57,-0.2319792344668179
58,-3.0233883714576715
59,-4.385109988035944
60,-1.8615711661526055
61,-0.6045764777104936
62,-2.5945426503565434
63,-4.315083163623214
64,-4.4533412001065145
65,-3.2811909527124805
66,-2.3838891119856056
67,-1.7627524104791719
68,-1.418968009482916
69,-1.3535638844583127
70,-1.5675500329962435
71,-2.0620186225579107
72,-2.8379782766265165
73,-3.896291814857391
74,-4.9774489715855905
75,-3.3460112229348224
76,-1.4287286451040009
77,-0.9695060776264929
78,-3.448914735081228
79,-3.947520348165772
80,-0.8779559067579755
81,-2.6117248821194927
82,-3.8617986969957463
83,-0.17635682381540888
84,-4.364424615922982
85,-1.1540516834567054
86,-3.6726652081069178
87,-1.2888666350770541
88,-4.206766488418564
89,-0.30155318538971354
90,-4.346488399586165
91,-2.2448216377280823
92,-1.6205881615469828
93,-4.82281834254766
94,-2.985348642049387
95,-0.584404291278085
96,-2.71481617559736
97,-4.763030834976936
98,-4.849717874521363
99,-3.5640630224960175
100,-2.5769005471506516
101,-1.891343490972998
102,-1.5171780588136277
103,-1.4488084530377425
104,-1.6210926237697785
105,-2.069006708681902
106,-2.8268018070097183
107,-3.888177487081566
108,-5.248325315432509
109,-6.227263762197669
110,-4.412859256805993
111,-2.3702972688749284
112,-3.6856372643963553
113,-6.508032646734595
114,-4.135365308970016
115,-3.146930570438999
116,-6.821921028744321
117,-3.3207721790188245
118,-5.1989137429445105
119,-4.544732926975459
120,-4.764667744579885
121,-4.615662201112535
122,-5.50071774216979
123,-3.566978027692434
124,-7.419496772490549
125,-3.9390478773110322
126,-4.573931515475261
127,-7.575421467411735
128,-4.955980889540061
129,-3.413730533729007
130,-5.17293858632069
131,-7.034477642612535
132,-7.226193632724122
133,-6.095142680281617
134,-5.286652371013025
135,-4.802476897133579
136,-4.619784552487609
137,-4.6897429763849425
138,-4.995084322214312
139,-5.572226650103538
140,-6.457142287613682
141,-7.660019476107672
142,-8.524791021369607
143,-6.959927642945048
144,-5.392369316956588
145,-5.956520326274413
146,-8.464229927788539
147,-7.4398803966454
148,-5.736926842770629
149,-8.587121098361003
150,-7.261967443607233
151,-7.077027546487207
152,-8.787047068823114
153,-6.822666438783587
154,-9.25155555102193
155,-7.38056249946713
156,-8.653097874700235
157,-8.933550501180413
158,-7.4999236168480685
159,-10.230237203623222
160,-9.108152052706403
161,-7.976346216649359
162,-9.574863308376539
163,-11.80474962420674
164,-10.446356097948446
165,-9.784239779007793
166,-10.007100312300569
167,-10.902465526025638
168,-12.025482645852245
169,-13.121605209274051
170,-14.086122428563815
171,-14.883412552694152
172,-15.528855820623646
173,-16.10638828182479
174,-16.800110112829042
175,-17.86695568337185
176,-19.4771248030953
177,-21.521032792469516
178,-20.679245819720148
179,-20.66463155310997
180,-22.231326188966413
181,-23.163563305772847
182,-22.51021681451452
183,-24.261941302841706
184,-23.737525971978734
185,-24.30890999835076
186,-24.413027307461903
187,-24.4805971009557
188,-24.02091364659092
189,-24.463400140677738
190,-22.72939891027248
191,-22.75384912992613
192,-21.396582525273388
193,-19.315975075064387
194,-18.15631029362212
195,-17.44248095095746
196,-14.268296588939101
197,-11.421887562103455
198,-8.822056826220498
199,-6.766620565255927
200,-9.621478623364414
201,-12.549196477912869
202,-15.448816515405573
203,-18.255147311333545
204,-20.917839504532424
205,-23.40336331004357
206,-25.701977774991562
207,-27.834381532423667
208,-29.92237463429621
209,-32.36698657734916
210,-35.72523189086883
211,-39.87464112820471
212,-40.50265144434605
213,-40.119114529013764
214,-44.006057281821505
215,-48.23449602774744
216,-47.36293014745704
217,-49.76839361622353
218,-52.42708672200081
219,-52.208164744805224
220,-55.28108054207766
221,-54.49717454822804
222,-56.53349161618556
223,-55.831704977391645
224,-57.62235775792487
225,-56.436895796403995
226,-56.92289808375216
227,-56.88929068872491
228,-56.11332797936704
229,-56.148168065789164
230,-56.17642168273091
231,-55.04950463027621
232,-54.30661088094301
233,-53.77753016719178
234,-53.32381076013069
235,-52.851058110650975
236,-52.30303381006026
237,-51.65178945283295
238,-50.88973756494593
239,-50.02477443816332
240,-49.0780892455777
241,-48.08411207666518
242,-47.09156932170257
243,-46.1641998846229
244,-45.379185977949874
245,-44.82131736635068
246,-43.64599717354496
247,-42.26804658180478
248,-41.326542283095144
249,-40.36961955344028
250,-38.65407589601783
251,-37.728924209682965
252,-35.97861862391379
253,-34.64078501649629
254,-32.988162389274834
255,-31.533427798606873
256,-29.648999510950212
257,-28.509161504641085
258,-26.19401226307386
259,-24.642347505914312
260,-23.126555586513817
261,-20.89695006495519
262,-19.131613927430706
263,-17.708625228061514
264,-17.207941842977068
265,-18.2061353733352
266,-19.33306837001777
267,-20.511362466124655
268,-21.673330033927957
269,-22.76546303035628
270,-23.751046639179123
271,-24.612008329532358
272,-25.350919127259402
273,-25.99351909750022
274,-26.591457339025887
275,-27.22368165106252
276,-27.993256709898006
277,-28.41120900958184
278,-28.136131285398342
279,-28.19572975155937
280,-28.841586572260546
281,-28.980434689719814
282,-28.576871618540356
283,-29.33356578777374
284,-28.984075357209868
285,-29.061536716099482
286,-29.40818386121651
287,-29.095951298447503
288,-29.453339557334257
289,-29.35767051778979
290,-29.09326645102027
291,-30.238852583467818
292,-28.918372387595873
293,-29.11494722786197
294,-30.381831455066788
295,-28.96520717863551
296,-28.4037795136624
297,-28.712355281525987
298,-29.57044162449222
299,-30.133130298136734
300,-29.2692154768884
301,-28.64228002308083
302,-28.21927266122708
303,-27.98065783350566
304,-27.951261821275256
305,-28.21673099442892
306,-28.868377785543935
307,-29.922271268528238
308,-30.698280771757357
309,-29.31188249685
310,-27.831745461789254
311,-28.07636707753452
312,-30.422278709284264
313,-31.10876097276158
314,-29.5965711556658
315,-31.01624969743564
316,-32.16786673448098
317,-31.197069571231278
318,-33.62322189451318
319,-32.36064985624414
320,-34.128714961854016
321,-33.4100441813909
322,-35.378329481428935
323,-34.39982969657642
324,-35.650335000077256
325,-35.89064819021347
326,-35.87130172033659
327,-36.97523992714878
328,-37.56611528252381
329,-37.38361205160168
330,-37.76920141584848
331,-38.491135123221135
332,-39.35121666024915
333,-40.02033927974756
334,-40.128878628731044
335,-40.38035609831309
336,-40.723778875386444
337,-41.13041782161718
338,-41.592585579987265
339,-42.12070799143032
340,-42.739727203540355
341,-43.00209501524175
342,-43.07258184385434
343,-43.262599736636545
344,-43.658406101052876
345,-44.345743999774456
346,-44.75705282255585
347,-44.756853298443076
348,-45.26272128482937
349,-45.845401878894705
350,-45.8108935727785
351,-46.56550482451125
352,-46.5396005327701
353,-47.0955167655646
354,-47.207963860742794
355,-47.809980991581654
356,-47.80171117336775
357,-48.52676086404262
358,-48.48668118200139
359,-48.77124159682508
360,-49.45786365345307
361,-49.42449182635343
362,-49.59178066438781
363,-49.97258325368769
364,-50.48074731981109
365,-50.713343792024205
366,-50.802988676580284
367,-50.97212544262314
368,-51.184895231181
369,-51.41583397711419
370,-51.64936548732239
371,-51.87905923308489
372,-52.10686214550343
373,-52.34237995546094
374,-52.602191007190825
375,-52.90911762471124
376,-53.291352209884195
377,-53.294929701989474
378,-53.32819199097693
379,-53.48821506853534
380,-53.82599219289989
381,-53.999842785779364
382,-53.96333926899386
383,-54.22233045492591
384,-54.42036788963874
385,-54.38070803305333
386,-54.79270393388339
387,-54.635034711940584
388,-54.91621455249912
389,-54.859163255728035
390,-55.12450561181298
391,-55.02260264519187
392,-55.420175240764905
393,-55.17793285368939
394,-55.33428423245098
395,-55.44977522459865
396,-55.3332158528907
397,-55.46765155975275
398,-55.64335650016936
399,-55.4659696827819
400,-55.442492757938695
401,-55.52907637602122
402,-55.68666531737054
403,-55.610470517271565
404,-55.48385385398447
405,-55.40300325896717
406,-55.347826091080364
407,-55.30243915092209
408,-55.25504106292892
409,-55.19772498524803
410,-55.12627315159877
411,-55.03995857917689
412,-54.94136558635889
413,-54.836229868197
414,-54.733290197695304
415,-54.64413712681857
416,-54.58303911850649
417,-54.566723066841234
418,-54.35555883243637
419,-54.078656549273596
420,-53.870128281554344
421,-53.75732517151815
422,-53.76897971050554
423,-53.37201006566697
424,-53.105933360753966
425,-53.025774781168344
426,-52.763711015979396
427,-52.42367720635696
428,-52.35048082149082
429,-51.96229924973589
430,-51.690642134818134
431,-51.5179377354677
432,-51.08447883334362
433,-51.00881492440139
434,-50.46774624441684
435,-50.392094057663556
436,-49.81357674788626
437,-49.660635214335585
438,-49.13023860479862
439,-48.840643452667166
440,-48.45908420801182
441,-47.990324472862056
442,-47.81486809103259
443,-47.552240635558704
444,-47.9223483256459
445,-48.509773202952886
446,-48.65824019292933
447,-48.97066642238603
448,-49.4389816514237
449,-49.801121094309664
450,-49.99089888360123
451,-50.29151474662781
452,-50.681125813442804
453,-51.13929650418391
454,-51.324693425096676
455,-51.51761239186752
456,-51.75945544841373
457,-52.03678786025097
458,-52.33759515121068
459,-52.651301002082384
460,-52.96874640240403
461,-53.28214084197965
462,-53.45297930328218
463,-53.619287626905326
464,-53.79140437029002
465,-53.965811866032624
466,-54.13997410414436
467,-54.31227898896097
468,-54.48197876207446
469,-54.649130295182715
470,-54.81453620247893
471,-54.97968707352963
472,-55.14670452231172
473,-55.31828455315442
474,-55.462774482031364
475,-55.48806249131373
476,-55.50668655742137
477,-55.52343218191851
478,-55.54347144229477
479,-55.57232323797757
480,-55.61580734273423
481,-55.67998916550507
482,-55.7711118915168
483,-55.89551358429585
484,-55.99330051946943
485,-55.845047392670125
486,-55.72821975531652
487,-55.65007585132439
488,-55.61787089523807
489,-55.63877076963692
490,-55.719768039396264
491,-55.709375165937765
492,-55.45236017802875
493,-55.25399012848894
494,-55.12278772524907
495,-55.06725052271869
496,-55.09564587785824
497,-55.0088544069264
498,-54.64578480404577
499,-54.36528299487372
500,-54.177977986420984
501,-54.094190732544675
502,-54.12353068633635
503,-53.741072083638215
504,-53.317167178738615
505,-53.00439755194971
506,-52.81609023417046
507,-52.764756601408166
508,-52.54250513540994
509,-51.97183526975634
510,-51.53082658484608
511,-51.23807825494212
512,-51.1113919680856
513,-51.086474295221365
514,-50.351743266241556
515,-49.765523617808576
516,-49.355785374010594
517,-49.15051675615833
518,-49.174345199092386
519,-48.52745720038318
520,-47.74924572348803
521,-47.17987859877804
522,-46.87085600150772
523,-46.87031661385265
524,-46.685506127047326
525,-45.6102137977775
526,-44.76342923290967
527,-44.26233268311594
528,-44.24250789297896
529,-44.78684193158854
530,-43.950754937083396
531,-42.530434964560754
532,-41.399943722821654
533,-41.40086946744768
534,-42.96673179194173
535,-45.050207387408506
536,-44.53354669649493
537,-44.290982449019516
538,-45.101633468406575
539,-46.68872743305569
540,-48.62869619044081
541,-50.72054999320111
542,-51.81638320718516
543,-52.69117613365957
544,-53.91752059410098
545,-55.4175937248836
546,-57.11937722011757
547,-58.96622083690895
548,-60.9167265021538
549,-62.19614063251964
550,-63.5598315663594
551,-65.0783912880835
552,-66.72452061084041
553,-68.47492371724604
554,-70.31047309545478
555,-72.2158268570141
556,-74.07743690255693
557,-75.63571476891501
558,-77.28769907572074
559,-79.02183959043239
560,-80.8277448812553
561,-82.69615268174303
562,-84.61887349506938
563,-86.58872816732057
564,-88.59948569233596
565,-90.64579943056248
566,-92.47667800792843
567,-94.35210504626086
568,-96.27448534951324
569,-98.23924717006835
570,-100.24236830829534
571,-102.28027980107457
572,-104.3497708777482
573,-106.44790484964744
574,-108.5719522464685
575,-110.71934396570411
576,-112.88764387921252
577,-115.07453761914579
578,-117.22220952849727
579,-119.332629583831
580,-121.46577503644122
581,-123.61911735182433
582,-125.79030401611425
583,-127.97714134860936
584,-130.1775693979194
585,-132.3896315759827
586,-134.61144252905416
587,-136.84115754205527
588,-139.07694589048478
589,-141.31697359702764
590,-143.55939506302792
591,-145.80234864770455
592,-148.04395756382996
593,-150.28233474162573
594,-152.5155894028029
595,-154.74183320195363
596,-156.9591849693113
597,-159.165772572185
598,-161.35972963446233
599,-163.53918848773958
600,-165.7022705154705
601,-167.84707239024019
602,-169.97164787514248
603,-172.07399445496938
604,-174.15204624577387
605,-176.20367453467202
606,-178.22669704792446
607,-180.21889334449008
608,-182.17802675935457
609,-184.1018722101398
610,-185.98824756232824
611,-187.83504571642862
612,-189.6402645530678
613,-191.40202958975675
614,-193.1186247271047
615,-194.78850490844843
616,-196.41029317090795
617,-197.98276898811622
618,-199.50484805262818
619,-200.9755522331265
620,-202.39397311625032
621,-203.68607893484057
622,-204.90823515560575
623,-206.0717468047743
624,-207.1758843912885
625,-208.2198304450361
626,-209.2026637140518
627,-210.12335447245715
628,-210.91968429276156
629,-211.59402650722478
630,-212.20043508160694
631,-212.73767311351043
632,-213.20445265142789
633,-213.59305241065172
634,-213.77907050670544
635,-213.8888903151547
636,-213.92134073766857
637,-213.8753249787629
638,-213.68231938153954
639,-213.32414500614414
640,-212.88256436289345
641,-212.35687032524248
642,-211.6756712152767
643,-210.8130940237842
644,-209.86240024729474
645,-208.82335085130794
646,-207.5454632001872
647,-206.1471599253041
648,-204.65758995716806
649,-202.96703134643263
650,-201.10081200599925
651,-199.1411861267583
652,-196.97409777732443
653,-194.6219210212783
654,-192.17508666128248
655,-189.47164284591923
656,-186.6178865753097
657,-183.64513702443097
658,-180.37234379020794
659,-177.0032295290493
660,-173.39507573395372
661,-171.4407448861442
662,-174.94267487976
663,-178.37047709746463
664,-181.9261774867239
665,-185.36740124923077
666,-188.92421606730224
667,-192.4150685083164
668,-195.97464842248993
669,-199.49807632171886
670,-203.0627320981556
671,-206.60207347383465
672,-210.17497972986047
673,-213.71390887554048
674,-217.2993544942476
675,-220.82178868032372
676,-224.4254367197022
677,-227.9153802560872
678,-231.52859744376002
679,-234.98591551634834
680,-238.54079032261365
681,-242.0264118971208
682,-245.5063960431346
683,-249.0320853516705
684,-252.4198647029479
685,-255.89936948604483
686,-259.2781323213786
687,-262.6363376264146
688,-266.0752043493437
689,-269.29731518530986
690,-272.58199389691737
691,-275.88634947003436
692,-278.9915280946277
693,-282.1536787891566
694,-285.3159839447175
695,-288.2548601184012
696,-291.23873567990165
697,-294.27181153913506
698,-296.97959836446597
699,-299.72008897945307
700,-302.5076531655094
701,-305.0747911363286
702,-307.4902191248923
703,-309.94871745029644
704,-312.49894159222646
705,-314.50698348219225
706,-316.50261100510363
707,-318.63812332911067
708,-321.32121679972056
709,-322.9803910515382
710,-331.747395356714
711,-349.48964280864124
712,-367.6880488294428
713,-385.8357849533689
714,-404.15889497383597
715,-422.951218823436
716,-442.1214700699059
717,-461.62572922007695
718,-481.33078366220263
719,-501.24208274698003
720,-521.4871744548117
721,-542.0460610798632
722,-562.9043626997521
723,-584.0512163234085
724,-605.4196054127522
725,-627.024590397726
726,-648.913348022917
727,-671.0773880355731
728,-693.5093301178042
729,-716.2025809872156
730,-739.151106151481
731,-762.3483043122887
732,-785.744117214817
733,-809.3862669944491
734,-833.2687512615598
735,-857.3858120893152
736,-881.7318742541465
737,-906.301497175968
738,-931.089338731114
739,-956.0901277514807
740,-981.2986458697999
741,-1046.761362963448
742,-1133.2329405468583
743,-1222.9361838520979
744,-1304.6988962821133
745,-1389.4546943090313
746,-1466.5298338134291
747,-1546.363970445377
748,-1623.7466684511303
749,-1693.7541456276058
750,-1766.302700636512
751,-1831.753810203209
752,-1899.5547719050555
753,-1960.5268394751492
754,-2023.6864753103744
755,-2080.2701905902986
756,-2134.7910673079723
757,-2191.2125799735077
758,-2241.496847850622
759,-2289.7886392512946
760,-2339.7831188672876
761,-2384.0150694252743
762,-2426.3351690144773
763,-2466.7694471950535
764,-2505.3448090353613
765,-2542.089049701329
766,-2577.030879721654
767,-2610.1999795946376
768,-2641.627090183415
769,-2671.344128473164
770,-2699.3843501851597
771,-2723.1244054389845
772,-2747.927305775377
773,-2771.1442836117812
774,-2790.457838480671
775,-2810.5837290993795
776,-2829.2254810783456
777,-2844.253604404593
778,-2859.9646736815807
779,-2872.3094672751176
780,-2885.1942816804885
781,-2894.9111629503436
782,-2905.0850622697603
783,-2912.2268239735754
784,-2918.2456513761936
785,-2924.4427418225487
786,-2927.9557021400497
787,-2930.3854991751405
788,-2932.842948645619
789,-2932.823533137551
790,-2931.754379173738
791,-2929.6713677888893
792,-2927.417145352018
793,-2922.911305018063
794,-2917.3844001339858
795,-2910.9775780938467
796,-2922.0993967430245
797,-2946.7084909262135
798,-2970.576804919025
799,-2993.1484521231782
800,-3014.8828938474753
801,-3035.7101355708596
802,-3055.5965122696575
803,-3074.520640452522
804,-3092.466153453874
805,-3109.156694318103
806,-3124.939785976261
807,-3139.7175413356294
808,-3153.4740904627465
809,-3166.1947601699376
810,-3177.8655839563808
811,-3187.7918128159404
812,-3197.1679388820876
813,-3205.457940515668
814,-3212.647385830564
815,-3217.7887185831146
816,-3222.572173410934
817,-3226.214587640004
818,-3228.7011716334187
819,-3228.731416485261
820,-3228.6920677704147
821,-3227.4535740383876
822,-3223.460480778824
823,-3219.5992477785726
824,-3212.8319682573047
825,-3206.27907092942
826,-3198.451196815757
827,-3187.32055301111
828,-3174.6995107405032
829,-3162.552427580835
830,-3146.855530429205
831,-3131.8037928820595
832,-3112.933076957681
833,-3092.420432725928
834,-3072.761983467016
835,-3048.922053206901
836,-3023.351563468705
837,-2996.018691383435
838,-2966.8922000751872
839,-2935.9414284058403
840,-2903.136270870439
841,-2868.447168541375
842,-2831.8451067890346
843,-2793.3016149424034
844,-2752.788774120446
845,-2710.279235839626
846,-2665.74625097784
847,-2615.2986441063267
848,-2566.49199064417
849,-2515.5801312721096
850,-2458.353087169541
851,-2402.9948643056614
852,-2341.077727734493
853,-2281.166545043095
854,-2214.439636683115
855,-2149.8805485754538
856,-2078.240826553522
857,-2008.9519601630248
858,-1932.314951169528
859,-1858.2291061038582
860,-1776.5312681112973
861,-1697.597711246744
862,-1610.799405811647
863,-1526.9859796559617
864,-1435.0754532672227
865,-1346.3712938723525
866,-1302.2518700124706
867,-1275.4903848990284
868,-1248.825907602858
869,-1222.2634763622996
870,-1195.8081427927184
871,-1169.4634950720852
872,-1143.1917576348465
873,-1117.0394140911094
874,-1091.0113853091125
875,-1065.1126273603677
876,-1039.3481465059326
877,-1013.698833499677
878,-988.1628202568781
879,-962.7722621113312
880,-937.5320656253967
881,-912.4472162365968
882,-887.5227953853823
883,-862.733281031713
884,-838.0768928147348
885,-813.5906046797917
886,-789.2793712308785
887,-765.1482937350478
888,-741.2026585343199
889,-717.4453746522365
890,-693.7999572937074
891,-670.3473012975336
892,-647.0925386429763
893,-624.0411115863687
894,-601.1988628160127
895,-578.5721498449387
896,-556.1565009701708
897,-533.8494461468798
898,-511.7606987744817
899,-489.8965398710543
900,-468.2641415229934
901,-446.8718723749919
902,-425.7297132123417
903,-404.8498226603593
904,-384.07827030275143
905,-363.4828203729214
906,-343.13826256925665
907,-323.0572598424472
908,-303.2571846248021
909,-283.76262597393634
910,-264.6091750723628
911,-245.84869047460091
912,-226.8068995576993
913,-208.02485254866946
914,-189.53305318654404
915,-171.397408178693
916,-153.76829278596705
917,-136.94147722211832
918,-121.16521549376758
919,-105.514999280528
920,-88.18311044402759
921,-70.88523213465417
922,-53.56776807355194
923,-37.28600347824087
924,-22.52033071377797
925,-7.894394886428641
926,-17.480671438635387
927,-34.33536317683253
928,-51.743647984939784
929,-70.14738315084566
930,-89.28518905011056
931,-108.98202264033552
932,-129.1471542232901
933,-149.7344767937243
934,-170.3164630931996
935,-191.26598126789006
936,-212.7037837031692
937,-234.59061064502788
938,-256.89850781301914
939,-279.6070718139443
940,-302.64168720526766
941,-325.87060027328937
942,-349.5067379634462
943,-373.53280455919327
944,-397.93447782025237
945,-422.699627701762
946,-447.7839140826984
947,-473.09558316147974
948,-498.763436489636
949,-524.776414938865
950,-551.1245469301161
951,-577.7987159245635
952,-604.7205617307644
953,-631.9191012476637
954,-659.431296056621
955,-687.2484496941742
956,-715.3623312075763
957,-743.730296129604
958,-772.3313230106573
959,-801.2141097765909
960,-830.3705839840093
961,-859.7929068987769
962,-889.4380072392546
963,-919.300892456564
964,-949.4125441773945
965,-979.7650690708451
966,-1010.3506964631416
967,-1063.448674503023
968,-1181.4717648332212
969,-1288.9844814055373
970,-1400.363544550612
971,-1501.4704338724555
972,-1606.1443135507382
973,-1700.8405427442656
974,-1798.8206309028703
975,-1887.148529261084
976,-1978.5066597656619
977,-2060.549945299326
978,-2139.6083894798453
979,-2221.2909441694533
980,-2294.250434140711
981,-2364.322179786349
982,-2431.541529037762
983,-2495.946404193122
984,-2557.577212589452
985,-2616.4767877232625
986,-2672.690371088156
987,-2726.2656468895
988,-2777.2528429982567
989,-2825.704913192421
990,-2871.6778181009777
991,-2911.3549647119717
992,-2952.5792388757354
993,-2991.4883206267045
994,-3024.5851522964686
995,-3059.0335678325773
996,-3088.002541912142
997,-3115.083975053348
998,-3143.1627266124965
999,-3166.299127967843
1000,-3187.6253189852705
1001,-3207.1655987666463
1002,-3227.349015823606
1003,-3243.1978586314503
1004,-3257.340556651616
1005,-3269.80151480275
1006,-3280.6053461889924
1007,-3289.777152668767
1008,-3297.3430719349526
1009,-3303.3315026139335
1010,-3307.7761521155007
1011,-3310.724891571375
1012,-3312.272975745036
1013,-3311.072738758697
1014,-3310.32603846157
1015,-3339.8785472501954
1016,-3375.1189640308253
1017,-3409.2886155154793
1018,-3441.5089948202713
1019,-3473.1978413672578
1020,-3503.791534830166
1021,-3533.2402155144528
1022,-3561.512703735447
1023,-3588.1695124450694
1024,-3613.98774851885
1025,-3638.595841379237
1026,-3661.9715559365486
1027,-3684.128207085743
1028,-3704.98597654978
1029,-3724.5705358814303
1030,-3742.8615602367913
1031,-3759.8393310003817
1032,-3776.016206359325
1033,-3790.3602525879396
1034,-3803.343518011215
1035,-3814.945277885974
1036,-3825.144646227725
1037,-3833.9204850329334
1038,-3841.251343221051
1039,-3847.115418958817
1040,-3851.4905415500243
1041,-3854.3541663178166
1042,-3855.6833785490685
1043,-3855.454902999621
1044,-3853.6451181067105
1045,-3850.2300710639547
1046,-3843.1664447855896
1047,-3836.3093253699712
1048,-3827.7670929677315
1049,-3815.1591927944737
1050,-3802.9895095439038
1051,-3789.0529283840183
1052,-3770.548870169233
1053,-3749.9586062449966
1054,-3730.1439380040865
1055,-3705.308271102343
1056,-3678.2370281770754
1057,-3648.877522146832
1058,-3620.6510737478684
1059,-3586.6947060739526
1060,-3550.30770312566
1061,-3507.531499612513
1062,-3465.9687629609207
