,0
0,-2.3995756665738703
1,-3.527405770239258
2,-4.682273810028361
3,-4.14257568308601
4,-2.9408601071539398
5,-1.7152271628246076
6,-0.4653913853521285
7,-0.8341501167339067
8,-2.135841524830079
9,-3.454832288037757
10,-4.827554302734647
11,-3.887478565964965
12,-2.5688130517437107
13,-1.2774868174731773
14,-0.9571635340475763
15,-2.6293633441623094
16,-4.407330307628731
17,-6.262979018266
18,-5.227462771155569
19,-4.152435716580012
20,-3.4468770062878464
21,-4.535898705788653
22,-6.432363740622799
23,-8.416500868066674
24,-8.040821477591805
25,-6.877893058418801
26,-6.2349817854290475
27,-6.9994185895485606
28,-8.59112023076965
29,-10.394170447452714
30,-9.063780217527274
31,-8.02350959735788
32,-8.002494820963785
33,-9.205805166216027
34,-10.988859039599802
35,-11.094894074789512
36,-10.271477528268676
37,-10.294413499722527
38,-11.336365470188868
39,-13.020147468274578
40,-13.499788176676876
41,-12.851527582914839
42,-12.91461344358585
43,-13.764289726190347
44,-15.175864128950007
45,-15.126491236527375
46,-14.55208154704653
47,-14.685937915572264
48,-15.534975774664439
49,-16.921349679928884
50,-16.167326614682622
51,-16.009762881934563
52,-16.572536155067127
53,-17.76612394404581
54,-18.219685496205027
55,-18.011095857995628
56,-18.432749216602726
57,-19.443266514893967
58,-20.54145966781938
59,-20.239573906708205
60,-20.462642858170046
61,-21.205708750334654
62,-22.389997234222427
63,-22.004237648291394
64,-22.02358983903749
65,-22.54399996153314
66,-23.52162537885254
67,-23.249572013904892
68,-23.22385185187273
69,-23.713086707730753
70,-24.679206242829736
71,-24.499971428665706
72,-24.60348671756382
73,-25.210919728419334
74,-26.276946775504314
75,-26.11315628186995
76,-26.381946463540494
77,-27.105258570757826
78,-27.98055022389576
79,-27.903370396749622
80,-28.24413168290791
81,-28.985356295885715
82,-29.467464730019145
83,-29.429052530793847
84,-29.781947927432668
85,-30.509853234784373
86,-30.538847902888943
87,-30.553381420807256
88,-30.958875727257873
89,-31.596671953109144
90,-31.358347299870616
91,-31.51982934968394
92,-32.07595203719814
93,-32.29546313072885
94,-32.27837408418013
95,-32.65936420822277
96,-33.40918652739359
97,-33.25432497441079
98,-33.487728464607436
99,-34.09893132884417
100,-34.405023921337516
101,-34.4934253512864
102,-34.94349286474193
103,-35.620672689865266
104,-35.54669036915566
105,-35.81551168028058
106,-36.416472471230186
107,-36.52638114546094
108,-36.61133768922568
109,-37.02409407144764
110,-37.378530974529205
111,-37.294453966883715
112,-37.53602661792435
113,-38.09442426633689
114,-37.869521195932634
115,-37.96265846981095
116,-38.37522823911022
117,-38.35747471339268
118,-38.3247111603832
119,-38.61207499513128
120,-38.78070921995658
121,-38.64158369324256
122,-38.82145608556463
123,-39.156855391770335
124,-38.927188358599565
125,-39.01398892334121
126,-39.411528748360965
127,-39.18986748687906
128,-39.19512915797864
129,-39.510157840881746
130,-39.43374809221853
131,-39.36662916851007
132,-39.607463879524786
133,-39.66000982176439
134,-39.52773772128572
135,-39.70098580710304
136,-39.867390780777995
137,-39.674700820598545
138,-39.783589901441
139,-40.04678486365966
140,-39.79214957351659
141,-39.83286215338184
142,-40.163687895054025
143,-39.84783573751619
144,-39.81355692287429
145,-40.065727276989165
146,-39.81171718400951
147,-39.70070612752062
148,-39.874824213008
149,-39.67356634061277
150,-39.48979619088783
151,-39.59119323182528
152,-39.439126293218294
153,-39.18912386828077
154,-39.22464562265906
155,-39.1202829211285
156,-38.80949520269486
157,-38.78335117841227
158,-38.72266248602283
159,-38.35124297021715
160,-38.26198091922249
161,-38.23726734910251
162,-37.801360918119386
163,-37.64530362877768
164,-37.64997062643147
165,-37.14682661824326
166,-36.92253703584603
167,-36.95427623951957
168,-36.38396242500766
169,-36.092495944247624
170,-36.08053930612188
171,-35.51590220197568
172,-35.630572014741844
173,-36.12714663927141
174,-36.171377158955366
175,-36.3350884234651
176,-36.787614689234275
177,-36.881821060731866
178,-36.9986132888437
179,-37.40554161241228
180,-37.550935990770135
181,-37.61863754588582
182,-37.97814675044493
183,-38.17708419888989
184,-38.19289828701158
185,-38.5024569721366
186,-38.75820337069417
187,-38.718430559919774
188,-38.97463820586859
189,-39.29152994759795
190,-39.191663010278276
191,-39.3904352369697
192,-39.774367357831025
193,-39.60936922450863
194,-39.74620054204069
195,-40.19043458494253
196,-39.969606500424185
197,-40.03961723263883
198,-40.42316545445005
199,-40.27188846245919
200,-40.26941644435323
201,-40.58727107976423
202,-40.51581382900776
203,-40.43341865769556
204,-40.67868817520241
205,-40.699255398463364
206,-40.52755024173968
207,-40.69164321451565
208,-40.81965234244585
209,-40.547715467473076
210,-40.6206462429178
211,-40.87609260096825
212,-40.49159407287721
213,-40.46195559731995
214,-40.80390538141693
215,-40.35990180200507
216,-40.214532870646735
217,-40.45844206647568
218,-40.157362726780036
219,-39.88072156401574
220,-40.01344831248646
221,-39.893647400526056
222,-39.46689512012408
223,-39.471851867983275
224,-39.58456694801565
225,-38.98438623608075
226,-38.83984044880253
227,-39.188962699941456
228,-38.45117733991811
229,-38.12781282965678
230,-38.3441466184898
231,-37.89512587102479
232,-37.352628773088576
233,-37.40351625611721
234,-37.35999052360241
235,-36.54267681658525
236,-36.377458798043186
237,-36.916116242826895
238,-35.749197341898615
239,-35.2856931188431
240,-35.70443716313849
241,-35.07021997774493
242,-34.16967246083938
243,-34.34452325262141
244,-34.69632611744295
245,-33.1406501463962
246,-32.85495981760867
247,-34.28132624665417
248,-32.604155170671284
249,-31.242086886435036
250,-32.969893232774396
251,-33.62378011085383
252,-31.144636442041946
253,-32.78984954174586
254,-36.05801256659849
255,-34.92194804365319
256,-35.38224997422862
