,0
0,-2.399575675682448
1,-3.5279176792505327
2,-4.682714968913965
3,-4.173974113747632
4,-3.1300415951305185
5,-2.2942968790044436
6,-1.829952814988156
7,-3.244517679702958
8,-5.680590987159214
9,-8.274450708442945
10,-10.885526439862877
11,-11.198938730996808
12,-11.26321404849274
13,-11.695378547312474
14,-12.90171647731974
15,-14.977851191886497
16,-17.75482638352894
17,-21.077718363290035
18,-22.749397980532134
19,-25.184328557045177
20,-28.2621978067138
21,-31.733222741612416
22,-35.33831416046228
23,-38.912445711998785
24,-41.247962180805104
25,-43.508883528156844
26,-46.10575217954013
27,-49.191460902611695
28,-52.88669267005979
29,-57.112995715755375
30,-61.08223587448224
31,-65.6963786405615
32,-70.76165272954668
33,-76.05509845501692
34,-81.35480023388953
35,-85.91656874253638
36,-90.16204911550676
37,-94.24942544662633
38,-98.28010228442156
39,-102.42258660744852
40,-106.45195783152889
41,-110.90774451039388
42,-116.01366939528643
43,-121.76674461492753
44,-128.06234733148568
45,-134.32171853401863
46,-140.80030337191508
47,-147.30361842922335
48,-153.7050556506855
49,-159.7262575927844
50,-165.27882589173527
51,-170.45508700639863
52,-175.19041741722134
53,-179.46142141377445
54,-183.1401252000834
55,-186.69194903849075
56,-190.33065842728337
57,-194.2513694237579
58,-198.34023414300592
59,-202.84805166841304
60,-207.76237599589382
61,-212.97167644952413
62,-218.12743096662058
63,-223.22413407192596
64,-228.21568636782538
65,-233.0507425494983
66,-237.50483441890955
67,-241.6356189507889
68,-245.41097321127228
69,-248.82768781852937
70,-251.79399176665584
71,-254.63773018063463
72,-257.58756999920365
73,-260.85692985439573
74,-264.4913636618087
75,-268.7717666236341
76,-273.6996559609821
77,-279.11787942981226
78,-284.8418493607782
79,-290.7997484702688
80,-296.7913129889188
81,-302.53702494039044
82,-308.0437777919694
83,-313.34894050643635
84,-318.4046038257891
85,-323.02403561976917
86,-327.2347026278381
87,-330.9870982196865
88,-334.22663523905146
89,-337.10893063481024
90,-339.87533373647733
91,-342.7434166604254
92,-345.87284618517737
93,-349.6057450196539
94,-354.0710604966911
95,-359.20652422380954
96,-365.00856933437575
97,-371.3652035198589
98,-378.01126509318317
99,-384.6480326398079
100,-391.10284936747144
101,-397.2076618290507
102,-402.8110018008364
103,-408.06469767708666
104,-412.9850792615711
105,-417.45722438595914
106,-421.5303284010637
107,-425.29041291974664
108,-428.8131122573171
109,-432.2880093733185
110,-436.00092216387765
111,-440.16046906225654
112,-444.9037587699733
113,-450.4097656981009
114,-456.66343930143904
115,-463.4712839387867
116,-470.7479295647597
117,-478.24784606861607
118,-485.6020209339917
119,-492.6628429675553
120,-499.3082942577439
121,-505.4460046431898
122,-511.1873257479071
123,-516.5884612273799
124,-521.6012235035885
125,-526.3239739396768
126,-530.9190952579032
127,-535.5242501747734
128,-540.3715310011231
129,-545.6743423098653
130,-551.4873778743747
131,-557.8224793595997
132,-564.6376847058746
133,-571.753856758735
134,-579.0135413436494
135,-586.3021741927082
136,-593.4379819296307
137,-600.3015025594248
138,-606.8710695946174
139,-613.100342382595
140,-619.0059777667286
141,-624.6499285641615
142,-630.0009911509057
143,-635.0723674556134
144,-639.9832790225793
145,-644.8400123559531
146,-649.8110373135094
147,-655.1090561253285
148,-660.8346242607074
149,-667.0365771710083
150,-673.7195387333086
151,-680.7483980056855
152,-687.9876233320618
153,-695.3182110408768
154,-702.5352300486277
155,-709.5063876059895
156,-716.205572301258
157,-722.6112792003348
158,-728.7835478391065
159,-734.8029335391045
160,-740.693503015585
161,-746.542543440594
162,-752.4537728979756
163,-758.4544958391061
164,-764.6010821763502
165,-770.927230937111
166,-777.3844937847664
167,-783.9678079407786
168,-790.6466867764074
169,-797.3377296446984
170,-804.0352055536418
171,-810.70527577846
172,-817.2456367869113
173,-823.6472310386714
174,-829.9191256253283
175,-836.0615130524343
176,-842.1951106899733
177,-848.4186537616149
178,-854.7659410938852
179,-861.3465422405766
180,-868.2066270401656
181,-875.3069145892816
182,-882.6665107669071
183,-890.2326250490391
184,-897.9032033081706
185,-905.677749656078
186,-913.5077599801876
187,-921.3222775753092
188,-929.1549983764097
189,-936.9959275837491
190,-944.8083189693425
191,-952.6299691267252
192,-960.4558698938296
193,-968.276033668408
194,-976.1578421873744
195,-984.1089402430608
196,-992.0960864057361
197,-1000.1465680316461
198,-1008.2558601115327
199,-1016.4315285871485
200,-1024.7482260120742
201,-1033.2323564656326
202,-1041.9052303166688
203,-1050.8414749877875
204,-1060.0655909086083
205,-1069.590733203718
206,-1079.4717815345516
207,-1089.7095490929025
208,-1100.2700300965437
209,-1111.0906930935107
210,-1122.0038241568843
211,-1132.7968533100243
212,-1143.2552609754632
213,-1153.124373149858
214,-1162.2025522036063
215,-1170.41384988523
216,-1177.7642274775608
217,-1184.3758119549689
218,-1190.4726943932974
219,-1196.3049726961228
220,-1202.1725911874487
221,-1208.3932672913893
222,-1215.2119393478097
223,-1222.8323676116672
224,-1231.4118436442982
225,-1240.9819588162181
226,-1251.4981668949758
227,-1262.8552296527262
228,-1274.8333315325276
229,-1287.1647369848583
230,-1299.5555546163594
231,-1311.6722314364793
232,-1323.245678131551
233,-1334.103836422528
234,-1344.1404658238716
235,-1353.3759944081492
236,-1361.9421932265773
237,-1370.0182656540353
238,-1377.857380924906
239,-1385.761486455185
240,-1394.0152471114443
241,-1402.8834028026895
242,-1412.5544135697858
243,-1423.0819540578298
244,-1434.4480467598075
245,-1446.5750368481424
246,-1459.2741365443349
247,-1472.2929760006914
248,-1485.3420660048557
249,-1498.0766048205978
250,-1510.1737767216664
251,-1521.3840301842688
252,-1531.5261427260125
253,-1540.53976038732
254,-1548.4944090238714
255,-1555.5316631020198
256,-1561.8796918447117
257,-1567.8596295080358
258,-1573.8103689096192
259,-1580.0731780328224
260,-1587.004151209981
261,-1594.8693225820864
262,-1603.8176929402543
263,-1613.964014065013
264,-1625.33145144358
265,-1637.83881459013
266,-1651.3649836980046
267,-1665.678501646713
268,-1680.4500394442812
269,-1695.34654228201
270,-1709.9914943888618
271,-1724.0123836977323
272,-1737.1612939629574
273,-1749.287557002384
274,-1760.3393737483916
275,-1770.4063684373625
276,-1779.6595073152278
