,0
0,-2.399575675682448
1,-3.527551959074851
2,-4.684105171815538
3,-4.1522240765889835
4,-2.9738869617611052
5,-1.8023065275212837
6,-0.6576191361723676
7,-1.2037814954371426
8,-2.7720473457315853
9,-4.466848994072206
10,-6.29320684661592
11,-5.891645147229673
12,-5.214347638207084
13,-4.7743613001816385
14,-5.440094255466836
15,-7.402549942153943
16,-9.639319688714636
17,-11.930142868990748
18,-11.467276161304184
19,-11.114171693495493
20,-11.30994959688784
21,-12.363962959106068
22,-13.992723863241114
23,-15.85021336625939
24,-15.776676277429129
25,-15.299792828851496
26,-15.418529234866782
27,-16.26723141121841
28,-17.68833761149363
29,-19.463509713249508
30,-19.09855701412433
31,-19.254537839812308
32,-20.06515037987124
33,-21.48030557053559
34,-23.36016934738954
35,-24.35348807332363
36,-25.03173191665188
37,-26.2710814193589
38,-28.02907705432939
39,-30.21964950003189
40,-31.912541348412503
41,-33.24830227116146
42,-35.05676829114533
43,-37.29738133626208
44,-39.912372334924015
45,-41.970080162063084
46,-43.995255747265844
47,-46.42492256226652
48,-49.22298098167127
49,-52.320035065849964
50,-54.687577851357126
51,-57.43118436582252
52,-60.524420236236686
53,-63.93569876532425
54,-67.14042844815447
55,-70.2842622661822
56,-73.75277258367292
57,-77.51960597668037
58,-81.37554829722757
59,-84.96071122601118
60,-88.84053588858383
61,-92.99189415241759
62,-97.34970674124511
63,-101.37772730523838
64,-105.66918957324094
65,-110.20448211137051
66,-114.96026866488776
67,-119.41570171512546
68,-124.10764754519947
69,-129.02021084675354
70,-134.11230134388984
71,-138.98303039652166
72,-144.06920338815735
73,-149.35787677469182
74,-154.75687573321812
75,-160.03684296650232
76,-165.51485806221478
77,-171.17988893982502
78,-176.8717887905343
79,-182.55342650641154
80,-188.41697738807625
81,-194.45273753783783
82,-200.4260956940979
83,-206.49542500290693
84,-212.73124482866262
85,-219.08916420592396
86,-225.36755661886937
87,-231.8061669158721
88,-238.39732900988
89,-244.99176777023706
90,-251.6343541781361
91,-258.42404471787546
92,-265.33366255525175
93,-272.18073600673915
94,-279.1696638962476
95,-286.29458402211213
96,-293.4168933833091
97,-300.6050978078673
98,-307.924638424749
99,-315.31842329001637
100,-322.7048727523662
101,-330.21789624878863
102,-337.852730546698
103,-345.4448497228181
104,-353.1489609465334
105,-360.97034189361153
106,-368.8012774362053
107,-376.6930720057037
108,-384.6975896360751
109,-392.75087847564816
110,-400.8263056755319
111,-409.0100018292452
112,-417.27124431588766
113,-425.52588869476665
114,-433.8844843268962
115,-442.34101645467797
116,-450.77021843796956
117,-459.2991822742017
118,-467.92471842580414
119,-476.53855239383967
120,-485.2330669682163
121,-494.0202450123077
122,-502.8105616002521
123,-511.665476259819
124,-520.6091862149725
125,-529.5659659082517
126,-538.575788695751
127,-547.6706013357697
128,-556.7844635087241
129,-565.9435085106707
130,-575.183827341657
