,0
0,-2.3995756665738703
1,-3.527341387477669
2,-4.681051962183467
3,-4.146158230091285
4,-2.964423867553757
5,-1.784046424688056
6,-0.6095795571958206
7,-1.0695350873215888
8,-2.4540167455181128
9,-3.819839656995202
10,-5.129364666666816
11,-3.9879105016875367
12,-2.520243571635512
13,-1.4894198060181902
14,-1.482737773507107
15,-3.508853589914315
16,-5.594051312236875
17,-7.687522856873191
18,-6.790813277238438
19,-5.763140370997664
20,-4.996108679898655
21,-5.949987652393475
22,-7.7088909486466815
23,-9.575581731400234
24,-9.100065609349501
25,-7.918393752527939
26,-7.372981794684601
27,-8.471579422271123
28,-10.473267134338897
29,-12.727962541843045
30,-11.923287631770329
31,-11.541133006155764
32,-12.132102351489134
33,-13.70400317582396
34,-15.746189551955226
35,-16.17562246214246
36,-15.800894706884476
37,-16.149111443286685
38,-17.292893950495387
39,-19.003830212948216
40,-19.701038343106415
41,-19.569032920936884
42,-20.12651684824412
43,-21.366211612109808
44,-23.127319035849993
45,-23.759062736593805
46,-24.11569963212044
47,-25.059135569957302
48,-26.529416387042858
49,-28.4031179787501
50,-28.69794116464262
51,-29.47902654933478
52,-30.72938312430667
53,-32.382938548040784
54,-33.491052801600645
55,-34.197850477923964
56,-35.318983464420484
57,-36.816830549090355
58,-38.355895486267706
59,-39.060764058017924
60,-40.13994901473002
61,-41.567733433099534
62,-43.302674718230975
63,-44.079039268341546
64,-45.18309071013144
65,-46.60689093104904
66,-48.31835938266157
67,-49.291344394894246
68,-50.46565369901211
69,-51.93472454832934
70,-53.67223729797175
71,-54.749603085832845
72,-56.02835263655181
73,-57.577354843199586
74,-59.35705618182756
75,-60.49280176926865
76,-61.89174689014917
77,-63.53728922676626
78,-65.24280448368673
79,-66.52635938967471
80,-68.04932531008015
81,-69.79556163135322
82,-71.40441472810085
83,-72.82786213488883
84,-74.46854877148928
85,-76.31190161676761
86,-77.81083696053138
87,-79.36595484682994
88,-81.11826565238303
89,-82.95069312013726
90,-84.43666200491617
91,-86.11179627978308
92,-87.96154948033285
93,-89.61813943743286
94,-91.20006079234882
95,-92.93025420858086
96,-94.74397389843979
97,-96.17461326022863
98,-97.72515945725202
99,-99.38282172619141
100,-100.82377723184888
101,-102.17056061462574
102,-103.61988813979534
103,-105.0784209014702
104,-106.242531588303
105,-107.51472894982561
106,-108.8921673053797
107,-110.0143686091419
108,-111.15474571320036
109,-112.40946670008763
110,-113.59031541185658
111,-114.64227284975692
112,-115.81528774623908
113,-117.06521780007665
114,-118.06270302508482
115,-119.18456933000847
116,-120.42716606199883
117,-121.47347915079482
118,-122.56399538841552
119,-123.77512366970316
120,-124.90525413807018
121,-125.97546217415174
122,-127.16411374367624
123,-128.36824941983096
124,-129.42311026509142
125,-130.5930385965874
126,-131.85954238497553
127,-132.90030487084871
128,-134.05221004055937
129,-135.31119896630048
130,-136.39540128986505
131,-137.5289780559157
132,-138.76626357851634
133,-139.89734776420954
134,-141.0123986452671
135,-142.22785308076757
136,-143.39646103473333
137,-144.49266521023236
138,-145.6862150659632
139,-146.88457718693047
140,-147.96209589986978
141,-149.13438749800878
142,-150.35690143796592
143,-151.41725142443067
144,-152.570380496303
145,-153.81368238291432
146,-154.85925039465576
147,-155.99577071826042
148,-157.2208286719308
149,-158.2907843887032
150,-159.41325499332754
151,-160.62267026926605
152,-161.715171266191
153,-162.82600967098392
154,-164.02220488424518
155,-165.13580458567003
156,-166.237127221825
157,-167.42217245372376
158,-168.55562694001614
159,-169.6491402167194
160,-170.8246735029669
161,-171.97681368073825
162,-173.063762239447
163,-174.23099375598207
164,-175.40092241404867
165,-176.48290249070743
166,-177.64413266970863
167,-178.8329511980089
168,-179.91296397195003
169,-181.07102722287297
170,-182.2796208434955
171,-183.35919365875532
172,-184.51499444342056
173,-185.74261735290264
174,-186.82166666377316
175,-187.97514592360812
176,-189.2012721917028
177,-190.29975010537947
178,-191.45091405611745
179,-192.67278149187507
180,-193.79180197080976
181,-194.93928130628467
182,-196.15446797422837
183,-197.28940667091268
184,-198.42686504256022
185,-199.6275093807228
186,-200.76999680074195
187,-201.89051769246433
188,-203.07274452317716
189,-204.2236149258732
190,-205.33373959851855
191,-206.5091612654725
192,-207.68268126673877
193,-208.79599034379007
194,-209.97590286587393
195,-211.1808342014124
196,-212.30307172909113
197,-213.4909397513264
198,-214.72923907783112
199,-215.86025078687334
200,-217.0546708941565
201,-218.31064026300717
202,-219.46038757109304
203,-220.655832156868
204,-221.9083562081754
205,-223.0821828462054
206,-224.2695596438618
207,-225.5105877926863
208,-226.70273592726767
209,-227.87719295261493
210,-229.10338399973645
211,-230.31266701956147
212,-231.47347622916732
213,-232.68528203816913
214,-233.9139924111274
215,-235.06360532154326
216,-236.26519874239625
217,-237.5191083522367
218,-238.6688123253346
219,-239.87122593419602
220,-241.1278258228448
221,-242.32070644435538
222,-243.53030073773098
223,-244.79357678399748
224,-246.03255805538322
225,-247.24957909130788
226,-248.5184521928415
227,-249.80242877517995
228,-251.02395935739983
229,-252.2950158913896
230,-253.61416777243332
231,-254.84355708702438
232,-256.1130433208625
233,-257.4284834370252
234,-258.698723434409
235,-259.96355444418026
236,-261.2725267074516
237,-262.5822343000977
238,-263.8402668317954
239,-265.1409487751798
240,-266.4832447848994
241,-267.7395902785005
242,-269.03093140742703
243,-270.3627077647332
244,-271.659700569948
245,-272.9398326400783
246,-274.25724254066824
247,-275.589562492187
248,-276.85038526250145
249,-278.14538916025015
250,-279.47347695468875
251,-280.7446640580908
252,-282.0147517895278
253,-283.31720887894426
254,-284.6206090007141
255,-285.8670972406448
256,-287.14595734107786
257,-288.456740856157
258,-289.7107752273846
259,-290.96905315913915
260,-292.2595065674747
261,-293.5560727482408
262,-294.79679232607526
263,-296.0697462587233
264,-297.3744107063983
265,-298.63779300438523
266,-299.89520258306806
267,-301.18402240441884
268,-302.4980574975132
269,-303.7413125619877
270,-305.0160961226391
271,-306.32243373746763
272,-307.61788342523585
273,-308.8840373884065
274,-310.1827164237061
275,-311.51347337129545
276,-312.802825713409
277,-314.09597591716846
278,-315.4203386406964
279,-316.77491824710506
280,-318.06159319809126
281,-319.37694789767266
282,-320.7208001463846
283,-322.0715723587522
284,-323.37492706909006
285,-324.70529773884186
286,-326.0618708130328
287,-327.4076282905056
288,-328.7225345668869
289,-330.0621756473229
290,-331.425401316816
291,-332.764923686493
292,-334.0835584954491
293,-335.4241741767087
294,-336.7861469313207
295,-338.11810460488215
296,-339.4353629900167
297,-340.773600134802
298,-342.1323985770924
299,-343.4610953981262
300,-344.7767806028819
301,-346.11301295773825
302,-347.4694669066836
303,-348.8010361304527
304,-350.11649409894267
305,-351.45219571929897
306,-352.8076007800766
307,-354.1471898353939
308,-355.4606173703473
309,-356.79044482015587
310,-358.1350255673874
311,-359.4733000735039
312,-360.7682826816787
313,-362.07581742192923
314,-363.3953053299622
315,-364.72575432072153
316,-365.9950224719065
317,-367.276391691089
318,-368.56982474480617
319,-369.87533956131057
320,-371.1449290952309
321,-372.40483423816806
322,-373.67786421652005
323,-374.964092057785
324,-376.2450660631122
325,-377.4900393606202
326,-378.749071608782
327,-380.0221608729706
328,-381.30966814162133
329,-382.56184894027604
330,-383.81733956102653
331,-385.09287102291336
332,-386.3901370664506
333,-387.6986455415384
334,-388.9805687152307
335,-390.28851820694695
336,-391.62287556699823
337,-392.9835526813163
338,-394.33950200756783
339,-395.6909113701297
340,-397.0671939973404
341,-398.4672614242285
342,-399.8901640250074
343,-401.2938929339755
344,-402.704513841754
345,-404.14029224297104
346,-405.6029158003604
347,-407.09356707912286
348,-408.5673997308098
349,-410.06001488514886
350,-411.58155014887035
351,-413.13126715372454
352,-414.708167661497
353,-416.26866483605454
354,-417.8433579262004
355,-419.44207314611936
356,-421.0634523210766
357,-422.7061688341814
358,-424.3359507089757
359,-425.9669038368253
360,-427.6162261059626
361,-429.28290757676746
362,-430.96605417490275
363,-432.6473067333744
364,-434.31261623099243
365,-435.99293214866555
366,-437.6875993318647
367,-439.3960105424717
368,-441.11767741557765
369,-442.8092095891454
370,-444.5104460891422
371,-446.2246274921826
372,-447.9515851770941
373,-449.6911964238897
374,-451.4286235227782
375,-453.1493798027212
376,-454.8831825594133
377,-456.63000386027704
378,-458.38981384231255
379,-460.16257627486465
380,-461.9244600247386
381,-463.6814358406857
382,-465.45157570853956
383,-467.23451252100267
384,-469.0298157322293
385,-470.83709673983367
386,-472.6317009443047
387,-474.4227738147789
388,-476.22552700720524
389,-478.0397886863963
390,-479.8654168118553
391,-481.7022834971701
392,-483.53315189286013
393,-485.3545073880908
394,-487.18571829719303
395,-489.02489939590794
396,-490.8697618361142
397,-492.71795411646355
398,-494.5642514091546
399,-496.3752069316244
400,-498.17911911940223
401,-499.97105471364404
402,-501.74693848071536
403,-503.5040414592625
404,-505.2409119112555
405,-506.94250652424813
406,-508.60605756071215
407,-510.2511107846325
408,-511.8791781416499
409,-513.4920503710069
410,-515.091675942238
411,-516.680060473208
412,-518.2423190030364
413,-519.7835021445911
414,-521.3195909704559
415,-522.8523424232186
416,-524.3833412263004
417,-525.9141283234562
418,-527.4462970678088
419,-528.9712312765724
420,-530.4809976626309
421,-531.9945358299138
422,-533.5110895075628
423,-535.0297946744543
424,-536.5499137241297
425,-538.0708258621103
426,-539.5920212828178
427,-541.0914076287517
428,-542.585581998894
429,-544.0794180899472
430,-545.5727349164729
431,-547.0653998951233
432,-548.557275841195
433,-550.0480522441458
434,-551.537227680156
435,-553.0019957438427
436,-554.4622085809821
437,-555.920082777329
438,-557.3754269014286
439,-558.8280629767348
440,-560.2777982567983
441,-561.7241498646226
442,-563.1658786103476
443,-564.5876256541567
444,-565.9900980244238
445,-567.3798735203844
446,-568.7535714401636
447,-570.1076372623909
448,-571.4383085036345
449,-572.7421172379825
450,-574.0165898524928
451,-575.2605368253027
452,-576.4572409483251
453,-577.6236242309612
454,-578.7702760683962
455,-579.9050903894235
456,-581.0368211659097
457,-582.1746520449547
458,-583.3279222274195
459,-584.505530575506
460,-585.7001724804645
461,-586.9223094037413
462,-588.1842753802536
463,-589.4861992772558
464,-590.8255112778028
465,-592.1972899259648
466,-593.5951842724106
467,-595.0058356558017
468,-596.410955852851
469,-597.8250199494719
470,-599.2446167769834
471,-600.668940844026
472,-602.100631915383
473,-603.5450437495684
474,-604.9937096042103
475,-606.4529402528335
476,-607.9395460902673
477,-609.455286493583
478,-611.0003320795054
479,-612.5737704244576
480,-614.1668932334103
481,-615.7619731601177
482,-617.3781964011512
483,-619.0124004029722
484,-620.6617111506514
485,-622.3236424603159
486,-623.9864684667917
487,-625.6372673195528
488,-627.2954050786207
489,-628.959763181797
490,-630.6295236725167
491,-632.3041796645422
492,-633.9619559714544
493,-635.6144042728051
494,-637.271579585957
495,-638.9337890464145
496,-640.6014404849792
497,-642.2655003225702
498,-643.9131450628034
499,-645.5672415238961
500,-647.2269309451809
501,-648.8898018053653
502,-650.5479284382399
503,-652.1688195374612
504,-653.7731057516747
505,-655.3502076623549
506,-656.8888646230457
507,-658.3755580121667
508,-659.7751314733787
509,-661.1134251702173
510,-662.3890491481426
511,-663.6037033805525
512,-664.7539065496478
513,-665.8274337263947
514,-666.8574167908062
515,-667.8504429704182
516,-668.8124478185977
517,-669.7311149623838
518,-670.610041613668
519,-671.4696533039145
520,-672.3121040301944
521,-673.1382972427131
522,-673.9163997245724
523,-674.6698962425714
524,-675.3984904667815
525,-676.096943334292
526,-676.7477187305718
527,-677.3373540893919
528,-677.8866674182162
529,-678.3949002205176
530,-678.8622918503377
531,-679.2564490544617
532,-679.6098888650727
533,-679.9271650879841
534,-680.2104386352391
535,-680.440423065208
536,-680.6240292887649
537,-680.7769752168085
538,-680.8997594313463
539,-680.9820094695756
540,-681.0101740285427
541,-681.0107413816145
542,-680.9847953038729
543,-680.930132334538
544,-680.8176336134184
545,-680.6819821962677
546,-680.5240476129355
547,-680.3444059950345
548,-680.1083657013426
549,-679.8480569505504
550,-679.564914312442
551,-679.2575301320313
552,-678.8929791513814
553,-678.4946683744425
554,-678.0670309913052
555,-677.6079505201185
556,-677.0856659637254
557,-676.519558864828
558,-675.9166988729422
559,-675.2750169233109
560,-674.5600772443406
561,-673.7815112835051
562,-672.9292406771317
563,-671.9749249826441
564,-670.8506731762537
565,-669.5359207790219
566,-667.9937802202382
567,-666.1838016702616
568,-664.0416199658708
569,-661.5770443290154
570,-658.789124661399
571,-658.8872318434352
572,-661.3448910626288
573,-663.9418628094627
574,-666.6800946571793
575,-669.5660693595664
576,-672.5913263816423
577,-675.8256426863369
578,-679.3131270484602
579,-683.0925981586203
580,-687.2011960764903
581,-691.7204738185953
582,-696.6984068470896
583,-702.1492418307988
584,-708.1008079077674
585,-714.5738914548044
586,-721.5462057128909
587,-728.9264306618843
588,-736.6840002835233
589,-744.7357255206944
590,-752.968523128966
591,-761.2887156614362
592,-769.6373648781598
593,-777.934771129884
594,-786.0709989581342
595,-794.0338026067041
596,-801.7746227475895
597,-809.2103024580313
598,-816.3333324424594
599,-823.1194110337055
600,-829.4966682299744
601,-835.4358942858897
602,-854.8063041035176
603,-885.7273844991186
604,-916.4131712909987
605,-948.6417965568448
606,-978.6630198282292
607,-1010.137275128685
608,-1039.3997791097852
609,-1070.0180351698173
610,-1098.4194450137643
611,-1126.4192627710438
612,-1155.5107190902186
613,-1182.516350410949
614,-1210.5363822196043
615,-1236.5362908981801
616,-1263.5044906458393
617,-1288.5404548993451
618,-1314.4905209069655
619,-1338.5693097984163
620,-1363.4580485780175
621,-1386.4884696401073
622,-1410.1820944987778
623,-1432.0118336373228
624,-1454.3561763911603
625,-1474.8540094770938
626,-1495.7493828875438
627,-1514.8550625055868
628,-1534.2671216105352
629,-1551.9561226131773
630,-1569.839993696672
631,-1586.027513524388
632,-1602.2425884483473
633,-1616.7414547416972
634,-1631.0754797559043
635,-1644.4589801846555
636,-1656.0083748208908
637,-1667.3850405365315
638,-1677.088534214685
639,-1686.6703406897634
640,-1694.853853146933
641,-1703.0360153858317
642,-1710.1064509659413
643,-1717.239381639842
644,-1723.4422497509456
645,-1729.635224616488
646,-1734.9456971038032
647,-1740.0579354948422
648,-1744.2622474042969
649,-1748.0506071634702
650,-1751.1567426187412
651,-1753.2150502745963
652,-1754.7840455991668
653,-1755.4022098037574
654,-1755.456588499354
655,-1754.71610895019
656,-1753.3796014758245
657,-1751.4354385759457
658,-1748.867145199346
659,-1745.777203253896
660,-1742.1747535772502
661,-1737.9770755682796
662,-1733.3748704713405
663,-1728.027256370917
664,-1722.3439449459768
665,-1715.7284753009724
666,-1708.46672928847
667,-1700.8147070919576
668,-1692.0975293419613
669,-1682.668287133637
670,-1672.8801365462382
671,-1661.962802344058
672,-1650.8541258579908
673,-1638.5056399762134
674,-1625.4972098760306
675,-1612.4379770318717
676,-1598.0943131188367
677,-1583.1240528530234
678,-1568.2383415665477
679,-1551.9686503396592
680,-1535.0646192026745
681,-1518.3634382885396
682,-1500.137741073062
683,-1481.2686031067735
684,-1461.7573739210686
685,-1442.5778426854095
686,-1421.765088844392
687,-1400.3144901329204
688,-1378.2202151277593
689,-1356.6102642507549
690,-1333.183619429079
691,-1309.075307512197
692,-1284.2653259691392
693,-1258.7324502731303
694,-1232.4555190698254
695,-1206.7546925631054
696,-1178.9323420133862
697,-1150.3091814285367
698,-1120.8669509935066
699,-1090.5879945725787
700,-1059.4553457374657
701,-1027.4528183931677
702,-994.5647760674619
703,-962.4305394870993
704,-927.7416434883582
705,-892.1175378730868
706,-855.5370314365668
707,-817.9767816502815
708,-779.4124731681272
709,-739.8201934417564
710,-699.1775161283015
711,-657.4645343744628
712,-620.6963168613145
713,-591.6145800550305
714,-562.4786297200429
715,-534.2095966146635
716,-504.9268749481721
717,-475.60749915822134
718,-446.2588310901061
719,-416.88820271096847
720,-388.39697300393243
721,-358.93334623535014
