,0
0,-0.0006243115451601305
1,-0.006924844430109638
2,-0.007594832611369286
3,-0.024090877418691842
4,-0.014324908582769899
5,-0.009356654766656182
6,-0.01002249794578267
7,-0.009982698718025672
8,-0.009725489056191427
9,-0.010745588438211684
10,-0.01161035166020727
11,-0.012330649709111057
12,-0.013013947571421087
13,-0.014246143020530141
14,-0.016029742699301092
15,-0.019069830689450697
16,-0.023106919468154064
17,-0.03163455509199542
18,-0.042735827394537504
19,-0.05861893363590163
20,-0.07512540394501142
21,-0.08989125317102951
22,-0.10568758487363267
23,-0.12339472380774662
24,-0.14222107576114995
25,-0.16405623062139515
26,-0.18812801038890137
27,-0.21630104290817978
28,-0.24603003035884652
29,-0.2769097126645073
30,-0.310333858166977
31,-0.9537200188416101
32,-6.57645876003947
33,-7.552760481320371
34,-9.299807566887365
35,-12.447414628493739
36,-13.679845030512759
37,-14.647075014601104
38,-12.88573410950628
39,-14.968609381888724
40,-14.198253501976929
41,-13.932351103059105
42,-12.728685791255494
43,-11.553909270290294
44,-9.834014428374797
45,-8.407069657910768
46,-7.917135987815271
47,-7.570736903931519
48,-7.1747669931120335
49,-6.689218648221672
50,-6.065271505968496
51,-5.225899503528277
52,-4.071529689532819
53,-2.9999976384886944
54,-2.8638474417558943
55,-3.0355766053433877
56,-3.2127685917550672
57,-3.411901805752982
58,-3.633570543991428
59,-3.8745085834489283
60,-4.1313728751576315
61,-4.402822914876654
62,-4.689411882823156
63,-4.992472164712982
64,-5.313237255499745
65,-5.652375639483587
66,-6.010033313201335
67,-6.385349722877102
68,-6.777807687963968
69,-7.186722927410385
70,-7.612186665753905
71,-8.054953102735421
72,-8.51610748168602
73,-8.99650077763916
74,-9.496666898351494
75,-10.01667038208065
76,-10.556247054796659
77,-11.11519330427044
78,-11.693564688975728
79,-12.29159188772085
80,-12.909539739105263
81,-13.547598021986635
82,-14.205875029416342
83,-14.88438735473607
84,-15.583097040905393
85,-16.301939109659553
86,-17.04083831200399
87,-17.799728140480795
88,-18.578547746767757
89,-19.377214571848526
90,-20.195653690028305
91,-21.033759049605123
92,-21.89140791657115
93,-22.768468011282984
94,-23.664775849317305
95,-24.5801525789689
96,-25.514387440601123
97,-26.46725150577956
98,-27.438502226784497
99,-28.427869092925274
100,-29.43507221910895
101,-30.45980762114082
102,-31.50175584520077
103,-32.5605805828696
104,-33.63591601392381
105,-34.7273823155187
106,-35.83457377376272
107,-36.95706796630933
108,-38.09442483785814
109,-39.24617974232293
110,-40.411848175293585
111,-41.59092354861578
112,-42.78287924469301
113,-43.98717452221075
114,-45.2032540887683
115,-46.430556763908925
116,-47.668516248234916
117,-48.916562517498534
118,-50.174120717363124
119,-51.44060218628793
120,-52.715402488607225
121,-53.997902244623475
122,-55.28746712706678
123,-56.583448486093566
124,-57.88517974077862
125,-59.161081954540954
126,-60.47434094759855
127,-61.7913161197362
128,-63.11128393847999
129,-64.43358146332504
130,-65.74338587416713
131,-66.80681534938185
132,-67.17260723805715
133,-66.5842265879438
134,-65.0435998852085
135,-62.686123346929435
136,-59.70371874528157
137,-58.03695100952982
138,-59.15505306677883
