#{"t_start": 1699346606.2069738, "env_id": null}
r,l,t
-1216991.5,313,63.272964
-1550961.4,306,78.485834
-1481165.1,268,92.309103
-5618784.0,923,97.366992
-1496629.4,269,110.041808
-1497403.9,269,115.084857
-1496003.0,269,127.64777
-1495801.5,269,132.735726
-1491808.8,269,145.350538
-1492208.5,269,150.244633
-1495481.1,270,162.787113
-1496956.9,270,167.748716
-1489777.6,272,180.153653
-1490208.8,275,185.243916
-1465102.0,310,199.193327
-1476011.4,343,205.582622
-1347001.4,282,217.170142
-1393934.4,272,223.16831
-1424230.1,304,235.949233
-1395707.8,319,242.524489
-1441842.9,288,254.155746
-1432106.9,288,260.616589
-1443657.6,275,271.77236
-1435850.4,269,278.111656
-1446609.6,278,289.543818
-1439220.4,274,295.708678
-1462803.2,277,307.154801
-1443504.4,275,313.262875
-1470457.8,269,324.666872
-1461596.0,268,330.578297
-1471815.6,268,341.884883
-1474495.6,267,347.809416
-1471441.1,267,359.005877
-1470340.9,267,364.992547
-1477667.1,268,376.418401
-1473718.2,267,382.205927
-1474666.4,268,393.557775
-1476621.8,268,399.495427
-1462282.5,269,410.92724
-1452396.0,270,416.832417
-1439460.8,274,428.565182
-1437694.6,268,434.520667
-1420949.0,275,446.508493
-1425978.5,281,452.496726
-1416727.2,278,464.395583
-1419529.1,268,470.039258
-1435287.0,273,482.358055
-1422910.8,267,487.637471
-1396170.5,261,499.185378
-1442404.5,265,504.68769
-1401057.9,261,516.600746
-1403105.8,262,522.157309
-1404422.0,260,534.253003
-1397342.1,259,539.843604
-1434998.1,263,551.487335
-1423572.2,262,557.01175
-1446372.0,264,568.775119
-1425091.4,262,574.358233
-1435964.2,263,586.214822
-1446875.6,264,591.586192
-1415258.5,261,603.162567
-1453679.6,265,608.708239
-1457914.6,265,620.231268
-1412132.9,261,625.766947
-1444550.9,264,637.727139
-1414946.1,261,643.545417
-1419088.8,261,655.503269
-1453715.4,265,661.050679
-1424512.4,262,672.589185
-1435803.5,263,677.999506
-1423731.9,262,689.696212
-1434568.8,263,695.257215
-1425804.4,262,706.714509
-1397332.2,259,712.136378
-1388377.2,258,723.945772
-1425254.2,262,729.45434
-1438475.9,264,741.239992
-1381436.0,257,746.564126
-1451427.8,265,758.468409
-1374603.9,257,763.621276
-1368599.1,256,775.482249
-1426761.2,263,780.77242
-1371244.6,256,792.380868
-1391055.2,258,797.776124
-1394316.1,259,809.471657
-1363432.1,255,814.655629
-1348242.5,253,826.352619
-1354227.9,254,831.618751
-1350462.1,254,843.075833
-1344039.2,253,848.260839
-1360073.0,255,859.976398
-1361371.9,255,865.135555
-1344285.0,253,876.936665
-1339326.5,252,882.020863
-1346599.1,253,893.553446
-1355569.0,255,898.818997
-1339533.6,253,910.279283
-1404651.2,261,915.90561
-1326505.9,250,927.259904
-1335356.2,252,932.895579
-1329171.1,251,944.059036
-1321490.4,251,949.586044
-1320161.8,251,960.609396
-1338753.5,255,966.440597
-1326949.5,256,977.647681
-1357762.4,260,983.642305
-1293307.4,253,994.603304
-1342955.9,259,1000.689516
-1332079.0,284,1012.649966
-1313084.8,265,1018.221893
-1363496.2,304,1031.541776
-1413130.0,329,1037.992642
-1400557.2,332,1051.254572
-1407350.9,349,1058.380741
-1398566.0,352,1072.152597
-1369095.9,340,1078.720514
-1385190.8,354,1092.835216
-1360398.9,359,1099.557895
-1362822.0,353,1113.475219
-1397792.1,346,1119.996999
-1396381.8,361,1134.514124
-1428956.8,383,1141.813455
-2173740.8,837,1177.46412
-1912610.8,1333,1196.044095
-1756204.4,1346,1235.710737
-1603293.9,1351,1254.945719
-2449159.0,931,1278.718081
-1188756.2,1331,1312.741283
-1149384.9,1339,1336.699966
-1112826.9,1331,1370.446561
-1145734.9,1333,1394.639566
