time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,2.197600431196119,-10.000002549105277,-1.1017425193693217e-09,13.88888888888889,0.0,0.0,0.0,1.9071233481327e-08,0.0,0.009770507566955446,4.45014423853858e-06,-0.002757755130862492,0.002761449901694416,-0.0011444627277492174,0.001163178369547041
0.01,2.3364729819891266,-10.000002014076127,-9.046116044135817e-08,13.886032949872137,-0.09789623618125917,0.16530714377746572,24.236451217060935,1.0190049568592485e-06,-7.331869129115753e-08,0.008292825631918181,5.236032147199394e-06,-0.002751061111835925,0.002754452442950795,-0.0011258411612232256,0.00087775478945883
0.02,2.475319014051516,-10.000000718399923,-5.530488280290894e-07,13.883455961349297,-0.18069661259651182,0.3607678083532847,24.47872566765805,2.38806969043992e-06,-4.658773246685651e-07,-0.004658480588006228,6.135145984642818e-06,-0.0027340499638638383,0.0027367035094583107,-0.0020827666060066453,-0.00021542136674205283
0.03,2.6141399286263987,-10.00000023033609,-2.782398884025442e-06,13.880985709573551,-0.2641731798648833,0.6798490576601108,38.2728007344315,-1.9675319329337526e-06,-2.392010629047607e-06,-0.04918851202128028,2.3660889289957615e-06,-0.002719172627730599,0.0027210515699651033,-0.004662463294886932,-0.0028477602786064066
0.04,2.752936348107075,-10.000005519811147,-1.088296267505897e-05,13.878543089025857,-0.33911682963371265,1.1514464628996623,52.35987599999654,-2.8937491535430127e-05,-9.608623510811672e-06,-0.14799316606353735,-1.6929975037038986e-05,-0.0027106434633047422,0.0027115543582817256,-0.009128702964377181,-0.007341202206909747
0.05,2.8917081874116635,-10.000027122353057,-3.327831753014062e-05,13.876066298193702,-0.40164191126823395,1.6750452228996278,52.35987599999654,-0.00011227958808923688,-3.004680713907783e-05,-0.31546184409714106,-7.09428900757894e-05,-0.0027070706330452076,0.0027062311844106616,-0.015292612348391549,-0.013530955323797606
0.06,3.0304548384440926,-10.000082582754226,-8.374050889097649e-05,13.873510674575275,-0.4722722530364985,2.1986439828995965,52.35987599999999,-0.0003059831574283578,-7.692457382294432e-05,-0.5550053972338455,-0.0001873305049107847,-0.002705214521917984,0.002700908460806174,-0.02257164816945955,-0.02084128964833156
0.07,3.169175271411226,-10.000196566323645,-0.00018141186343251724,13.870837877706077,-0.5318093895912166,2.7222427428995584,52.35987599999254,-0.00068344777194973,-0.0001688783995812478,-0.8535557103300558,-0.00040007094892152505,-0.0027026556852029282,0.002691869298946603,-0.03021324183906894,-0.02851631444421925
0.08,3.3078680420924593,-10.000399481406546,-0.00034969685586118887,13.868011263303728,-0.60578566789627,3.245841502899472,52.35987599999999,-0.0013322566243800793,-0.00032896747639583884,-1.184739903108113,-0.0007453471279577325,-0.0026989216060361353,0.0026769164316489047,-0.03737193038155241,-0.03570229550891655
0.09,3.446531322441281,-10.000724795840458,-0.0006141668506295513,13.865004623658578,-0.6598664522171012,3.7694402628994363,52.35987599999999,-0.002344928174288441,-0.0005826592191912247,-1.5167073341392516,-0.0012555698758831102,-0.00269533240399916,0.0026552056583380697,-0.04338219880070737,-0.041728029443083466
0.1,3.585163053079156,-10.001205724329289,-0.0009999767106133126,13.861814956248482,-0.7129826545715319,4.293039022899403,52.35987599999999,-0.003808475779448983,-0.0009552694098566956,-1.8160489201152963,-0.0019540072648618918,-0.002694279535157007,0.0026265013084231957,-0.04772371019252658,-0.04607282057931991
0.11,3.72376122284677,-10.001872035455872,-0.0015293169690911437,13.858471405592045,-0.7657393455505362,4.801656279777018,46.68838621613154,-0.005794025365132072,-0.0014693876468350406,-2.0589655803755504,-0.0028494203886331483,-0.0026983411547936652,0.002590406623626535,-0.05018625833618145,-0.04853339812269612
0.12,3.862324201963812,-10.002747647540923,-0.002219406014798197,13.855032134895064,-0.810944402217864,4.445894540672293,-52.35987599999061,-0.008349568010785902,-0.0021427967797592413,-2.2344342251230955,-0.003933484544864542,-0.002709658506663557,0.0025462192902109882,-0.05094033453677882,-0.04929205787018427
0.13,4.000850956803321,-10.003849445793314,-0.00308135989818182,13.851563430648557,-0.8627346277236929,3.9222957806723766,-52.35987599999299,-0.01149755449051959,-0.002987244446263792,-2.3422911878820214,-0.005182204961169611,-0.002729651553534571,0.00249309939651776,-0.050617530883526066,-0.04899382840521692
0.14,4.139341025394928,-10.005187506000407,-0.004120094498779021,13.848114763173223,-0.9023355841636653,3.398697020672411,-52.35987599999299,-0.015237552844380886,-0.004008243846579209,-2.39573330483635,-0.006560840402470361,-0.0027589326999126556,0.0024302556155331822,-0.0500901318972245,-0.04851920571636141
0.15,4.277794311213263,-10.006766478392532,-0.005335009571552853,13.844710441334671,-0.951263082027435,2.88425186575991,-46.71653335608368,-0.01955078706082425,-0.005205704294207689,-2.4134164114049685,-0.008027730538079895,-0.002797258874535346,0.002357228187848713,-0.0499782012444411,-0.04848733383209258
0.16,4.4162108667226665,-10.008587527932598,-0.006721140484266631,13.841354397796259,-0.9654438853263849,2.50134902934551,-30.11439813127567,-0.02440564484391672,-0.006575029168125444,-2.420419309144236,-0.009537561754567185,-0.0028438453241435243,0.002274141518609039,-0.05061245388308609,-0.049223818404339294
0.17,4.554590711703527,-10.010650703303028,-0.008270717049393535,13.838036657234682,-0.9956232786178578,2.319220878173598,-6.104060879863477,-0.02976611239629534,-0.008108659059517648,-2.437285448700527,-0.011047698807862405,-0.002897618429710321,0.0021817454294853415,-0.05211425722076743,-0.05084553015382008
0.18,4.692933692031046,-10.012957140001545,-0.009974675753236498,13.83473755236978,-1.0329733133316032,2.394068211455822,18.32115233946217,-0.0355988257498403,-0.009797595012069631,-2.482716608678648,-0.01252241575661018,-0.002957262268134799,0.0020813189680998945,-0.05452686884757266,-0.05339409445387937
0.19,4.83123935154807,-10.01551091013981,-0.011824020964493755,13.831429677735755,-1.0519948124885559,2.680575439585551,34.905538735197055,-0.04187887873658802,-0.01163278101487413,-2.56913898984306,-0.013935957840370624,-0.003021326379501831,0.0019745055270192972,-0.057744294358288935,-0.056761606408260404
0.2,4.9695068313084825,-10.018320285210002,-0.013810845433217676,13.82808314382205,-1.0622736096382146,3.100927394936723,34.94361343636673,-0.048593430217735545,-0.013606170206242803,-2.7007543904131897,-0.015273635597588087,-0.003088346682861362,0.0018630120460134672,-0.06134643370075211,-0.06051955294182137
0.21,5.107734852683427,-10.02139805115071,-0.015928755448477206,13.824674560325727,-1.0530634403228758,3.184793602233557,9.140190741519385,-0.05574239881509513,-0.015711219683483515,-2.869229587970808,-0.016531042512922752,-0.0031568582643447395,0.001748473829390444,-0.06470921477004003,-0.0640290015736286
0.22,5.24592182353102,-10.024760705055543,-0.018172551755822892,13.821197765054032,-1.0664462387561793,3.3673539568885826,18.72287230608725,-0.06333543808674413,-0.017942644183984346,-3.058402749380521,-0.01771078313617417,-0.0032255697253737664,0.0016324002631526251,-0.06720420333400176,-0.06664512631925104
0.23,5.384066048960561,-10.028426755467807,-0.02053735231403512,13.81766718010243,-1.1270514190196992,3.6182949582552717,22.838799996316418,-0.07138685144069967,-0.020295575517463135,-3.2493954332500317,-0.01881886746738519,-0.0032934025672467777,0.0015160479209471004,-0.06865492468188149,-0.06818827565412083
0.24,5.522165918696166,-10.032414883338369,-0.023017684837295372,13.814107446438443,-1.1667738735675806,3.8409034556455754,21.588330747386888,-0.07991087546609066,-0.022764629353753386,-3.4298331342941886,-0.019862316082276406,-0.0033595587685586775,0.0014005105210603995,-0.06945211184917426,-0.06906305921397281
0.25,5.660219954115048,-10.036742784020328,-0.0256070514045819,13.810539450396044,-1.2229305505752555,4.038279331569191,18.612876797163818,-0.08891897471436927,-0.025343414678725612,-3.5950661185327903,-0.020847893053844484,-0.003423599705473173,0.001286612105872925,-0.07002956615358692,-0.06971694260266244
0.26,5.798226737787018,-10.04142679820345,-0.02829802473973455,13.806971933664054,-1.283942461013793,4.274211504093902,29.17939627278263,-0.0984187095947,-0.02802457735919646,-3.7495966286478084,-0.021780719627808576,-0.0034853640634168485,0.0011751021733250745,-0.07090417369626882,-0.07068115521674391
0.27,5.936184749089168,-10.04648229251267,-0.031082853849529662,13.803395715571238,-1.3327927947044373,4.556156156575226,26.21638343480723,-0.10841571620115076,-0.030800360781092915,-3.902145292550089,-0.022665562170362606,-0.003544844028962478,0.0010666030950521794,-0.07250455803942495,-0.07239481310235402
0.28,6.07409216148578,-10.051924540043606,-0.033954361503880176,13.799786166586927,-1.3594764411449436,4.816547976410397,26.07911598095922,-0.11891685379996275,-0.0336634882604596,-4.061210594449709,-0.023508362132393337,-0.0036021215040641756,0.0009617082343235707,-0.07492383857714248,-0.07495115027863451
0.29,6.211946699855195,-10.057769552264485,-0.03690677547386486,13.796113077629952,-1.4038180232048025,5.0796080149853,26.524838504236012,-0.12993290077078257,-0.03660802107901839,-4.23226643571259,-0.024317061539865948,-0.0036572432211924616,0.0008609872344102564,-0.07791746524583262,-0.07809616524876757
0.3,6.349745600791104,-10.064034498716367,-0.039936122296659264,13.792348842681253,-1.4258236646652211,5.34910278217215,27.316826271439584,-0.14147981754656414,-0.039629801244032745,-4.413809217198885,-0.025101752334913262,-0.0037103062360650863,0.0007647430494134888,-0.08119181551341777,-0.08152676530480808
0.31,6.487485663150933,-10.07073756551428,-0.04304018064840093,13.78847585251499,-1.4515723526477797,5.626976462167471,28.15933195110529,-0.15357807375924715,-0.04272644605595979,-4.599469389856068,-0.02587371112691778,-0.0037612210528211207,0.0006731928717339377,-0.08429450741554306,-0.08477546208843278
0.32,6.625163406729865,-10.07789726833916,-0.0462180408584491,13.784493500636005,-1.4880808770656573,5.91208433811396,28.743637756623006,-0.16625036958429362,-0.0458969432979591,-4.779375087473679,-0.02664369066415293,-0.003809938239792091,0.0005864281550138075,-0.08687603576384471,-0.08748230958008509
0.33,6.762775287235722,-10.085531472369697,-0.04946942882511184,13.780417579854396,-1.4921411573886856,6.200637200712173,28.864009476992056,-0.1795186193358873,-0.04914098738673336,-4.943928269592821,-0.027420172526253676,-0.003856422492362091,0.0005043095414772117,-0.08876080248197533,-0.08946844802445895
0.34,6.900317909108349,-10.093656458119693,-0.052794001770326185,13.776279721715115,-1.4838847219943985,6.487080732073818,28.35632756292836,-0.1934008865959278,-0.05245827346638957,-5.084856776659445,-0.028207591322058048,-0.0039008427968721462,0.0004265453191540531,-0.0896863775059957,-0.09046400023783474
0.35000000000000003,7.03778826294602,-10.102286054964146,-0.05619066668065917,13.77212789774224,-1.4861080765724177,6.764237441529313,27.075128749665087,-0.20790873117948472,-0.05584781253665718,-5.195047052761517,-0.029005110606667564,-0.003943486800735231,0.0003527705349064465,-0.08956183114673995,-0.09037871160072507
0.36,7.175183907750068,-10.111430944193236,-0.059657019999001484,13.768013314185435,-1.5137928485870353,7.024461707813228,25.070435340390752,-0.22304561011288193,-0.05930734913119489,-5.27211279402817,-0.02980667131066281,-0.003984726713788842,0.0002825995468792036,-0.08876781148320288,-0.08961342247364149
0.37,7.312502959876337,-10.121098493450761,-0.06318912975281493,13.763973455526427,-1.549271351099014,7.262036847498481,22.645413280342176,-0.23880676729099903,-0.06283310094766129,-5.320305628529654,-0.030601851312419777,-0.00402501739319767,0.00021569961770909066,-0.08783285593943581,-0.08871840704445175
0.38,7.449743910669515,-10.131293208012012,-0.06678175810531439,13.760022322014729,-1.5646201074123387,7.474833674385277,20.188581863589388,-0.25518091992628555,-0.06641993974238986,-5.348892335063453,-0.03137757106233196,-0.004064744483729093,0.00015182215699668326,-0.08727736345743832,-0.0882307237713075
