#{"t_start": 1699423240.8611586, "env_id": null}
r,l,t
-336779.2,284,134.185768
-399148.22,391,142.087043
-313160.06,209,149.738886
-316027.4,209,157.393291
-312170.72,208,164.836194
-313703.6,208,172.370424
-312627.62,208,179.790004
-312909.03,208,187.565341
-313250.47,208,195.067689
-317481.28,209,202.966985
-315970.88,209,210.551395
-317576.06,209,218.212669
-316732.1,209,225.451571
-317917.94,209,233.18913
-316647.72,209,240.554233
-317943.22,209,248.221823
-317744.8,209,255.431092
-317681.5,209,263.03955
-317771.75,209,270.372425
-316147.56,209,277.904198
-315530.3,209,285.224986
-315412.66,209,292.956244
-314659.3,209,300.474112
-315724.6,209,308.081254
-313960.1,209,315.480655
-315344.72,209,323.039526
-311484.72,213,330.657872
-358311.66,316,342.18353
-477247.03,339,350.533493
-296291.5,205,357.061551
-292542.34,204,365.801637
-292485.7,204,372.192626
-436421.4,276,383.35712
-404422.16,264,389.309786
-369899.8,244,399.641753
-384508.3,248,405.723236
-288944.9,202,414.326279
-290730.03,202,420.507091
-290901.97,201,428.99524
-289129.1,200,435.211762
-291171.3,201,443.784073
-290503.72,201,450.041468
-290836.38,201,458.484833
-290388.8,201,464.835474
-292947.56,202,473.530804
-293779.94,203,479.971997
-293663.03,203,489.541683
-293613.6,203,495.625071
-298575.4,205,504.656931
-301095.7,206,510.837779
-298151.8,205,519.573371
-293341.47,203,525.715345
-293139.47,203,534.512643
-293249.78,203,540.702124
-295546.06,204,549.546967
-291862.38,203,555.717534
-294087.06,204,564.66766
-291860.16,203,570.755386
-292077.34,203,579.696942
-291833.6,203,585.821593
-291837.28,203,594.580109
-291970.72,203,600.610833
-289909.16,202,609.343073
-288086.6,201,615.379403
-286673.06,200,623.915214
-287085.44,200,629.812182
-283948.4,198,638.47892
-285687.7,199,644.545699
-280845.8,196,653.019635
-282849.38,197,659.475078
-283280.28,197,667.99367
-279111.75,195,674.363134
-282622.9,197,682.992199
-283538.25,197,689.000437
-281788.94,197,697.738888
-282900.66,197,703.781342
-280576.03,196,712.575314
-283182.2,197,718.577145
-283829.34,199,727.27291
-281856.06,197,733.310852
-283681.56,198,741.891651
-282901.44,197,747.816269
-282506.88,197,756.462788
-284947.72,198,762.486504
-280321.8,196,771.190939
-282533.53,198,777.253143
-287933.9,202,786.011431
-281185.9,196,791.942939
-284642.44,199,800.950653
-285464.25,201,806.846455
-286101.6,200,815.692172
-287396.25,202,821.624646
-289722.78,203,830.552916
-288148.03,202,836.500329
-303141.72,213,845.598452
-304280.94,213,851.546668
-311654.1,218,861.177287
-304630.03,213,866.972245
-344240.66,238,877.270057
-344667.78,239,883.065105
-350282.75,242,893.689166
-368878.1,254,899.911036
-394186.44,269,910.897686
-395815.34,269,917.060637
-374505.88,257,927.913871
-401018.56,273,934.835171
-401533.62,273,945.409523
-525138.5,343,954.986943
-530921.75,358,965.956656
-640737.3,426,978.202659
-745006.06,504,992.628736
-751209.8,531,1006.009861
-589402.25,446,1017.457734
-581469.75,467,1031.463721
-630185.7,511,1044.276393
-509742.5,433,1055.448569
-543725.7,445,1068.554914
-533911.0,441,1079.425915
-574207.44,465,1093.67315
-531472.0,436,1103.526769
-674021.2,530,1121.019987
-540446.06,444,1127.682034
-659456.9,529,1148.757046
-636978.06,502,1154.212082
-562757.25,454,1174.694243
-690320.5,567,1180.706334
-678365.06,537,1202.46787
-658062.94,520,1207.803377
-596256.06,475,1227.810257
-692828.7,552,1236.349657
-693481.25,560,1256.827194
-576690.9,473,1261.757181
-704281.9,568,1285.638193
-688464.44,563,1290.449389
-550517.6,468,1312.13573
-709654.25,579,1318.73082
-675276.3,574,1341.341872
-646111.06,571,1348.194925
-641101.56,561,1370.537355
-683713.4,604,1378.614435
-620507.4,571,1399.823916
-626980.6,580,1408.28526
-672911.7,591,1430.255808
-665915.3,602,1439.046313
-612157.25,567,1459.449305
-627967.56,608,1469.775309
-580814.44,558,1487.921252
-694008.2,599,1499.84429
-527829.7,473,1513.316916
-645257.7,583,1529.449143
-627916.5,577,1542.942899
-673517.1,604,1560.413523
-689460.44,600,1573.434196
-632290.7,591,1590.230107
-574606.25,586,1603.125078
-606735.2,590,1620.214719
-615286.0,599,1633.154892
-594595.1,595,1650.108077
-523362.66,587,1662.862597
-504235.34,580,1679.996096
-580931.3,582,1692.80564
-453774.1,453,1704.651214
-581569.75,590,1722.52876
-533412.7,607,1735.133219
-512251.34,599,1752.647661
-467184.75,597,1764.753831
-540592.94,600,1782.579043
-581523.7,607,1809.622325
-2452531.0,1453,1831.847833
-554651.9,609,1840.694628
-683011.1,621,1862.689082
-591346.1,625,1871.479565
-607312.4,612,1893.227292
-602774.3,607,1902.123241
-618884.1,608,1924.174257
-637773.8,631,1933.642618
-607278.94,633,1955.571126
-633646.5,629,1964.940458
-595720.06,610,1986.083566
-1262456.5,962,2008.922791
-616469.6,614,2016.822352
-580137.4,608,2039.616734
-1213321.1,961,2060.97044
-557875.1,575,2069.586368
-557512.1,578,2095.278743
-878286.3,789,2102.511179
-380061.5,608,2125.844072
-415684.06,605,2133.220752
-276049.94,648,2158.153106
-581068.4,628,2164.480195
-475985.5,622,2188.966165
