,0
0,-0.1465786624488803
1,-0.03079000610709491
2,-0.11650099507860509
3,-0.29159692998949843
4,-0.5003168881186513
5,-0.25801961869587386
6,-0.03328185919954395
7,-0.3499143204332143
8,-0.3509271639430012
9,-0.08576278935127415
10,-0.4932043537217675
11,-0.2052924171763898
12,-0.3940239853829823
13,-0.3313873772798338
14,-0.3812608340910217
15,-0.36335224485965156
16,-0.43830071031693507
17,-0.31409185491930414
18,-0.5717552905318575
19,-0.20310198495177106
20,-0.6029991952563432
21,-0.3823282266999709
22,-0.36103582544870017
23,-0.6508993335259315
24,-0.3184284594459739
25,-0.35653009233530963
26,-0.6416394123118185
27,-0.4097325119959209
28,-0.2507002390708053
29,-0.41796057125022545
30,-0.6251545458435364
31,-0.5200985378689359
32,-0.38865666482534617
33,-0.33079826724112943
34,-0.3759812039090731
35,-0.46704316885386304
36,-0.5578128304503417
37,-0.6325184824862498
38,-0.6853558833714989
39,-0.7156487061292051
40,-0.7252468794423991
41,-0.7168606478330847
42,-0.698153656800383
43,-0.7111054432518282
44,-0.8363382234305241
45,-1.041211027803036
46,-1.19850640802684
47,-1.0321852922874997
48,-0.9535467715940439
49,-1.2392015230934474
50,-1.3188899737736892
51,-1.0959683547688075
52,-1.424528492492886
53,-1.368579245760635
54,-1.3571681177419053
55,-1.5903361352343761
56,-1.403156263305364
57,-1.7224498025216473
58,-1.5584468565366452
59,-1.784820579614068
60,-1.8519577626853365
61,-1.7981510171014787
62,-2.2560116701108903
63,-2.103534249008645
64,-2.183497826455236
65,-2.62551319631738
66,-2.7402603875522287
67,-2.7183059654439847
68,-2.930825806623293
69,-3.3276606583869026
70,-3.710105071628936
71,-4.001572626719234
72,-4.15060328359116
73,-4.330931818375542
74,-4.5377018406195155
75,-4.758234337066931
76,-4.98084436867028
77,-5.2016656145231845
78,-5.423218958335529
79,-5.649003752528885
80,-5.879891030506501
81,-6.114968332474928
82,-6.262670861252134
83,-6.369535792443348
84,-6.498414322724419
85,-6.665352219348634
86,-6.878434721264949
87,-7.076378715691976
88,-7.180564484693693
89,-7.348357130560476
90,-7.587675779418321
91,-7.71509033605258
92,-7.908700212452863
93,-8.168570910774307
94,-8.331082422062213
95,-8.596616598201248
96,-8.784419279371948
97,-9.045071631986016
98,-9.26074387154825
99,-9.54419357851556
100,-9.760703678806737
101,-10.043933063580011
102,-10.268500499347073
103,-10.519025642985234
104,-10.812608515594977
105,-11.044630718958242
106,-11.310663376359356
107,-11.59914879652688
108,-11.87798998331041
109,-12.138200408189313
110,-12.413132867821636
111,-12.69490051768223
112,-12.974565159784046
113,-13.245440245097834
114,-13.505066003100314
115,-13.74139913722133
116,-13.974039665402811
117,-14.200704851536802
118,-14.416464169108735
119,-14.61719697858656
120,-14.802268055642966
121,-14.968677717134522
122,-15.109369884458639
123,-15.230519883111786
124,-15.329823122706962
125,-15.407983029030763
126,-15.468340139971778
127,-15.514047076386541
128,-15.513011336353962
129,-15.490288389261195
130,-15.445523356102207
131,-15.366569377208979
132,-15.239239932038505
133,-15.099998033406344
134,-14.930914802326225
135,-14.728588570110096
136,-14.517210127513374
137,-14.240599910046269
138,-13.959180820816027
139,-13.640043475686987
140,-13.34048217028359
141,-13.02280505792536
142,-12.72928709370011
143,-12.426006004082582
144,-12.148405859748577
145,-11.870981740104067
146,-11.62670303482733
147,-11.394889427660875
148,-11.203905739251374
149,-11.031158703453995
150,-10.900205517369677
151,-10.790511501532128
152,-10.72893021133178
153,-10.695162845452481
154,-10.707622577701443
155,-10.742167187168011
156,-10.804900780423024
157,-10.889151353521589
158,-10.988608196552494
159,-11.127449711935906
160,-11.259028793656881
161,-11.41650442121276
162,-11.583183778773556
163,-11.730075520788187
164,-11.884713932997364
165,-12.045457597551287
166,-12.201070397894728
167,-12.337961265986467
168,-12.46520154175928
169,-12.578229931537054
170,-12.676107218237904
171,-12.759058044216202
172,-12.825277947515563
173,-12.870335207806669
174,-12.889776127806888
175,-12.882847888912902
176,-12.852397099341314
177,-12.801603237310072
178,-12.73112234618041
179,-12.63874471811499
180,-12.52293479763441
181,-12.386436628854442
182,-12.219377632774309
183,-12.037371704417652
184,-11.852706776466315
185,-11.669700219441381
186,-11.463514110760103
187,-11.263701437664313
188,-11.081466045806106
189,-10.888414544523124
190,-10.726480006509842
191,-10.568736465770536
192,-10.431069995008937
193,-10.307568743800076
194,-10.326365933105855
195,-10.435388286553085
196,-10.528438519252505
197,-10.568127667599073
198,-10.589931892694315
199,-10.583239962704539
200,-10.533634156320135
201,-10.463530836026935
202,-10.53636980681766
203,-10.705152308223155
204,-10.894887501472734
205,-11.108331324321375
206,-11.3424565825566
207,-11.597093037093037
208,-11.874103262107417
209,-12.174366001325073
210,-12.49602575435251
211,-12.834372998036578
212,-13.183797660823497
213,-13.539343600096908
214,-13.895508997514492
215,-14.245703927275589
216,-14.584733238175975
217,-14.911545518979118
218,-15.227999186026326
219,-15.535794598956802
220,-15.834928726285224
221,-16.12320368715388
222,-16.396737303569125
223,-16.652704062800872
224,-16.890897137284544
225,-17.09959369066737
226,-17.291769103067587
227,-17.46660656736642
228,-17.620592988470914
229,-17.750199648617713
230,-17.837090612851163
231,-17.89858634968457
232,-17.939560649682925
233,-17.96195047444264
234,-17.949576802542094
235,-17.923343034858018
