traj_tx,traj_ty
70,-25
70.01,-25
70.02,-25
70.03,-25
70.04,-25
70.05,-25
70.06,-25
70.07,-25
70.08,-25
70.09,-25
70.1,-25
70.11,-25
70.12,-25
70.13,-25
70.14,-25
70.15,-25
70.16,-25
70.17,-25
70.18,-25
70.19,-25
70.2,-25
70.21,-25
70.22,-25
70.23,-25
70.24,-25
70.25,-25
70.26,-25
70.27,-25
70.28,-25
70.29,-25
70.3,-25
70.31,-25
70.32,-25
70.33,-25
70.34,-25
70.35,-25
70.36,-25
70.37,-25
70.38,-25
70.39,-25
70.4,-25
70.41,-25
70.42,-25
70.43,-25
70.44,-25
70.45,-25
70.46,-25
70.47,-25
70.48,-25
70.49,-25
70.5,-25
70.51,-25
70.52,-25
70.53,-25
70.54,-25
70.55,-25
70.56,-25
70.57,-25
70.58,-25
70.59,-25
70.6,-25
70.61,-25
70.62,-25
70.63,-25
70.64,-25
70.65,-25
70.66,-25
70.67,-25
70.68,-25
70.69,-25
70.7,-25
70.71,-25
70.72,-25
70.73,-25
70.74,-25
70.75,-25
70.76,-25
70.77,-25
70.78,-25
70.79,-25
70.8,-25
70.81,-25
70.82,-25
70.83,-25
70.84,-25
70.85,-25
70.86,-25
70.87,-25
70.88,-25
70.89,-25
70.9,-25
70.91,-25
70.92,-25
70.93,-25
70.94,-25
70.95,-25
70.96,-25
70.97,-25
70.98,-25
70.99,-25
71,-25
71.01,-25
71.02,-25
71.03,-25
71.04,-25
71.05,-25
71.06,-25
71.07,-25
71.08,-25
71.09,-25
71.1,-25
71.11,-25
71.12,-25
71.13,-25
71.14,-25
71.15,-25
71.16,-25
71.17,-25
71.18,-25
71.19,-25
71.2,-25
71.21,-25
71.22,-25
71.23,-25
71.24,-25
71.25,-25
71.26,-25
71.27,-25
71.28,-25
71.29,-25
71.3,-25
71.31,-25
71.32,-25
71.33,-25
71.34,-25
71.35,-25
71.36,-25
71.37,-25
71.38,-25
71.39,-25
71.4,-25
71.41,-25
71.42,-25
71.43,-25
71.44,-25
71.45,-25
71.46,-25
71.47,-25
71.48,-25
71.49,-25
71.5,-25
71.51,-25
