#{"t_start": 1700201476.6733012, "env_id": null}
r,l,t
-619704.94,462,581.048667
-665274.8,482,589.863106
-609678.9,272,629.720441
-612496.0,270,639.12352
-715448.7,229,654.824651
-675320.6,222,658.983498
-587445.8,269,698.236513
-611466.94,270,705.442564
-605053.06,253,736.547029
-605091.6,254,744.039544
-567283.4,330,765.089115
-592126.4,346,768.742494
-267047.88,331,789.193477
-593739.06,334,792.986848
-259966.08,298,812.103142
-264950.6,299,816.036216
-656907.75,236,832.206208
-553658.3,242,836.471517
-583918.6,260,862.427811
-572540.25,266,872.093107
-696099.4,335,892.070371
-3545553.5,4327,1872.163051
-2599115.2,279,2054.873063
-2607113.2,281,2239.1753
-2607239.5,281,2423.903447
-2620386.8,282,2610.375103
-2611249.0,281,2794.967105
-7927585.0,6069,2812.123182
-2607113.5,281,2982.327779
-2606931.2,281,2999.475401
-2627714.8,281,3169.636133
-2610427.2,281,3186.688616
-2461813.5,244,3332.372387
-2440300.8,242,3347.959928
-2468217.8,246,3496.687226
-2463601.5,245,3511.957548
-2442742.5,244,3660.604196
-2456364.5,246,3677.076594
-2440860.8,246,3826.47617
-2421096.0,243,3841.15342
-2430825.2,246,3991.346671
-2427727.5,245,4005.09601
-2423866.2,245,4155.166206
-2426307.8,246,4169.655561
-2427995.5,246,4319.757307
-2417820.8,246,4334.314114
-2441016.2,250,4487.285661
-2417857.5,244,4497.881169
-2419877.8,244,4650.577912
-2437932.2,248,4663.764534
-2414521.2,243,4812.568829
-2402483.8,243,4825.645465
-2430789.5,247,4976.979833
-2459886.8,256,4996.015242
-2426407.2,248,5143.221583
-2508491.0,264,5172.289605
-2450163.2,252,5311.935717
-2465120.0,256,5343.851709
-2416625.0,246,5477.600469
-2466338.5,256,5515.969765
-2410101.0,244,5640.665226
-2425336.8,245,5679.817855
-2432403.8,248,5806.215006
-2384769.2,246,5843.881108
-2371370.0,244,5970.123086
-2406830.2,246,6008.791942
-2359861.2,241,6131.505801
-2318710.0,233,6165.254467
-2422321.2,250,6299.136777
-2450916.0,245,6330.057053
-2433589.8,225,6450.740103
-2220015.2,225,6481.306638
-2385175.2,245,6613.774529
-2379576.5,232,6636.138157
-2318956.8,234,6780.895531
-2299854.8,223,6796.922831
-2354337.5,241,6942.842709
-2432372.5,246,6961.386772
-2369599.0,243,7105.995995
-2433371.2,246,7126.340948
-2436193.8,246,7270.469007
-2391652.8,246,7290.680133
-2461662.2,251,7438.327873
-2381186.8,245,7454.692017
-2428379.5,246,7603.204708
-2436364.8,249,7621.482408
-2477448.5,257,7775.524209
-2478583.0,257,7794.15525
-2426748.2,253,7944.605411
-2431450.0,254,7963.558013
-2467729.5,255,8114.113042
-2481232.0,258,8134.807516
-2445738.5,251,8281.546557
-2454524.5,253,8303.769795
-2428118.8,246,8445.923945
-2406470.0,249,8470.494847
-2393683.0,246,8610.364827
-2396908.5,246,8634.607742
-2413050.0,250,8778.804534
-2420496.2,245,8799.711422
-2409520.2,242,8940.597719
-2399047.8,240,8960.150869
-2404386.5,242,9101.22688
-2399357.8,247,9124.106673
-2395608.0,238,9260.50573
-2395153.0,236,9282.198582
-2395215.2,237,9418.763705
-2403999.0,240,9442.26371
-2348401.8,237,9577.38443
-2361647.2,241,9603.613416
-2375024.2,242,9739.86425
-2398941.5,240,9764.847738
-2307898.5,225,9891.439195
-2301720.0,226,9916.866952
-2318074.8,236,10049.988939
-2437843.5,242,10079.469205
-2333509.2,234,10208.773117
-2401478.0,239,10241.468592
-2409248.2,241,10370.486508
-2360205.2,240,10402.415611
-2375525.0,244,10533.632907
-2436012.0,247,10567.290371
-2424664.8,248,10699.610125
-2406314.0,248,10733.785819
-2273402.2,219,10847.687722
-2239683.5,223,10884.329736
-2336421.5,237,11007.460055
-2418168.0,243,11047.911049
-2422197.0,245,11171.362057
-2416666.8,252,11216.210948
-2424287.0,253,11340.84295
-2454371.2,254,11386.395408
-2434863.2,250,11507.608675
-2427560.0,248,11551.969818
-2382492.2,238,11667.542244
-2400267.5,249,11719.040248
-2436817.0,251,11835.174361
-2437971.0,250,11885.664466
-2455188.8,253,12003.743328
-2436167.5,250,12052.222503
-2412546.8,244,12166.93119
-2428455.8,248,12217.805932
-2381393.0,245,12330.440696
-2434010.5,249,12384.039299
-2331164.5,234,12487.629695
-2384864.5,235,12543.560402
-2317047.8,232,12643.854072
-2265510.2,215,12687.368393
-2866750.5,302,12884.640301
-2319728.8,218,13027.7329
-5354325.5,593,13411.821754
-4311871.0,596,13799.335279
-2370236.5,240,13958.00553
-11148027.0,2021,13966.692837
-2454319.2,262,14137.934407
-2375267.0,297,14157.463281
-2431409.5,255,14307.637774
-2507826.2,262,14332.234564
-2349739.2,239,14468.581221
-2393192.0,246,14497.636333
-2412452.5,243,14631.443574
-2383940.5,241,14659.013314
-2393143.2,244,14794.638444
-2383276.0,243,14821.287517
-2422099.0,251,14961.573107
-2402220.8,247,14985.745186
-2400330.0,246,15126.285617
-2346598.5,236,15143.977295
-2480218.5,258,15300.302201
-2482397.5,259,15318.783517
-2394000.0,238,15460.529134
-2391292.5,240,15480.175225
-2390740.8,239,15620.337306
-2399123.8,240,15640.475638
-2244832.2,211,15761.839932
-2354051.0,232,15795.759838
-2282956.5,214,15905.928935
-2829814.8,285,16093.744068
-4929113.0,575,16178.510779
-2279807.0,220,16243.544219
-2278146.5,216,16323.4245
-4110770.8,491,16564.232975
-3123085.5,406,16589.592438
-2380402.2,237,16722.99593
-2398853.0,241,16751.369457
-2424107.8,245,16887.881454
-2379120.2,237,16910.95918
-2365315.5,235,17045.986416
-2368600.2,234,17068.369151
-2215485.2,213,17190.643483
-2219952.2,213,17212.653248
-2386989.0,238,17349.321287
-2382719.5,237,17370.941138
-2363476.5,234,17506.316698
-2374901.8,234,17528.022538
-2394863.8,239,17666.478088
-2362055.5,234,17684.863002
-2121647.0,225,17817.536675
-2395826.0,266,17862.656711
-2258763.0,213,17960.461642
-2367231.5,234,18018.992833
-2369907.2,220,18108.463205
-4457378.0,496,18431.402864
-7235847.0,633,18436.142764
-2402229.2,248,18597.936994
-2435415.8,249,18603.351012
-2405025.5,242,18759.698225
-2403345.2,242,18765.223496
-2430808.8,245,18924.94435
-2381762.2,242,18928.490647
-2402359.5,240,19085.434316
-2405731.5,240,19088.98133
-2400745.5,238,19244.983977
-2401484.2,240,19249.802293
-2605166.2,254,19413.647248
-2195889.0,259,19421.59546
-2215490.2,215,19559.300821
-2293085.8,214,19566.677141
-2374583.5,238,19718.621816
-2382301.8,234,19723.390895
-2462182.2,254,19888.872804
-2474761.0,256,19895.114155
-2483914.5,254,20058.896421
-2472910.8,252,20063.741714
-2474911.0,251,20227.570358
-2475078.8,251,20232.37821
-2404205.2,238,20386.519419
-2394672.8,236,20390.078311
-2330345.8,223,20536.91417
-2302942.8,230,20543.584372
-2048743.0,240,20702.453901
-2147455.2,254,20710.454988
-2414028.2,238,20861.604069
-2394930.8,236,20868.290326
-2433564.2,241,21022.25477
-2346491.5,235,21022.25477
-2483136.5,237,21179.035898
-2287732.8,246,21187.627587
-2385186.8,239,21339.278169
-2415585.0,238,21347.315889
-2378110.2,238,21498.670197
-2401788.2,237,21506.107704
-2377352.2,232,21655.346318
-2388268.8,232,21662.720736
-3634582.8,439,21948.31858
-3982757.0,437,21954.406806
-2466874.8,248,22114.157022
-2462007.0,247,22119.644536
-2407058.5,242,22275.870524
-2411523.5,242,22281.340817
-2421515.8,246,22439.943635
-2453767.0,242,22439.943635
-2535961.2,276,22621.516402
-3164533.0,336,22663.111764
-2377223.8,231,22776.609317
-2404567.8,244,22826.273132
-2398559.0,241,22937.887563
-2335612.0,231,22981.663224
-2742111.8,272,23119.176156
-2340440.0,236,23139.484548
-2432327.2,249,23285.271919
-2415665.8,245,23303.291901
-2463241.0,247,23450.265766
-2467710.2,248,23468.743943
-2442216.5,244,23615.192825
-2437002.8,243,23633.040332
-2398390.5,234,23772.591555
-2382543.5,229,23787.125616
-3269777.8,349,24003.066958
-3159415.2,368,24030.039714
-2451485.5,244,24166.501306
-2419278.5,244,24193.255878
-2516353.2,241,24327.34926
-2914761.5,304,24394.501722
-7914523.5,716,24792.145751
-4936224.5,640,24810.609065
-2475373.0,257,24965.635539
-2478559.5,257,24984.034898
-2427261.8,244,25128.712398
-2425033.2,243,25146.534827
-2688698.2,269,25309.762173
-2744815.5,292,25342.120025
-2360637.8,236,25467.303366
-2607054.0,257,25513.522674
-2440863.0,242,25629.383437
