#{"t_start": 1700982762.6988635, "env_id": null}
r,l,t
-4866.751,17,34.900167
-20.997845,2,42.488609
-3.5941944,2,42.531626
-11.82578,2,42.556562
-9.09542,2,42.582491
-15.370819,2,42.607425
-18.052114,2,42.62688
-12.034886,2,42.651321
-19.77434,2,42.69593
-14.816669,2,42.716849
-16.269524,2,42.743777
-10.491773,2,42.77021
-6.6156526,2,42.813099
-18.894274,2,42.836542
-6.4946127,2,42.857989
-13.567352,2,42.882429
-6.3070264,2,42.922323
-10.440101,2,42.944767
-17.808218,2,42.967706
-8.289477,2,42.990152
-12.551815,2,43.012094
-13.064488,2,43.037027
-4.461314,2,43.074927
-18.616339,2,43.099859
-6.613666,2,43.123795
-20.392992,2,43.14873
-24.226015,2,43.193609
-13.097405,2,43.216548
-18.44159,2,43.237996
-25.331795,2,43.262929
-11.15298,2,43.287862
-18.344131,2,43.31479
-15.779759,2,43.354684
-32.19607,2,43.377622
-28.63085,2,43.41951
-23.008474,2,43.443446
-20.952118,2,43.466384
-36.59738,2,43.489323
-30.554178,2,43.529217
-40.649426,2,43.553965
-39.44816,2,43.575907
-33.789066,2,43.599844
-32.48623,2,43.62677
-48.953186,2,43.697985
-36.767178,2,43.754341
-53.42136,2,43.811189
-46.886547,2,43.86854
-39.092686,2,43.924275
-51.49794,2,43.983132
-46.636547,2,44.040002
-44.167553,2,44.095867
-48.919353,2,44.153712
-54.49706,2,44.21056
-51.365257,2,44.26641
-68.657646,2,44.325253
-73.69654,2,44.38061
-66.44133,2,44.439452
-78.808464,2,44.493308
-71.555046,2,44.552151
-83.06007,2,44.606511
-78.101616,2,44.664356
-72.52996,2,44.723198
-85.73743,2,44.776057
-88.98249,2,44.832426
-77.951454,2,44.894764
-81.746185,2,44.949639
-93.183,2,45.008982
-100.97091,2,45.06385
-98.92421,2,45.125684
-102.7536,2,45.181576
-99.84354,2,45.237427
-102.63554,2,45.295272
-95.94348,2,45.351627
-99.13849,2,45.407477
-112.19367,2,45.467317
-103.522064,2,45.527157
-110.73222,2,45.5875
-107.849144,2,45.641356
-113.55817,2,45.703694
-112.362724,2,45.75755
-120.681206,2,45.813401
-131.07368,2,45.871246
-121.68105,2,45.926099
-135.71704,2,45.983964
-124.15141,2,46.040812
-141.20502,2,46.098657
-135.83171,2,46.154015
-140.60066,2,46.210862
-149.62991,2,46.26972
-152.66716,2,46.330557
-139.10565,2,46.390396
-152.39128,2,46.449239
-150.18228,2,46.530023
-148.55988,2,46.584382
-163.22812,2,46.642731
-156.04184,2,46.699579
-159.86632,2,46.759419
-163.9142,2,46.821283
-171.90094,2,46.877134
-166.72803,2,46.934506
-164.78587,2,46.99336
-169.14648,2,47.052222
-181.58844,2,47.106582
-178.69109,2,47.161456
-176.3444,2,47.216835
-174.85782,2,47.275742
-183.20764,2,47.328579
-194.56712,2,47.386451
-193.80055,2,47.441847
-191.90855,2,47.500219
-191.66164,2,47.553089
-191.29533,2,47.609936
-195.89291,2,47.666304
-194.81805,2,47.722659
-206.75563,2,47.779013
-202.30359,2,47.834804
-207.14001,2,47.907619
-211.55959,2,47.971448
-212.6302,2,48.027313
-212.3381,2,48.086155
-215.49864,2,48.146876
-222.55011,2,48.204721
-216.39883,2,48.262578
-216.59732,2,48.316937
-224.64938,2,48.377774
-227.65654,2,48.432628
-223.6224,2,48.49247
-235.39876,2,48.546829
-236.70181,2,48.608663
-241.15904,2,48.668503
-231.03252,2,48.724353
-234.1394,2,48.782198
-242.65973,2,48.836096
-245.23007,2,48.889955
-242.67381,2,48.949805
-250.21666,2,49.005656
-254.3161,2,49.063006
-252.65146,2,49.118857
-262.17584,2,49.174707
-249.8746,2,49.231555
-259.95694,2,49.288907
-256.11093,2,49.349744
-267.8665,2,49.426538
-266.08954,2,49.478399
-261.7064,2,49.538745
-263.68198,2,49.597587
-265.1871,2,49.654435
-277.7084,2,49.709288
-279.31992,2,49.77212
-275.93442,2,49.82649
-281.4265,2,49.884721
-279.78964,2,49.940572
-290.5362,2,49.998416
-285.15176,2,50.056766
-288.54868,2,50.117661
-295.7595,2,50.171544
-291.4437,2,50.229389
-302.73788,2,50.287738
-306.32324,2,50.346581
-296.7321,2,50.406421
-297.46942,2,50.463268
-305.82516,2,50.524609
-307.48578,2,50.583451
-306.757,2,50.639344
