#{"t_start": 1699879064.7429411, "env_id": null}
r,l,t
-49542.848,301,56.32373
-46368.84,307,60.582744
-63622.562,199,72.193817
-62491.418,206,76.156721
-51450.414,203,86.918024
-52021.707,234,92.161914
-73471.266,179,101.686825
-74033.35,175,106.741729
-74373.625,177,116.3507
-75267.15,180,121.39193
-72443.12,175,130.796772
-72332.38,178,135.96014
-71487.7,176,145.180641
-71469.945,176,150.256712
-71494.87,182,159.931917
-73698.46,181,164.955898
-75842.195,178,174.098001
-76076.766,175,178.977624
-75505.05,173,188.163429
-76598.12,174,193.191298
-76404.54,173,202.226918
-75744.516,172,207.598838
-75760.484,172,216.59883
-75436.52,172,221.491232
-75698.94,173,230.50077
-75498.336,172,235.216571
-75758.64,173,244.334776
-76367.234,174,249.136776
-75389.29,172,258.269848
-76096.64,174,263.155778
-76271.164,174,272.163434
-76208.61,175,277.176012
-75743.81,175,286.124014
-76351.91,175,291.068964
-76273.445,176,300.084626
-75509.125,176,305.068467
-75704.42,176,314.062123
-75592.62,177,319.132132
-75750.92,178,329.970193
-75140.0,180,335.465225
-72111.195,179,345.525223
-70176.61,178,351.379415
-67314.06,186,362.706048
-64916.617,179,367.63531
-64568.004,262,380.164758
-59481.926,236,383.953769
-55480.65,212,395.785743
-50095.168,228,400.185759
-54279.156,216,411.312957
-52855.86,232,416.245711
-50844.04,228,427.029956
-56511.645,219,432.91195
-52964.387,187,442.687937
-53788.965,186,447.195116
-53647.766,183,456.390746
-53695.066,203,461.817875
-55208.53,177,470.735362
-56819.207,173,476.015984
-52456.65,196,486.293116
-168718.78,417,504.947904
-139244.36,383,514.661057
-76735.47,194,521.849142
-76944.945,188,530.198797
-76765.28,185,536.765925
-76652.76,194,545.239215
-76728.2,190,551.435962
-77213.24,192,560.063376
-76758.95,191,566.194832
-77052.85,193,576.318749
-77032.78,195,583.203136
-76605.91,190,592.364861
-76410.74,195,600.312132
-76619.484,199,610.157764
-74231.34,188,616.711125
-72700.52,215,626.554358
-74264.086,200,632.299537
-72451.914,202,641.676028
-61951.285,257,649.008463
-51980.773,276,659.185859
-42687.848,303,667.880805
-46391.793,271,677.450137
-48660.703,272,687.073802
-225649.64,845,717.356441
-184692.47,742,750.138887
-24443.088,1850,768.249027
-105220.58,519,776.853694
-52520.42,207,783.568018
-66415.83,180,790.966493
-67082.43,173,797.342729
-66307.82,168,804.555964
-64852.445,170,810.987181
-65053.26,173,818.464683
-64241.2,173,824.946918
-64245.297,177,832.46089
-59882.984,173,838.792939
-59076.594,179,846.486794
-54712.207,177,852.617347
-55133.03,188,860.816797
-52682.676,184,866.881924
-63850.348,233,879.102027
-347487.78,932,907.766794
-189601.53,841,919.906916
-1814889.5,3329,1041.124605
-1672318.1,3276,1051.00101
-90515.34,1834,1127.52285
-93584.05,1817,1137.870383
-101731.19,1812,1211.726788
-98866.586,1824,1221.161791
-3663137.2,4098,1375.404906
-3424935.2,4018,1382.506893
-1912191.5,3398,1506.419944
-1857868.2,3381,1512.043197
-1937031.2,3422,1628.998052
-1933861.9,3426,1634.719229
-27241.342,1859,1705.611053
-2380785.2,3575,1767.212713
-27547.084,1841,1835.360936
