#{"t_start": 1699453853.4146483, "env_id": null}
r,l,t
-388940.78,300,61.870516
-455815.44,383,69.153822
-404269.78,274,80.826984
-417100.28,263,87.498421
-454425.06,267,99.20296
-458273.88,268,105.974985
-463220.72,268,117.577007
-460907.84,267,124.313236
-460424.47,267,135.97393
-460567.34,267,142.725075
-459181.06,267,154.084161
-460919.47,268,160.743843
-459535.1,268,172.618175
-460643.6,272,180.142266
-421811.34,269,191.566129
-419752.2,269,198.417895
-454664.44,268,209.564299
-456015.4,268,216.347187
-455358.84,267,227.794908
-451977.5,266,234.531222
-449611.28,265,245.815371
-452158.72,266,252.612877
-449978.5,266,264.366291
-447810.2,265,271.103173
-445130.2,265,282.398388
-442504.22,264,289.131041
-436376.9,264,300.216852
-425840.12,259,306.706994
-362990.12,235,316.777482
-358013.8,234,323.221087
-366573.38,239,333.502017
-366515.9,240,340.063744
-371851.44,245,350.925956
-379691.03,250,357.646015
-371598.9,249,368.315732
-389128.4,258,375.337975
-364687.6,244,385.117952
-363300.53,244,392.062417
-361749.44,239,401.724619
-355149.56,243,408.900868
-352001.9,232,418.459938
-350659.22,231,426.013481
-348220.78,233,435.770967
-338401.56,227,442.925533
-337884.6,226,453.276031
-335398.78,227,460.289889
-334682.56,226,469.821968
-335110.2,225,476.838626
-337860.47,227,486.398474
-342694.8,229,493.53034
-346217.16,231,503.203854
-377817.78,246,510.809355
-366162.4,242,520.267973
-366575.84,242,527.904119
-375383.47,246,537.789095
-380759.22,248,545.790613
-380730.25,247,555.438329
-374904.22,246,563.162036
-389229.28,250,572.942163
-379413.25,247,580.594035
-413829.75,265,591.156135
-403837.5,260,598.466207
-443211.44,279,609.520448
-469155.06,293,617.298927
-472802.1,295,628.42819
-484712.8,300,636.571734
-385728.5,249,645.555471
-389793.84,250,653.822672
-388414.2,250,663.121606
-388329.8,250,671.172046
-377543.9,246,680.115808
-384167.62,248,688.364071
-396985.78,252,697.54725
-393265.5,251,705.624014
-395723.6,252,714.846496
-390542.62,250,722.813545
-393442.28,251,732.167115
-394877.97,251,740.061101
-394979.28,251,749.287486
-384095.56,248,757.144249
-395619.53,252,766.418962
-384257.03,248,774.51394
-383015.78,248,784.12594
-384987.66,249,791.966138
-377436.34,247,801.56383
-381185.34,248,809.702103
-373534.53,245,819.107774
-380371.38,247,827.115177
-376485.84,246,836.418172
-374661.1,246,845.063113
-374086.16,245,854.315163
-381075.2,249,862.534023
-415348.5,267,872.200022
-464808.22,291,882.019268
-423772.22,272,892.077949
-426220.8,272,901.948383
-436008.47,277,913.093176
-464787.7,294,923.239774
-467520.66,295,933.257172
-374101.44,250,941.826943
-409768.75,267,953.930961
-376792.88,251,962.882217
-369943.22,248,976.298313
-378627.6,252,985.449071
-407761.75,270,998.642938
-493364.94,308,1009.924957
-437005.47,284,1021.174301
-438490.0,286,1032.195213
