#{"t_start": 1700498358.0444112, "env_id": null}
r,l,t
-952783.06,480,68.408917
-1309376.0,633,78.781913
-6735819.0,1911,160.611105
-12919193.0,3891,237.164925
-12539565.0,3981,326.920988
-15048784.0,5249,453.311785
-6309328.5,2015,533.192219
-28672650.0,9139,693.67871
-1191487.6,461,715.72679
-13318210.0,4804,913.684921
-31129522.0,10002,945.133866
-1105253.6,662,975.290038
-18263052.0,6895,1247.550803
-25383946.0,10002,1319.027085
-16066111.0,6507,1570.491712
-23132004.0,10002,1640.709997
-2285906.0,2049,1722.096842
-930972.5,4112,1883.309961
-26130206.0,10002,1968.138908
-805308.5,4110,2051.213859
-1081054.1,4108,2134.266208
-1288112.5,4106,2215.568896
-1055372.2,4104,2301.56802
-1554160.5,4102,2382.892
-1109175.4,4102,2468.659973
-653715.4,4101,2549.095218
-596918.9,4100,2639.06549
-495534.22,4098,2726.427351
-366220.12,4098,2814.00174
-216761.86,4098,2897.699995
-244448.75,4098,2988.657916
-258916.61,4097,3082.995175
-368633.72,4096,3169.711838
-420401.1,4096,3253.119846
-418358.72,4096,3338.905939
-336327.94,4097,3419.018818
-295738.12,4097,3503.89543
-327886.78,4097,3587.157869
-325256.3,4097,3674.971974
-284040.0,4097,3756.612004
-458343.66,4097,3840.085309
-432405.3,4097,3922.666336
-496819.3,4097,4007.861323
-407939.47,4098,4088.529578
-385763.9,4097,4173.59796
-388877.4,4097,4254.332939
-737516.8,4097,4339.060799
-1067420.4,4097,4417.809786
-1008803.5,4097,4499.131517
-359731.34,4097,4579.113324
-330148.62,4097,4660.801794
-701540.06,4096,4740.30194
-410472.34,4096,4820.535616
-358440.9,4096,4900.785727
-468648.16,4096,4984.771566
-479449.6,4096,5065.398485
-679530.2,4096,5148.051082
-480469.44,4096,5227.651066
-506268.84,4096,5308.896596
-436158.94,4096,5388.466382
-493594.3,4096,5469.191162
-532853.6,4096,5548.493225
-505884.47,4096,5631.674505
-543659.0,4096,5712.009798
-534538.94,4096,5800.841267
-729726.25,4096,5886.986344
-535926.44,4096,5978.456167
-585700.25,4096,6063.061604
-575633.75,4096,6145.939355
-603496.7,4096,6228.858374
-993899.3,4097,6314.070536
-576135.6,4096,6394.807701
-554207.8,4097,6480.286481
-924617.25,4096,6562.939994
-666954.7,4096,6655.798723
-968893.8,4096,6749.706034
-804423.9,4097,6846.792508
-1073989.8,4097,6944.86598
-1298905.0,4096,7042.982797
-1485269.0,4097,7136.919293
-1295115.1,4096,7233.796111
-1652943.6,4096,7327.199078
-1484855.6,4097,7423.153514
-1507850.9,4097,7517.515235
-1521876.2,4098,7613.915916
-1320385.2,4098,7707.323468
-1239664.8,4098,7804.578796
-1143031.1,4098,7898.289547
-834410.0,4098,7996.364619
-1048135.5,4098,8091.254904
-930622.3,4098,8188.164378
-911389.5,4098,8283.1395
-687749.0,4097,8379.33675
-802287.9,4097,8473.363371
-366520.56,4097,8570.310794
-523039.12,4097,8663.542548
-548585.0,4097,8761.093223
-849842.75,4097,8854.878218
-1228038.0,4097,8951.908459
-1410518.8,4114,9048.769614
-1223848.0,4096,9145.436568
-1216431.5,4096,9241.284372
-1044536.5,4096,9336.304243
-900344.5,4096,9431.134329
-1248859.8,4095,9527.010043
-1359961.0,4095,9621.85817
-1389932.8,4095,9717.660476
-1493150.2,4095,9812.543445
-1108076.8,4096,9908.538266
-973945.75,4096,10004.405807
-507078.4,4096,10100.523201
-1479915.5,4094,10195.901706
-617319.7,4096,10290.979806
-572914.44,4096,10386.303226
-667673.3,4095,10482.279725
-822271.56,4095,10577.499818
-1492420.9,4095,10671.30898
-1577289.1,4095,10767.087625
-989755.1,4094,10865.471115
-855297.0,4095,10960.651178
-753748.1,4095,11056.421296
-600597.0,4096,11150.542692
-994397.9,4095,11247.02613
-730427.5,4094,11342.32764
-711412.7,4094,11439.46953
-794208.8,4094,11534.290927
-1023453.06,4094,11630.559587
-721458.2,4095,11724.078002
-686128.75,4095,11820.733088
-725774.8,4095,11915.893873
-767414.94,4095,12012.735918
-693160.9,4095,12108.253246
-596456.06,4096,12205.016221
-560271.44,4097,12300.816539
-597428.0,4097,12396.432252
-469830.25,4098,12490.833453
-548661.25,4097,12586.381502
-486160.44,4097,12680.960857
-439234.25,4098,12777.557327
-435534.62,4098,12872.729366
-361395.03,4097,12972.652746
-466217.38,4097,13067.10369
-300274.22,4097,13163.876307
-357273.2,4097,13259.801192
-353701.84,4097,13356.278859
-395922.72,4097,13451.043996
-407698.3,4097,13547.035139
-419498.22,4097,13642.718805
-334368.56,4097,13739.351671
-330738.22,4097,13834.975855
-402851.16,4097,13930.078873
-371801.78,4097,14024.125747
-333173.1,4096,14119.80134
-355992.1,4096,14214.381619
-371235.25,4096,14310.007816
-296075.0,4096,14404.513125
-356289.97,4095,14500.228622
-312676.94,4096,14595.504574
-342708.94,4095,14691.809607
-327559.78,4095,14786.532124
-238154.97,4095,14881.905894
-490619.84,4094,14976.826829
-391045.16,4094,15072.194594
-368258.53,4094,15168.456282
-372529.47,4094,15262.741764
-348320.4,4094,15357.110512
-402017.2,4095,15452.765361
-385899.75,4095,15548.280142
-400808.97,4095,15645.538843
-449636.2,4095,15740.728456
-449034.0,4095,15834.973887
-441450.16,4095,15930.631145
-468613.28,4095,16026.361258
-432713.75,4095,16120.366106
-372939.0,4095,16216.776081
-255764.86,4095,16314.309011
-163610.47,4096,16409.489435
-250687.83,4096,16505.553011
-164416.03,4096,16601.780705
-216278.98,4096,16696.622993
-169224.73,4096,16791.990322
-202762.95,4096,16888.042379
-225758.94,4096,16983.428217
-209487.33,4096,17077.246563
-217891.28,4097,17173.332422
-253631.72,4097,17267.708061
-7872874.5,3041,17316.537219
-5070888.0,1841,17402.123678
-9771421.0,3149,17422.737153
-504988.9,4098,17595.05449
-208149.25,4097,17611.987425
-273286.0,4097,17786.074811
-194998.8,4097,17803.352504
-197232.5,4098,17977.300419
-210929.48,4098,17994.294953
-259745.58,4097,18167.933638
-218569.7,4098,18185.308272
-336877.22,4097,18361.368083
-275951.56,4097,18379.276744
-295021.16,4097,18553.511969
-355154.7,4097,18570.777501
-276438.12,4097,18743.977021
-320183.28,4097,18761.173675
-422874.84,4097,18935.100068
-332952.94,4098,18952.551483
-321198.9,4098,19126.23176
-317524.2,4098,19143.841722
-207008.97,4099,19318.191971
-185507.6,4100,19335.646882
-248874.14,4099,19507.204358
-232626.69,4098,19524.734609
-162510.22,4098,19699.817462
-156607.23,4098,19717.079644
-150977.03,4097,19891.384748
-108670.28,4098,19909.47514
-96778.98,4098,20083.20973
-158207.6,4097,20100.732862
-102525.62,4097,20272.666739
-190309.22,4097,20289.976799
-176255.47,4098,20464.499599
-128688.6,4098,20481.832505
-112535.37,4098,20657.439443
-134506.06,4098,20674.755728
-173168.97,4098,20849.841106
-180582.89,4098,20867.537355
-336234.44,4099,21041.546522
-209380.64,4098,21058.860263
-260415.05,4098,21233.077083
-276948.62,4098,21250.520864
-239669.97,4098,21424.857254
-262844.38,4097,21442.52246
-330346.06,4098,21617.131019
-284706.53,4098,21633.898566
-295204.25,4099,21807.302599
-311815.88,4098,21824.650653
-285297.34,4098,21998.58459
-247741.9,4098,22015.929586
-243028.44,4099,22190.150418
-280236.44,4099,22207.455868
-190966.75,4098,22380.529066
-2696036.8,4223,22403.766342
-140428.66,4099,22570.930835
-189499.4,4098,22594.084177
-194635.97,4099,22763.820695
-207699.34,4099,22786.833973
-260452.89,4099,22957.461943
-278705.3,4099,22980.215229
-238300.27,4099,23151.601592
-225497.44,4099,23174.685735
-232647.44,4100,23344.445846
-226693.83,4099,23367.043531
-234427.72,4099,23535.818454
-221699.95,4099,23558.868291
-218688.94,4099,23728.313107
-211900.89,4099,23750.718682
-212175.56,4099,23921.306406
-201705.06,4099,23944.180043
-199609.92,4099,24111.840773
-224958.77,4098,24134.621916
-206983.95,4098,24302.531656
-207691.42,4098,24325.159704
-174642.5,4098,24495.579146
-209977.48,4098,24518.411719
-212654.4,4098,24686.902968
-209745.38,4098,24710.02369
-197781.94,4098,24876.459208
