#{"t_start": 1700065207.7035155, "env_id": null}
r,l,t
-343835.22,745,78.337068
-379579.7,938,100.552068
-141059.72,249,111.932043
-231683.05,279,143.154236
-233949.84,280,160.275962
-231358.34,277,191.577967
-232940.62,278,208.994892
-233038.8,278,240.266054
-231623.52,277,257.40414
-232447.61,277,288.41525
-231958.84,277,305.867444
-231967.06,277,337.723913
-231792.98,277,354.84142
-232334.31,277,386.018773
-231816.61,277,403.160506
-232863.67,278,434.273206
-232830.28,278,451.373109
-233130.3,278,482.488999
-232805.8,278,499.595023
-232641.44,278,530.531158
-233004.25,278,547.622131
-235170.75,280,579.189392
-236914.19,281,596.379019
-239317.38,283,628.491382
-241169.72,284,647.53221
-194059.62,262,674.012247
-196306.42,264,691.860409
-184135.7,257,717.140229
-184864.25,258,734.775232
-182867.06,257,759.542694
-182275.4,256,777.128009
-179249.08,255,801.086094
-180855.25,256,819.343978
-180997.89,256,843.308357
-180271.39,256,859.629002
-179256.03,255,882.596116
-181449.7,257,899.826352
-180374.66,256,922.525334
-182084.78,256,939.31597
-177220.64,254,962.632118
-178809.69,256,980.714785
-182193.97,258,1004.255846
-181062.1,256,1022.090866
-180510.62,257,1046.137037
-185943.44,261,1064.827028
-174780.52,254,1087.721889
-172019.61,252,1105.253811
-176275.55,254,1128.73222
-172714.67,252,1146.026005
-176540.56,257,1169.013951
-175772.7,256,1186.326758
-182534.05,265,1210.791119
-182811.45,272,1229.430636
-183588.31,279,1254.147363
-186072.53,284,1273.623852
-184123.5,278,1300.812158
-2633614.8,1814,1479.715775
-253750.2,296,1536.450258
-251086.95,295,1583.687093
-250747.53,294,1619.076565
-252002.5,293,1668.463329
-255824.88,299,1722.073187
-251225.73,292,1759.052197
-7033603.0,3250,1763.706879
-230391.97,285,1797.112036
-257645.84,297,1807.857749
-254374.31,295,1843.458555
-228776.72,282,1851.202768
-259017.7,302,1888.070761
-259175.4,298,1894.84031
-234953.67,285,1928.280934
-254911.53,296,1937.793209
-232054.58,287,1970.663714
-260063.66,303,1984.203656
-233185.38,289,2016.508379
-266118.38,304,2033.24768
-267982.3,317,2069.100592
-263196.62,310,2084.590159
-270211.94,335,2122.347632
-268969.38,330,2136.936147
-267061.5,313,2173.350376
-268935.1,324,2190.306828
-227743.66,307,2221.87115
-264291.1,329,2284.846241
-260689.12,305,2342.498987
-271670.9,319,2405.805088
