,0
0,-2.3995756665738703
1,-3.5274057253504085
2,-4.682272089522367
3,-4.142559989267176
4,-2.940778798486279
5,-1.7149792063666887
6,-0.4650528648049132
7,-0.8347716937814393
8,-2.140957506791646
9,-3.47251340052256
10,-4.8290824579081715
11,-3.8456436692655735
12,-2.44901298672695
13,-1.0292778330148447
14,-0.5034788489600422
15,-1.9772601413028674
16,-3.4773385500663623
17,-5.000910487654394
18,-3.5670473423669518
19,-2.0052725990130646
20,-0.4320334210363172
21,-1.3282180096596607
22,-2.9623631224352924
23,-4.620430800358004
24,-3.8434363165349112
25,-2.1454048302451723
26,-0.4472305598053117
27,-1.479263290248823
28,-3.241745908283363
29,-5.028408355651289
30,-3.3137046175758798
31,-1.4892327236918868
32,-0.54976184296584
33,-2.3935980024924848
34,-4.282295590086097
35,-3.952281553192683
36,-2.023832361823235
37,-0.27174538733656456
38,-2.0586678345833627
39,-4.045831514936201
40,-4.086581721842572
41,-2.061302864126547
42,-0.3032082604649172
43,-2.218000996002962
44,-4.301709888516917
45,-3.74070885090056
46,-1.6266609761057838
47,-0.725727766537292
48,-2.853229645007587
49,-5.031358784816622
50,-2.9371606584734735
51,-0.7631162541064943
52,-1.704143066954621
53,-3.946107248698319
54,-3.970976124357749
55,-1.7016276000880808
56,-0.8591016380139116
57,-3.1418084066293996
58,-4.733395750807752
59,-2.392623654316555
60,-0.4185627334554741
61,-2.607103121560492
62,-5.003934307859617
63,-2.8262154995977946
64,-0.5269522858306843
65,-2.329750529729953
66,-4.785963552612909
67,-3.009513291771682
68,-0.6265436410106193
69,-2.296975361430015
70,-4.811198862428797
71,-2.9519942631003584
72,-0.5635687880592354
73,-2.4969483048162187
74,-5.06871548999186
75,-2.6645033647404612
76,-0.5333686252501079
77,-2.9197054005869405
78,-4.788125141094097
79,-2.1599674594294735
80,-0.9514819043993338
81,-3.556210091666247
82,-4.11876466898841
83,-1.4590945015594918
84,-1.699869072460012
85,-4.3972629486400185
86,-3.249632233139066
87,-0.6735843017875502
88,-2.6727726419568856
89,-4.9576083806045705
90,-2.1974661665999697
91,-1.1025854539442963
92,-3.841559853878933
93,-3.7597643133784153
94,-1.0185309091874024
95,-2.359199828539553
96,-5.191173171298848
97,-2.398635407476984
98,-1.0299163732355678
99,-3.8250281946965283
100,-3.743264626347969
101,-0.9526460005737403
102,-2.5559052198943824
103,-5.009282617339043
104,-2.1118927151505744
105,-1.4003985632888616
106,-4.293589368846473
107,-3.2564251961624877
108,-0.6687204819596424
109,-3.2119066383441224
110,-4.334161419538265
111,-1.4085743032480005
112,-2.21437520972072
113,-5.1953151384023
114,-2.358616095804436
115,-1.3177126680859836
116,-4.279486785806371
117,-3.2660117160665934
118,-0.7195583677973751
119,-3.431821697444178
120,-4.116458310595846
121,-1.152213204671965
122,-2.6500635486815076
123,-4.9099193928654365
124,-1.8727136596506817
125,-1.9348598979475882
126,-4.9946750659836745
127,-2.576845083306196
128,-1.2983881510300521
129,-4.334384646375038
130,-3.240363815294921
131,-0.8280510700239316
132,-3.7236230694381414
133,-3.861148249212968
134,-0.909249411472685
135,-3.1589141530083276
136,-4.441028566030473
137,-1.3696292842446103
138,-2.6371275579595315
139,-4.982964672365914
140,-1.867210590144937
141,-2.155852510528352
142,-5.298088175952389
143,-2.349106960181517
144,-1.7143974391723844
145,-4.8508823781219945
146,-2.807632208403105
147,-1.3171886012571663
148,-4.43222522791346
149,-3.2428693623389213
150,-0.988709952670854
151,-4.038498552192741
152,-3.6569819208568655
153,-0.8377458664876669
154,-3.666141639637872
155,-4.052845811110441
156,-0.9962239287048222
157,-3.3116586937976
158,-4.433609256936362
159,-1.3003396165125052
160,-2.9716323112644782
161,-4.802519734567614
162,-1.6363299879017215
163,-2.6427515956514993
164,-5.162845726692298
165,-1.979103635719982
166,-2.3218700678915196
167,-5.517838386493475
168,-2.3238113567223624
169,-2.0061434880878988
170,-5.205582100270073
171,-2.6706424253431873
172,-1.693413762450227
173,-4.885146415214859
174,-3.0213938682360078
175,-1.3835323397732797
176,-4.560842522767179
177,-3.378458993771386
178,-1.0848465274423267
179,-4.229420911507652
180,-3.7444558974263487
181,-0.8667075680714498
182,-3.887660045133069
183,-4.122073395876364
184,-0.9964018925688124
185,-3.5323772593510814
186,-4.514011318174275
187,-1.3437583619652642
188,-3.160433917091501
189,-4.922942554168695
190,-1.743368980885056
191,-2.7687318409601644
192,-5.3514851783000115
193,-2.172313873174091
194,-2.3542132967556952
195,-5.538763772485998
196,-2.6276213820695595
197,-1.91388351582645
198,-5.089096051625194
199,-3.1099194373021763
200,-1.4449657871262362
201,-4.609515310133776
202,-3.6207925226736553
203,-0.9470971990890684
204,-4.097054089914444
205,-4.162134112311117
206,-1.0179624632269317
207,-3.548854203046942
208,-4.735971994187777
209,-1.6015100131555662
210,-2.9622846010182267
211,-5.34443541082447
212,-2.2224062360629735
213,-2.3352690318125875
214,-5.449397761814621
215,-2.8817698504716143
216,-1.6690678714869915
217,-4.766969236293309
218,-3.58672289673527
219,-0.9957180044635238
220,-4.050537914639218
221,-4.348879661264867
222,-1.3120264323695756
223,-3.3069161105859335
224,-5.176252073744803
225,-2.1495227834712693
226,-2.540072467083364
227,-5.594583422912998
228,-3.0636270064349453
229,-1.7678227358445744
230,-4.775226998864329
231,-4.0450236689749905
232,-1.3458176334028282
233,-3.9192141741030513
234,-5.089928736030633
235,-2.191204179597423
236,-3.0314574862021333
237,-6.011073327812781
238,-3.2861479014061787
239,-2.166366761214369
240,-5.035002903950323
241,-4.459625304849686
242,-1.9220983922295372
243,-4.017933153934571
244,-5.69751314145838
245,-2.916671019518195
246,-3.003525931771423
247,-5.829236781269972
248,-4.183503605936782
249,-2.312070573090772
250,-4.67672907893296
251,-5.546164412802897
252,-2.957462082552801
253,-3.5446676619497914
254,-6.2783909008704555
255,-4.277856838315588
256,-2.7723947443465358
257,-5.002458896495765
258,-5.766682570680828
259,-3.351449972295663
260,-3.811921438366115
261,-6.39950955277918
262,-4.768610192255851
263,-3.2303422802430672
264,-5.064174214264548
265,-6.433417996490263
266,-4.123766657527778
267,-4.005161697887987
268,-6.324762000011875
269,-5.785085166644057
270,-4.055918027317893
271,-5.120466766363841
272,-7.594393031062047
273,-5.518246789352872
274,-4.660042227671839
275,-6.37229828896645
276,-7.576423381329688
277,-5.74414595766821
278,-5.743869452744821
279,-7.74228549789161
280,-7.844161153469001
281,-6.510991930312433
282,-7.126062636752533
283,-9.236621260715092
284,-8.577335707415298
285,-7.753749894120386
286,-8.72227560104373
287,-10.85322636281184
288,-9.767782479448066
289,-9.369311706383744
290,-10.506415700091843
291,-12.54579001835998
292,-11.391539428894102
293,-11.305042524048734
294,-12.500070076761041
295,-14.280173099662779
296,-13.430115872351475
297,-13.553090450421628
298,-14.737324101867774
299,-16.446193608741844
300,-15.84970727563698
301,-16.099797420869578
302,-17.22886952267979
303,-19.002916630384323
304,-18.603405002363083
305,-18.92373014028317
306,-19.974637192924337
307,-21.607818763191407
308,-21.654350513336155
309,-22.00975535165481
310,-22.97427539965228
311,-24.452239714797788
312,-24.973162490694406
313,-25.341943919074197
314,-26.220628287343498
315,-27.548467165128617
316,-28.535334583364225
317,-28.906355884422002
318,-29.70683912233317
319,-30.898386172142608
320,-32.327936285700154
321,-32.69779668602619
322,-33.430933147480744
323,-34.50111778251032
324,-35.86370494765944
325,-36.68387044949237
326,-37.32948809774488
327,-38.24730815646363
328,-39.401880204296425
329,-40.62494256934609
330,-41.09005390139039
331,-41.76107548418193
332,-42.61640172330196
333,-43.63122288755974
334,-44.30973559492833
335,-44.69038676618078
336,-45.23138378797002
337,-45.919060074916686
338,-46.73624317177466
339,-47.0184458088651
340,-47.2716420358946
341,-47.64432961117383
342,-48.11464217860106
343,-48.65705586403658
344,-48.54115904908147
345,-48.469550173623105
346,-48.43189866967456
347,-48.409181309385076
348,-48.347178147714516
349,-47.66302379634225
350,-46.9825413794717
351,-46.30426196245323
352,-45.627565362477
353,-44.94553298843969
354,-43.65887803158566
355,-42.37692721069044
356,-41.09081359594902
357,-39.785398507558426
358,-38.43986176799479
359,-36.539426811582956
360,-34.45136951557494
361,-32.251721688187345
362,-32.70173085594815
363,-34.78384550671708
364,-36.74600937754387
365,-38.60181672756269
366,-40.63277551030395
367,-42.83450484178098
368,-45.20258346302778
369,-47.67988176915974
370,-49.67727300819579
371,-51.795267015638316
372,-54.045218826149515
373,-56.44929047531013
374,-59.04239350413688
375,-61.405215373195546
376,-63.4940723312492
377,-65.77869173892972
378,-68.33076410942752
379,-71.2707506421563
380,-74.81748205501457
381,-77.3336964255229
382,-79.61971639541666
383,-83.22181187817121
384,-92.83427633594069
385,-102.85353710284662
386,-112.94984098503441
387,-122.47935635308613
388,-132.7426218223874
389,-143.54747734615475
390,-154.8121557910182
391,-166.51258003042224
392,-178.3145536662759
393,-190.50031759153427
394,-203.2554027676202
395,-216.57234760109074
396,-230.4413744023579
397,-244.67634426918966
398,-259.32147965128553
399,-274.5053234844409
400,-290.1954429683094
401,-306.36117108797623
402,-322.7778774339388
403,-339.61463654974807
404,-356.88580131743527
405,-374.5791152626326
406,-392.58210451795617
407,-410.94247740071387
408,-429.74989701651896
409,-449.01304127170374
410,-468.6413271186999
411,-488.69414887994145
412,-509.23476702831897
413,-530.2599719398759
414,-551.6299235245243
415,-573.4744749657998
416,-595.7852813592265
417,-618.4782316885604
418,-641.5598185564836
419,-665.0719999662876
420,-688.9579766027232
421,-713.1749544671914
422,-737.7858405664978
423,-762.7421384010155
424,-788.0031337201673
425,-813.6335696450076
426,-839.5797127070869
427,-865.8364163423573
428,-892.4536899661961
429,-919.3581114504584
430,-946.5983686716149
431,-974.1803572490367
432,-1002.041756615544
433,-1030.2554645657763
434,-1058.7578406184623
435,-1087.5727484726583
436,-1179.1419664806958
437,-1290.0932929252322
438,-1391.6370661546894
439,-1489.5402854322292
440,-1588.9049583973738
441,-1679.3362688592763
442,-1771.0063169564041
443,-1854.0478300358013
444,-1938.1596452054637
445,-2013.9710346134425
446,-2086.3361597537296
447,-2155.3093196484742
448,-2220.947805344623
449,-2283.3099252494794
450,-2342.453358319125
451,-2398.434150179434
452,-2451.3066227047666
453,-2501.1243270840278
454,-2547.941912510311
455,-2588.616439850175
456,-2629.6561493141835
457,-2664.9265197569907
458,-2700.4030621102343
459,-2730.455428809781
460,-2760.645677475699
461,-2785.7186892913237
462,-2808.477711264883
463,-2828.9756719434613
464,-2847.261581390136
465,-2863.378630039101
466,-2877.363369984413
467,-2889.2462055239334
468,-2899.0532631468136
469,-2906.809658015738
470,-2911.036252374773
471,-2914.775284563491
472,-2916.5416396283836
473,-2916.395798803637
474,-2913.1478874171717
475,-2909.271935692118
476,-2902.7090862873156
477,-2895.324398924762
478,-2885.6632905154106
479,-2874.9897511785884
480,-2862.423364918156
481,-2848.6103712489867
482,-2833.3788979556557
483,-2827.900669972531
484,-2856.1097818356234
485,-2883.3484777290596
486,-2908.8855901376473
487,-2933.0751971586615
488,-2955.5402178872428
489,-2976.660906137223
490,-2995.7266929658354
491,-3013.611227107321
492,-3029.340093135049
493,-3044.025116336381
494,-3056.415682846713
495,-3067.953779178204
496,-3077.0059931010214
497,-3085.404002660359
498,-3091.0516383474296
499,-3094.9482360828524
500,-3098.2961273109345
501,-3098.4851789150803
502,-3096.702236390069
503,-3094.496993855513
504,-3088.585533938181
505,-3080.48874625615
506,-3070.153163164687
507,-3057.5397151081925
508,-3042.6227055075587
509,-3025.387309651317
510,-3005.8256813409516
