,0
0,-0.168278337529252
1,-0.056258973818981275
2,-0.08186832816375816
3,-0.2475929863282204
4,-0.4503488611900352
5,-0.4142567956951949
6,-0.19861144321727206
7,-0.2974851217463865
8,-0.6542376502600825
9,-0.4342875164363714
10,-0.5018816451774601
11,-0.8521428950307754
12,-0.6566891678564613
13,-1.0603585901445063
14,-1.0215612349055327
15,-1.3109983975905954
16,-1.3960127217701797
17,-1.6751786135689515
18,-1.7774343163695057
19,-2.126949687620359
20,-2.220000566295813
21,-2.601872639536747
22,-2.786191727660582
23,-3.0881661603991533
24,-3.4698378032574344
25,-3.6925420104398476
26,-4.025783197658457
27,-4.406113300828446
28,-4.660838890467334
29,-4.9806967115651615
30,-5.34106809912757
31,-5.704020375096011
32,-5.983382748881358
33,-6.273086396524054
34,-6.561429041672779
35,-6.839534974212553
36,-7.0991811113377725
37,-7.332766575306707
38,-7.53497701912384
39,-7.704775728408013
40,-7.845299185915827
41,-7.962203671343978
42,-8.059929480233833
43,-8.139753547083465
44,-8.200885615842353
45,-8.244641973829335
46,-8.267261343194548
47,-8.222830396218642
48,-8.179361426020858
49,-8.148068664620808
50,-8.090265282696084
51,-8.012719101356065
52,-7.975362730934173
53,-7.895915442310672
54,-7.849352180441651
55,-7.800019729333819
56,-7.755973696548137
57,-7.706005683961847
58,-7.654516626282963
59,-7.558371769991681
60,-7.47685431825758
61,-7.320994318559772
62,-7.163450688970945
63,-7.011917160037386
64,-6.809342575600698
65,-6.608880190979148
66,-6.418907006195452
67,-6.234704489762878
68,-6.034945808393865
69,-5.823158566433628
70,-5.6251113832246755
71,-5.445114846094218
72,-5.284750978218693
73,-5.142147193275992
74,-5.014501607253345
75,-4.898725453840982
76,-4.791869973770561
77,-4.693075131444218
78,-4.84836759492146
79,-5.045792538420425
80,-5.234449076442897
81,-5.379699542969608
82,-5.509442980804463
83,-5.630497923022783
84,-5.748844466928014
85,-5.848420528513044
86,-5.923230503180374
87,-6.009877165107353
88,-6.094291354386781
89,-6.148352459714942
90,-6.227476011443957
91,-6.278262177397889
92,-6.3418411658672476
93,-6.398935241742843
94,-6.460972388336392
95,-6.518541913181773
96,-6.5926325661259035
97,-6.6436129347492985
98,-6.724360041284847
99,-6.780741438257322
100,-6.835538188877282
101,-6.900743288268259
102,-6.945778434015199
103,-6.969648479407365
104,-6.9956188752697015
