,0
0,-1.6825544574980487
1,-0.5477977517084438
2,-0.7667058647773882
3,-2.3518019262286014
4,-4.24509602046564
5,-3.663304900016193
6,-1.1829438901598224
7,-1.7562793265414534
8,-4.834764894050456
9,-1.9701139061126975
10,-1.798470772304376
11,-4.454453423894264
12,-0.7829768508108741
13,-4.2150390728672855
14,-2.1102932430184214
15,-3.9642132408857926
16,-3.134381788498561
17,-4.815614802992799
18,-4.0983924218958325
19,-6.586758497335406
20,-5.495699261329932
21,-8.057902758629108
22,-7.695643404318014
23,-8.794056701455407
24,-10.798307265122512
25,-10.775549196484429
26,-12.234670550794831
27,-14.230292053032588
28,-14.650189661248335
29,-15.905589503430779
30,-17.715129220278676
31,-19.60728916035708
32,-20.710719802079858
33,-22.20217726424149
34,-23.958413204841385
35,-25.88649628062247
36,-27.92646857767643
37,-30.040271818056087
38,-32.20206601627888
39,-34.39844157813708
40,-36.62552915811307
41,-38.88530709383688
42,-41.18494235154406
43,-43.539322976079724
44,-45.972174487030145
45,-48.51079455368264
46,-51.07961499665083
47,-53.3158097876231
48,-55.728359447306616
49,-58.35706161094963
50,-60.82619030642563
51,-63.27804178565352
52,-66.07400067515547
53,-68.54557790258207
54,-71.35973986363597
55,-74.10254319386607
56,-77.06515548418636
57,-79.98623456108253
58,-83.21831468800015
59,-86.25741488628577
60,-89.609051425326
61,-92.98710897609645
62,-96.37837066001488
63,-100.00802473304664
64,-103.81270746871236
65,-107.53038102583628
66,-111.4244417612386
67,-115.46268510079622
68,-119.6201631833392
69,-123.84863379399742
70,-128.0737295720268
71,-132.41241255704966
72,-136.8532842197788
73,-141.38423482503836
74,-145.99542811677344
75,-150.68121180650485
76,-155.44177041012748
77,-160.28109856789135
78,-165.20282553363037
79,-170.20878406365551
80,-175.3026361040017
81,-180.4857077647152
82,-185.7462508562778
83,-191.02370576211183
84,-196.4182684419908
85,-201.95137463537554
86,-207.64759846922556
87,-213.4579935652111
88,-219.39166883430568
89,-225.55079815847662
90,-231.90645638200326
91,-238.382126482777
92,-245.13842122889127
93,-252.0692088995211
94,-259.2563005915474
95,-266.7135135405913
96,-274.4091101128711
97,-282.3970656674015
98,-290.61963512038955
99,-299.08444005531294
100,-307.78683214959096
101,-316.61724068793245
102,-325.65695363034695
103,-334.79769640542423
104,-344.04101167828827
105,-353.4073699491331
106,-362.8392262645615
107,-372.2900666107208
108,-381.80011797252473
109,-391.35594322329223
110,-400.9569424233259
111,-410.58137133733624
112,-420.26023062356285
113,-430.01151026429216
114,-439.828905482829
115,-449.69922856867964
116,-459.6089273983791
117,-469.5551494225702
118,-479.54406802304106
119,-489.5802417994594
120,-499.66338249215505
121,-509.7948165157618
122,-519.973455031902
123,-530.1905157787116
124,-540.4006303658861
125,-550.6281097495207
126,-560.8694671645551
127,-571.1259656642094
128,-581.3871574613001
129,-591.6448310105429
130,-601.934898834959
131,-612.250061305318
132,-622.5405947714244
133,-632.8656463752376
134,-643.18054774593
135,-653.4644532940894
136,-663.7411786512092
137,-673.9519580132398
138,-684.1706757025789
