,0
0,-18.766842847375337
1,-0.39990497160454863
2,-0.6645084011041147
3,-2.7032128159037763
4,-9.139350741401831
5,-3.0785232576173454
6,-12.006822882734296
7,-13.805941715209565
8,-2.457406082853857
9,-11.156478714159475
10,-11.316876810959664
11,-3.627173495784216
12,-18.300697557446508
13,-4.9832285629112505
14,-13.136189533227268
15,-19.345780271036503
16,-20.843203249526425
17,-17.721932336170326
18,-11.39222469176795
19,-16.372268423838513
20,-30.69459945301224
21,-14.20587942988151
22,-31.9058884492809
23,-16.528004642218324
24,-33.49111145377297
25,-25.587966907640567
26,-21.18273323024124
27,-31.86524005485865
28,-42.20757871126765
29,-34.63651405874328
30,-30.39351701079127
31,-29.15019148555519
32,-29.770863640611502
33,-31.12061099157585
34,-32.71708772777979
35,-34.73879557753798
36,-37.81428075697794
37,-42.70612999984702
38,-49.97345069591146
39,-56.379402832558554
40,-48.73656547276993
41,-43.89467415178518
42,-45.95814838044778
43,-56.45230230951407
44,-57.17841961422514
45,-49.23541397625728
46,-54.269528718435794
47,-65.1643229918762
48,-53.46991251447758
49,-58.996288337851084
50,-64.39445207836012
51,-56.315049036728034
52,-70.934505684106
53,-59.64611698847328
54,-66.63293842045871
55,-64.2431439003349
56,-65.81657069557947
57,-67.53107162027743
58,-67.06830418868361
59,-68.69072225232631
60,-69.95909717946111
61,-68.0278962369906
62,-75.07124237537666
63,-66.88206884610507
64,-83.58341781936491
65,-67.7697117031979
66,-74.90537260881207
67,-73.94275634262742
68,-68.50119733580786
69,-82.9418316828102
70,-70.38462248969049
71,-70.20591115371039
72,-84.78685958323992
73,-69.55786237499436
74,-69.64607436889689
75,-84.12372096435058
76,-70.84105530854009
77,-67.15076374231889
78,-64.95591348357263
79,-64.46553779050419
80,-64.05981141622424
81,-64.2577450835025
82,-64.30552533350796
83,-64.26547495713976
84,-64.29092943082163
85,-64.38767383698622
86,-64.1370329634789
87,-63.951662983253655
88,-63.850845106845135
89,-63.682326720895645
90,-63.31565517129543
91,-63.0480064110549
92,-62.88658756670133
93,-62.470990268903996
94,-62.07132919372996
95,-61.7938068400753
96,-61.5153021556193
97,-61.02066844743841
98,-60.664035757413565
99,-60.452472017934994
100,-60.00050488312019
101,-59.60617192164032
102,-59.37413562560534
103,-59.12649860336008
104,-59.19943329063407
105,-59.581349405841564
106,-60.15678147132895
107,-60.4366802267738
108,-60.89688204064241
109,-61.547654827695105
110,-62.07945334821187
111,-62.611696790395364
112,-63.33614611862117
113,-64.10925451448806
114,-64.72509294031083
115,-65.53230340734504
116,-66.52415618770003
117,-67.21626034257838
118,-68.08107426529337
119,-69.11550609171552
120,-69.97331402577903
121,-70.85729125215896
122,-71.89340189484692
123,-72.86007727668523
124,-73.72674704017274
125,-74.73183250687777
126,-75.76318981393001
127,-76.59132806600243
128,-77.55193530226325
129,-78.62767968169348
130,-79.41709931028173
131,-80.33477961737215
132,-81.37438583485478
133,-82.18202080843093
134,-83.03637538665589
135,-83.99253582558731
136,-84.77543390346702
137,-85.51935078674751
138,-86.35465093985829
139,-87.07934228111445
140,-87.6965518108764
141,-88.39462110426106
142,-89.03376451652133
143,-89.50574912045747
144,-90.05415489153961
145,-90.59490862877342
146,-90.91839622882611
147,-91.31392268873836
148,-91.7450721400268
149,-91.9100599184114
150,-92.1413940518059
151,-92.43729100263155
152,-92.44825299572402
153,-92.51077900645896
154,-92.63743926181489
155,-92.5251378755991
156,-92.42770112291042
157,-92.40016812293393
158,-92.18163959662112
159,-91.94871939120308
160,-91.79369855860608
161,-91.48953877070736
162,-91.1345842508068
163,-90.85604359465206
164,-90.84515572051221
165,-90.87853980301263
166,-90.98361749381745
167,-91.00476535483266
168,-90.89881675118043
169,-90.86824267699592
170,-90.79201305980979
171,-90.55605488304653
172,-90.40142255004181
173,-90.24211458277259
174,-89.88961301410905
175,-89.62305314337438
176,-89.3918684636574
177,-88.93038868662744
178,-88.55952668258921
179,-88.2679998362521
180,-87.70957158357942
181,-87.25026656505018
182,-86.89486797406028
183,-86.28497384247544
184,-85.75788540877525
185,-85.34366633382186
186,-84.72041222759245
187,-84.14479200007577
188,-83.6907588220081
189,-83.07692961534237
190,-82.47136148293991
191,-81.99571054684424
192,-81.41379144298968
193,-80.79599189045126
194,-80.31598147548542
195,-79.78831734758906
196,-79.17617721752518
197,-78.70926211909004
198,-78.25845246978088
199,-77.67035413864579
200,-77.2355287756284
201,-76.88696821638123
202,-76.34486366090735
203,-75.96393446366166
204,-75.74395982468252
205,-75.26942593963071
206,-74.9630546076065
207,-74.82657863015186
208,-74.6413450421227
209,-74.94606305825867
210,-75.40624613552652
211,-75.74794534382754
212,-76.09445876257524
213,-76.58972843607525
214,-77.04490619791609
215,-77.41725684638682
216,-77.93324299035154
217,-78.49616255040331
218,-78.89063134322852
219,-79.42791259704688
220,-80.10547583560667
221,-80.52750404294629
222,-81.09103340523501
223,-81.79309622888628
224,-82.33878372652984
225,-82.9222475553098
226,-83.63268250272195
227,-84.27809015879124
228,-84.84021055471243
229,-85.50530705998078
230,-86.19439618449849
231,-86.6835174319662
232,-87.26574053897077
233,-87.93650427553013
234,-88.3780784492996
235,-88.86385718884192
236,-89.43139169555491
237,-89.88746378820328
238,-90.26953838567393
239,-90.73111615941275
240,-91.204761963966
241,-91.48590480441568
242,-91.84793744625779
243,-92.29078371535046
244,-92.54734489015532
245,-92.82186703284907
246,-93.17413221184759
247,-93.47484034722318
248,-93.66064457621889
249,-93.92403916722763
250,-94.26409730507108
251,-94.37833067204885
252,-94.55375372398503
253,-94.79937310349204
254,-94.9602701942228
255,-95.02673697582163
256,-95.15351259096461
257,-95.33751805434277
258,-95.27970823361932
259,-95.27413990115143
260,-95.32557016796427
261,-95.30034078648886
262,-95.16833010256616
263,-95.09589332932111
264,-95.08363042018286
265,-94.87576520683619
266,-94.69642610149803
267,-94.5850419644296
268,-94.46595994060019
269,-94.20097968750456
270,-94.13423234729233
271,-94.24314553542965
272,-94.23603023453018
273,-94.1770496219645
274,-94.17787269660094
275,-94.23793576881128
276,-94.0920444019899
277,-93.98163313706202
278,-93.93004707297283
279,-93.88484588847389
280,-93.66357142472864
281,-93.50053660890539
282,-93.39571750704887
283,-93.23424096855197
284,-92.95760635967585
285,-92.73798535165973
286,-92.57579292872558
287,-92.30802439017101
288,-91.9725800989755
289,-91.69398185199704
290,-91.47233318573416
291,-91.10981110795154
292,-90.71121412690033
293,-90.36848180299341
294,-90.08216977097803
295,-89.63561596523677
296,-89.1701666686081
297,-88.76089749252455
298,-88.40864429119175
299,-87.89450711878528
300,-87.36319200539084
301,-86.89047711892215
302,-86.47809241318147
303,-85.92333213786593
304,-85.33855300648133
305,-84.81830799479275
306,-84.3651265636474
307,-83.81227881091026
308,-83.20008071236555
309,-82.66136540272997
310,-82.19900591831006
311,-81.70297076729166
312,-81.0979574487687
313,-80.5744302227188
314,-80.13458476072707
315,-79.74766606431662
316,-79.17946424213481
317,-78.69967154579557
318,-78.31017869588622
319,-78.01257473271383
320,-77.57964139274945
321,-77.17254242082947
322,-76.86272138653655
