,0
0,-1001.6827833752925
1,-1000.563072272457
2,-1000.8240047429065
3,-1002.497783231878
4,-1004.5605365463697
5,-1004.2644831500927
6,-1002.2314806612773
7,-1003.3964035031971
8,-1007.1364848118099
9,-1005.1754467479989
10,-1006.0361845129215
11,-1009.4995556266211
12,-1007.8432618411118
13,-1011.6851768370502
14,-1011.4732968540917
15,-1014.3427069646411
16,-1015.3426310197866
17,-1018.1687368846224
18,-1019.3644158764234
19,-1022.864852207023
20,-1023.994949487486
21,-1027.8152851556113
22,-1029.9087145233595
23,-1033.193738355277
24,-1037.436805666683
25,-1040.4259540870314
26,-1044.6135396201378
27,-1049.3884036586926
28,-1053.1271365093978
29,-1057.5773769580733
30,-1062.5585398527214
31,-1067.83834963257
32,-1072.6187378135107
33,-1077.7264888664417
34,-1083.0264554448545
35,-1088.4349674733128
36,-1093.920045087853
37,-1099.4751148060714
38,-1105.0978067391359
39,-1110.7727754089951
40,-1116.4717156006548
41,-1122.15662643533
42,-1127.7879649692718
43,-1133.343265366287
44,-1138.8189071811737
45,-1144.2219772602123
46,-1149.3522333218068
47,-1154.2000535501343
48,-1158.9723821585367
49,-1163.6692751312014
50,-1167.8164813626634
51,-1171.8215729789774
52,-1175.6498326718868
53,-1178.9739289607885
54,-1182.3261932350479
55,-1185.1218311822763
56,-1188.0562776087795
57,-1190.5559182700863
58,-1193.0703021772576
59,-1195.1846468524222
60,-1196.922250385251
61,-1198.2989260732663
62,-1198.8442540161757
63,-1198.799907913031
64,-1198.1209326277003
65,-1196.6339476754301
66,-1194.364211053924
67,-1191.4147563301797
68,-1187.7976045999787
69,-1183.5212447562772
70,-1178.5517535301205
71,-1172.792739659358
72,-1166.310827732454
73,-1159.072414428647
74,-1151.0419703443986
75,-1142.2009051135287
76,-1132.5652447566627
77,-1122.1863821924856
78,-1111.1306257361307
79,-1107.6188120319769
80,-1117.010510185184
81,-1126.54074557767
82,-1136.202350090276
83,-1145.9915549079255
84,-1155.7729889857183
85,-1165.500053577235
86,-1175.321997816772
87,-1185.1505753194886
88,-1194.7320113064875
89,-1204.3766407540659
90,-1213.7333855815502
91,-1222.9681878587194
92,-1231.9642800972977
93,-1240.6889892434358
94,-1249.0950431792885
95,-1257.2840158363028
96,-1264.9236273334318
97,-1272.4962192521655
98,-1279.4922403707526
99,-1286.16652078287
100,-1292.764873742116
101,-1299.067022936112
102,-1304.754986152654
103,-1310.2901170799314
104,-1315.6815134888875
105,-1321.0097869172707
106,-1326.6731574151408
107,-1334.9533681995838
108,-1348.287821441942
109,-1363.7273396102896
110,-1379.7532396628862
111,-1395.8261304066145
112,-1411.8003091533026
113,-1427.7242684137277
114,-1443.5624142865709
115,-1459.2576696776878
116,-1474.7332824482583
117,-1489.905357859332
118,-1504.4394299471603
119,-1518.4091136960144
120,-1531.9670184529937
121,-1545.2128100629689
122,-1557.8720415133862
123,-1570.0384695418475
124,-1581.594856585804
125,-1592.6725727540247
126,-1603.3659877053265
127,-1613.5472835780338
128,-1623.5340176251796
129,-1633.0733153205704
130,-1642.4395373762106
131,-1651.3879856717977
132,-1660.1715446267017
133,-1668.7147914899585
134,-1677.1696312639967
135,-1685.622153262349
136,-1693.953958852624
137,-1702.27723424943
138,-1710.4537621060733
139,-1718.1419041002705
