,0
0,-2.399573649083111
1,-2.407692107362236
2,-2.4265885095162165
3,-2.4556860521188866
4,-2.494697879169122
5,-2.543679860194842
6,-2.6027392885339182
7,-2.671668180217068
8,-2.750065743670816
9,-2.8374630028720773
10,-2.9333119492541764
11,-3.0369941372789113
12,-3.147855807002945
13,-3.2650553669114495
14,-3.3842937513391944
15,-3.4973684973682126
16,-3.595436832427284
17,-3.6695626919701247
18,-3.7110691711992394
19,-3.71089037427323
20,-3.6596431714127142
21,-3.5480118134865806
22,-3.366800647935281
23,-3.106955388087482
24,-2.7595794778466964
25,-2.3159547587231883
26,-1.7682317871156013
27,-1.113550871580607
28,-0.3507402338163727
29,-0.6430234742944246
30,-1.648558533036173
31,-2.7879053214379494
32,-4.071042135754038
33,-4.608775013229378
34,-3.01235844001852
35,-1.2456178866910619
36,-0.830473841887322
37,-2.9636021129574663
38,-4.846967386679403
39,-2.3289575977411396
40,-0.5332489584452349
41,-3.4601816950743736
42,-3.5462914391849534
43,-0.20148153049214707
44,-3.5276151363261254
45,-2.8325908109557396
46,-1.3470281902883232
47,-4.5657792932536365
48,-0.12272746358482102
49,-4.804756668026887
50,-0.4128367775949633
51,-4.968165558014197
52,-0.42133859838935256
53,-4.064439156821897
54,-2.0751646693214836
55,-1.9081861818632944
56,-4.750568524040785
57,-1.4767886670707693
58,-1.741245869124269
59,-4.495078661331123
60,-3.2306915906723006
61,-1.0145309291386184
62,-1.160611702557419
63,-2.843581324084747
64,-4.255138706354666
65,-4.851727447359197
66,-3.995222674913168
67,-3.4151466986762657
68,-3.1127742653844055
69,-3.089306167081245
70,-3.34588434238071
71,-3.8836002388427464
72,-4.703490949677093
73,-4.511968623602048
74,-3.1371637720677614
75,-1.4787525019122116
76,-0.8257481156374734
77,-3.06837542232145
78,-4.789051172190335
79,-1.9872474299532887
80,-1.5293202219921185
81,-4.9267667458004345
82,-1.8562291213073503
83,-2.5981093526294674
84,-3.663879026692235
85,-1.442511693359358
86,-4.322978506272578
87,-1.467748718596156
88,-3.8365759351506328
89,-2.6858051612636076
90,-2.2127230936357214
91,-5.114377440606067
92,-1.7894239521491375
93,-2.663832333004412
94,-5.587654538540173
95,-3.6606352265725772
96,-1.5716244958926535
97,-2.6786343544841404
98,-4.474642285583793
99,-5.98254589462701
100,-6.25879413852246
101,-5.681488041222653
102,-5.399849111782681
103,-5.412902447692608
104,-5.7206190182313446
105,-6.323775495498419
106,-7.223675086165324
107,-7.398743920318238
108,-6.2416298046025265
109,-4.7951159365594105
110,-3.8673083208762473
111,-6.226807140220922
112,-8.66921751640545
113,-6.054971958820712
114,-5.281090028131468
115,-8.849078808954186
116,-6.419199407541702
117,-6.9915136148878645
118,-8.483551082930633
119,-6.379623720944424
