,0
0,-0.0045683972924582044
1,-0.023769811647129987
2,-0.017744891239878505
3,-0.006812970437478347
4,-0.007975317226636925
5,-0.008441519791055055
6,-0.007765753828645842
7,-0.008936678864055332
8,-0.010266855302103322
9,-0.011484327675931551
10,-0.012628092740897962
11,-0.01392584441014564
12,-0.015527186727877595
13,-0.01879265335916886
14,-0.02244769796081522
15,-0.026233525395363274
16,-0.030183561998418974
17,-0.034543290382077124
18,-0.039365756284117905
19,-0.04483897011508982
20,-0.05117641026436362
21,-0.0581613725468535
22,-0.06464228990110756
23,-0.07140747082938179
24,-0.07865127544558112
25,-0.08636873647362968
26,-0.0955597544049126
27,-0.10416739278651767
28,-0.11348485430290335
29,-0.12411510721292529
30,-0.13580668601136056
31,-0.14847827134208813
32,-0.16208691176828066
33,-0.1766628453314785
34,-0.19226939199408544
35,-0.2089795896332666
36,-0.22687058982975813
37,-0.24602067618675763
38,-0.26650410356101356
39,-0.28839227130736306
40,-0.31175282812643595
41,-0.3366515413795242
42,-0.36315377875656846
43,-0.391326187903217
44,-0.4212396865036549
45,-0.45296516689803284
46,-0.48657728245618415
47,-0.5221566111252051
48,-0.5597846417130462
49,-0.5995475039537989
50,-0.6415305842767839
51,-0.6858200122454492
52,-0.7325017992696917
53,-0.7816627562076357
54,-0.8333905998177009
55,-0.8877744221311322
56,-0.9449053362841888
57,-1.0048756586020986
58,-1.0677801631326644
59,-1.1337147120413733
60,-1.221793056949278
61,-1.2687498547691416
62,-1.3064997632996822
63,-1.35592837893215
64,-1.3995504593550894
65,-1.446789787207455
66,-1.4993194458929189
67,-1.5541083586300795
68,-1.6089816741983225
69,-1.6639216814878655
70,-1.7240813802748716
71,-1.7845907396479175
72,-1.8434239227584415
73,-1.9008755603010328
74,-1.957353609498043
75,-2.013609135260468
76,-2.0703065137668615
77,-2.1278199921179253
78,-2.1864167263362595
79,-2.245752754719798
80,-2.305161446477397
81,-2.365104172104818
82,-2.4251585797599806
83,-2.4851252430893958
84,-2.5449223585342944
85,-2.6045290865134767
86,-2.6639634708551863
87,-2.7232634473341215
88,-2.7824668289056436
89,-2.8415981402836317
90,-2.9006684180486353
91,-2.959871431362482
92,-3.018904669312654
93,-3.0777464913151973
94,-3.1363792637918615
95,-3.1948100719845947
96,-3.253060731615653
97,-3.311160476785302
98,-3.3691713667567433
99,-3.427164316846083
100,-3.485223487806755
101,-3.543544172915298
102,-3.6022367175566137
103,-3.661164478098959
104,-3.7197193116592584
105,-3.776940728574684
106,-3.8304424543206834
107,-3.8521938923258197
108,-3.790274662467521
109,-3.6197948058878935
110,-3.3481314734025003
111,-3.452081075019201
112,-3.547656397186373
113,-3.6072817252939746
114,-3.6259914954615184
115,-3.6059694476575004
116,-3.5513885549378443
117,-3.4641733821240597
118,-3.3418722735145714
119,-3.1787030717607636
120,-2.9677010021872854
121,-2.703236003831457
122,-2.6278532840251683
123,-2.874433912131254
124,-2.917519156380176
125,-2.71784753089136
126,-2.244241247444367
127,-1.4833098767681394
128,-0.43776340476645825
129,-0.8685621197818998
130,-2.3930503840363953
