,0
0,-0.018096659718383507
1,-0.06782934086867606
2,-0.11702675061980003
3,-0.1550299008541913
4,-0.18415897629371428
5,-0.20962624582002426
6,-0.23480287074488393
7,-0.26118161593925115
8,-0.28944498942550856
9,-0.31969995066702483
10,-0.35132495618440074
11,-0.3830678335816929
12,-0.4136524565606269
13,-0.4421844175616366
14,-0.46812008657067883
15,-0.4912695271555395
16,-0.5118863040802974
17,-0.5304882124727462
18,-0.5475185627730933
19,-0.563260822447522
20,-0.5778418221761583
21,-0.591244433834095
22,-0.6033318124898561
23,-0.6138990768780744
24,-0.622722645733899
25,-0.6295878731304646
26,-0.6342887303764679
27,-0.636683833077209
28,-0.6367186551893076
29,-0.6344027514498474
30,-0.6297776186289281
31,-0.6228893946719827
32,-0.6137668642912988
33,-0.6024097002624145
34,-0.5887897067061838
35,-0.5728649125007899
36,-0.5545932885057913
37,-0.5506246631953121
38,-0.6116290267696571
39,-0.6752355037200181
40,-0.7414474891576694
41,-0.8102797921454852
42,-0.8817500135724893
43,-0.9558727156040451
44,-1.0326578727243068
45,-1.1121109838516774
46,-1.19422530944694
47,-1.2789695550720357
48,-1.3663312098505278
49,-1.456299607018747
50,-1.548862742592243
51,-1.6440169616145184
52,-1.7417644957443825
53,-1.8421037769024975
54,-1.94503104896858
55,-2.050539836982267
56,-2.158617562916179
57,-2.269258704586044
58,-2.3824698816631766
59,-2.4982654127823194
60,-2.6166605854874794
61,-2.7376212169672156
62,-2.8584717302209133
63,-2.9684735723536715
64,-3.06312230757246
65,-3.147909016196358
66,-3.2252402526959068
67,-3.289845160016353
68,-3.3417354034910214
69,-3.385111377976125
70,-3.420251791562834
71,-3.4452515090006286
72,-3.4611946420575466
73,-3.46988626834036
74,-3.4715949178425394
75,-3.465567000661113
76,-3.452066651496496
77,-3.431777743712861
78,-3.405114386042273
79,-3.372216473949047
80,-3.333098082984107
81,-3.287672350870529
82,-3.235865790763303
83,-3.177638844748622
84,-3.112961067688496
85,-3.0418028164252986
86,-2.964146878510043
87,-2.8799713448632187
88,-2.789244306052831
89,-2.6919321921939683
90,-2.5862353738631327
91,-2.544601713560411
92,-2.53334799606327
93,-2.5147315423696526
94,-2.4868629157165674
95,-2.4490487531381695
96,-2.401238464049534
97,-2.3438067284375452
98,-2.277361019982372
99,-2.2025322791216584
100,-2.1198273226958344
101,-2.02952891094736
102,-1.9317642319378012
103,-1.8265815215413488
104,-1.7139779581246404
105,-1.5939133579242686
106,-1.466331720370322
107,-1.3311909616600377
108,-1.188479407489195
109,-1.0382207230436777
110,-1.2955879596356843
111,-1.5624739446181635
112,-1.835984846239521
113,-2.116106008581075
114,-2.4028156334582613
115,-2.69608541415265
116,-2.9958753832728737
117,-3.3021231564754334
118,-3.614768061447587
119,-3.93269377055086
120,-4.240626186410907
121,-4.514964994826967
122,-4.759139271284917
123,-4.9848476588677535
124,-5.18551354493222
125,-5.355848425223058
126,-5.503010547739773
127,-5.6288821436308085
128,-5.732154999632508
129,-5.814730385001299
130,-5.878168587698668
131,-5.922935272820552
132,-5.950016078600751
133,-5.96061307363017
134,-5.955650285514466
135,-5.935845789912655
136,-5.901670817133855
137,-5.853370354076986
138,-5.790956877280958
139,-5.714306679491933
140,-5.623310609180131
141,-5.606475055087333
142,-5.693312495188621
143,-5.766057269098356
144,-5.824661598322872
145,-5.869137421639439
146,-5.901466812525952
147,-5.925123923516714
148,-5.940972915786473
149,-5.947950959749843
150,-5.944189927370472
151,-5.927629134190573
152,-5.896242978349738
153,-5.848167156834303
154,-5.781821981653298
155,-5.695947000216892
156,-5.589556491698139
157,-5.461869195298345
158,-5.312203616105237
159,-5.139866699345781
160,-4.944106198114702
161,-4.724096477204563
162,-4.478093610618923
163,-4.198294278147575
164,-3.875516583795154
165,-3.512246396608165
166,-3.561653664363231
167,-4.003862799083932
168,-4.413404492777096
169,-4.798344786365364
170,-5.153743647168545
171,-5.481629232665056
172,-5.78438848420698
173,-6.061216963882778
174,-6.3131511034406715
175,-6.541234172317952
176,-6.745912378371828
177,-6.9281740827041345
178,-7.088889247699068
179,-7.228752422662579
180,-7.348168175597685
181,-7.447069673507409
182,-7.524990620278964
183,-7.581205121057496
184,-7.614905393721162
185,-7.62533861229385
186,-7.611782874062724
187,-7.573512709037944
188,-7.509790804539869
189,-7.419862548801039
190,-7.3029571967903815
191,-7.158284400871815
192,-6.985049703795275
193,-6.782464291378515
194,-6.549736942444117
195,-6.286073722561096
196,-6.013346813065614
197,-6.003970241003444
198,-5.966324384003824
199,-5.899681587694295
200,-5.803319630359717
201,-5.691638589929462
202,-5.593665263435806
203,-5.46917830233862
204,-5.283075423216184
205,-5.028103653685319
206,-4.72055333544786
207,-4.381141868559549
208,-4.023565286140954
209,-3.65178979589085
210,-3.261747342863803
211,-2.8535106093940965
212,-2.4359621596771763
213,-2.0206617161563063
214,-1.6155215896779156
215,-1.6425264142919813
216,-1.8818554557562588
217,-2.096466468117624
218,-2.2908766906312996
219,-2.4671607830811118
220,-2.626163138149776
221,-2.768339455790378
222,-2.893909038475517
223,-3.0029022931788147
224,-3.09526887344977
225,-3.170968997634599
226,-3.2300037889960445
227,-3.2724057600412815
228,-3.2982202991872582
229,-3.30748269589581
230,-3.300205446258765
231,-3.276374331776774
232,-3.2359619422326382
233,-3.3452280154403047
234,-3.4403008333066327
235,-3.518748100001523
236,-3.5805782297372066
237,-3.625787959724412
238,-3.6543725398586586
239,-3.6663291128388105
240,-3.6616585045006986
241,-3.6403670557657772
242,-3.6024684199139383
243,-3.547981408074212
244,-3.476927948596651
245,-3.389332424511098
246,-3.285221194100364
247,-3.1646213763860116
248,-3.0275608779265903
249,-2.8740715914091663
250,-2.7041884688771245
251,-2.5179511894279667
252,-2.315407323251351
253,-2.0966153490683723
254,-1.8609564221740504
255,-2.1702376008079582
256,-2.499693535732085
257,-2.807277077583308
258,-3.101494731263963
259,-3.3835083801320502
260,-3.635512450506025
261,-3.845283712502072
262,-4.0135342158156595
263,-4.140272239470807
264,-4.225874360036738
265,-4.275876289402521
266,-4.298835000392323
267,-4.302034567338418
268,-4.289871769006284
269,-4.264195753558875
270,-4.224730654633795
271,-4.169788923789171
272,-4.097159395785733
273,-4.005000625902569
274,-3.8924589362485755
275,-3.875632122704034
276,-3.942718183307874
277,-3.9933415502936986
278,-4.027193726454525
279,-4.04411886103843
280,-4.044152101552241
281,-4.027593116805606
282,-3.9950329649416307
283,-3.9472895261059016
284,-3.885324133929326
285,-3.810164436165536
286,-3.7227896730893435
287,-3.624053565686869
288,-3.514682827477145
289,-3.3952950305247573
290,-3.26644358164238
291,-3.128606071904116
292,-2.9822589379647844
293,-2.827949945281646
294,-2.6662694441352706
295,-2.497824461108731
296,-2.323215331016141
297,-2.14302820837449
298,-2.4005433598475396
299,-2.689998284525251
300,-2.945329043087191
301,-3.175628176033621
302,-3.3814225200272974
303,-3.55880179813139
304,-3.708736528252577
305,-3.835864084040806
306,-3.9425277041763285
307,-4.028647121853888
308,-4.094700066602691
309,-4.142339695284212
310,-4.173090237659708
311,-4.187786553882693
312,-4.187146301690435
313,-4.1722324082292435
314,-4.144279730060667
315,-4.1042833524860605
316,-4.053110830142523
317,-3.991667002186632
318,-3.9208830617132113
319,-3.8415921542305487
320,-3.7545716307682966
321,-3.661479768255445
322,-3.4900086462638775
323,-3.114609010678901
324,-2.5618888470899703
325,-2.544830621962694
326,-2.721939213286452
327,-2.8208907953169913
328,-2.8544723647843453
329,-2.8582769727955832
330,-2.8569230525601412
331,-2.853201236073713
332,-2.8390717526268734
333,-2.809453136779994
334,-2.766132851866952
335,-2.7131613399539534
336,-2.6533312428987257
337,-2.5883632072829488
338,-2.5191548097877057
339,-2.4451346250456556
340,-2.364641383448016
341,-2.276655362168491
342,-2.1825632118569507
343,-2.1041765666571233
344,-2.2008932790022753
345,-2.28698542970905
346,-2.3626788159846503
347,-2.430273509493605
348,-2.4915990710523648
349,-2.548035260799334
350,-2.6008877220295927
351,-2.6506382274899014
352,-2.6964636468000105
353,-2.7370747866441034
354,-2.7718389609901917
355,-2.800980313892536
356,-2.825104113775595
357,-2.8448708129443983
358,-2.8609731200343367
359,-2.874082074320004
360,-2.884676813689101
361,-2.8929580761153018
362,-2.898924582980957
363,-2.902501009067226
364,-2.903620224112031
365,-2.90227475918081
366,-2.898563223027967
367,-2.8926989273270225
368,-2.884918487943192
369,-2.8755111905451756
370,-2.864737741338867
371,-2.8527555738986328
372,-2.8396410711783453
373,-2.8254358415612884
374,-2.8101863180764757
375,-2.793964120291945
376,-2.7768558933762266
377,-2.758951647693389
378,-2.7403463270496298
379,-2.721140342574895
380,-2.7014292891404548
381,-2.6812827411974807
382,-2.6607545434648245
383,-2.639917688409734
384,-2.6188389538166916
385,-2.597561006455172
386,-2.576126010046301
387,-2.5545881599716918
388,-2.533000459321959
389,-2.5114080361568902
390,-2.4898521042781665
391,-2.4683725468885376
392,-2.447005115221156
393,-2.4257795026851827
394,-2.4047217232855296
395,-2.3838571976643057
396,-2.3632112357889277
397,-2.3428080062999976
398,-2.3226700679153724
399,-2.3028184278318173
400,-2.283272231411557
401,-2.264048213771301
402,-2.2451606195799
403,-2.2266216755193406
404,-2.2084421359191366
405,-2.190631611681407
406,-2.1731987534950883
407,-2.1561513701775743
408,-2.139496431560141
409,-2.123239941111684
410,-2.1073867821046264
411,-2.0919406578507074
412,-2.0769041395581525
413,-2.0622787721155857
414,-2.0480652067075082
415,-2.034263339361784
416,-2.0208724262533395
417,-2.0078911521048077
418,-1.9953176525095486
419,-1.9831495112856312
420,-1.9713837552881155
421,-1.960016860704667
422,-1.9490447766675387
423,-1.9384629664782107
