#{"t_start": 1699348979.3045216, "env_id": null}
r,l,t
-529234.0,453,2119.693113
-903243.94,624,2130.546665
-459131.0,265,2138.670529
-429116.9,268,2149.616364
-496251.97,376,2161.645159
-384455.88,244,2167.123652
-443174.88,261,2179.477515
-465425.34,266,2185.026125
-475712.1,268,2197.457765
-475638.56,268,2203.19682
-475772.4,268,2215.891854
-475769.75,268,2221.454745
-475764.25,268,2234.209193
-475460.84,268,2239.999113
-476155.1,268,2252.322892
-474035.4,268,2258.000196
-473532.78,268,2270.541309
-473391.88,268,2276.329788
-475338.84,268,2288.875272
-473769.6,268,2294.64457
-472024.03,267,2306.58837
-470130.0,267,2312.214706
-467008.38,266,2324.506045
-470540.66,267,2330.237961
-471599.3,267,2342.553787
-472349.03,267,2348.315913
-472238.16,267,2360.905156
-472130.22,267,2366.648342
-472138.53,267,2378.989553
-471970.62,267,2384.770082
-466144.0,266,2396.290707
-468245.25,266,2402.127465
-464637.94,265,2414.57953
-462608.5,265,2419.90953
-458615.75,263,2432.094216
-464841.66,265,2437.879032
-450821.03,261,2449.870014
-443146.12,259,2455.62292
-421606.66,252,2467.476572
-395617.5,242,2472.852279
-401775.44,255,2485.127983
-419364.16,264,2490.612046
-909746.6,479,2511.965261
-843665.6,462,2516.983157
-843091.75,462,2539.681901
-600111.75,385,2558.663884
-373694.5,279,2573.522812
-407979.97,316,2589.571994
-375080.06,288,2604.889708
-423679.44,312,2620.670186
-448111.06,337,2637.587668
-528720.75,454,2659.02927
-633421.3,582,2685.619134
-590714.6,586,2712.85914
-650708.7,695,2744.545192
-746148.4,778,2779.012692
-2302608.5,1654,2848.752655
-13744911.0,7310,2858.470411
-2007610.8,1815,2928.277609
-1753695.5,1664,2931.986802
-275429.8,1338,2988.157249
-235803.42,1351,2992.412829
-992687.9,1333,3048.263363
-973976.9,1331,3052.434917
-853991.7,1166,3103.575238
-895425.6,1192,3107.833827
-714098.06,1333,3162.770922
-717140.6,1328,3166.969985
-517592.1,1328,3223.174102
-506527.75,1328,3227.39894
-561247.1,1325,3283.474061
-553034.44,1326,3287.664323
-678347.2,1328,3344.056091
-710488.2,1327,3348.625362
-602672.4,1327,3405.284935
-647206.3,1329,3409.584365
-705964.75,1326,3465.404356
-702492.56,1325,3469.541448
-656013.44,1334,3525.709094
-664750.2,1332,3529.805301
