,0
0,-0.14657866244888107
1,-0.030968747260511614
2,-0.11848048847537619
3,-0.2998515369901939
4,-0.5223499343592192
5,-0.3043241933990184
6,-0.12636260451686035
7,-0.5096103386518195
8,-0.6202441635357705
9,-0.6073445668433919
10,-1.1689432960611676
11,-1.291054569781651
12,-1.8284708870717963
13,-2.2919930311256262
14,-2.9342268115209618
15,-3.5921130638855994
16,-4.404141085449826
17,-1005.2058800936037
18,-1006.191829670579
19,-1007.1192905788887
20,-1008.1747148962643
21,-1009.2786210466317
22,-1010.3815458994661
23,-1011.5492482793146
24,-1012.7565544377792
25,-1013.9710941284618
26,-1015.2437348288069
27,-1016.5641184745613
28,-1017.9000861042084
29,-1019.2592939832135
30,-1020.655014390765
31,-1022.0825111792581
32,-1023.5385458220886
33,-1025.0084706593984
34,-1026.5003676791941
35,-1028.0169846955832
36,-1029.5550326286486
37,-1031.110637815003
38,-1032.6793022986183
39,-1034.2560280927196
40,-1035.8353920619459
41,-1037.4116967602465
42,-1038.9788945147923
43,-1040.5306079116626
44,-1042.0610167835607
45,-1043.56583397392
46,-1045.038194464675
47,-1046.474749342063
48,-1047.879841338876
49,-1049.253406199672
50,-1050.5967209739945
51,-1051.9027367169347
52,-1053.1828569947
53,-1054.4456917330926
54,-1055.690437106969
55,-1056.9226463610246
56,-1058.1555771722074
57,-1059.3830765041207
58,-1060.6200419183735
59,-1061.870452789162
60,-1063.1383696353766
61,-1064.4342605275408
62,-1065.7555138596842
63,-1067.1097647163997
64,-1068.4924489313728
65,-1069.9029791030277
66,-1071.340230559079
67,-1072.7919057541628
68,-1074.2612602873926
69,-1075.7371942285752
70,-1077.2134248853413
71,-1078.6886838628172
72,-1080.1561905453534
73,-1081.6094382230724
74,-1083.0513984797024
75,-1084.4811452784045
76,-1085.8994908841223
77,-1087.3048817563915
78,-1088.70402478695
79,-1090.0994264156761
80,-1091.4935067486595
81,-1092.8885470035839
82,-1094.286557264886
83,-1095.6895407100658
84,-1097.0994799072548
85,-1098.5183419810003
86,-1099.947583307726
87,-1101.3878197893926
88,-1102.8393188858008
89,-1104.3022262305851
90,-1105.776956399972
91,-1107.264824143814
92,-1108.7678458571445
93,-1110.286971807871
94,-1111.8243996290425
95,-1113.3844336175723
96,-1114.969629379058
97,-1116.5817602235043
98,-1118.2220491998635
99,-1119.8972051412866
100,-1121.609530905747
101,-1123.3572277515743
102,-1125.145705997953
103,-1126.9719221804896
104,-1128.8350852592591
105,-1130.7339860931231
106,-1132.6633728215168
107,-1134.6233498947986
108,-1136.6077363977909
109,-1138.615833292024
110,-1140.6430752257024
111,-1142.686702965699
112,-1144.7460847262457
113,-1146.814299817561
114,-1148.8929971981822
115,-1150.9798571997378
116,-1153.0697880233952
117,-1155.164206119208
118,-1157.2617443664597
119,-1159.3613319987994
120,-1161.460486699334
121,-1163.561383427914
122,-1165.6647342106162
123,-1167.771831536712
124,-1169.883807413054
125,-1172.00179577779
126,-1174.1268018486146
127,-1176.2596051520522
128,-1178.4007362313068
129,-1180.5507034186626
130,-1182.7100473849189
131,-1184.8797289130046
132,-1187.0614414466638
133,-1189.256856553235
134,-1191.467146783657
135,-1193.6931799661354
136,-1195.9359052383418
137,-1198.1959260506303
138,-1200.4755827846197
139,-1202.7774222971047
140,-1205.1039792455676
141,-1207.4563654780177
142,-1209.8353473746592
143,-1212.2386585371946
144,-1214.6600612979296
145,-1217.095377832488
146,-1219.539742345053
147,-1221.9867815585533
148,-1224.4373038863598
149,-1226.8868248817837
150,-1229.3212305729182
151,-1231.7229998558253
152,-1234.092303125324
153,-1236.4264335085572
154,-1238.7303752657645
155,-1241.0048887373034
156,-1243.258959970908
157,-1245.4969347399433
158,-1247.728400283675
159,-1249.9589548628667
160,-1252.1976111055
161,-1254.4504058046869
162,-1256.7245140993277
163,-1259.0267322180396
164,-1261.3620655429718
165,-1263.736802662379
166,-1266.1537836506304
167,-1268.61951398217
168,-1271.134793077473
169,-1273.7042329544015
170,-1276.3256809129473
171,-1279.0010885741015
172,-1281.726886879996
173,-1284.501663293707
174,-1287.320873303501
175,-1290.179628053814
176,-1293.0748300720093
177,-1296.0017947704432
178,-1298.956631869284
179,-1301.9364200489697
180,-1304.937188196048
181,-1307.9543186285186
182,-1310.9846191025786
183,-1314.024949303916
184,-1317.0725425843466
185,-1320.1252372325393
186,-1323.1810321429487
187,-1326.2381228905006
188,-1329.295050036482
189,-1332.3501427039787
190,-1335.4013301512684
191,-1338.4455147445253
192,-1341.478989111773
193,-1344.4976492223373
194,-1347.4983545547768
195,-1350.478645589806
196,-1353.4372172620613
197,-1356.374515677683
198,-1359.2927936466745
199,-1362.1952799526575
200,-1365.0850718744603
201,-1367.9670781508526
202,-1370.846470477193
203,-1373.7277858527655
204,-1376.6127220501332
205,-1379.5027545003802
206,-1382.3963682127087
207,-1385.2906516581352
208,-1388.1847747893219
209,-1391.0752312653715
210,-1393.9602695120661
211,-1396.8367215127992
212,-1399.704177677618
213,-1402.5618414067867
214,-1405.4116278299152
215,-1408.2537361877335
216,-1411.091312296821
217,-1413.9256373884439
218,-1416.7577916077807
219,-1419.5905856051756
220,-1422.4265388098984
221,-1425.268033279605
222,-1428.1190330859124
223,-1430.9832161255542
224,-1433.864260551493
225,-1436.7654481069321
226,-1439.690437066443
227,-1442.6431204389753
228,-1445.6276609315962
229,-1448.648490303554
230,-1451.7097186872559
231,-1454.8148155880958
232,-1457.967004139916
233,-1461.167984601986
234,-1464.4163722270948
235,-1467.7072629804757
236,-1471.0344522344242
237,-1474.3912210403453
238,-1477.7702624712142
239,-1481.1645875023573
240,-1484.5669189482333
241,-1487.9707865228247
242,-1491.3713676040506
243,-1494.7656576718728
244,-1498.1525224309623
245,-1501.5312332303763
246,-1504.901269721469
247,-1508.2629410715483
248,-1511.6169321922484
249,-1514.963751293902
250,-1518.3043268877357
251,-1521.639574581281
252,-1524.9696528591649
253,-1528.2952492600496
254,-1531.6183652382701
255,-1534.9428596671135
256,-1538.2752751716687
257,-1541.6250063922569
258,-1545.0033736058726
259,-1548.423135932922
260,-1551.8978026671261
261,-1555.439387870933
262,-1559.0572714636037
263,-1562.7585589834603
264,-1566.5468936297716
265,-1570.4229017426226
266,-1574.3840517949586
267,-1578.425151004747
268,-1582.539050486201
269,-1586.7179217202668
270,-1590.9540149834604
271,-1595.2398614723138
272,-1599.5687293450449
273,-1603.934076129459
274,-1608.328611309282
275,-1612.7458486215796
276,-1617.1808676961073
277,-1621.6309593296241
278,-1626.0949373537792
279,-1630.5724645718367
280,-1635.0634046039143
281,-1639.5683670878889
282,-1644.088408892585
283,-1648.6240237598204
284,-1653.1766679592695
285,-1657.7482736602567
286,-1662.3395698279453
287,-1666.9520434789563
288,-1671.5871874879076
289,-1676.2464049557407
290,-1680.9333833920452
291,-1685.651333015214
292,-1690.403880386559
293,-1695.1948033730364
294,-1700.0270525399374
