,0
0,-0.14657866244888107
1,-0.03139078874308383
2,-0.12270627437664974
3,-0.31517929596175626
4,-0.5587711613289253
5,-0.37342825695533366
6,-0.27421404448675496
7,-0.6827921674628312
8,-0.8535017427285605
9,-0.9506241048722717
10,-1.4938774398275865
11,-1.654312648247565
12,-2.124506715796076
13,-2.4883237642074945
14,-2.9579641657666715
15,-3.390826296889405
16,-3.9160230620083785
17,-4.385042026545435
18,-1005.010254039543
19,-1005.5346046731632
20,-1006.209371321689
21,-1006.9358542935092
22,-1007.7133911307025
23,-1008.6233879401284
24,-1009.6124596592592
25,-1010.6792281309657
26,-1011.8759098240869
27,-1013.187029240179
28,-1014.5662608255144
29,-1016.0111478273095
30,-1017.5199270871541
31,-1019.0693299459632
32,-1020.6360833803143
33,-1022.1926305921754
34,-1023.7116287374082
35,-1025.1885637766193
36,-1026.6053492919957
37,-1027.9465229622454
38,-1029.1992902285265
39,-1030.3556406757023
40,-1031.4140663584208
41,-1032.379234584581
42,-1033.2610092753848
43,-1034.0733246819657
44,-1034.8326166482566
45,-1035.557039238716
46,-1036.2594796330914
47,-1036.958441560597
48,-1037.6776347129025
49,-1038.4332687028536
50,-1039.2377501594885
51,-1040.0899653314732
52,-1041.0175410118275
53,-1042.0283953525723
54,-1043.114108703981
55,-1044.299007501932
56,-1045.572885667578
57,-1046.9397311686794
58,-1048.3912244221935
59,-1049.9136292906624
60,-1051.4965306643523
61,-1053.1208344299994
62,-1054.7722337536152
63,-1056.4359535311141
64,-1058.0896922759482
65,-1059.7264007672295
66,-1061.3150309665893
67,-1062.854167491093
68,-1064.3270355641944
69,-1065.722218422358
70,-1067.0419186764912
71,-1068.2825423833342
72,-1069.4452311589307
73,-1070.5439455444944
74,-1071.5906181928929
75,-1072.5984465450717
76,-1073.5846713470087
77,-1074.5728890483913
78,-1075.5834021497903
79,-1076.6356410716025
80,-1077.746647876645
81,-1078.9298832374543
82,-1080.1956651849423
83,-1081.550094123175
84,-1082.9933199673244
85,-1084.5196849220456
86,-1086.1188463538394
87,-1087.7776918389702
88,-1089.4806537902793
89,-1091.2094810847486
90,-1092.9442953717517
91,-1094.6631055914127
92,-1096.3486348471383
93,-1097.986301013891
94,-1099.563289782328
95,-1101.0694818954066
96,-1102.494033439294
97,-1103.8373218269517
98,-1105.0978620115993
99,-1106.2728585008906
100,-1107.364805357078
101,-1108.3822779304144
102,-1109.327986759073
103,-1110.2125926113615
104,-1111.0442890852742
105,-1111.8291154448511
106,-1112.5809569874907
107,-1113.3055743361624
108,-1114.0154654584262
109,-1114.7161537119716
110,-1115.4151436628665
111,-1116.1197056106917
112,-1116.826618237344
113,-1117.5391549098238
