`,Time,traj_tx,traj_ty,traj_tz,,,
0,0,402.3692313,-12.25,0,,,
1,0.01,402.5079629,-12.25,0,,,
2,0.02,402.6462836,-12.25,0,,,
3,0.03,402.7841382,-12.25,0,,,
4,0.04,402.9215269,-12.25,0,,,
5,0.05,403.0584616,-12.25,0,,,
6,0.06,403.1949605,-12.25,0,,,
7,0.07,403.3310479,-12.25,0,,,
8,0.08,403.466753,-12.25,0,,,
9,0.09,403.6021085,-12.25,0,,,
10,0.1,403.7371476,-12.25,0,,,
11,0.11,403.8719013,-12.25,0,,,
12,0.12,404.0063975,-12.25,0,,,
13,0.13,404.1406614,-12.25,0,,,
14,0.14,404.2747157,-12.25,0,,,
15,0.15,404.4085811,-12.25,0,,,
16,0.16,404.5422773,-12.25,0,,,
17,0.17,404.6758226,-12.25,0,,,
18,0.18,404.8092346,-12.25,0,,,
19,0.19,404.9425293,-12.25,0,,,
20,0.2,405.0757219,-12.25,0,,,
21,0.21,405.2088904,-12.25,0,,,
22,0.22,405.3420903,-12.25,0,,,
23,0.23,405.47531,-12.25,0,,,
24,0.24,405.6085357,-12.25,0,,,
25,0.25,405.7417502,-12.25,0,,,
26,0.26,405.8749324,-12.25,0,,,
27,0.27,406.0080592,-12.25,0,,,
28,0.28,406.1411063,-12.25,0,,,
29,0.29,406.2740505,-12.25,0,,,
30,0.3,406.4068683,-12.25,0,,,
31,0.31,406.5395363,-12.25,0,,,
32,0.32,406.672033,-12.25,0,,,
33,0.33,406.804338,-12.25,0,,,
34,0.34,406.9364323,-12.25,0,,,
35,0.35,407.068298,-12.25,0,,,
36,0.36,407.199918,-12.25,0,,,
37,0.37,407.3312758,-12.25,0,,,
38,0.38,407.4623549,-12.25,0,,,
39,0.39,407.5931398,-12.25,0,,,
40,0.4,407.7236157,-12.25,0,,,
41,0.41,407.8537696,-12.25,0,,,
42,0.42,407.9835906,-12.25,0,,,
43,0.43,408.113071,-12.25,0,,,
44,0.44,408.242205,-12.25,0,,,
45,0.45,408.3709896,-12.25,0,,,
46,0.46,408.4994239,-12.25,0,,,
47,0.47,408.6275089,-12.25,0,,,
48,0.48,408.7552473,-12.25,0,,,
49,0.49,408.8826426,-12.25,0,,,
50,0.5,409.009699,-12.25,0,,,
51,0.51,409.1364215,-12.25,0,,,
52,0.52,409.2628152,-12.25,0,,,
53,0.53,409.3888851,-12.25,0,,,
54,0.54,409.5146366,-12.25,0,,,
55,0.55,409.640075,-12.25,0,,,
56,0.56,409.7652056,-12.25,0,,,
57,0.57,409.8900334,-12.25,0,,,
58,0.58,410.0145635,-12.25,0,,,
59,0.59,410.1388007,-12.25,0,,,
60,0.6,410.2627499,-12.25,0,,,
61,0.61,410.3864158,-12.25,0,,,
62,0.62,410.5098034,-12.25,0,,,
63,0.63,410.6329173,-12.25,0,,,
64,0.64,410.7557621,-12.25,0,,,
65,0.65,410.8783421,-12.25,0,,,
66,0.66,411.0006615,-12.25,0,,,
67,0.67,411.1227243,-12.25,0,,,
68,0.68,411.2445337,-12.25,0,,,
69,0.69,411.3660928,-12.25,0,,,
70,0.7,411.4874037,-12.25,0,,,
71,0.71,411.6084681,-12.25,0,,,
72,0.72,411.729287,-12.25,0,,,
73,0.73,411.8498605,-12.25,0,,,
74,0.74,411.970188,-12.25,0,,,
75,0.75,412.0902682,-12.25,0,,,
76,0.76,412.2100986,-12.25,0,,,
77,0.77,412.3296756,-12.25,0,,,
