time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0,0,0,0,402.9714655,-12.24999372,5.91E-08,13.88888889,-0.015567517,-8.85E-06
0.01,0,-0.339008444,-26.87563576,403.1102921,-12.24999448,3.75E-06,13.87371003,-0.001101671,-1.03E-05
0.02,0,-0.262703741,4.691802543,403.2488672,-12.24999589,1.23E-05,13.84322202,0.009019887,-1.35E-05
0.03,0,-0.172538405,7.774737987,403.3871124,-12.24999686,2.45E-05,13.80896402,0.01516536,-1.61E-05
0.04,0,-0.111143233,4.931946152,403.5250098,-12.24999663,3.97E-05,13.77401547,0.01889157,-1.66E-05
0.05,0,-0.08073942,2.152070189,403.6625597,-12.24999467,5.73E-05,13.73956561,0.02129369,-1.43E-05
0.06,0,-0.065826639,1.18479227,403.7997714,-12.2499907,7.71E-05,13.70635987,0.023149663,-9.17E-06
0.07,0,-0.057591538,0.644745128,403.9366602,-12.24998449,9.88E-05,13.67488432,0.024369633,-1.23E-06
0.08,0,-0.053106234,0.335720094,404.073245,-12.24997589,0.000122236,13.64538227,0.025094498,9.30E-06
0.09,0,-0.051065893,0.122869623,404.2095458,-12.24996484,0.000147158,13.61788957,0.026286582,2.21E-05
0.1,-0.000659584,-0.051002645,-0.132733233,404.3455822,-12.24995128,0.000173429,13.59228539,0.02471633,3.66E-05
0.11,-0.001319168,-0.053804324,-0.247051026,404.4813717,-12.24993525,0.000200945,13.5683042,0.023498384,5.24E-05
0.12,-0.001978752,-0.054962485,-0.036687891,404.6169289,-12.24991688,0.000229602,13.54565725,0.02161816,6.88E-05
0.13,-0.002638336,-0.054481291,0.0730766,404.7522657,-12.24989635,0.000259282,13.52411115,0.019367955,8.49E-05
0.14,-0.00329792,-0.053347681,0.178639222,404.8873923,-12.24987388,0.000289867,13.50350573,0.017402435,9.99E-05
0.15,-0.003957504,-0.049289871,0.53992761,405.0223176,-12.24984969,0.00032122,13.48374762,0.015413554,0.00011279
0.16,-0.004617088,-0.04327629,0.599481058,405.1570496,-12.24982401,0.00035317,13.46479157,0.013476414,0.000123044
0.17,-0.005276672,-0.038372912,0.393862175,405.2915962,-12.24979701,0.000385561,13.44660081,0.011797297,0.000130006
0.18,-0.005936256,-0.036328609,0.099099035,405.4259648,-12.24976887,0.000418287,13.42911502,0.010535254,0.000133194
0.19,-0.00659584,-0.034884963,0.276974501,405.560162,-12.24973968,0.000451269,13.41225643,0.010002189,0.000132444
0.2,-0.007299428,-0.034329277,-0.261379087,405.6941937,-12.24970952,0.000484432,13.3959271,0.009731179,0.000128191
0.21,-0.008003015,-0.039216632,-0.558975398,405.8280614,-12.2496784,0.000517791,13.37937768,0.009643874,0.000120421
0.22,-0.008706603,-0.044739755,-0.545650714,405.9617625,-12.24964636,0.000551396,13.36263584,0.009986266,0.000109278
0.23,-0.00941019,-0.050496111,-0.601249328,406.0952943,-12.24961339,0.000585312,13.34547636,0.010710234,9.51E-05
0.24,-0.010113777,-0.054610808,-0.253109637,406.2286509,-12.24957945,0.000619601,13.32763416,0.010929248,7.83E-05
0.25,-0.010817365,-0.055153604,0.112343054,406.3618248,-12.24954453,0.00065428,13.30899547,0.010983565,5.97E-05
0.26,-0.011520952,-0.053182067,0.180475715,406.494808,-12.24950863,0.000689312,13.28953925,0.010574477,4.00E-05
0.27,-0.01222454,-0.052070508,0.060941729,406.6275924,-12.24947178,0.000724665,13.26928201,0.009878998,2.00E-05
0.28,-0.012928127,-0.052191004,-0.017912255,406.7601701,-12.24943403,0.000760324,13.24826926,0.009204518,5.14E-08
0.29,-0.013631715,-0.050448696,0.300667874,406.8925339,-12.24939549,0.000796256,13.22655115,0.008065544,-1.95E-05
0.3,-0.014376512,-0.046617307,0.420579871,407.0246768,-12.24935626,0.000832378,13.20413586,0.006315062,-3.81E-05
0.31,-0.015121309,-0.042745271,0.368976432,407.1565918,-12.24931652,0.0008686,13.18103632,0.004427439,-5.56E-05
0.32,-0.015866106,-0.036921814,0.729110978,407.2882723,-12.24927648,0.000904817,13.15730049,0.001676088,-7.18E-05
0.33,-0.016610902,-0.029837643,0.681390344,407.4197123,-12.24923637,0.000940882,13.13301906,-0.00038911,-8.63E-05
0.34,-0.017355699,-0.023203579,0.661027914,407.5509069,-12.2491964,0.00097666,13.10828709,-0.002709997,-9.92E-05
0.35,-0.018100496,-0.016245668,0.702668351,407.6818519,-12.24915682,0.001012013,13.08315957,-0.005165513,-0.000110472
0.36,-0.018845293,-0.009518277,0.647698962,407.8125435,-12.24911787,0.001046804,13.05764439,-0.007626227,-0.00012017
0.37,-0.01959009,-0.003758576,0.530575047,407.9429775,-12.24907978,0.001080913,13.03172091,-0.010250453,-0.000128367
0.38,-0.020334887,0.000756379,0.385942034,408.0731498,-12.24904278,0.001114242,13.00536846,-0.011931282,-0.000135222
0.39,-0.021079684,0.004179007,0.33228673,408.2030561,-12.24900704,0.001146717,12.97858468,-0.01333647,-0.000140993
0.4,-0.021564835,0.00757971,0.33813896,408.3326922,-12.24897272,0.001178274,12.95140056,-0.014383898,-0.000145885
0.41,-0.022049987,0.010525984,0.27068107,408.4620543,-12.24893991,0.001208853,12.92387191,-0.014853837,-0.000150083
0.42,-0.022535139,0.013795761,0.347180254,408.5911394,-12.24890868,0.001238399,12.89607836,-0.014941185,-0.000153718
0.43,-0.02302029,0.016585493,0.23527191,408.7199455,-12.24887902,0.001266854,12.8681256,-0.01490931,-0.00015677
0.44,-0.023505442,0.018204872,0.115652508,408.8484715,-12.24885093,0.001294183,12.84011551,-0.014831138,-0.000159282
0.45,-0.023990594,0.018265752,-0.035564718,408.9767175,-12.24882437,0.001320371,12.81212648,-0.014779939,-0.000161371
0.46,-0.024475746,0.018391163,0.103439745,409.1046838,-12.24879935,0.001345417,12.78421642,-0.013061493,-0.000163141
