time,ang,vel,acc,x,y,yaw,carv,alHori,roll
1.39,-0.021091643,-0.602542626,24.62223672,19.89945771,-9.967963869,0.000865984,10.50438928,-0.151029561,-0.000966932
1.49,-0.039713213,0.004241395,1.775803104,20.94903421,-9.967662574,0.001443869,10.48723181,-0.0368355,-0.000830109
1.59,-0.049184998,0.075139543,0.770644701,22.00113045,-9.967850949,0.000872406,10.60004814,-0.057541493,-8.04E-05
1.69,-0.046005931,0.050938258,-0.649701539,23.07451317,-9.968605984,-0.000412238,10.86603306,-0.083913049,-0.000216759
1.79,-0.036125657,0.046553603,0.534691612,24.17465059,-9.970228178,-0.001719374,11.13428896,-0.114063266,-0.000705431
1.89,-0.023318847,0.086295966,0.028369089,25.30162825,-9.973001027,-0.002681786,11.40261922,-0.097604869,-0.000887501
1.99,-0.010438569,0.058592152,-0.519935407,26.45540039,-9.976812063,-0.003316189,11.67007617,-0.057202035,-0.000555644
2.09,0.001136021,-0.00516789,-0.84703889,27.63584807,-9.981274188,-0.003664841,11.93585583,-0.002948188,-0.000112822
2.19,0.010568398,-0.099352269,-0.1178338,28.83787431,-9.985870682,-0.003704928,12.08904093,0.034040369,0.000199024
2.29,0.016742466,-0.091774939,-0.023165939,30.05375001,-9.990174404,-0.003397323,12.22774108,0.070516581,0.000380816
2.39,0.019463822,-0.089932899,0.0267602,31.28359084,-9.993841026,-0.00285996,12.36804579,0.086232182,0.000563232
2.49,0.019111513,-0.082290151,0.074264094,32.52754463,-9.996692678,-0.002226373,12.50993063,0.090787373,0.00064299
2.59,0.016544674,-0.069791762,0.147373458,33.78574972,-9.998678048,-0.001593788,12.65290726,0.081658038,0.000611283
2.69,0.012672612,-0.052130264,0.187517105,35.05827974,-9.999872506,-0.001023213,12.79629585,0.064438399,0.000501742
2.79,0.008266452,-0.033541843,0.183449649,36.34513947,-10.00043415,-0.000546341,12.93935738,0.045580126,0.000362267
2.89,0.003909737,-0.017546675,0.161255354,37.64625639,-10.00054195,-0.00017451,13.08131356,0.028654287,0.000235707
2.99,-1.31E-05,-0.003561722,0.126145163,38.96148105,-10.00035964,9.50E-05,13.22143184,0.015458291,0.000145508
3.09,-0.003287155,0.005383604,0.071572551,40.29060643,-10.00001615,0.000272099,13.35930388,0.006352295,7.81E-05
3.19,-0.005801533,0.00976236,0.036400252,41.63339406,-9.999603221,0.000371677,13.4946583,-0.000607076,2.85E-05
3.29,-0.007553481,0.01105639,0.002687415,42.98957979,-9.999189999,0.000412078,13.62724848,-0.005389211,-8.87E-06
3.39,-0.008619648,0.009107739,-0.033142665,44.35887245,-9.998824873,0.000412115,13.75676783,-0.008066239,-3.47E-05
3.49,-0.009128294,0.003594952,-0.072549818,45.74094628,-9.998535784,0.000389066,13.88284373,-0.008985431,-4.63E-05
3.59,-0.009236375,-0.072364166,0.07630211,47.13196236,-9.998348301,0.000373996,13.90621388,-0.017334008,-7.31E-05
3.69,-0.009244261,-0.042890183,-0.020366525,48.52127407,-9.998302378,0.000453045,13.8809509,-0.000829094,-0.000125451
3.79,-0.009728848,-0.0632732,-0.201498004,49.90811514,-9.998275429,0.000594754,13.85598535,0.008447441,-3.39E-06
3.89,-0.010873159,-0.0571509,0.254867707,51.29244296,-9.998161408,0.000755367,13.83094416,0.01788966,0.000111945
3.99,-0.012433128,-0.029227077,0.120542261,52.67431822,-9.997877071,0.000900836,13.807025,0.01923469,0.000133488
4.09,-0.014078799,-0.030458097,-0.040095635,54.05386991,-9.997409349,0.001002476,13.78446772,0.011381761,9.00E-05
4.19,-0.015559697,-0.033161613,-0.002387383,55.43122874,-9.996830306,0.00105273,13.76309969,0.001548862,1.33E-05
4.29,-0.016730312,-0.035751159,-0.082522737,56.80649496,-9.996234654,0.001060454,13.74253571,-0.006032657,-5.08E-05
4.39,-0.017550449,-0.075735521,-0.690489696,58.17973005,-9.995696198,0.00103806,13.72241996,-0.009684861,-7.82E-05
4.49,-0.018028404,-0.170069544,-0.894421722,59.55096967,-9.995252303,0.000993558,13.70264334,-0.010198963,-8.36E-05
4.59,-0.011443168,-0.319491654,-1.999542012,60.92025671,-9.994894914,0.000939099,13.68340105,0.006479024,-6.27E-05
4.69,0.002437735,-0.56283685,-2.618977914,62.28765594,-9.994456804,0.000963732,13.6649074,0.043530033,0.000100289
4.79,0.013306511,-0.748330272,-1.274637427,63.65324817,-9.993584484,0.001223818,13.6472668,0.080609544,0.000424922
4.89,0.010987121,-0.755856054,0.718367143,65.0171205,-9.991928534,0.001754553,13.63051769,0.091209902,0.000664442
4.99,-0.010571838,-0.533393958,3.39470645,66.37936113,-9.989415917,0.002346366,13.61464114,0.042618594,0.000536653
5.09,-0.055407844,0.02219839,7.386583102,67.74005419,-9.986555945,0.002602094,13.5995529,-0.088614925,-9.75E-05
5.19,-0.118628883,0.98740839,11.53160977,69.0992754,-9.984650884,0.00202981,13.58515104,-0.292270959,-0.001273536
5.29,-0.181871536,3.059962592,33.11910126,70.4570888,-9.985685198,0.000166613,13.57137628,-0.511709853,-0.002795243
5.39,-0.221024025,5.278283064,21.69218557,71.81354406,-9.991782697,-0.003144767,13.55828327,-0.670122761,-0.00412456
5.49,-0.222003024,8.726646,2.22E-11,73.16868621,-10.00445185,-0.007533112,13.54605389,-0.693998562,-0.004649814
5.59,-0.178299669,8.726646,0,74.52257538,-10.02391825,-0.012169873,13.53483122,-0.566871645,-0.004055556
5.69,-0.096374275,8.726646,-4.97E-11,75.87530354,-10.04889189,-0.016099284,13.52461449,-0.287662865,-0.002514251
5.79,0.015843827,8.726646,0,77.22700287,-10.07662611,-0.018395155,13.51528658,0.092398108,-0.000159883
5.89,0.149141293,8.726646,0,78.57783245,-10.10335308,-0.018274364,13.50689528,0.535424969,0.002678454
5.99,0.294826779,8.726646,-6.13E-11,79.92798083,-10.12468384,-0.015206266,13.49972494,1.005846073,0.005716387
6.09,0.442532589,8.726646,0,81.27758062,-10.13595437,-0.00889547,13.49349651,1.468966788,0.008809283
6.19,0.579422804,5.899212696,-52.359876,82.62663647,-10.1325734,0.000757291,13.48802815,1.88409124,0.01179575
6.29,0.69061924,6.211353617,52.359876,83.97500098,-10.11042259,0.0135653,13.48330793,2.237591256,0.014272163
6.39,0.761769374,8.726646,2.83E-10,85.32238556,-10.06599298,0.029074937,13.47955988,2.49607864,0.016354845
6.49,0.781200498,8.726646,-2.83E-10,86.66842138,-9.996778723,0.046679953,13.47739164,2.594383259,0.017692237
6.59,0.740914348,8.726646,0,88.01277916,-9.901836828,0.065277968,13.47747702,2.522002329,0.017630869
6.69,0.637961859,8.726646,2.83E-10,89.35529082,-9.781954523,0.083485108,13.48031527,2.227157514,0.016158909
6.79,0.459461151,-1.675516032,-52.359876,90.69610754,-9.640167361,0.099766377,13.48611872,1.649083902,0.012941504
6.89,0.215358436,-4.367983249,34.28542224,92.03582734,-9.482115011,0.112295959,13.49440292,0.862189986,0.007752603
6.99,-0.068508405,0.534454904,29.40829794,93.37543164,-9.315526201,0.119563413,13.50404186,-0.085177273,0.001520975
7.09,-0.371715284,1.98918404,7.088425189,94.71610979,-9.149762827,0.120656205,13.51345524,-1.132669688,-0.005015252
7.19,-0.664682365,2.548599893,5.298943223,96.05898032,-8.995093072,0.114856482,13.52125344,-2.114525591,-0.011756679
7.29,-0.911029958,0,0,97.40475024,-8.861232866,0.101954447,13.52693626,-2.928836155,-0.017829465
7.39,-1.069881096,0,0,98.75356071,-8.756259949,0.082727753,13.53132527,-3.483090081,-0.0224137
7.49,-1.042751619,0,0,100.1050773,-8.685582681,0.058974954,13.53715864,-3.566572124,-0.024563001
7.59,-0.781129808,0,0,101.4587953,-8.649909215,0.033942086,13.54812027,-2.980677277,-0.022726082
7.69,-0.402827971,-4.411537577,-52.359876,102.8143817,-8.643464374,0.01245254,13.56466966,-1.81119039,-0.015975701
7.79,-0.589616782,-8.130478607,33.64600243,104.1717062,-8.656149964,-0.001696211,13.5826667,-1.771946463,-0.007898072
7.89,-0.871042679,-6.656428084,26.24499446,105.5304257,-8.686759159,-0.013746066,13.59797504,-2.218381279,-0.010489888
7.99,-0.987416356,-5.055935733,7.121259634,106.889775,-8.740008447,-0.03155882,13.60982533,-2.863430804,-0.018306395
8.09,-0.955676962,-6.336722032,-18.75068298,108.2488658,-8.821725151,-0.05449097,13.62176574,-3.315989568,-0.022582724
8.19,-0.813466033,-8.726646,1.22E-10,109.6069464,-8.935947707,-0.078034104,13.6367581,-3.107628326,-0.022532865
8.29,-0.609601197,-8.726646,0,110.9638062,-9.080833766,-0.099053671,13.65541606,-2.413281607,-0.01861812
8.39,-0.390517014,-8.726646,-1.22E-10,112.3199201,-9.24972086,-0.115798804,13.67658131,-1.504709969,-0.012365437
8.49,-0.190410053,-8.726646,-1.22E-10,113.6762507,-9.433835494,-0.127400616,13.69864886,-0.641132177,-0.005838466
8.59,-0.044618136,-8.726646,1.22E-10,115.0338557,-9.624807846,-0.133964482,13.72045458,-0.015800115,-0.000703596
8.69,0.044014399,-8.726646,1.07E-11,116.393538,-9.816491865,-0.136521892,13.74181371,0.319697327,0.002019676
8.79,0.094001724,-8.726646,0,117.75573,-10.0055134,-0.136452406,13.76281613,0.429825535,0.002769819
8.89,0.138204594,-7.49817914,52.359876,119.12056,-10.19062445,-0.13481717,13.78344286,0.478562377,0.002718188
8.99,0.196145668,-2.83723499,32.8581774,120.4880576,-10.37118556,-0.132033587,13.80360728,0.61055617,0.003129345
9.09,0.260170361,-1.567390203,-14.42635387,121.8583183,-10.54588847,-0.127904432,13.82317522,0.808093928,0.004575606
9.19,0.338485758,-3.774873601,-10.32550293,123.231492,-10.71274907,-0.122263678,13.84203795,1.070415676,0.00628544
