,Time,tx,ty
0,0,-12.24999372,2.369231328
1,0.01,-12.24999448,2.50796294
2,0.02,-12.24999601,2.646283623
3,0.03,-12.24999756,2.784138112
4,0.04,-12.24999884,2.921526743
5,0.05,-12.24999989,3.058461391
6,0.06,-12.25000086,3.19496017
7,0.07,-12.25000195,3.331047381
8,0.08,-12.25000328,3.466752246
9,0.09,-12.25000496,3.602107398
10,0.1,-12.25000704,3.737146178
11,0.11,-12.25000951,3.871899473
12,0.12,-12.25001233,4.006395249
13,0.13,-12.25001543,4.14065865
14,0.14,-12.25001872,4.274712391
15,0.15,-12.25002211,4.40857728
16,0.16,-12.25002552,4.542272798
17,0.17,-12.25002884,4.675817476
18,0.18,-12.25003197,4.809228775
19,0.19,-12.25003482,4.942522857
20,0.2,-12.25003723,5.075714151
21,0.21,-12.25003911,5.208875411
22,0.22,-12.25004039,5.342068012
23,0.23,-12.25004096,5.475281057
24,0.24,-12.25004076,5.608500961
25,0.25,-12.25003977,5.741710555
26,0.26,-12.25003798,5.874889128
27,0.27,-12.25003543,6.008013556
28,0.28,-12.25003221,6.141059784
29,0.29,-12.25002842,6.274004467
30,0.3,-12.25002413,6.40682427
31,0.31,-12.25001946,6.539495816
32,0.32,-12.25001453,6.67199745
33,0.33,-12.25000951,6.804308857
34,0.34,-12.25000453,6.936410947
35,0.35,-12.24999974,7.068285862
36,0.36,-12.24999521,7.199916566
37,0.37,-12.24999103,7.331286485
38,0.38,-12.24998721,7.462379385
39,0.39,-12.24998377,7.59317964
40,0.4,-12.24998066,7.723672557
41,0.41,-12.24997784,7.8538449
42,0.42,-12.24997524,7.983686125
43,0.43,-12.24997276,8.113188244
44,0.44,-12.24997033,8.242345675
45,0.45,-12.24996788,8.371155245
46,0.46,-12.24996539,8.499616105
47,0.47,-12.24996285,8.627729292
48,0.48,-12.24996029,8.755497324
49,0.49,-12.24995779,8.882923755
50,0.5,-12.24995542,9.01001294
51,0.51,-12.24995327,9.13676982
52,0.52,-12.24995142,9.263199626
53,0.53,-12.24994995,9.389307689
54,0.54,-12.24994895,9.515099481
55,0.55,-12.24994849,9.640580535
56,0.56,-12.24994864,9.765756328
57,0.57,-12.24994946,9.890632248
58,0.58,-12.24995101,10.01521356
59,0.59,-12.24995332,10.13950543
60,0.6,-12.24995646,10.26351301
61,0.61,-12.24996046,10.38724174
62,0.62,-12.24996535,10.51069693
63,0.63,-12.24997115,10.63388381
64,0.64,-12.24997793,10.7568075
65,0.65,-12.24998571,10.87947294
66,0.66,-12.24999457,11.00188485
67,0.67,-12.25000455,11.12404759
68,0.68,-12.25001571,11.24596508
69,0.69,-12.25002814,11.36764071
70,0.7,-12.25004191,11.4890773
71,0.71,-12.25005714,11.6102771
72,0.72,-12.25007394,11.73124176
73,0.73,-12.25009246,11.85197239
74,0.74,-12.25011288,11.97246953
75,0.75,-12.25013541,12.09273321
76,0.76,-12.25016026,12.2127629
77,0.77,-12.25018773,12.3325575
78,0.78,-12.25021811,12.45211531
79,0.79,-12.25025179,12.57143406
80,0.8,-12.25028916,12.69051081
81,0.81,-12.25033067,12.80934184
82,0.82,-12.25037684,12.92792241
83,0.83,-12.25042822,13.04624638
84,0.84,-12.25048538,13.16430562
85,0.85,-12.25054884,13.28209014
86,0.86,-12.25061879,13.39958942
87,0.87,-12.25069465,13.51681031
88,0.88,-12.25077592,13.63379351
89,0.89,-12.25086286,13.75056389
90,0.9,-12.25095534,13.86712424
91,0.91,-12.25105252,13.98347262
92,0.92,-12.2511532,14.09960656
93,0.93,-12.25125597,14.21552352
94,0.94,-12.25135933,14.33122082
95,0.95,-12.25146177,14.44669548
96,0.96,-12.25156189,14.56194437
97,0.97,-12.25165845,14.67696427
98,0.98,-12.25175039,14.79175191
99,0.99,-12.25183686,14.90630415
100,1,-12.25191728,15.02061804
101,1.01,-12.25199134,15.13469089
102,1.02,-12.25205897,15.24852033
103,1.03,-12.25212029,15.36210429
104,1.04,-12.25217557,15.47544101
105,1.05,-12.25222519,15.58852899
106,1.06,-12.25226955,15.70136698
107,1.07,-12.25230911,15.813954
108,1.08,-12.25234432,15.92628925
109,1.09,-12.25237562,16.03837321
110,1.1,-12.25240347,16.15020898
111,1.11,-12.25242828,16.26179719
112,1.12,-12.25245037,16.37313787
113,1.13,-12.25246996,16.48423111
114,1.14,-12.25248725,16.59507709
115,1.15,-12.25250242,16.70567604
116,1.16,-12.25251566,16.81602818
117,1.17,-12.25252722,16.92613375
118,1.18,-12.25253735,17.03599295
119,1.19,-12.2525464,17.14560599
120,1.2,-12.25255477,17.25497303
121,1.21,-12.25256293,17.36409421
122,1.22,-12.25257142,17.47296958
123,1.23,-12.25258086,17.58159829
124,1.24,-12.2525919,17.68997854
125,1.25,-12.25260526,17.79811036
126,1.26,-12.25262175,17.90599555
127,1.27,-12.25264216,18.0136311
128,1.28,-12.25266728,18.12102058
129,1.29,-12.25269805,18.2281786
130,1.3,-12.25273548,18.33511755
131,1.31,-12.2527804,18.44183464
132,1.32,-12.25283334,18.54832522
133,1.33,-12.25289484,18.65458581
134,1.34,-12.25296551,18.76061472
135,1.35,-12.25304603,18.86641008
136,1.36,-12.25313708,18.97196764
137,1.37,-12.25323901,19.07727559
138,1.38,-12.25334917,19.18244942
139,1.39,-12.25346496,19.28761407
140,1.4,-12.25358615,19.39276875
141,1.41,-12.253713,19.49790607
142,1.42,-12.25384556,19.60302414
143,1.43,-12.25398365,19.7081256
144,1.44,-12.25412686,19.81321465
145,1.45,-12.25427475,19.91829448
146,1.46,-12.25442692,20.02336641
147,1.47,-12.25458292,20.12842992
148,1.48,-12.2547423,20.23348339
149,1.49,-12.25490448,20.33852481
150,1.5,-12.25506879,20.44355805
151,1.51,-12.25523454,20.54860898
152,1.52,-12.25540094,20.6537098
153,1.53,-12.25556706,20.75889185
154,1.54,-12.2557318,20.86418579
155,1.55,-12.25589389,20.96962217
156,1.56,-12.25605195,21.07523172
157,1.57,-12.25620459,21.18104547
158,1.58,-12.2563504,21.2870944
159,1.59,-12.25648805,21.39340928
160,1.6,-12.25661627,21.50001513
161,1.61,-12.25673387,21.60691548
162,1.62,-12.25683977,21.71410669
163,1.63,-12.25693306,21.82158574
164,1.64,-12.257013,21.92934983
165,1.65,-12.25707899,22.03739575
166,1.66,-12.25713057,22.14571972
167,1.67,-12.25716746,22.2543177
168,1.68,-12.2571895,22.36318609
169,1.69,-12.25719667,22.47232052
170,1.7,-12.2571891,22.58171687
171,1.71,-12.25716699,22.69137146
172,1.72,-12.25713063,22.80128104
173,1.73,-12.25708041,22.91144272
174,1.74,-12.25701673,23.02185398
175,1.75,-12.25694003,23.13251261
176,1.76,-12.25685078,23.24341678
177,1.77,-12.25674944,23.35456496
178,1.78,-12.25663648,23.46595593
179,1.79,-12.25651234,23.57758872
180,1.8,-12.25637746,23.68946263
181,1.81,-12.25623225,23.80157724
182,1.82,-12.25607713,23.91393237
