time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0,0,0,0,2.971465478,-12.24999372,5.91E-08,13.88888889,-0.015567517,-8.85E-06
0.01,0,-0.339008444,-26.87563576,3.110292115,-12.24999448,3.75E-06,13.87371003,-0.001101671,-1.03E-05
0.02,0,-0.262703741,4.691802543,3.248867227,-12.24999589,1.23E-05,13.84322202,0.009019887,-1.35E-05
0.03,0,-0.172538405,7.774737987,3.387112362,-12.24999686,2.45E-05,13.80896402,0.01516536,-1.61E-05
0.04,0,-0.111143233,4.931946152,3.525009776,-12.24999663,3.97E-05,13.77401547,0.01889157,-1.66E-05
0.05,0,-0.08073942,2.152070189,3.662559687,-12.24999467,5.73E-05,13.73956561,0.02129369,-1.43E-05
0.06,0,-0.065826639,1.18479227,3.799771402,-12.2499907,7.71E-05,13.70635987,0.023149663,-9.17E-06
0.07,0,-0.057591538,0.644745128,3.936660236,-12.24998449,9.88E-05,13.67488432,0.024369633,-1.23E-06
0.08,0,-0.053106234,0.335720094,4.073245017,-12.24997589,0.000122236,13.64538227,0.025094498,9.30E-06
0.09,0,-0.051065893,0.122869623,4.209545827,-12.24996484,0.000147158,13.61788957,0.026286582,2.21E-05
0.1,-0.000904364,-0.050888742,-0.105163545,4.345582214,-12.24995128,0.000173428,13.59228539,0.024577299,3.66E-05
0.11,-0.001808728,-0.053051946,-0.159937989,4.481371691,-12.24993527,0.000200933,13.56830421,0.023014262,5.24E-05
0.12,-0.002713092,-0.053020334,0.101762738,4.616928863,-12.24991697,0.000229553,13.54565726,0.020626815,6.86E-05
0.13,-0.003617456,-0.050916233,0.249538902,4.752265726,-12.24989661,0.000259141,13.52411118,0.017746351,8.45E-05
0.14,-0.00452182,-0.047855667,0.380586248,4.887392342,-12.24987448,0.000289551,13.50350578,0.015060995,9.89E-05
0.15,-0.005426185,-0.041684123,0.756052917,5.022317556,-12.24985087,0.000320608,13.48374768,0.012294533,0.000110925
