traj_tx,traj_ty
199.0,-12.53875
199.01,-12.538749909878907
199.02,-12.538749639593165
199.03,-12.53874918925909
199.04,-12.538748558992985
199.05,-12.538747748911165
199.06,-12.538746759129939
199.07,-12.538745589765618
199.08,-12.538744240934511
199.09,-12.53874271275293
199.1,-12.538741005337183
199.11,-12.538739118803582
199.12,-12.538737053268438
199.13,-12.538734808848059
199.14,-12.538732385658756
199.15,-12.53872978381684
199.16,-12.538727003438623
199.17,-12.538724044640412
199.18,-12.538720907538519
199.19,-12.538717592249254
199.2,-12.538714098888926
199.21,-12.538710427573848
199.22,-12.538706578420328
199.23,-12.538702551544679
199.24,-12.538698347063207
199.25,-12.538693965092227
199.26,-12.538689405748045
199.27,-12.538684669146974
199.28,-12.538679755405324
199.29,-12.538674664639405
199.3,-12.538669396965528
199.31,-12.5386639525
199.32,-12.538658331359136
199.33,-12.538652533659244
199.34,-12.538646559516632
199.35,-12.538640409047614
199.36,-12.538634082368501
199.37,-12.5386275795956
199.38,-12.538620900845222
199.39,-12.538614046233679
199.4,-12.538607015877279
199.41,-12.538599809892334
199.42,-12.538592428395154
199.43,-12.538584871502048
199.44,-12.538577139329329
199.45,-12.538569231993304
199.46,-12.538561149610285
199.47,-12.538552892296583
199.48,-12.538544460168508
199.49,-12.538535853342369
199.5,-12.538527071934476
199.51,-12.538518116061143
199.52,-12.538508985838677
199.53,-12.538499681383389
199.54,-12.538490202811587
199.55,-12.538480550239585
199.56,-12.538470723783693
199.57,-12.53846072356022
199.58,-12.538450549685475
199.59,-12.53844020227577
199.6,-12.538429681447417
199.61,-12.538418987316723
199.62,-12.53840812
199.63,-12.538397079613558
199.64,-12.538385866273707
199.65,-12.538374480096758
199.66,-12.53836292119902
199.67,-12.538351189696805
199.68,-12.53833928570642
199.69,-12.538327209344182
199.7,-12.538314960726394
199.71,-12.53830253996937
199.72,-12.53828994718942
199.73,-12.538277182502853
199.74,-12.538264246025982
199.75,-12.538251137875113
199.76,-12.53823785816656
199.77,-12.538224407016633
199.78,-12.53821078454164
199.79,-12.538196990857893
199.8,-12.538183026081702
199.81,-12.538168890329379
199.82,-12.53815458371723
199.83,-12.538140106361569
199.84,-12.538125458378705
199.85,-12.538110639884948
199.86,-12.53809565099661
199.87,-12.53808049183
199.88,-12.538065162501427
199.89,-12.538049663127204
199.9,-12.538033993823639
199.91,-12.538018154707043
199.92,-12.538002145893726
199.93,-12.537985967500001
199.94,-12.537969619642174
199.95,-12.537953102436559
199.96,-12.537936415999463
199.97,-12.537919560447198
199.98,-12.537902535896077
199.99,-12.537885342462404
200.0,-12.537867980262495
200.01,-12.537850449412659
200.02,-12.537832750029203
200.03,-12.537814882228442
200.04,-12.537796846126684
200.05,-12.537778641840237
200.06,-12.537760269485416
200.07,-12.537741729178528
200.08,-12.537723021035884
200.09,-12.537704145173795
