time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0,0,0,0,2.197600431,-5.250002549,-1.10E-09,5.555555556,0.009767904,4.45E-06
0.01,0.000194429,0.04470376,7.137413307,2.253141089,-5.250002014,-7.35E-08,5.553617281,-0.071601289,5.31E-06
0.02,0.000912512,0.094414744,6.218768279,2.308654734,-5.25000058,1.49E-07,5.552053686,-7.074208164,5.83E-06
0.03,0.00201396,0.116192883,0.814285049,2.364129719,-5.249998306,-2.43E-07,5.547115636,-12.91606935,9.11E-06
0.04,0.003208084,0.120616478,-0.028934743,2.419534742,-5.249995285,-9.64E-07,5.538227828,-13.05386495,1.40E-05
0.05,0.004385518,0.114642066,-0.754756839,2.474824082,-5.24999171,-2.01E-06,5.524235609,-12.53073999,1.91E-05
0.06,0.005473743,0.103656276,-1.114048027,2.529945611,-5.249987811,-3.34E-06,5.505027802,-11.60108054,2.39E-05
0.07,0.006438409,0.090439055,-1.280430957,2.584850608,-5.249983833,-4.90E-06,5.481327232,-10.58433471,2.78E-05
0.08,0.007266596,0.076698987,-1.270643617,2.639499759,-5.249980001,-6.58E-06,5.454247241,-9.769551275,3.07E-05
0.09,0.00796124,0.063840319,-1.129301626,2.693865244,-5.249976499,-8.32E-06,5.424941358,-9.322762724,3.25E-05
0.1,0.008536461,0.052739125,-0.921117439,2.747930013,-5.24997344,-1.00E-05,5.394391725,-9.241252246,3.29E-05
0.11,0.009011992,0.043716608,-0.704443298,2.801685556,-5.24997086,-1.16E-05,5.363318008,-9.370102652,3.21E-05
0.12,0.00940846,0.036692267,-0.515783786,2.855129206,-5.249968716,-1.29E-05,5.332176787,-9.52021689,3.01E-05
0.13,0.009744216,0.031337399,-0.37395567,2.908261739,-5.249966899,-1.39E-05,5.301215774,-9.575585353,2.74E-05
0.14,0.010033763,0.027251479,-0.273279543,2.961085653,-5.249965261,-1.44E-05,5.270546052,-9.51468044,2.43E-05
0.15,0.010287799,0.024082776,-0.203151483,3.013604129,-5.24996364,-1.44E-05,5.240204275,-9.380423515,2.13E-05
0.16,0.010513881,0.021548449,-0.156484414,3.065820521,-5.249961879,-1.38E-05,5.210192316,-9.231540013,1.86E-05
0.17,0.010717085,0.019436068,-0.122521153,3.117738112,-5.249959848,-1.24E-05,5.18049591,-9.124084506,1.62E-05
0.18,0.010901152,0.017690559,-0.082935757,3.169359998,-5.24995744,-1.03E-05,5.151092264,-9.079996112,1.43E-05
0.19,0.011070194,0.016402784,-0.032461382,3.220689007,-5.249954578,-7.56E-06,5.121951452,-9.091502151,1.32E-05
0.2,0.011229133,0.015619518,0.017617264,3.27172763,-5.249951215,-4.11E-06,5.093039696,-9.130850036,1.27E-05
0.21,0.011382904,0.015314469,0.062933818,3.322478034,-5.249947329,-2.71E-08,5.064328013,-9.173388228,1.29E-05
0.22,0.011536219,0.015485877,0.110932873,3.372942118,-5.249942916,4.61E-06,5.035793846,-9.206680862,1.36E-05
0.23,0.011694085,0.016171648,0.159770783,3.423121604,-5.249937989,9.74E-06,5.007425463,-9.230781082,1.48E-05
0.24,0.011861448,0.017328983,0.206832497,3.47301816,-5.249932566,1.53E-05,4.979223318,-9.259020085,1.65E-05
0.25,0.012042835,0.018938608,0.26634636,3.522633516,-5.249926667,2.11E-05,4.951197828,-9.303991908,1.84E-05
0.26,0.012242458,0.020941315,0.320062785,3.571969536,-5.249920311,2.72E-05,4.923364944,-9.372962877,2.06E-05
0.27,0.012463933,0.023322056,0.40584173,3.621028252,-5.24991351,3.34E-05,4.895741748,-9.465738624,2.30E-05
0.28,0.012711119,0.026008832,0.437912487,3.669811853,-5.249906268,3.97E-05,4.86834339,-9.576617321,2.55E-05
0.29,0.012985123,0.028697025,0.442187152,3.718322662,-5.249898578,4.61E-05,4.841181834,-9.69821725,2.80E-05
0.3,0.013285445,0.031257386,0.424879529,3.766563102,-5.249890422,5.24E-05,4.814266023,-9.824668519,3.05E-05
0.31,0.013610009,0.033548964,0.392362316,3.814535672,-5.249881768,5.86E-05,4.787602782,-9.952995471,3.30E-05
0.32,0.013955426,0.035449859,0.348472086,3.862242933,-5.249872574,6.48E-05,4.761197653,-10.08254566,3.53E-05
0.33,0.014317153,0.036841769,0.290196046,3.909687399,-5.249862787,7.09E-05,4.735030609,-10.14965591,3.77E-05
0.34,0.014690012,0.037730301,0.237030086,3.956871546,-5.249852347,7.70E-05,4.709118836,-10.16812364,4.01E-05
0.35,0.015068652,0.038042302,0.177454438,4.003798092,-5.249841186,8.31E-05,4.683488165,-10.20100299,4.25E-05
0.36,0.015447129,0.037752868,0.113896689,4.050469842,-5.24982924,8.92E-05,4.658135337,-10.23239083,4.51E-05
0.37,0.015819454,0.036878236,0.058328548,4.09688971,-5.249816448,9.54E-05,4.633085836,-10.28174738,4.79E-05
0.38,0.016180305,0.035527339,0.013476012,4.143060712,-5.249802756,0.000101741,4.608334922,-10.33130045,5.11E-05
0.39,0.01652547,0.033785214,-0.024856656,4.188985945,-5.249788127,0.000108254,4.583901228,-10.39097471,5.44E-05
0.4,0.016851373,0.031721243,-0.054810745,4.234668567,-5.249772531,0.000115003,4.559782089,-10.44890704,5.80E-05
0.41,0.017155562,0.02949732,-0.060374141,4.280111777,-5.249755956,0.000122035,4.535984491,-10.50848387,6.19E-05
0.42,0.017437853,0.027355293,-0.05039434,4.325318797,-5.249738402,0.00012939,4.512508557,-10.5637137,6.60E-05
