,0
0,-1800.0007607580021
1,-1800.0026919232494
2,-1800.006952534979
3,-1800.013736921651
4,-1800.0228482136529
5,-1800.0340595627479
6,-1800.0480175403954
7,-1800.064968045155
8,-1800.0851407199239
9,-1800.1090105418407
10,-1800.1363969876597
11,-1800.1667770997967
12,-1800.199791277788
13,-1800.234773900516
14,-1800.2711281187785
15,-1800.308113328407
16,-1800.3450832186081
17,-1800.381602269937
18,-1800.4173423611915
19,-1800.4522101423536
20,-1800.4863358205562
21,-1800.5200161667158
22,-1800.5536153307935
23,-1800.5874847080743
24,-1800.6217935308714
25,-1800.6567260716297
26,-1800.6923214952262
27,-1800.7284566525618
28,-1800.7649309264748
29,-1800.801528401815
30,-1800.8379898602636
31,-1800.8741619342873
32,-1800.9102442777044
33,-1800.9463920171752
34,-1800.9828377988374
35,-1801.0195800815668
36,-1801.0569622757073
37,-1801.0951331753542
38,-1801.13406859143
39,-1801.1734459576378
40,-1801.2131926580976
41,-1801.2532290145266
42,-1801.2934031417249
43,-1801.3334221394846
44,-1801.3734004952312
45,-1801.4135171598537
46,-1801.4538882175418
47,-1801.4944370693772
48,-1801.5353883833698
49,-1801.5769192622097
50,-1801.6190405746422
51,-1801.661535247053
52,-1801.7043338994315
53,-1801.7474593522732
54,-1801.7908260533368
55,-1801.8343353862863
56,-1801.8778595727513
57,-1801.9216795450436
58,-1801.965871714037
59,-1802.0105001703905
60,-1802.0554308878657
61,-1802.1007081666946
62,-1802.1463655973946
63,-1802.192305296923
64,-1802.2384183222678
65,-1802.2844629487727
66,-1802.3304189187413
67,-1802.3763436637043
68,-1802.422237636725
69,-1802.4681322644967
70,-1802.5140768156336
71,-1802.5599216205205
72,-1802.6059213403082
73,-1802.6520994134382
74,-1802.69845291804
75,-1802.7449526293342
76,-1802.7915495015377
77,-1802.8380954810566
78,-1802.884555441313
79,-1802.9309867162465
80,-1802.9773903251237
81,-1803.0237946397822
82,-1803.070247428584
83,-1803.1168045167685
84,-1803.1635180339442
85,-1803.2103414202875
86,-1803.257328315741
87,-1803.304532642888
88,-1803.3519379607267
89,-1803.3995182899216
90,-1803.4472457226536
91,-1803.4950972904733
92,-1803.5430603159673
93,-1803.5911345865632
94,-1803.6393309932666
95,-1803.6876676252677
96,-1803.7360694245197
97,-1803.7846497537805
98,-1803.8334145648191
99,-1803.8823584970262
100,-1803.9314654269376
101,-1803.980711386374
102,-1804.0300691254647
103,-1804.079512921081
104,-1804.1290224613335
105,-1804.1785850854658
106,-1804.2281959833776
107,-1804.2778563744466
108,-1804.3275701177342
109,-1804.377339650162
110,-1804.427162449062
