time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0,0,0,0,2.971285301,-1.999992788,5.85E-08,2.361111111,-0.014445206,-1.02E-05
0.01,0,-0.118347829,-14.69626602,2.994884117,-1.999993569,3.79E-06,2.359004975,-0.009937898,-1.13E-05
0.02,0,-0.163665072,-1.376725075,3.018464752,-1.999995619,1.29E-05,2.357341146,-0.004767098,-1.38E-05
0.03,0,-0.127131155,6.13752593,3.042030239,-1.999998532,2.65E-05,2.355929774,0.001806957,-1.69E-05
0.04,0,-0.044869708,9.240268597,3.065582486,-2.000001709,4.33E-05,2.35466242,0.008406062,-1.95E-05
0.05,0,0.050252736,9.561107017,3.08912244,-2.000004465,6.19E-05,2.353453924,0.014502885,-2.06E-05
0.06,0,0.137937413,7.597444506,3.112650361,-2.000006167,8.11E-05,2.352249234,0.018363762,-1.92E-05
0.07,0,0.191824838,4.042294149,3.136166132,-2.000006344,9.97E-05,2.351024638,0.019741496,-1.50E-05
0.08,0,0.210189157,0.428663404,3.159669537,-2.000004762,0.000116814,2.349779687,0.018416034,-8.02E-06
0.09,0,0.195990301,-2.547889961,3.183160424,-2.00000145,0.000131754,2.348524592,0.014716046,1.01E-06
0.1,0,0.157795104,-4.52518188,3.206638755,-1.999996682,0.000144228,2.347270355,0.009349082,1.11E-05
0.11,0,0.106411426,-5.404452818,3.230104581,-1.999990914,0.000154183,2.346023751,0.003276898,2.12E-05
0.12,0,0.052759768,-5.320110571,3.25355799,-1.999984693,0.000161798,2.344786523,-0.00246786,3.00E-05
0.13,0,0.000750774,-4.976810149,3.276999069,-1.999978558,0.000167424,2.343556957,-0.006954275,3.67E-05
0.14,0,-0.040652346,-3.539126992,3.300427879,-1.999972953,0.000171521,2.34233207,-0.00962259,4.05E-05
0.15,-0.000316434,-0.067812182,-2.128399411,3.323844451,-1.999968157,0.000174595,2.341109026,-0.010233681,4.12E-05
0.16,-0.000632868,-0.080885678,-0.80121963,3.347248792,-1.999964265,0.000177134,2.339885814,-0.00894693,3.89E-05
0.17,-0.000949302,-0.082803171,0.156519123,3.370640897,-1.999961187,0.000179563,2.338661897,-0.00616663,3.43E-05
0.18,-0.001265736,-0.078103092,0.523490708,3.394020758,-1.999958686,0.000182223,2.3374375,-0.002514259,2.79E-05
0.19,-0.00158217,-0.072968202,0.613578847,3.417388376,-1.999956432,0.00018536,2.336213199,0.001286682,2.07E-05
0.2,-0.001898605,-0.066257461,0.668568368,3.440743754,-1.999954074,0.000189124,2.3349895,0.004554696,1.35E-05
0.21,-0.002215039,-0.059724056,0.624575178,3.464086901,-1.999951301,0.000193576,2.333766677,0.006825364,6.91E-06
0.22,-0.002531473,-0.053808797,0.575131016,3.487417825,-1.999947892,0.0001987,2.332544784,0.007841037,1.46E-06
0.23,-0.002847907,-0.047932375,0.612208992,3.510736537,-1.999943745,0.000204417,2.331323736,0.007585412,-2.67E-06
0.24,-0.003164341,-0.040929711,0.77626625,3.534043043,-1.999938882,0.000210601,2.3301034,0.00625744,-5.53E-06
0.25,-0.003480775,-0.031594397,1.049549583,3.557337351,-1.999933427,0.000217092,2.328883671,0.004207156,-7.34E-06
0.26,-0.003797209,-0.019192988,1.367484429,3.580619466,-1.99992758,0.000223714,2.327664505,0.00185509,-8.45E-06
0.27,-0.004113643,-0.003806526,1.640500013,3.603889394,-1.999921568,0.000230287,2.32644588,-0.000394,-9.24E-06
0.28,-0.004430077,0.013570583,1.779456733,3.627147141,-1.999915613,0.000236642,2.325227889,-0.002221024,-1.01E-05
0.29,-0.004746511,0.031180953,1.719491132,3.650392714,-1.999909895,0.000242634,2.324010587,-0.003437021,-1.12E-05
0.3,-0.004903262,0.046653668,1.38288042,3.673626119,-1.999904533,0.000248144,2.322793967,-0.00396286,-1.27E-05
0.31,-0.005060013,0.055257715,0.476912602,3.696847363,-1.999899576,0.000253099,2.321577956,-0.003853455,-1.47E-05
0.32,-0.005216763,0.056295085,-0.098810289,3.720056452,-1.999895014,0.000257471,2.320362438,-0.003350882,-1.70E-05
0.33,-0.005373514,0.052508223,-0.593316809,3.743253388,-1.999890791,0.000261275,2.319147234,-0.002681327,-1.96E-05
0.34,-0.005530264,0.042529905,-1.193577013,3.766438175,-1.999886835,0.00026456,2.317932142,-0.002034654,-2.22E-05
0.35,-0.005687015,0.030072336,-1.322737165,3.789610811,-1.999883077,0.000267405,2.316717027,-0.001595525,-2.46E-05
0.36,-0.005843766,0.015707214,-1.459073708,3.812770575,-1.999879466,0.000269904,2.315226968,-0.001527557,-2.67E-05
0.37,-0.006000516,0.001697514,-1.30946258,3.835905562,-1.999875984,0.000272159,2.311609109,-0.001675171,-2.86E-05
0.38,-0.006157267,-0.009655211,-0.956502659,3.858983914,-1.999872629,0.00027426,2.304052539,-0.001435345,-3.04E-05
