#{"t_start": 1701246191.4730961, "env_id": "None"}
r,l,t
-44000.0,407,49.128501
-41000.0,456,57.702773
-16000.0,258,70.531018
-16000.0,259,78.620727
-16000.0,258,91.470577
-16000.0,258,99.74084
-19000.0,250,112.089421
-20000.0,254,120.370572
-18000.0,251,133.371788
-18000.0,253,141.891132
-18000.0,245,154.153038
-17000.0,233,162.189576
-19000.0,931,195.249067
-18000.0,1083,205.422723
-222000.0,3447,314.031654
-278000.0,3447,323.986054
-18000.0,228,334.329608
-18000.0,247,344.976575
-19000.0,252,355.501194
-18000.0,253,366.177625
-19000.0,255,376.613976
-18000.0,254,387.003994
-18000.0,253,397.52169
-19000.0,255,407.745546
-19000.0,257,417.911575
-18000.0,257,428.121103
-23000.0,264,438.168704
-17000.0,425,456.391003
-138000.0,851,471.134569
-17000.0,426,481.255653
-17000.0,555,499.15101
-18000.0,571,510.255759
-18000.0,562,528.387964
-18000.0,1278,558.870681
-20000.0,1245,575.691593
-20000.0,560,586.882708
-21000.0,263,595.961903
-22000.0,266,607.823724
-18000.0,260,616.48787
-18000.0,260,628.211797
-18000.0,259,642.140483
-18000.0,260,655.842497
-20000.0,261,669.788673
-21000.0,1035,678.734718
-26000.0,269,690.518643
-20000.0,261,698.945521
-18000.0,258,710.940053
-20000.0,260,719.409994
-17000.0,257,731.373755
-18000.0,257,739.756776
-20000.0,261,752.075755
-18000.0,258,760.375775
-19000.0,259,772.731647
-18000.0,257,781.062846
-18000.0,257,793.161413
-19000.0,258,801.647521
-18000.0,257,814.080565
-18000.0,257,827.440128
-19000.0,565,836.89396
-18000.0,258,847.378525
-18000.0,257,857.204641
-18000.0,257,867.68852
-18000.0,258,877.405923
-18000.0,258,887.893634
-19000.0,260,897.713711
-17000.0,257,907.91064
-18000.0,257,917.803031
-18000.0,258,928.670062
-18000.0,256,938.064718
-18000.0,257,948.641568
-21000.0,240,957.994734
-18000.0,257,969.141733
-18000.0,258,978.276655
-25000.0,250,989.201129
-19000.0,259,998.816242
-18000.0,258,1009.467517
-18000.0,258,1018.811601
-18000.0,258,1029.940708
-17000.0,256,1039.281465
-18000.0,257,1050.389749
-18000.0,257,1059.810659
-18000.0,258,1070.344858
-18000.0,258,1079.868456
-18000.0,256,1090.786565
-18000.0,258,1100.06051
-18000.0,256,1110.591531
-18000.0,258,1120.211901
-18000.0,257,1130.961433
-18000.0,258,1140.499494
-18000.0,257,1151.329672
-18000.0,258,1160.923448
-17000.0,257,1171.462651
-18000.0,258,1181.128404
-19000.0,258,1192.042843
-17000.0,257,1201.741866
-18000.0,256,1212.620718
-18000.0,257,1222.292652
-18000.0,257,1232.950672
-18000.0,256,1242.879599
-18000.0,257,1253.216677
-18000.0,257,1262.867526
-18000.0,255,1273.75941
-18000.0,256,1283.213771
-18000.0,258,1293.763429
-18000.0,257,1303.148781
-18000.0,256,1314.021008
-17000.0,256,1323.482545
-18000.0,257,1334.150348
-18000.0,258,1344.002671
-18000.0,257,1354.52421
-18000.0,257,1364.106004
-18000.0,257,1374.845665
-18000.0,257,1384.399583
-18000.0,258,1395.17549
-17000.0,257,1404.869072
-18000.0,257,1415.790862
-18000.0,257,1425.612839
-18000.0,257,1436.350454
-18000.0,257,1446.216561
-18000.0,257,1456.863646
-18000.0,257,1466.69765
-18000.0,257,1477.190663
-18000.0,255,1486.828587
-17000.0,257,1497.610793
-18000.0,256,1507.000394
-18000.0,256,1517.6517
-18000.0,257,1527.186038
-18000.0,256,1537.787545
-18000.0,256,1547.361704
-18000.0,256,1557.788643
-18000.0,256,1567.162887
-18000.0,256,1577.815459
-18000.0,257,1587.610365
-18000.0,257,1598.167155
-18000.0,256,1607.594002
-18000.0,255,1618.205608
-18000.0,257,1627.681955
-18000.0,256,1638.003438
-18000.0,256,1647.794535
-18000.0,257,1658.323537
-18000.0,256,1667.788786
-18000.0,256,1678.88976
-18000.0,256,1688.402572
-18000.0,256,1699.04091
-18000.0,256,1708.467636
-18000.0,255,1718.898461
-18000.0,256,1728.429954
-18000.0,256,1738.846605
-18000.0,256,1748.304852
-18000.0,255,1758.90554
-18000.0,255,1768.516632
-18000.0,256,1778.902775
-18000.0,256,1788.607435
-18000.0,256,1799.168493
-18000.0,256,1808.784616
