#{"t_start": 1701270960.6226623, "env_id": "None"}
r,l,t
-527400.0,30,35.981857
-467600.0,27,45.838588
-627100.0,37,56.801728
-826100.0,47,70.967487
-457600.0,27,82.213785
-746500.0,44,95.491653
-487600.0,28,106.384378
-467500.0,27,117.111851
-427900.0,25,127.441469
-487500.0,27,138.069432
-427800.0,24,148.328522
-427800.0,24,158.51645
-447700.0,25,168.797829
-437900.0,26,179.17235
-447700.0,25,189.317481
-776100.0,42,202.48343
-427800.0,25,212.977561
-417900.0,24,223.402469
-13004800.0,658,323.560712
-537200.0,30,334.506458
-497400.0,28,345.145365
-467600.0,26,355.545642
-587000.0,32,366.712337
-457600.0,26,377.757168
-457600.0,26,388.958814
-457600.0,26,400.468697
-447700.0,25,410.94494
-447700.0,25,421.453406
-447700.0,25,431.995817
-447700.0,25,442.436497
-447700.0,25,452.925633
-447700.0,25,463.482677
-447700.0,27,474.30539
-447700.0,25,484.79353
-13413300.0,684,593.274585
-427800.0,24,603.744809
-427800.0,24,614.429429
-427800.0,24,625.115592
-427800.0,24,635.434378
-427800.0,24,645.831911
-427800.0,24,656.115848
-427800.0,24,666.254306
-427800.0,24,676.388508
-427800.0,24,686.799247
-427800.0,24,696.95719
-427800.0,24,707.085464
-427800.0,24,717.227244
-427800.0,24,727.480236
-427800.0,24,737.585422
-427800.0,24,747.979547
-427800.0,24,758.127372
-427800.0,24,768.230369
-427800.0,24,778.5535
-1124300.0,59,793.5744
-3025400.0,161,823.301296
-427800.0,24,833.526564
-537500.0,32,844.892535
-497600.0,29,855.678597
-527400.0,30,866.635325
-527300.0,29,877.899215
-507500.0,29,889.024124
-447700.0,25,899.751217
-447700.0,25,910.349263
-447700.0,25,920.713574
-447700.0,25,931.201356
-447700.0,25,941.807835
-437700.0,25,952.270322
-447700.0,25,962.542245
-447700.0,25,972.901623
-447700.0,25,983.283685
-447700.0,25,993.690791
-447700.0,25,1004.00942
-447700.0,25,1014.459762
-447700.0,25,1024.809355
-447700.0,25,1035.17835
-447700.0,25,1045.281502
-457600.0,26,1055.620716
-447700.0,25,1065.964661
-447700.0,25,1076.079458
-447700.0,25,1086.141771
-447700.0,25,1096.387528
-447700.0,25,1106.603287
-447700.0,25,1116.734832
-447700.0,25,1126.871227
-497400.0,28,1137.572104
-487500.0,27,1148.167834
-527200.0,30,1159.12085
-815800.0,44,1171.991525
-557000.0,32,1183.126276
-567000.0,32,1194.259845
-517300.0,29,1205.81229
-855600.0,46,1220.419406
-557100.0,31,1232.164142
-706500.0,40,1245.201491
-557000.0,32,1256.610787
-576700.0,35,1268.370362
-477500.0,27,1278.957505
-497400.0,28,1289.758526
-935100.0,51,1303.597453
-567400.0,34,1314.991364
-457700.0,26,1325.786333
-447700.0,25,1336.174719
-447700.0,25,1346.524448
-427800.0,24,1356.9781
-427800.0,24,1367.227883
-427800.0,24,1377.665523
-427800.0,24,1388.368792
-427800.0,24,1398.894816
-427800.0,24,1409.329616
-427800.0,24,1419.805058
-427800.0,24,1430.348495
-427800.0,24,1441.214429
-427800.0,24,1452.011945
-427800.0,24,1462.804415
-427800.0,24,1473.418611
-427800.0,24,1484.258816
-427800.0,24,1494.812379
-427800.0,24,1505.494059
-427800.0,24,1516.298702
-427800.0,24,1527.11056
-427800.0,24,1537.788416
-427800.0,24,1548.567446
-427800.0,24,1559.28195
-427800.0,24,1569.813429
-1144200.0,60,1586.076473
-1104400.0,58,1602.318398
-2507800.0,133,1630.151764
-13135700.0,680,1741.864249
-427800.0,24,1752.703289
-427800.0,24,1764.022527
-427800.0,24,1774.623438
-427800.0,24,1785.060332
-427800.0,24,1795.491408
-427800.0,24,1806.59826
-427800.0,24,1817.089256
-447700.0,25,1827.746529
-427800.0,24,1838.129927
-427800.0,24,1848.841448
-427800.0,24,1860.417729
-427800.0,24,1872.310732
-427800.0,24,1883.764172
-427800.0,24,1894.336884
-477600.0,27,1905.322062
-507400.0,29,1917.711273
-507400.0,28,1929.586537
-626900.0,35,1943.257529
-517400.0,29,1955.667365
-437800.0,25,1967.053378
-417900.0,24,1978.928441
-437800.0,25,1989.482178
-746200.0,40,2002.692953
-537200.0,30,2015.018414
-497400.0,28,2026.253655
-537200.0,30,2039.961386
-517300.0,29,2051.543566
-507300.0,29,2063.811398
-487500.0,27,2075.359753
-497400.0,28,2087.010779
-507300.0,29,2098.865594
-487400.0,28,2111.336909
-726200.0,40,2124.372346
-567000.0,32,2136.900212
-467600.0,26,2147.6627
-497400.0,28,2159.621216
