traj_tx,traj_ty
50,-10
50.01,-10
50.02,-10
50.03,-10
50.04,-10
50.05,-10
50.06,-10
50.07,-10
50.08,-10
50.09,-10
50.1,-10
50.11,-10
50.12,-10
50.13,-10
50.14,-10
50.15,-10
50.16,-10
50.17,-10
50.18,-10
50.19,-10
50.2,-10
50.21,-10
50.22,-10
50.23,-10
50.24,-10
50.25,-10
50.26,-10
50.27,-10
50.28,-10
50.29,-10
50.3,-10
50.31,-10
50.32,-10
50.33,-10
50.34,-10
50.35,-10
50.36,-10
50.37,-10
50.38,-10
50.39,-10
50.4,-10
50.41,-10
50.42,-10
50.43,-10
50.44,-10
50.45,-10
50.46,-10
50.47,-10
50.48,-10
50.49,-10
50.5,-10
50.51,-10
50.52,-10
50.53,-10
50.54,-10
50.55,-10
50.56,-10
50.57,-10
50.58,-10
50.59,-10
50.6,-10
50.61,-10
50.62,-10
50.63,-10
50.64,-10
50.65,-10
50.66,-10
50.67,-10
50.68,-10
50.69,-10
50.7,-10
50.71,-10
50.72,-10
50.73,-10
50.74,-10
50.75,-10
50.76,-10
50.77,-10
50.78,-10
50.79,-10
50.8,-10
50.81,-10
50.82,-10
50.83,-10
50.84,-10
50.85,-10
50.86,-10
50.87,-10
50.88,-10
50.89,-10
50.9,-10
50.91,-10
50.92,-10
50.93,-10
50.94,-10
50.95,-10
50.96,-10
50.97,-10
50.98,-10
50.99,-10
51,-10
51.01,-10
51.02,-10
51.03,-10
51.04,-10
51.05,-10
51.06,-10
51.07,-10
51.08,-10
51.09,-10
51.1,-10
51.11,-10
51.12,-10
51.13,-10
51.14,-10
51.15,-10
51.16,-10
51.17,-10
51.18,-10
51.19,-10
51.2,-10
51.21,-10
51.22,-10
51.23,-10
51.24,-10
51.25,-10
51.26,-10
51.27,-10
51.28,-10
51.29,-10
51.3,-10
51.31,-10
51.32,-10
51.33,-10
51.34,-10
51.35,-10
51.36,-10
51.37,-10
51.38,-10
51.39,-10
51.4,-10
51.41,-10
51.42,-10
51.43,-10
51.44,-10
51.45,-10
51.46,-10
51.47,-10
51.48,-10
51.49,-10
51.5,-10
51.51,-10
51.52,-10
51.53,-10
51.54,-10
51.55,-10
51.56,-10
51.57,-10
51.58,-10
51.59,-10
51.6,-10
51.61,-10
51.62,-10
51.63,-10
51.64,-10
51.65,-10
51.66,-10
51.67,-10
51.68,-10
51.69,-10
51.7,-10
51.71,-10
51.72,-10
51.73,-10
51.74,-10
51.75,-10
51.76,-10
51.77,-10
51.78,-10
51.79,-10
51.8,-10
51.81,-10
51.82,-10
51.83,-10
51.84,-10
51.85,-10
51.86,-10
