,0
0,-2.3995756665738703
1,-3.5274057235937586
2,-4.682283927368661
3,-4.142795126666302
4,-2.9425177676662484
5,-1.7227623832653758
6,-0.4903798446228992
7,-0.9012777134134283
8,-2.2889346935872315
9,-3.7615193802104194
10,-5.337910197832837
11,-4.667737296467763
12,-3.6930185233805997
13,-2.8387981499539205
14,-3.076415079554868
15,-5.078831410567801
16,-7.230199042885809
17,-9.391279991346618
18,-8.601448137153634
19,-7.704908644571219
20,-7.149533699705652
21,-7.819840977419722
22,-9.170924097362052
23,-10.604052727355594
24,-9.668095065273807
25,-7.970778480728056
26,-6.829829712489756
27,-7.18450650895722
28,-8.51605792787999
29,-10.203545006213904
30,-8.882458373107864
31,-8.059182920404883
32,-8.360732337139382
33,-9.829416032773556
34,-11.853366804444054
35,-12.239241444738353
36,-11.816483743249275
37,-12.158646295942233
38,-13.360234557384405
39,-15.166283408047665
40,-15.895155522529175
41,-15.782043637483358
42,-16.48267092649749
43,-18.049374332401566
44,-20.314401419815304
45,-21.48805863239651
46,-22.552920920074296
47,-24.421163401872636
48,-26.996027646112275
49,-30.071487426385787
50,-31.663863315458634
51,-33.85603891440507
52,-36.589062482502364
53,-39.76300859699966
54,-42.42377778293342
55,-44.81044472817474
56,-47.65600295142445
57,-50.91968026293351
58,-54.26574075726791
59,-57.04570246235714
60,-60.292886610939874
61,-63.97580918956527
62,-68.01068291800276
63,-71.455625407284
64,-75.33094952217672
65,-79.59282012516677
66,-84.19285637461209
67,-88.30679832936279
68,-92.74146672324898
69,-97.47786465421635
70,-102.46565977233259
71,-107.03703664463305
72,-111.8755051208469
73,-116.95161892544425
74,-122.15095737360974
75,-127.08659761208528
76,-132.24756930276254
77,-137.6177100048045
78,-143.0023098114071
79,-148.30365654700958
80,-153.8253055502575
81,-159.55854087632642
82,-165.21656966874582
83,-170.967686775573
84,-176.93715029292514
85,-183.09282483467487
86,-189.11581175718797
87,-195.35166782927473
88,-201.78817202522566
89,-208.25542095629078
90,-214.76051636062596
91,-221.45493599183328
92,-228.3256303893528
93,-235.09081759465653
94,-242.03324192092063
95,-249.14294717053866
96,-256.26856713560545
97,-263.4485651222102
98,-270.78586626912454
99,-278.23054860892603
100,-285.63770200536254
101,-293.19231110123343
102,-300.8866996212336
103,-308.541985998216
104,-316.3026062215956
105,-324.19462401886994
106,-332.108599531124
107,-340.06625769987573
108,-348.148883645997
109,-356.29956147461326
110,-364.4501729980425
111,-372.7212056397108
112,-381.09445545186884
113,-389.4372547117406
114,-397.8964616642288
115,-406.46796685406593
116,-415.01464366692073
117,-423.6593895103226
118,-432.4113928093749
119,-441.16161137532583
120,-449.98480791928375
121,-458.9092564744355
122,-467.84696921495174
123,-476.8390256179276
124,-485.92662816950207
125,-495.0373716675646
126,-504.1901584822853
127,-513.4341513146469
128,-522.707887805648
129,-532.0168629800868
130,-541.413868953689
131,-550.8442535365806
132,-560.3067075158183
133,-569.854004766829
134,-579.4348770406077
135,-589.0464271955101
136,-598.7386916406806
137,-608.4613114391765
138,-618.2142157395347
139,-628.0429770095802
140,-637.8965724934014
141,-647.781503759263
142,-657.73781188835
143,-667.7126972889693
144,-677.7220685480877
145,-687.7994919353373
146,-697.8892579486994
147,-708.0184623901062
148,-718.2131511548885
149,-728.4134975223408
150,-738.658796684995
151,-748.966655237597
152,-759.2721770797606
153,-769.6276145120844
154,-780.0417021038327
155,-790.4440832630098
156,-800.9007836065792
157,-811.4051301955385
158,-821.9013814046077
159,-832.4500916329273
160,-843.0340602145448
161,-853.6185868404956
