,Time,x,y,z,traj_tx,traj_ty,traj_tz,num
1183,11.83,30.01865944,-1.922466907,0.681311988,29.4058627,-2,0,0
1184,11.84,30.04226932,-1.922644708,0.681311988,29.42947243,-2,0,0
1185,11.85,30.06587919,-1.922823097,0.681311988,29.45308216,-2,0,0
1186,11.86,30.08948906,-1.923002074,0.681311987,29.47669188,-2,0,0
1187,11.87,30.11309894,-1.923181639,0.681311987,29.50030161,-2,0,0
1188,11.88,30.13670881,-1.923361793,0.681311987,29.52391133,-2,0,0
1189,11.89,30.16031868,-1.923542537,0.681311986,29.54752105,-2,0,0
1190,11.9,30.18392855,-1.923723871,0.681311986,29.57113077,-2,0,0
1191,11.91,30.20753842,-1.923905795,0.681311986,29.59474049,-2,0,0
1192,11.92,30.23114829,-1.92408831,0.681311985,29.61835021,-2,0,0
1193,11.93,30.25475816,-1.924271417,0.681311985,29.64195993,-2,0,0
1194,11.94,30.27836803,-1.924455116,0.681311985,29.66556965,-2,0,0
1195,11.95,30.3019779,-1.924639407,0.681311985,29.68917936,-2,0,0
1196,11.96,30.32558777,-1.924824292,0.681311984,29.71278907,-2,0,0
1197,11.97,30.34919764,-1.92500977,0.681311984,29.73639879,-2,0,0
1198,11.98,30.3728075,-1.925195842,0.681311984,29.7600085,-2,0,0
1199,11.99,30.39641737,-1.925382509,0.681311983,29.78361821,-2,0,0
1200,12,30.42002724,-1.925569772,0.681311983,29.80722792,-2,0,0
1201,12.01,30.4436371,-1.925757629,0.681311983,29.83083762,-2,0,0
1202,12.02,30.46724697,-1.925946084,0.681311982,29.85444733,-2,0,0
1203,12.03,30.49085683,-1.926135134,0.681311982,29.87805703,-2,0,0
1204,12.04,30.51446669,-1.926324782,0.681311982,29.90166673,-2,0,0
1205,12.05,30.53807655,-1.926515028,0.681311982,29.92527644,-2,0,0
1206,12.06,30.56168641,-1.926705872,0.681311981,29.94888614,-2,0,0
1207,12.07,30.58529627,-1.926897315,0.681311981,29.97249583,-2,0,0
1208,12.08,30.60890613,-1.927089357,0.681311981,29.99610553,-2,0,0
1209,12.09,30.63251599,-1.927281999,0.681311981,30.01971522,-2,0,0
1210,12.1,30.65612585,-1.927475241,0.68131198,30.04332492,-2,0,0
1211,12.11,30.67973571,-1.927669084,0.68131198,30.06693461,-2,0,0
1212,12.12,30.70334556,-1.927863528,0.68131198,30.0905443,-2,0,0
1213,12.13,30.72695542,-1.928058575,0.681311979,30.11415398,-2,0,0
1214,12.14,30.75056527,-1.928254223,0.681311979,30.13776367,-2,0,0
1215,12.15,30.77417512,-1.928450475,0.681311979,30.16137335,-2,0,0
1216,12.16,30.79778497,-1.92864733,0.681311979,30.18498303,-2,0,0
1217,12.17,30.82139482,-1.928844788,0.681311978,30.20859271,-2,0,0
1218,12.18,30.84500467,-1.929042852,0.681311978,30.23220239,-2,0,0
1219,12.19,30.86861452,-1.92924152,0.681311978,30.25581207,-2,0,0
1220,12.2,30.89222437,-1.929440793,0.681311977,30.27942174,-2,0,0
1221,12.21,30.91583421,-1.929640673,0.681311977,30.30303141,-2,0,0
1222,12.22,30.93944405,-1.929841159,0.681311977,30.32664108,-2,0,0
1223,12.23,30.9630539,-1.930042252,0.681311976,30.35025075,-2,0,0
1224,12.24,30.98666374,-1.930243953,0.681311976,30.37386042,-2,0,0
1225,12.25,31.01027358,-1.930446261,0.681311976,30.39747008,-2,0,0
1226,12.26,31.03388341,-1.930649178,0.681311975,30.42107974,-2,0,0
1227,12.27,31.05749325,-1.930852704,0.681311975,30.4446894,-2,0,0
1228,12.28,31.08110309,-1.93105684,0.681311975,30.46829906,-2,0,0
1229,12.29,31.10471292,-1.931261585,0.681311974,30.49190871,-2,0,0
1230,12.3,31.12832275,-1.931466941,0.681311974,30.51551836,-2,0,0
1231,12.31,31.15193258,-1.931672909,0.681311974,30.53912801,-2,0,0
1232,12.32,31.17554241,-1.931879488,0.681311973,30.56273766,-2,0,0
1233,12.33,31.19915224,-1.932086678,0.681311973,30.5863473,-2,0,0
1234,12.34,31.22276206,-1.932294482,0.681311972,30.60995694,-2,0,0
1235,12.35,31.24637188,-1.932502899,0.681311972,30.63356658,-2,0,0
1236,12.36,31.26998171,-1.932711929,0.681311972,30.65717622,-2,0,0
1237,12.37,31.29359152,-1.932921573,0.681311971,30.68078585,-2,0,0
1238,12.38,31.31720134,-1.933131832,0.681311971,30.70439548,-2,0,0
1239,12.39,31.34081116,-1.933342706,0.68131197,30.72800511,-2,0,0
1240,12.4,31.36442097,-1.933554196,0.68131197,30.75161474,-2,0,0
1241,12.41,31.38803078,-1.933766302,0.68131197,30.77522436,-2,0,0
1242,12.42,31.41164059,-1.933979024,0.681311969,30.79883398,-2,0,0
1243,12.43,31.4352504,-1.934192364,0.681311969,30.8224436,-2,0,0
1244,12.44,31.45886021,-1.934406322,0.681311968,30.84605321,-2,0,0
1245,12.45,31.48247001,-1.934620897,0.681311968,30.86966282,-2,0,0
1246,12.46,31.50607981,-1.934836092,0.681311967,30.89327243,-2,0,0
1247,12.47,31.52968961,-1.935051905,0.681311967,30.91688204,-2,0,0
1248,12.48,31.55329941,-1.935268338,0.681311966,30.94049164,-2,0,0
1249,12.49,31.5769092,-1.935485392,0.681311966,30.96410124,-2,0,0
1250,12.5,31.60051899,-1.935703066,0.681311966,30.98771083,-2,0,0
1251,12.51,31.62412878,-1.935921361,0.681311965,31.01132043,-2,0,0
1252,12.52,31.64773857,-1.936140278,0.681311965,31.03493002,-2,0,0
1253,12.53,31.67134835,-1.936359818,0.681311964,31.0585396,-2,0,0
1254,12.54,31.69495813,-1.93657998,0.681311964,31.08214919,-2,0,0
1255,12.55,31.71856791,-1.936800765,0.681311963,31.10575876,-2,0,0
1256,12.56,31.74217769,-1.937022174,0.681311963,31.12936834,-2,0,0
