,0
0,-0.017944075
1,0.71595234
2,-0.6716337
3,-0.48896456
4,-0.7911654
5,-0.7786242
6,-0.48164168
7,0.8591487
8,-0.32141978
9,0.50809884
10,-0.8991127
11,-0.59506065
12,-0.44908354
13,-0.67313135
14,-0.20770209
15,0.24192744
16,0.9206632
17,-0.15657899
18,0.8867974
19,-0.5595723
20,-0.3793071
21,0.8371065
22,0.24201076
23,0.19517006
24,0.24813414
25,0.69847345
26,-0.53071845
27,0.7030647
28,0.3491323
29,-0.60270137
30,0.40024963
31,-0.9801074
32,-0.7154303
33,0.2654339
34,-0.8051935
35,-0.8991607
36,0.58830583
37,-0.61522764
38,-0.9867555
39,-0.88835967
40,-0.4906076
41,0.07863876
42,0.43044958
43,0.081682
44,-0.7197297
45,-0.7382607
46,0.4112263
47,0.010878214
48,-0.08532796
49,-0.6550797
50,-0.40781468
51,0.702445
52,0.013336221
53,0.6952276
54,0.2462427
55,0.32929498
56,-0.72903717
57,-0.954803
58,-0.5513174
59,-0.004706928
60,-0.8542368
61,0.80037385
62,-0.9297709
63,-0.45480633
64,-0.9698521
65,0.008192671
66,0.87420803
67,-0.4088543
68,0.3563688
69,-0.65044
70,-0.3705346
71,-0.24418162
72,0.57672614
73,0.052899476
74,0.009595804
75,-0.80656743
76,0.846907
77,0.63670623
78,0.65733117
79,0.5898721
80,-0.82517195
81,-0.7518556
82,0.13034755
83,-0.36394304
84,-0.16131626
85,-0.37645712
86,0.015403644
87,-0.92472696
88,-0.10945172
89,0.83944374
90,0.66222364
91,-0.4027951
92,-0.8174027
93,0.6638704
94,-0.30041513
95,0.5989129
96,-0.28231227
97,0.8693348
98,0.5807161
99,-0.72494984
100,0.7721731
101,-0.7704591
102,0.697555
103,0.86841345
104,-0.67288226
105,-0.14379221
106,-0.15789792
107,0.8367218
108,-0.7348475
109,-0.9835204
110,0.66924566
111,-0.4593751
112,0.41429684
113,-0.090003416
114,-0.53831726
115,-0.79281634
116,0.49573588
117,-0.6163294
118,0.082097195
119,-0.40125957
120,-0.005491689
121,-0.15218766
122,-0.7390153
123,-0.2502396
124,-0.26609978
125,-0.35674843
126,0.4846399
127,-0.51045173
128,0.25332996
129,0.5636599
130,-0.68875253
131,0.9240215
132,-0.36127356
133,0.06510091
134,-0.94755584
135,-0.33105052
136,-0.400831
137,-0.46353567
138,0.044128045
139,0.6841577
140,0.80025214
141,0.98844004
142,-0.7762984
143,-0.30157986
144,0.714651
145,-0.34504417
146,0.20863196
147,0.19018322
148,0.85412264
149,0.8381505
150,0.69899637
151,0.15812486
152,-0.4109182
153,-0.61953735
154,-0.8994306
155,-0.8158939
156,-0.76253295
157,0.60056144
158,-0.53608507
159,-0.24223652
160,0.09320088
161,0.8243307
162,0.28841564
163,-0.43435508
164,-0.13295794
165,-0.6171587
166,0.5062722
167,-0.62344676
168,-0.47567153
169,0.4381462
170,0.16768594
171,-0.20023479
172,-0.10722275
173,-0.8501299
174,-0.087598644
175,-0.12984191
176,0.6847572
177,0.5640604
178,0.9308173
179,0.5761035
180,-0.3044304
181,-0.82347083
182,-0.9993159
183,-0.9773897
184,-0.5990772
185,0.11167717
186,-0.15725088
187,0.8433149
188,0.8536921
189,-0.9292356
190,-0.62431425
191,0.11171904
192,0.9180323
193,0.23214228
194,-0.8878948
195,-0.3774232
196,-0.99003977
197,0.6592093
198,-0.7333698
199,0.4117783
200,0.45101416
201,-0.62953985
202,-0.8154816
203,0.042699967
204,0.5008977
205,0.7413089
206,0.32397637
207,0.54870784
208,0.19491898
209,-0.22414958
210,0.29440153
211,0.99303305
212,0.84513545
213,-0.38414213
214,-0.038949113
215,-0.060305838
216,0.8518053
217,-0.5236271
218,-0.9446137
219,-0.053645115
220,0.80678207
221,0.95150405
222,-0.99283224
223,-0.772395
224,-0.12739152
225,-0.052743312
226,0.58036643
227,0.214577
228,0.64894813
229,-0.8900688
230,-0.9744137
231,0.52025455
232,-0.5515115
233,-0.82618207
234,0.21931912
235,0.687361
236,-0.41384354
237,0.9800873
238,-0.2583531
239,0.6825418
240,0.55732864
241,-0.73835826
242,-0.5302523
243,-0.9168698
244,-0.08258403
245,-0.22288236
246,0.92363125
247,0.46812102
248,0.33843562
249,0.70860136
250,-0.59229165
251,-0.8480104
252,-0.39277408
253,-0.48068404
254,0.97855926
255,0.81618613
256,-0.78003484
257,0.78031594
258,-0.713865
259,-0.7045246
260,0.57548237
261,0.9063364
262,-0.27412176
263,0.23274496
264,-0.32281807
265,0.24324948
266,-0.34010828
267,-0.789238
268,0.05458324
269,0.18155088
270,-0.36791286
271,0.4774404
272,-0.090774216
273,0.5701294
274,0.71899444
275,-0.029552389
276,-0.89338773
277,-0.15092397
278,-0.32226837
279,0.17441066
