#{"t_start": 1702735097.585254, "env_id": "None"}
r,l,t
-419529.38,317,695.514978
-1542173.1,1274,733.321754
-1607714.4,1106,742.663647
-776930.06,580,766.4686
-1118886.9,949,777.50749
-718958.2,532,792.594151
-670609.06,498,802.567013
-695590.0,519,818.218836
-704522.7,522,827.96884
-608072.7,448,840.78158
-565320.0,411,849.08336
-528988.1,381,860.88172
-499654.78,357,868.453506
-432788.62,288,877.654037
-425934.84,276,884.786709
-405425.3,258,893.472632
-394029.44,246,900.056658
-380747.7,235,908.374148
-371541.62,228,914.773466
-366887.7,225,922.93807
-359096.3,219,929.10561
-356671.97,219,937.233012
-367684.44,227,943.811894
-368093.5,226,951.943691
-357092.34,220,958.133062
-357362.12,218,966.146987
-379248.78,236,973.022504
-432279.88,282,982.690106
-455432.12,299,990.228779
-453266.3,300,1000.049768
-457313.16,301,1007.554393
-528746.3,348,1018.979218
-609145.06,394,1028.216398
-826521.06,503,1043.549471
-837248.9,515,1053.182518
-888321.25,576,1070.619124
-865370.8,572,1080.434839
-839860.1,570,1097.887791
-1314074.5,829,1116.588048
-870125.8,594,1125.600748
-1116658.9,746,1154.747202
-2289163.0,1400,1175.332804
-1675946.5,1012,1197.646759
-949065.3,663,1206.114562
-893494.3,608,1225.679243
-861670.4,594,1233.687678
-854601.6,571,1252.39226
-826381.06,557,1259.770861
-848915.4,563,1279.272878
-822003.6,550,1286.258111
-816932.1,536,1304.76968
-829496.3,544,1312.062022
-825352.1,545,1330.684028
-819654.44,543,1338.353431
-814716.6,544,1357.033762
-822843.06,550,1364.38308
-816097.5,553,1383.070048
-817686.3,552,1390.517829
-817328.94,558,1409.31303
-810601.4,554,1416.57986
-815568.3,544,1435.158716
-814920.9,554,1442.853845
-788844.3,559,1466.23764
-1019947.6,898,1477.286823
-1161420.4,917,1504.960787
-1280271.5,1072,1521.595726
-824442.56,615,1533.858823
-806389.1,577,1549.11722
-815360.75,576,1560.96602
-809294.0,568,1575.859599
-804097.06,566,1587.493301
-822107.56,575,1602.692521
-814289.1,572,1614.346056
-801947.75,568,1629.509141
-815402.56,575,1641.269409
-815009.8,578,1656.428174
-815313.06,578,1668.26278
-820315.25,575,1683.482138
-825592.2,580,1695.482482
