`,Time,x,y,z,traj_tx,traj_ty,traj_tz
0,0,402.9714655,-12.24999372,0.68112365,402.3692313,-12.25,0
1,0.01,403.1102921,-12.24999448,0.681120731,402.5079629,-12.25,0
2,0.02,403.2488672,-12.24999601,0.681099472,402.6462836,-12.25,0
3,0.03,403.3871124,-12.24999756,0.681042392,402.7841382,-12.25,0
4,0.04,403.5250098,-12.24999884,0.680935216,402.9215269,-12.25,0
5,0.05,403.6625597,-12.24999989,0.680773567,403.0584616,-12.25,0
6,0.06,403.7997714,-12.25000086,0.680560682,403.1949605,-12.25,0
7,0.07,403.9366602,-12.25000195,0.68030328,403.3310479,-12.25,0
8,0.08,404.0732449,-12.25000328,0.68000812,403.466753,-12.25,0
9,0.09,404.2095457,-12.25000496,0.679680519,403.6021085,-12.25,0
10,0.1,404.345582,-12.25000704,0.679324474,403.7371476,-12.25,0
11,0.11,404.4813713,-12.25000951,0.678943678,403.8719013,-12.25,0
12,0.12,404.6169283,-12.25001233,0.67854073,404.0063975,-12.25,0
13,0.13,404.752265,-12.25001543,0.678117424,404.1406614,-12.25,0
14,0.14,404.8873913,-12.25001872,0.677675371,404.2747157,-12.25,0
15,0.15,405.0223163,-12.25002211,0.677216646,404.4085811,-12.25,0
16,0.16,405.1570479,-12.25002552,0.676743812,404.5422773,-12.25,0
17,0.17,405.2915941,-12.25002884,0.676259918,404.6758226,-12.25,0
18,0.18,405.4259622,-12.25003198,0.67576847,404.8092346,-12.25,0
19,0.19,405.5601589,-12.25003483,0.675273191,404.9425293,-12.25,0
20,0.2,405.6941898,-12.25003724,0.67477878,405.0757219,-12.25,0
21,0.21,405.8280564,-12.25003913,0.674292097,405.2088904,-12.25,0
22,0.22,405.9617559,-12.25004042,0.673821842,405.3420903,-12.25,0
23,0.23,406.0952854,-12.250041,0.673375519,405.47531,-12.25,0
24,0.24,406.2286392,-12.25004082,0.672959761,405.6085357,-12.25,0
25,0.25,406.3618094,-12.25003985,0.672581357,405.7417502,-12.25,0
26,0.26,406.494788,-12.25003809,0.672247693,405.8749324,-12.25,0
27,0.27,406.6275669,-12.25003558,0.671965508,406.0080592,-12.25,0
28,0.28,406.7601381,-12.2500324,0.671740286,406.1411063,-12.25,0
29,0.29,406.8924945,-12.25002865,0.671577397,406.2740505,-12.25,0
30,0.3,407.0246289,-12.25002441,0.671480495,406.4068683,-12.25,0
31,0.31,407.1565343,-12.2500198,0.671450817,406.5395363,-12.25,0
32,0.32,407.2882042,-12.25001494,0.671486865,406.672033,-12.25,0
33,0.33,407.4196324,-12.25000999,0.671585984,406.804338,-12.25,0
34,0.34,407.5508142,-12.25000511,0.671745768,406.9364323,-12.25,0
35,0.35,407.6817453,-12.2500004,0.671963943,407.068298,-12.25,0
36,0.36,407.8124217,-12.24999598,0.67223767,407.199918,-12.25,0
37,0.37,407.9428394,-12.24999191,0.672563488,407.3312758,-12.25,0
38,0.38,408.072994,-12.24998821,0.672937466,407.4623549,-12.25,0
39,0.39,408.202881,-12.24998489,0.673355431,407.5931398,-12.25,0
40,0.4,408.3324962,-12.24998192,0.673813229,407.7236157,-12.25,0
