#{"t_start": 1694543501.0523784, "env_id": null}
r,l,t
-660000.0,226,67.687393
-1288000.0,385,76.708376
-528000.0,212,83.588447
-508000.0,158,92.024009
-504000.0,157,98.880575
-504000.0,157,107.038049
-504000.0,157,113.791958
-504000.0,157,122.031343
-504000.0,157,128.9567
-504000.0,157,136.945192
-504000.0,157,143.739311
-504000.0,157,151.931772
-508000.0,158,158.848327
-508000.0,158,166.634931
-508000.0,158,173.422474
-508000.0,158,181.3132
-512000.0,159,188.353632
-508000.0,158,196.73344
-512000.0,159,203.517705
-512000.0,159,212.105144
-512000.0,159,218.983491
-512000.0,159,226.918883
-512000.0,159,233.756046
-512000.0,159,241.640479
-512000.0,159,248.368029
-512000.0,159,256.182809
-512000.0,159,262.855786
-512000.0,159,270.7287
-512000.0,159,277.424495
-512000.0,159,285.198164
-512000.0,159,292.154546
-512000.0,159,300.111739
-512000.0,159,306.837708
-512000.0,159,314.711087
-512000.0,159,321.694297
-512000.0,159,329.894577
-508000.0,158,336.795214
-504000.0,157,344.736805
-508000.0,158,351.606987
-504000.0,157,359.263269
-504000.0,157,366.029772
-504000.0,157,374.040909
-504000.0,157,380.97705
-504000.0,157,388.745031
-504000.0,157,395.596689
-504000.0,157,403.736373
-504000.0,157,410.397635
-504000.0,157,418.005241
-504000.0,157,425.158052
-504000.0,157,433.38485
-504000.0,157,440.083277
-504000.0,157,448.297557
-504000.0,157,455.208786
-504000.0,157,463.172703
-504000.0,157,470.011662
-504000.0,157,477.960812
-504000.0,157,484.74629
-504000.0,157,492.718781
-504000.0,157,499.416498
-504000.0,157,507.131214
-504000.0,157,513.974592
-504000.0,157,521.844502
-504000.0,157,528.513109
-504000.0,157,536.585509
-504000.0,157,543.483133
-504000.0,157,551.408662
-504000.0,157,558.214549
-508000.0,158,565.985457
-508000.0,158,572.684421
-512000.0,159,580.429759
-512000.0,159,587.245393
-512000.0,159,595.254372
-512000.0,159,602.094432
-512000.0,159,610.033352
-512000.0,159,617.096531
-512000.0,159,625.763321
-512000.0,159,632.549064
-512000.0,159,640.25257
-512000.0,159,647.168627
-512000.0,159,654.83589
-512000.0,159,661.708005
-512000.0,159,669.915057
-512000.0,159,676.582793
-512000.0,159,684.389544
-512000.0,159,691.206272
-512000.0,159,699.071832
-512000.0,159,705.851615
-512000.0,159,713.703649
-512000.0,159,720.536957
-512000.0,159,728.311336
-512000.0,159,735.103229
-512000.0,159,742.874761
-512000.0,159,749.82893
-512000.0,159,758.051893
-512000.0,159,764.931662
-512000.0,159,772.759047
-512000.0,159,779.579162
-512000.0,159,787.304135
-512000.0,159,794.056943
-512000.0,159,802.056842
-512000.0,159,808.877262
-508000.0,158,816.550405
-504000.0,157,823.257206
-504000.0,157,831.21126
-504000.0,157,838.181365
-504000.0,157,846.220494
-504000.0,157,853.374832
-504000.0,157,862.061144
-504000.0,157,869.285795
-504000.0,157,877.846273
-504000.0,157,884.825169
-504000.0,157,893.472742
-504000.0,157,900.698836
-504000.0,157,909.117989
-504000.0,157,915.990655
-504000.0,157,924.394375
-504000.0,157,931.324734
-504000.0,157,939.621694
-504000.0,157,946.930882
-504000.0,157,954.969766
-504000.0,157,961.639527
-504000.0,157,969.753721
-504000.0,157,976.574371
-504000.0,157,984.367141
-504000.0,157,991.377554
-504000.0,157,999.234659
-504000.0,157,1005.934447
-504000.0,157,1014.078763
-504000.0,157,1021.206518
-504000.0,157,1029.614276
-504000.0,157,1036.272913
-504000.0,157,1044.745257
-504000.0,157,1051.457605
-504000.0,157,1059.848301
-504000.0,157,1066.688032
-508000.0,158,1074.540457
-508000.0,158,1081.452279
-504000.0,157,1089.319505
-504000.0,157,1096.32018
-504000.0,157,1103.974742
-512000.0,159,1110.78271
-512000.0,159,1118.634652
-508000.0,158,1125.485059
-512000.0,159,1133.514588
-512000.0,159,1140.385696
-508000.0,158,1148.307829
-512000.0,159,1155.033415
-512000.0,159,1162.611928
-512000.0,159,1169.370483
-512000.0,159,1176.944012
-508000.0,158,1183.729792
-512000.0,159,1191.836121
-512000.0,159,1198.705156
-508000.0,158,1207.157597
-508000.0,158,1214.060096
-512000.0,159,1221.869918
-512000.0,159,1228.695883
-512000.0,159,1236.979342
-508000.0,158,1243.615566
-508000.0,158,1251.623502
-512000.0,159,1258.661397
-512000.0,159,1266.574979
-512000.0,159,1273.679258
-512000.0,159,1281.683958
-512000.0,159,1288.441185
-508000.0,158,1296.467888
-508000.0,158,1303.353426
-512000.0,159,1311.466792
-508000.0,158,1318.157246
-512000.0,159,1326.175725
-512000.0,159,1332.844317
-512000.0,159,1340.790643
-508000.0,158,1347.420995
-508000.0,158,1355.990423
-504000.0,157,1362.797735
-512000.0,159,1370.863855
-512000.0,159,1377.554641
-512000.0,159,1385.410795
-512000.0,159,1392.452113
-508000.0,158,1400.712448
-512000.0,159,1407.619525
-512000.0,159,1415.532731
-512000.0,159,1422.158793
-512000.0,159,1430.167733
-512000.0,159,1437.00408
-512000.0,159,1445.250175
-512000.0,159,1451.96619
-508000.0,158,1460.041873
-504000.0,157,1466.703839
-508000.0,158,1474.631006
-516000.0,160,1481.233369
-512000.0,159,1489.398339
-520000.0,161,1496.295119
-512000.0,159,1504.31398
-512000.0,159,1511.28753
-508000.0,158,1519.342164
-516000.0,160,1526.10593
-516000.0,160,1533.827051
-516000.0,160,1540.778827
-508000.0,158,1548.697148
-516000.0,160,1555.530366
-512000.0,159,1563.226858
-512000.0,159,1570.229257
-508000.0,158,1578.153331
-512000.0,159,1585.234883
-508000.0,158,1593.108621
-516000.0,160,1600.087089
-516000.0,160,1608.104712
-516000.0,160,1615.01654
-512000.0,159,1622.545037
-516000.0,160,1629.671496
-520000.0,161,1637.575314
-520000.0,161,1644.476411
-516000.0,160,1652.162181
-516000.0,160,1659.477813
-520000.0,161,1667.328447
-528000.0,163,1674.522881
-532000.0,164,1682.849962
-520000.0,161,1689.748953
-520000.0,161,1697.280162
-512000.0,159,1704.170349
-516000.0,160,1711.993453
-524000.0,162,1719.403103
-544000.0,167,1727.475229
-520000.0,161,1734.78524
-520000.0,161,1742.992045
-536000.0,165,1750.396052
-544000.0,175,1758.12026
-532000.0,164,1764.762984
-540000.0,166,1773.091318
-540000.0,166,1780.365613
-580000.0,176,1789.349755
-540000.0,166,1795.899653
-580000.0,183,1805.797416
-540000.0,166,1812.30478
-588000.0,178,1822.325564
-536000.0,195,1829.346394
-584000.0,177,1838.979555
-636000.0,190,1846.357858
-608000.0,183,1855.655239
-556000.0,170,1862.681544
-640000.0,191,1872.529394
-628000.0,188,1879.452097
-632000.0,189,1889.691926
-812000.0,234,1895.631343
-608000.0,183,1905.324915
-912000.0,289,1914.234248
-856000.0,276,1924.328962
-860000.0,277,1933.545885
-780000.0,226,1942.151428
-888000.0,283,1953.041155
-856000.0,276,1960.950984
-632000.0,202,1969.691882
-600000.0,212,1978.470678
-880000.0,282,1988.932108
-884000.0,283,1998.37174
-808000.0,233,2007.670823
-864000.0,278,2017.130625
-1232000.0,352,2028.676422
-912000.0,291,2036.489896
-768000.0,223,2048.955191
-984000.0,371,2056.157594
-908000.0,289,2068.762234
-952000.0,303,2075.971672
-940000.0,303,2088.22809
-868000.0,279,2095.210555
-912000.0,289,2108.04196
-888000.0,272,2114.444543
-912000.0,270,2126.50702
-860000.0,272,2133.06132
-932000.0,264,2145.669336
-900000.0,256,2151.816956
-932000.0,264,2165.095261
-932000.0,264,2171.243868
-924000.0,262,2183.750864
-940000.0,266,2190.045926
-904000.0,257,2202.384686
-936000.0,265,2208.914115
-924000.0,262,2221.323124
-912000.0,259,2227.884103
-912000.0,259,2240.463446
-916000.0,260,2247.048054
-928000.0,263,2259.221562
-936000.0,265,2265.852271
-936000.0,266,2278.764452
-912000.0,259,2285.114464
-860000.0,277,2297.587674
-860000.0,277,2303.721562
-912000.0,290,2317.075397
-876000.0,281,2323.107406
-844000.0,303,2336.564562
-952000.0,308,2342.808257
-732000.0,214,2352.82418
-744000.0,217,2359.169837
-704000.0,207,2370.20683
-668000.0,198,2376.22773
-644000.0,192,2387.414464
-696000.0,205,2393.025308
-644000.0,192,2404.687903
-664000.0,197,2410.595851
-576000.0,175,2421.550251
-584000.0,177,2427.465452
-592000.0,179,2437.098104
-604000.0,182,2443.180317
-624000.0,187,2454.20632
-660000.0,196,2460.521771
-640000.0,191,2470.969322
-592000.0,179,2476.920792
-660000.0,196,2487.613623
-724000.0,212,2494.093378
-680000.0,201,2504.468801
-692000.0,204,2511.082263
-840000.0,241,2522.07348
-784000.0,227,2528.131335
-1388000.0,378,2544.283579
-1376000.0,375,2550.287589
-1172000.0,324,2565.44189
-1272000.0,349,2571.436173
-1260000.0,346,2586.51429
-2320000.0,611,2599.310655
-2212000.0,642,2616.33618
-1444000.0,517,2625.911638
-1184000.0,392,2638.701957
-792000.0,291,2645.143132
-708000.0,258,2658.560955
-876000.0,373,2666.823432
-772000.0,342,2679.857152
-1140000.0,391,2689.298092
-876000.0,375,2702.104117
-912000.0,344,2711.259587
-884000.0,345,2723.912652
-920000.0,354,2732.876913
-756000.0,337,2745.010781
-788000.0,344,2754.385028
-548000.0,231,2763.103441
-880000.0,324,2775.263687
-932000.0,357,2785.113811
-748000.0,339,2795.218461
-624000.0,250,2802.622194
-640000.0,234,2815.048839
-820000.0,329,2821.952015
-592000.0,238,2833.296457
-972000.0,366,2843.124237
-884000.0,340,2853.846509
-1140000.0,361,2865.87635
-1040000.0,360,2876.749543
-996000.0,366,2888.213059
-1044000.0,356,2898.349957
-1028000.0,362,2909.366707
-992000.0,359,2919.654745
-1068000.0,369,2931.737784
-1000000.0,370,2941.711085
-1084000.0,369,2953.473257
-792000.0,348,2962.398702
-1088000.0,369,2975.132637
-1032000.0,379,2983.840924
-1332000.0,488,2999.183672
-988000.0,366,3005.673169
-780000.0,258,3018.762475
-896000.0,353,3026.48407
-736000.0,247,3037.076876
-880000.0,337,3047.326829
-1056000.0,362,3058.833637
-740000.0,248,3065.586741
-636000.0,252,3078.708057
-1028000.0,351,3086.031281
-968000.0,365,3100.384413
-820000.0,330,3106.576641
-932000.0,348,3121.932698
-892000.0,342,3127.878846
-708000.0,322,3142.480287
-1076000.0,363,3149.200682
-652000.0,319,3162.185356
-1204000.0,372,3170.777181
-780000.0,258,3180.567447
-816000.0,330,3190.574143
-1156000.0,476,3205.015476
-992000.0,379,3212.77822
-660000.0,319,3225.197067
-1212000.0,441,3236.172152
-1108000.0,412,3248.515873
-1368000.0,466,3261.436538
-1296000.0,483,3274.4818
-2040000.0,631,3290.828112
-1184000.0,454,3298.748832
-1744000.0,558,3319.3577
-2056000.0,612,3341.939241
-4636000.0,1253,3351.897361
-1956000.0,587,3370.310611
-2140000.0,634,3381.532357
-1224000.0,381,3398.530894
-2320000.0,676,3406.239488
-2196000.0,623,3430.11842
-2424000.0,727,3436.058412
-3456000.0,958,3470.116011
-4616000.0,1221,3482.883345
-1352000.0,400,3492.430546
-1284000.0,383,3508.427702
-2332000.0,645,3516.863202
-1264000.0,378,3530.643177
-1544000.0,448,3542.42823
-1484000.0,433,3554.938338
-1256000.0,375,3564.391519
-1340000.0,396,3577.549867
-1424000.0,417,3587.979438
-1624000.0,467,3603.092177
-1532000.0,445,3611.410876
-1192000.0,359,3623.4466
-1192000.0,359,3633.163534
-1240000.0,371,3645.209468
-1256000.0,376,3654.871999
-1264000.0,377,3667.725545
-1248000.0,374,3677.632029
-1220000.0,367,3690.1245
-1032000.0,320,3698.368284
-1108000.0,348,3711.591123
-1144000.0,348,3719.553508
-1052000.0,325,3731.96669
-1156000.0,363,3741.026045
-1492000.0,466,3757.04896
-1432000.0,451,3766.072423
-1424000.0,449,3781.953171
-1700000.0,518,3792.4041
-1340000.0,428,3805.711323
-1756000.0,531,3819.40634
-1744000.0,591,3834.09649
-1260000.0,408,3842.4943
-1552000.0,512,3863.112641
-1788000.0,664,3870.237884
-1508000.0,422,3887.492691
-1504000.0,419,3894.4557
-1532000.0,421,3910.247681
-1684000.0,452,3918.552064
-1636000.0,440,3934.06087
-1528000.0,413,3941.496109
-1396000.0,380,3956.563981
-1508000.0,408,3964.769675
-1476000.0,400,3979.466107
-1376000.0,375,3987.041968
-1508000.0,408,4003.322206
-1612000.0,465,4012.322402
-1440000.0,391,4024.48123
-1652000.0,509,4036.402929
-1660000.0,446,4048.054033
-1492000.0,404,4057.98901
-1296000.0,355,4068.601022
-1632000.0,439,4082.44176
-1624000.0,592,4097.020299
-1516000.0,410,4105.500765
-1484000.0,402,4119.36638
-1636000.0,440,4129.339134
-1436000.0,430,4143.586887
-1304000.0,357,4151.241662
-2120000.0,592,4174.083375
-2612000.0,867,4185.746288
-2760000.0,902,4211.790782
-2964000.0,1023,4227.48311
-2524000.0,749,4245.14029
-2652000.0,743,4260.037262
-2640000.0,733,4277.328277
-2420000.0,661,4290.672006
-2692000.0,734,4310.194167
-2668000.0,739,4322.964411
-2504000.0,743,4343.044557
-2516000.0,743,4355.541706
-2784000.0,732,4374.031956
-2740000.0,733,4387.751572
-2700000.0,718,4406.747902
-2604000.0,699,4419.526118
-3140000.0,894,4444.172248
-3108000.0,892,4457.745816
-3084000.0,931,4482.292235
-2872000.0,895,4493.484403
-3368000.0,992,4522.956856
-3008000.0,911,4532.390075
-2512000.0,678,4557.737299
-3372000.0,921,4567.198459
-2588000.0,721,4594.229087
-2776000.0,875,4601.021578
-2520000.0,692,4625.794738
-2384000.0,658,4631.306548
-2140000.0,596,4654.560483
-2592000.0,710,4663.494168
-1892000.0,535,4681.362674
-2108000.0,589,4691.946257
-2264000.0,706,4712.994557
-2292000.0,635,4721.614143
-1764000.0,491,4741.033949
-2080000.0,675,4749.320716
