#{"t_start": 1694758944.399806, "env_id": null}
r,l,t
-879387.0,274,54.016794
-3882848.5,656,71.839435
-3078851.8,498,81.074441
-5053322.5,536,99.485415
-3099715.0,449,105.929215
-3463615.0,580,128.427528
-3772264.2,614,136.025875
-5457016.5,584,157.839546
-6316750.5,723,169.758603
-4273722.0,606,187.831903
-3925402.0,537,197.312605
-6676112.0,804,226.17851
-10967427.0,1163,238.773789
-3892657.2,437,250.440872
-5832896.5,515,271.592659
-10306387.0,834,280.422812
-3875768.8,378,293.81441
-3695633.5,373,302.492168
-4420628.5,444,318.286499
-2653560.5,422,326.106549
-2531371.0,411,341.568927
-2127728.0,385,348.765737
-2416026.2,408,364.702451
-2314815.5,402,371.798723
-2048182.8,384,386.743541
-2326107.0,403,394.126468
-2290458.5,400,409.321551
-2123581.8,388,416.372464
-2114393.0,388,431.574912
-2123624.5,389,438.870586
-2317793.5,402,454.19576
-2063626.1,385,460.972045
-2217977.0,396,476.905641
-1943630.6,376,483.005559
-2041522.8,383,499.066597
-2395087.5,408,505.91159
-2082602.8,387,521.438608
-2150506.8,393,528.633056
-2066628.9,386,543.504337
-2399363.0,410,551.252814
-2149656.0,392,566.08154
-1538408.1,343,572.409575
-1469645.4,336,586.917483
-1369889.1,331,593.150444
-1232706.4,311,607.207546
-1868432.6,371,614.976072
-1429131.0,336,628.229646
-1380383.4,329,635.997552
-1498384.2,350,649.643564
-1579510.1,361,657.627018
-2723027.0,445,676.114507
-5193747.0,692,686.44264
-2896905.8,490,701.745633
-5446501.0,883,723.478994
-3342912.8,662,732.179526
-3778428.0,825,758.463596
-5508788.5,903,769.285625
-4915571.0,845,799.143447
-8328982.0,1193,809.587624
-7109486.0,1059,840.662524
-11144027.0,1517,864.620056
-4879867.0,1116,885.16654
-5242476.0,1064,907.656838
-5937403.0,1146,929.885026
-5842311.0,1160,952.127874
-9349569.0,1613,987.480482
-5476046.0,1149,996.637526
-4789420.0,1094,1030.56042
-5686495.0,1251,1044.104949
-4548514.0,1204,1076.719382
-3286998.8,1070,1086.464695
-5525366.0,3580,1190.126793
-5380553.0,3580,1199.345878
-4786201.0,3582,1303.399637
-4884125.5,3580,1312.677399
-5035654.5,3581,1417.449666
-4934464.5,3582,1427.039548
-4349745.5,3583,1531.218457
-4317086.5,3583,1540.471492
-4697447.5,3582,1653.005667
-4825704.5,3580,1662.891611
-5174159.5,3581,1769.427125
-5160490.0,3581,1784.333799
-5131495.0,3581,1906.556581
-5021740.0,3580,1916.588541
-4716467.0,3580,2039.660838
-4597114.5,3580,2049.947918
-4695346.0,3580,2173.16771
-4570861.0,3580,2183.279099
-4975480.0,3580,2309.039558
-4894133.0,3580,2319.386692
-5093843.0,3580,2441.394525
-4733389.0,3580,2451.611883
-4385849.0,3581,2572.191075
-4630370.5,3580,2582.245833
-4433775.5,3581,2700.066136
-4396989.0,3582,2710.640637
-4620273.5,3582,2838.38264
-4493784.0,3582,2848.371544
-4264318.0,3581,2966.419909
-4328182.0,3581,2977.400199
-4185873.5,3582,3092.49514
-4408099.5,3582,3102.094889
-4212259.5,3582,3211.765478
-4318531.0,3582,3221.373718
-4272641.0,3582,3331.622705
-4291635.5,3582,3341.160933
-4325573.0,3582,3449.503768
-4478427.0,3583,3458.953738
-4436822.5,3581,3569.261407
-4455919.5,3581,3579.079732
-4426584.0,3581,3690.566549
-4493539.0,3581,3700.256865
-4387846.0,3580,3812.661974
-4344632.5,3580,3822.006523
-4231791.5,3580,3933.303788
-4171999.2,3580,3942.622906
-4352335.0,3580,4055.241559
-4394702.5,3580,4065.186577
-4407045.5,3580,4181.360659
-4384429.5,3580,4191.247119
-4381106.5,3580,4304.410299
-4358352.0,3580,4314.211211
-4484163.0,3580,4421.657565
-4406503.5,3580,4431.182654
-4482465.5,3580,4535.911145
-4474432.0,3580,4545.249629
-4497543.5,3580,4661.180874
-4479079.5,3580,4671.251684
-4458907.0,3580,4784.370519
-4503335.5,3580,4794.334622
-4416809.5,3580,4905.242834
-4462291.5,3580,4914.393589
-4411965.5,3580,5018.92549
-4373850.0,3580,5028.410755
-4356399.5,3580,5133.797392
