#{"t_start": 1695179985.2047224, "env_id": null}
r,l,t
-2650606.2,502,86.134863
-3581016.8,550,94.840324
-703326.1,163,107.927328
-694712.7,164,116.493347
-2525598.8,257,135.279171
-2517046.5,255,143.564211
-2521473.5,258,162.631212
-2536422.8,255,170.674927
-2545060.0,262,190.339497
-2533622.0,258,198.046568
-2525671.8,263,217.960673
-2523838.2,269,226.211682
-2533251.0,258,245.23587
-2525406.8,263,253.936698
-2542348.2,260,272.961608
-2528800.2,261,281.4482
-2537133.8,260,300.461782
-2530697.0,284,310.811291
-2533769.8,277,329.314746
-2533193.2,263,338.610379
-1953263.1,524,378.718914
-1966348.1,607,385.294894
-719506.6,158,399.738713
-725388.44,159,406.334372
-719312.4,158,420.559265
-714877.8,158,427.165546
-726322.06,159,441.37385
-724008.06,159,447.996958
-726680.9,159,462.243065
-726767.1,159,468.800552
-726389.44,159,483.148304
-727130.56,159,489.76002
-725949.1,159,503.81869
-715716.7,158,510.407009
-714894.75,158,524.538743
-716822.56,158,531.079814
-715550.94,158,545.146136
-726278.6,159,551.751008
-715917.3,158,565.868595
-715576.6,158,572.470924
-717110.44,158,586.831763
-719092.75,158,593.407919
-751331.3,165,608.218412
-725518.0,160,614.315457
-2840889.2,595,659.146769
-3546989.5,644,668.612578
-2300140.2,532,705.815389
-1952831.6,499,713.182234
-1126917.0,358,740.818432
-1120614.8,373,748.922624
-1122561.4,367,775.405606
-4438410.0,652,803.429245
-7680191.0,961,851.650909
-2790237.5,645,857.900762
-1184337.1,387,890.026582
-4224234.0,784,921.138684
-1166764.4,393,927.19117
-4508276.0,696,979.786885
-3537739.2,715,987.073367
-2855337.5,654,1035.215315
-4360253.0,684,1044.439306
-1410495.4,447,1076.043558
-4245958.5,676,1101.233847
-4498276.5,696,1134.421582
-1293679.2,424,1140.797445
-1159474.8,400,1173.945125
-1358116.8,436,1180.250173
-1275383.1,426,1214.064916
-1355912.6,440,1221.304894
-1252278.2,423,1254.071232
-1653044.5,493,1265.718461
-1150125.8,400,1291.294498
-1570887.5,477,1308.139051
-1201917.9,417,1329.21471
-1156613.0,405,1345.559997
-1158832.6,394,1366.197729
-1117643.5,386,1397.873621
-4476581.5,696,1408.428107
-1110350.0,386,1434.221814
-1286665.9,430,1447.492311
-1179433.9,390,1470.640279
-1093246.2,387,1484.570388
-1163155.6,408,1508.621099
-4905625.0,732,1544.384526
-4791799.5,727,1568.505255
-1152737.4,407,1581.947716
-1135802.5,402,1605.456084
-1243663.1,397,1618.678799
-1056233.0,376,1649.451015
-1081231.4,393,1681.743737
-7665041.5,1025,1695.717577
-1053981.6,383,1717.713382
-1078045.5,383,1731.192379
-1089489.0,393,1763.020622
-1027793.25,367,1793.13639
-6571452.5,961,1802.545947
-1004493.0,372,1828.140284
-995137.4,356,1836.555752
-969995.9,356,1862.507779
-5680068.0,950,1913.662878
-3228104.8,749,1925.819143
-976181.94,366,1948.51948
-930829.56,355,1959.662897
-987021.5,357,1989.462405
-901849.44,346,2017.260024
-3809547.8,813,2023.556867
-969298.6,350,2050.901922
-1169482.8,410,2061.390308
-4677950.5,879,2118.806546
-3714718.2,834,2126.089725
-951541.8,362,2152.659045
-954414.9,358,2181.893874
-3427317.2,780,2193.545188
-910882.56,347,2216.017983
-946239.5,354,2244.976788
-3526472.0,790,2262.496171
-904915.6,346,2290.425547
