,0
0,-0.14657866244888107
1,-0.0313888395094037
2,-0.12221395183838116
3,-0.3098308885501677
4,-0.5357166119653887
5,-0.3072219949319544
6,-0.08262890679375835
7,-0.3820589230787259
8,-0.3392612085290904
9,-0.10212093590719659
10,-0.5742657537295719
11,-0.4023101825589137
12,-0.6875109125139098
13,-0.7571704602769866
14,-0.9283208648967723
15,-1.0238565736863188
16,-1.1698034077938433
17,-1.1617538192319639
18,-1.3553709822927489
19,-1.2158766734605169
20,-1.3986310876279697
21,-1.3238500505280077
22,-1.3647592592042161
23,-1.615483030666603
24,-1.568541239595973
25,-1.7128105626743049
26,-1.9867763863932324
27,-2.0545724886240766
28,-2.1532333206319727
29,-2.2935079245568413
30,-2.4307792839183
31,-2.4144457213342543
32,-2.31574007682871
33,-2.187732672855352
34,-2.027914110831602
35,-1.8370323131361506
36,-1.6188667134348962
37,-1.3793173498715974
38,-1.1230992508339805
39,-0.8520193568176764
40,-0.5773943214117945
41,-0.6938245753970191
42,-0.8134701319215882
43,-0.9671850812708342
44,-1.2242142063376114
45,-1.6292217227055588
46,-1.8998976828404381
47,-2.107144494125844
48,-2.6113791822138985
49,-3.297984145466102
50,-3.7948053579884213
51,-4.37657732170766
52,-5.10955721118316
53,-5.681247848507395
54,-1006.3641005093519
55,-1007.0136182533344
56,-1007.6629441542858
57,-1008.3075399872831
58,-1008.9338745784498
59,-1009.5229375226507
60,-1010.1129809962392
61,-1010.5953112538012
62,-1011.064747370043
63,-1011.4465384679293
64,-1011.7253406596536
65,-1011.9373887073161
66,-1012.0706954538498
67,-1012.0601191891477
68,-1011.9781066163109
69,-1011.8329631782043
70,-1011.6371350974798
71,-1011.4065524495104
72,-1011.1591032473686
73,-1010.8911611014299
74,-1010.6473816760798
75,-1010.4456044481033
76,-1010.2985828743955
77,-1010.2132257855591
78,-1010.1897811893627
79,-1010.2244454348936
80,-1010.3008140471898
81,-1010.3934487300505
82,-1010.5122404452989
83,-1010.6501658274277
84,-1010.800216659325
85,-1010.9565022961216
86,-1011.0851317325871
87,-1011.1695628115746
88,-1011.2487957346254
89,-1011.324926193149
90,-1011.3111700119484
91,-1011.2930167703566
92,-1011.2502369194053
93,-1011.1367962630809
94,-1011.0374625169424
95,-1010.8354811162019
96,-1010.6609220324233
97,-1010.3954425643541
98,-1010.1644358356726
99,-1009.9088113170717
100,-1009.6764783047724
101,-1009.508406865077
102,-1009.3325792376255
103,-1009.2382181223371
104,-1009.2310046055477
105,-1009.2779979339177
106,-1009.389951196985
107,-1009.5813612804027
108,-1009.8385523490155
109,-1010.145237471499
110,-1010.4726327499128
111,-1010.8004618441954
112,-1011.12462359472
113,-1011.429361827844
114,-1011.7045826465344
115,-1011.9450024479705
116,-1012.1488535393573
117,-1012.3179641260127
118,-1012.457358534817
119,-1012.5749519650677
120,-1012.6800136001833
121,-1012.7813589017638
122,-1012.8835799586045
123,-1012.9736990752702
124,-1013.0737977172894
125,-1013.187140665121
126,-1013.3154632986408
127,-1013.4474043473924
128,-1013.5738216734783
129,-1013.7167596274734
130,-1013.8684037774706
131,-1014.0022432835852
132,-1014.1528531895426
133,-1014.2952232255922
134,-1014.443403602293
135,-1014.6006952269538
136,-1014.7619795348934
137,-1014.9454355164557
138,-1015.1278162593544
139,-1015.3144591508627
140,-1015.5005649006513
141,-1015.6771636884996
142,-1015.8500784668831
143,-1015.9997364019077
144,-1016.1512311258609
145,-1016.2784743266085
146,-1016.426830565493
147,-1016.5634877759696
148,-1016.7412750107726
149,-1016.9358058674476
150,-1017.1763169509369
151,-1017.4477590239266
152,-1017.7537080685094
153,-1018.0873187845737
154,-1018.4309353895662
155,-1018.7863043559353
156,-1019.1295764402973
157,-1019.4687659241237
158,-1019.7880236840803
159,-1020.0937631043471
160,-1020.3921481705971
161,-1020.6717026986389
162,-1020.9603248030722
163,-1021.2500661716024
164,-1021.5455888500685
165,-1021.8586043860445
166,-1022.1839902706438
167,-1022.4995548833309
168,-1022.8106547133606
169,-1023.1110801124037
170,-1023.3971936848936
171,-1023.6690817974041
172,-1023.9287662019583
173,-1024.1782065570505
174,-1024.4184058781127
175,-1024.648383622132
176,-1024.8653585373345
177,-1025.068259957589
178,-1025.2599859351617
179,-1025.4469202480823
180,-1025.6368415238437
181,-1025.8358208965597
182,-1026.0489770503793
183,-1026.2819916192063
184,-1026.5282075479083
185,-1026.7949115125832
186,-1027.0839111363175
187,-1027.3879137584777
188,-1027.6864614058995
189,-1027.9864704912127
190,-1028.2713990849347
191,-1028.527414813671
192,-1028.757036034193
193,-1028.9350833970047
194,-1029.0834081210278
195,-1029.1831817928837
196,-1029.2644153565352
197,-1029.3231047981972
198,-1029.3839272965197
199,-1029.4625297948826
200,-1029.558341223351
201,-1029.6902549264605
202,-1029.8579053154738
203,-1030.0470891491495
204,-1030.2637017692039
205,-1030.4982982765312
206,-1030.7398670804937
207,-1030.9764106787725
208,-1031.1897688004674
209,-1031.3736941284685
210,-1031.5180238876549
211,-1031.6179604975873
212,-1031.674445145615
213,-1031.6929313498501
214,-1031.682921585966
215,-1031.6575930144613
216,-1031.632400029104
217,-1031.6230956262907
218,-1031.6455159567056
219,-1031.7133762209346
220,-1031.8350827552056
221,-1032.0102010072728
222,-1032.2363072778132
223,-1032.5084937878987
224,-1032.8181417947424
225,-1033.1567061390826
226,-1033.5159824063978
227,-1033.8864875540248
228,-1034.251687290703
229,-1034.6061674137723
230,-1034.9438915621706
231,-1035.2600206925194
232,-1035.5462589632336
233,-1035.7959008596692
234,-1036.0134265626036
235,-1036.2013979275578
236,-1036.3559475910804
237,-1036.492947939208
238,-1036.6252984896748
239,-1036.754870545499
240,-1036.9007319157006
241,-1037.0736063151498
242,-1037.2679758217264
243,-1037.4973396356395
244,-1037.7518976127114
245,-1038.0365347538625
246,-1038.3541404321
247,-1038.702602635633
248,-1039.0876076135776
249,-1039.4979665478836
250,-1039.9353557792197
251,-1040.3825816516983
252,-1040.8368271626455
253,-1041.2829452673761
254,-1041.7158811854206
255,-1042.133792257858
256,-1042.526491003418
257,-1042.898514383921
258,-1043.236683182375
259,-1043.5430356483585
260,-1043.8163876129706
261,-1044.0405919061702
262,-1044.2154711070816
263,-1044.3344502203404
264,-1044.3866425960878
265,-1044.3753173553184
266,-1044.306227804421
267,-1044.1870080235958
268,-1044.0230806404772
269,-1043.833753328403
270,-1043.631094826484
271,-1043.4225520899338
272,-1043.2124967199857
273,-1043.0027683186784
274,-1042.8061806953774
275,-1042.6333210154655
276,-1042.492232003779
277,-1042.3861160220822
278,-1042.312910764777
279,-1042.266133450015
280,-1042.235381938361
281,-1042.2079623169197
282,-1042.1738561594773
283,-1042.1283436804824
284,-1042.0710645915615
285,-1042.0050350375063
286,-1041.934165756021
287,-1041.8617312634146
288,-1041.7907921727995
289,-1041.7228742718921
290,-1041.6571714251713
291,-1041.592675417646
292,-1041.5282028034842
293,-1041.4620462635867
294,-1041.3905409681045
295,-1041.3088057554749
296,-1041.2147204360754
297,-1041.10914298372
298,-1040.9878903791237
299,-1040.846891829649
300,-1040.680498884875
301,-1040.4814426212527
302,-1040.250160076264
303,-1039.9853034355558
304,-1039.683340235543
305,-1039.3449548319095
306,-1038.9764574088915
307,-1038.5780541727643
308,-1038.1473037495016
309,-1038.0405654405592
310,-1038.323580336942
311,-1038.6048657901292
312,-1038.8898957015408
313,-1039.1696888339804
314,-1039.448722739863
315,-1039.7249125270907
316,-1039.9963230526414
317,-1040.2702475966278
318,-1040.5405864555576
319,-1040.818387647003
320,-1041.093417121716
321,-1041.3772629682694
322,-1041.6588217693127
323,-1041.9474480791748
324,-1042.2323951647822
325,-1042.5157651451968
326,-1042.7906729272456
327,-1043.0510480678938
328,-1043.2976468500497
329,-1043.512978440237
330,-1043.703729453756
331,-1043.8624230685305
332,-1043.9822574556172
333,-1044.0686014753398
334,-1044.1174776881103
335,-1044.1279095351606
336,-1044.1098741957182
337,-1044.0685916374566
338,-1044.0013845991405
339,-1043.924071403242
340,-1043.8418707519272
341,-1043.7576367705885
342,-1043.6665172606124
343,-1043.5764690023586
344,-1043.4860068517382
345,-1043.3921794035139
346,-1043.2890530870893
347,-1043.16755295308
348,-1043.0271371887034
349,-1042.8608438164226
350,-1042.6611723431167
351,-1042.4206314875835
352,-1042.1324371321953
353,-1041.790552364008
354,-1041.3869427493216
355,-1040.917522029262
356,-1040.3823680738622
357,-1039.7817245279864
358,-1039.1184692486404
359,-1038.3980448596944
360,-1037.6278610321956
361,-1036.8160419119617
362,-1035.9703584869847
363,-1035.0963831179429
364,-1034.1934376277654
365,-1033.2729734931643
366,-1032.3387980497696
