,0
0,-0.14657866244888107
1,-0.030874673079846884
2,-0.11751171288869813
3,-0.29608201295034725
4,-0.511578302099547
5,-0.2771415002097315
6,-0.05527801897085945
7,-0.37637801800196324
8,-0.3699431386818889
9,-0.08193952783365765
10,-0.44929046976237413
11,-0.18476097850442957
12,-0.41613600129844
13,-0.41220827009296623
14,-0.5225921085776853
15,-0.5674631778854515
16,-0.691507953669007
17,-0.6612000328790978
18,-0.9169812121549363
19,-0.7810253711574706
20,-1.063410478744947
21,-0.9862739844155364
22,-1.0261150862693305
23,-1.2439979203306186
24,-1.0658875797267302
25,-1.0801460796113547
26,-1.242197096715664
27,-1.0899532132091525
28,-1.0068932236110055
29,-1.0403031206650293
30,-1.1349486979373442
31,-1.0333666127771834
32,-0.9129057092962343
33,-0.8372087442681704
34,-0.7944549014824511
35,-0.7664004424667638
36,-0.7375975612955918
37,-0.6990835423883004
38,-0.647670166841626
39,-0.5840325786678685
40,-0.5121529210260972
41,-0.4427270821838024
42,-0.43479990285249603
43,-0.4393433386479711
44,-0.48078921726207485
45,-0.570787954774228
46,-0.6442318440008301
47,-0.570262194653701
48,-0.6041884513677738
49,-0.7879620206869362
50,-0.8871742056048869
51,-0.9303766734891916
52,-1.1862534672439387
53,-1.3132839208417257
54,-1.5160016272996466
55,-1.7737859180852649
56,-1.95445367587538
57,-2.2256387059247063
58,-2.411156718513898
59,-2.6222221083509445
60,-1002.829631971118
61,-1002.9658039351546
62,-1003.1886266884603
63,-1003.3663808431357
64,-1003.5510223560284
65,-1003.7946880800698
66,-1004.0407536489607
67,-1004.2349761356444
68,-1004.4549527128287
69,-1004.6927029648942
70,-1004.9453567467141
71,-1005.1818303001596
72,-1005.413278853541
73,-1005.6607137692379
74,-1005.916919854074
75,-1006.1771529758703
76,-1006.4405544936048
77,-1006.7084553881094
78,-1006.9817179870307
79,-1007.2595515079132
80,-1007.5400468266611
81,-1007.8215941584137
82,-1008.1040555645451
83,-1008.3894019826351
84,-1008.6814603093162
85,-1008.9534351865947
86,-1009.2329267244697
87,-1009.5272143802888
88,-1009.8375587207514
89,-1010.1584903161239
90,-1010.4518385969367
91,-1010.7651409904461
92,-1011.1036755769836
93,-1011.4240760734278
94,-1011.7671027401227
95,-1012.1365392033445
96,-1012.4816350999633
97,-1012.858637984558
98,-1013.2114807323452
99,-1013.5772465929033
100,-1013.916001136277
101,-1014.2567044453563
102,-1014.5616600702674
103,-1014.8753359049804
104,-1015.1449563938056
105,-1015.4170845049753
106,-1015.67926520584
107,-1015.9132647309286
108,-1016.1465557423164
109,-1016.3744536632571
110,-1016.5673712196736
111,-1016.7532336380833
112,-1016.928711766731
113,-1017.0918480958211
114,-1017.2377477857475
115,-1017.3652421232119
116,-1017.4894340965433
117,-1017.6127828484722
118,-1017.7365754324451
119,-1017.8604606122032
120,-1017.9822337792971
121,-1018.0991018640813
122,-1018.2091085120277
123,-1018.3116078297264
124,-1018.4077183436133
125,-1018.5009237701829
126,-1018.5961058987006
127,-1018.6961547267134
128,-1018.7967146052949
129,-1018.9108101701047
130,-1019.0389260088377
131,-1019.181417424928
132,-1019.3284671159925
133,-1019.4788538540574
134,-1019.6457779439667
135,-1019.8269753221106
136,-1020.0108228196456
137,-1020.2191013379336
138,-1020.4348124722085
139,-1020.6672148039767
140,-1020.9099983670669
141,-1021.1441729432873
142,-1021.3883001283916
143,-1021.6170775908165
144,-1021.8530813891099
145,-1022.0580442340009
146,-1022.2545567619145
147,-1022.4108627892103
148,-1022.5452281520495
149,-1022.6414461415143
150,-1022.7159913990915
151,-1022.7642736834575
152,-1022.7966735800297
153,-1022.8117362593977
154,-1022.8099812850684
155,-1022.7963702501393
156,-1022.7666978543439
157,-1022.7351802280789
158,-1022.6855885467636
159,-1022.6394265024221
160,-1022.5783592227434
161,-1022.5208067127967
162,-1022.4715334078835
163,-1022.4157117850807
164,-1022.3709972020757
165,-1022.336753709169
166,-1022.3047819166172
167,-1022.2787280587992
168,-1022.2626469957181
169,-1022.256263913757
170,-1022.2594644245039
171,-1022.2715422177685
172,-1022.2920686681856
173,-1022.3208458594952
174,-1022.3655987717713
175,-1022.4304079442284
176,-1022.5168696630026
177,-1022.6222218777152
178,-1022.737977871329
179,-1022.8618219091838
180,-1022.9907005094567
181,-1023.1232729471119
182,-1023.2606935358299
183,-1023.4067775318845
184,-1023.5567515215788
185,-1023.7151758355214
186,-1023.8886669041686
187,-1024.0783184630654
188,-1024.2774841648145
189,-1024.5052234887503
190,-1024.7526665727344
191,-1025.013780077882
192,-1025.2883660257612
193,-1025.5521658543807
194,-1025.8115733603536
195,-1026.0405439015851
196,-1026.24728124509
197,-1026.4193843608587
198,-1026.5557508916593
199,-1026.6643564332335
200,-1026.7342282219395
201,-1026.784199734788
202,-1026.8239609223729
203,-1026.8570423764354
204,-1026.890469272487
205,-1026.934573371688
206,-1026.988491268792
207,-1027.0483712546154
208,-1027.1098446975866
209,-1027.1694808354453
210,-1027.2290236844206
211,-1027.2937210423481
212,-1027.3639105041464
213,-1027.437409972633
214,-1027.5136247523633
215,-1027.596007290724
216,-1027.6907039175999
217,-1027.801937828838
218,-1027.9288266345657
219,-1028.0736449553658
220,-1028.2357066048435
221,-1028.413681992957
222,-1028.6056538846474
223,-1028.8103640751378
224,-1029.0275696246745
225,-1029.2571958680894
226,-1029.4931532645307
227,-1029.737534170155
228,-1029.9916200437192
229,-1030.2557529561245
230,-1030.5308884437477
231,-1030.8090385787352
232,-1031.0984219268882
233,-1031.39442193476
234,-1031.6863848334356
235,-1031.9582591143164
236,-1032.2087371413543
237,-1032.4278143295605
238,-1032.5968272584075
239,-1032.7243715852794
240,-1032.8077621670793
241,-1032.8457454545294
242,-1032.8574912334589
243,-1032.8408149094962
244,-1032.8128412116434
245,-1032.7807093450906
246,-1032.7480603078752
247,-1032.724373326984
248,-1032.701734519588
249,-1032.6899695737227
250,-1032.6760144761142
251,-1032.668640613302
252,-1032.659230552871
253,-1032.6566505231608
254,-1032.6623321256245
255,-1032.67950330197
256,-1032.720039915422
257,-1032.7711110565076
258,-1032.8425179774233
259,-1032.9231283307968
260,-1033.0039127199423
261,-1033.0912877255114
262,-1033.1837123963962
263,-1033.2840588530441
264,-1033.4056325115548
265,-1033.552239072993
266,-1033.715051428219
267,-1033.896277211845
268,-1034.0894533875503
269,-1034.2885458761052
270,-1034.4861741311095
271,-1034.6843733890428
272,-1034.8854822239955
273,-1035.0861474030517
274,-1035.2801568812579
275,-1035.4598196655975
276,-1035.617678671547
277,-1035.750317073203
278,-1035.861902426409
279,-1035.95728656498
280,-1036.0405178572585
281,-1036.1123596886882
282,-1036.17070068128
283,-1036.213646911333
284,-1036.2404031221927
285,-1036.25200978887
286,-1036.251853411922
287,-1036.245684444287
288,-1036.2387738009918
289,-1036.2330813069163
290,-1036.2279081681475
291,-1036.221786692652
292,-1036.2129246246727
293,-1036.1980966931508
294,-1036.1804707145582
295,-1036.1617715927127
296,-1036.1458885433665
297,-1036.136958855425
298,-1036.1367884247402
299,-1036.1403618442866
300,-1036.1520653239431
301,-1036.1731531466294
302,-1036.203914136828
303,-1036.2430698407338
304,-1036.2950111951525
305,-1036.3663134473813
306,-1036.4559224451218
307,-1036.5508245022863
308,-1036.657298299693
309,-1036.7755588946493
310,-1036.8950152487084
311,-1037.0233067943268
312,-1037.155801276837
313,-1037.2851714073995
314,-1037.4181239044551
315,-1037.5430283324981
316,-1037.664859273732
317,-1037.7779898042966
318,-1037.8806952713633
319,-1037.9745166960186
320,-1038.0569907833
321,-1038.1374208054574
322,-1038.2158080840536
323,-1038.2994141216043
324,-1038.3857800784695
325,-1038.4754807626018
326,-1038.569873469139
327,-1038.662477941275
328,-1038.7613912283466
329,-1038.8559269695138
330,-1038.951847693892
331,-1039.0484713157205
332,-1039.141149981274
333,-1039.24186811519
334,-1039.352495361848
335,-1039.4715712886962
336,-1039.605385527551
337,-1039.750185885395
338,-1039.8948922998825
339,-1040.0451770804523
340,-1040.2037524020611
341,-1040.3754529679634
342,-1040.5582244880293
343,-1040.7580147075612
344,-1040.97092937968
345,-1041.1934167901031
346,-1041.4228111050013
347,-1041.6513451932058
348,-1041.8780298701863
349,-1042.096760507452
350,-1042.3038339214224
351,-1042.498559502465
352,-1042.6803589255303
353,-1042.8490097269714
354,-1043.0044545574003
355,-1043.1450914361442
356,-1043.2710054648098
357,-1043.3867073357824
358,-1043.498177247534
359,-1043.6113221794958
360,-1043.7297887130303
361,-1043.8555101021473
362,-1043.9896027605603
363,-1044.1334119877902
364,-1044.2877496380638
365,-1044.4521968909194
366,-1044.6217111248209
367,-1044.7950236628958
368,-1044.9689880674591
369,-1045.1399951753444
370,-1045.3045796484919
371,-1045.4604483835674
372,-1045.6045045746168
373,-1045.7333953744437
374,-1045.84400388127
375,-1045.938718060122
376,-1046.024623938406
377,-1046.1099267983066
378,-1046.2009819884092
379,-1046.299110810872
380,-1046.401537701321
381,-1046.5035387947821
382,-1046.6022253843296
383,-1046.6997143915135
384,-1046.7967962031935
385,-1046.8954553395768
386,-1046.9974598770525
387,-1047.1024714330372
388,-1047.2042874311517
389,-1047.3031344402452
390,-1047.3985001034864
391,-1047.4912971167764
392,-1047.5819480249431
393,-1047.670208186516
394,-1047.7536324458822
395,-1047.8387909387427
396,-1047.929413427261
397,-1048.0280344358425
398,-1048.1358226283191
399,-1048.2509290996657
400,-1048.3769700445105
401,-1048.5188096195275
402,-1048.680437134795
403,-1048.8655250242575
404,-1049.0738457318082
405,-1049.3083017701745
406,-1049.571911001559
407,-1049.8635693406488
408,-1050.1800907390152
409,-1050.5143566522165
410,-1050.8677038959256
411,-1051.241346738938
412,-1051.6362843099528
413,-1052.0511499637284
414,-1052.4839348542446
415,-1052.9390689184772
416,-1053.4173745559835
417,-1053.9181371202803
418,-1054.4342222074931
419,-1054.9677321631398
420,-1055.517161987128
421,-1056.080398577804
422,-1056.6514581089205
423,-1057.2333787583666
424,-1057.8304409724738
425,-1058.4485413171824
426,-1059.087692158465
427,-1059.751744771664
428,-1060.4394132278119
429,-1061.147444326477
430,-1061.868827683761
431,-1062.6068937586435
432,-1063.360692680218
433,-1064.1277075206162
434,-1064.9077727217052
435,-1065.7045199723286
436,-1066.5203169857114
437,-1067.3547402901445
438,-1068.216829599425
439,-1069.1086316586131
440,-1070.0248854507136
441,-1070.9691645950763
442,-1071.9439062910278
443,-1072.9472025361504
444,-1073.9827154263708
445,-1075.048418331524
446,-1076.1336508235472
447,-1077.2349879026965
448,-1078.34267223188
449,-1079.4398469650116
