,0
0,-0.16827803908374256
1,-0.05607087332614424
2,-0.08020524763379631
3,-0.24177754908607252
4,-0.4368100714520446
5,-0.39072928061844714
6,-0.16257405726349983
7,-0.24719227004563185
8,-0.5875870838080166
9,-0.33961427201605415
10,-0.3695839131071672
11,-0.6891033804905962
12,-0.3743236686356964
13,-0.7629403876835004
14,-0.5904207071902073
15,-0.8143239825978028
16,-0.7481351441173898
17,-0.9458242293039755
18,-0.8484759471633967
19,-1.1343415563686476
20,-0.9300714702248254
21,-1.2509247585057706
22,-1.108901091281427
23,-1.1894509073851809
24,-1.4071410531828
25,-1.2447008350864086
26,-1.3775464876512318
27,-1.5961446717561396
28,-1.4885004982780585
29,-1.5521173072311862
30,-1.7492448828996041
31,-1.9127149014269298
32,-1.878525436945762
33,-1.9111523538601194
34,-2.0011853832395223
35,-2.124034572803599
36,-2.255871722001472
37,-2.3827747284245624
38,-2.500110125423773
39,-2.609443398436149
40,-2.7138282474612883
41,-2.8154355685404013
42,-2.9159584002534618
43,-3.0209666569309146
44,-3.1412035671173664
45,-3.289669440838842
46,-3.475694412160676
47,-3.5377356987770487
48,-3.6159658071705536
49,-3.7552154431554534
50,-3.899365370610462
51,-3.9375159483766105
52,-4.072234685349521
53,-4.14881185686647
54,-4.215086241711848
55,-4.312848173316538
56,-4.333679284277749
57,-4.401319147859223
58,-4.4064418304206825
59,-4.408392590906081
60,-4.424966383431247
61,-4.328493899444511
62,-4.2670569021686555
63,-4.156264479596578
64,-3.9356559458543208
65,-3.6961371399183447
66,-3.418286906972518
67,-3.0351406003549535
68,-2.521781287626755
69,-1.935066318269547
70,-1.2681581553793577
71,-1.6847291335354395
72,-2.14587233224821
73,-2.6462514336312633
74,-3.1870632898836777
75,-3.7911630449059874
76,-4.629354161643638
77,-5.7814420498392165
78,-7.051054597463915
79,-8.388561524049274
80,-9.777293136686039
81,-11.206039713357242
82,-12.621671389680898
83,-14.039184820862644
84,-15.4954865172902
85,-16.98024871359781
86,-18.43106444995157
87,-19.87804704517058
88,-21.347540700300677
89,-22.764514050530607
90,-24.164316500117536
91,-25.53028249535808
92,-26.841808106626672
93,-28.1213864699397
94,-29.32754539719339
95,-30.48782614627374
96,-31.57174200506837
97,-32.58403157784463
98,-33.52343346543501
99,-34.355104413766284
100,-35.10239552664487
101,-35.75498307689608
102,-36.295351184833265
103,-36.74719731739512
104,-37.11271860859804
105,-37.39511617026164
106,-37.587392869989
107,-37.70905230433045
108,-37.76789918668747
109,-37.76850189252655
110,-37.712007837638396
111,-37.59878692636336
112,-37.43022740941297
113,-37.21009791747929
114,-36.944501217708186
115,-36.64018010236149
116,-36.3017948060965
117,-35.93167515125131
118,-35.53130714958047
119,-35.103875167388345
120,-34.64561358205844
121,-34.17041826761542
122,-33.683582018844604
123,-33.18716332300111
124,-32.674494863531415
125,-32.15122188441626
126,-31.62944991416439
127,-31.106061902766196
128,-30.585730729630168
129,-30.078311791299008
130,-29.56394807328425
131,-29.06487412660656
132,-28.56552066005935
133,-28.09073119599314
134,-27.62747398269261
135,-27.200452976887448
136,-26.801474987758365
137,-26.444443650260524
138,-26.13867502562168
139,-25.835384643001174
140,-25.546806994479752
141,-25.323001982676264
142,-25.105500699988518
143,-24.905836511644765
144,-24.728014176505116
145,-24.542445089902834
146,-24.36597810771157
147,-24.193305249867414
148,-24.01050371169401
149,-23.82970331443755
150,-23.642979444365174
151,-23.43427624886744
152,-23.21526185341164
153,-22.984512432090302
154,-22.734917556668464
155,-22.482505350190383
156,-22.21901963637958
157,-21.94245406928964
158,-21.705183020556447
159,-21.804839783116275
160,-21.91439634556508
161,-22.014189977352906
162,-22.119626005287788
163,-22.219822402151003
164,-22.31948403321589
165,-22.423199905976183
166,-22.513240955661487
167,-22.6038930753009
168,-22.69551514650133
169,-22.78275043047111
170,-22.86332685848768
171,-22.940626174041206
172,-23.01340863359342
173,-23.081925088786438
174,-23.148547019860278
175,-23.21373378428247
176,-23.277184605908445
177,-23.33611982200596
178,-23.38813092787657
179,-23.43189020039737
180,-23.468803799524803
181,-23.501956994974528
182,-23.5335285217852
183,-23.56526287450565
184,-23.59744469978088
185,-23.62171503995991
186,-23.638694323984204
187,-23.653590933877528
188,-23.667593391016105
189,-23.666973537491543
190,-23.669253680043997
191,-23.664355958573157
192,-23.645282302426246
193,-23.620800058768477
194,-23.57352192224521
195,-23.524182391960203
196,-23.458016243530736
197,-23.390104731502973
198,-23.316541973530345
199,-23.229216284653788
200,-23.13977919643004
201,-23.038944340319304
202,-22.925807547958176
203,-22.81078766500886
204,-22.692600417158516
205,-22.5661549068327
206,-22.422930682835823
207,-22.271861339219406
208,-22.114994092932374
209,-21.956317284659512
210,-21.79897633340723
211,-21.6444562168342
212,-21.491417939767523
213,-21.336822828082834
214,-21.17705453643045
215,-21.010428027080838
216,-20.83690768926908
217,-20.661287575090316
218,-20.48603637239459
219,-20.312538682623615
220,-20.141818155506087
221,-19.97313959148984
222,-19.804134412868436
223,-19.633027978556775
224,-19.45953360443767
225,-19.286227204373212
226,-19.116638188207286
227,-18.953540163183096
228,-18.792150770339497
229,-18.626703509026328
230,-18.46476748807765
231,-18.305006150240587
232,-18.148414451045213
233,-17.979741601621885
234,-17.81423504552497
235,-17.66068913978591
236,-17.514491782402892
237,-17.357270183952966
238,-17.21010992843262
239,-17.062981842283868
240,-16.894739797879723
241,-16.73510485430594
242,-16.56247090625294
243,-16.38710488351807
244,-16.218030043008206
245,-16.02851737137556
246,-15.857809196362343
247,-15.658883694941174
248,-15.489240037454397
249,-15.291345656450037
250,-15.121755027210316
251,-14.92578284411999
252,-14.744986144351504
253,-14.550028516136837
254,-14.352890766572823
255,-14.171128131372727
256,-13.962836258246911
257,-13.775225058295407
258,-13.589963022558608
259,-13.383683398372323
260,-13.189774102578216
261,-13.005233418104728
262,-12.789441309997244
263,-12.586875343113835
264,-12.39673653147521
265,-12.215658936129516
266,-12.004727003821635
267,-11.803220495061167
268,-11.611320541642648
269,-11.428262444418712
270,-11.251658408329448
271,-11.075670821992876
272,-10.875755192586219
273,-10.677504787830152
274,-10.482154065641486
275,-10.289908574344164
276,-10.10051923222678
277,-9.912247028100364
278,-9.723966943777606
279,-9.535277619482438
280,-9.34747211574077
281,-9.162161591661365
282,-8.980540157587505
283,-8.803053505614375
284,-8.630435908446898
285,-8.465776156969849
286,-8.305114324412997
287,-8.091208437202795
288,-7.878588025721954
289,-7.6734630346325226
290,-7.487616116640556
291,-7.342423124482164
292,-7.23546770713228
293,-6.943809462017008
294,-6.683834702061888
295,-6.585696349975725
296,-6.691270869843673
297,-6.342828429547535
298,-6.275932843903748
299,-6.464608655012147
300,-6.313852685017543
301,-6.1803619604504085
302,-6.1717462337097935
303,-5.8362138951013
304,-5.541275661586609
305,-5.197813352443236
306,-4.597662375277273
307,-4.10354770707905
308,-3.2331952592272954
309,-2.4749665288027316
310,-1.4415198129404017
311,-0.48782598449913417
312,-1.041265301217357
313,-2.237523103476858
314,-3.477031401429342
315,-4.925538416829865
316,-6.331253181141673
317,-7.9022338962279095
318,-9.372572388572824
319,-10.952652355780131
320,-12.466045928617273
321,-13.985198579908598
322,-15.502572861570993
323,-16.92798634854416
324,-18.33656300785093
325,-19.690837130900437
326,-20.942752885946817
327,-22.131386800475436
328,-23.24149711190746
329,-24.231830158225055
330,-25.135166524280756
331,-25.95921438598374
332,-26.706287351843102
333,-27.361761898391457
334,-27.944531612685182
335,-28.464214684898536
336,-28.92675541131998
337,-29.341005649637722
338,-29.714817072943404
339,-30.043842025140016
340,-30.343289603705788
341,-30.615252852661122
342,-30.863440907300937
343,-31.09400714604336
344,-31.31418696948665
345,-31.528229332699233
346,-31.737477472834613
347,-31.94276085232174
348,-32.147146082972775
349,-32.351505904867444
350,-32.56260550865287
351,-32.78415993671365
352,-33.01405304468055
353,-33.24853695633122
354,-33.48577405103941
355,-33.72641243448859
356,-33.97312952514275
357,-34.22784903204549
358,-34.48625262077058
359,-34.74577573154253
360,-35.00435187600463
361,-35.25909762106519
362,-35.50988687049536
363,-35.75733324021387
364,-35.99984782743385
365,-36.23288093076969
366,-36.44633615045873
367,-36.64217640070336
368,-36.8220476122196
369,-36.988235416169296
370,-37.14056319604605
371,-37.276938202501015
372,-37.39606588608178
373,-37.49629908953493
374,-37.58578228494122
375,-37.66454580946786
376,-37.729847254907256
377,-37.78007294233148
378,-37.81637873105201
379,-37.83776274784452
380,-37.854081471751094
381,-37.866051547248574
382,-37.87078851639755
383,-37.865066868717925
384,-37.845173942687325
385,-37.81456902575691
386,-37.782227287141446
387,-37.75274658390724
388,-37.72745309088267
389,-37.70141384915608
390,-37.6686346710702
391,-37.63185945848435
392,-37.593066118474496
393,-37.55673015132865
394,-37.52257749010549
395,-37.490478509793725
396,-37.46044661408197
397,-37.429314389407715
398,-37.39699645930557
399,-37.36023606657503
400,-37.32656835202435
401,-37.29578587889634
402,-37.26467510780083
403,-37.22845850813016
404,-37.18814233314992
405,-37.14972856352017
406,-37.11334854184833
407,-37.0745802440979
408,-37.0255422568199
409,-36.969738995623885
410,-36.909281997189595
411,-36.84696612704808
412,-36.78020014131502
413,-36.71373367542944
414,-36.64294984251841
415,-36.56268072987647
416,-36.469469274159934
417,-36.3733300624305
418,-36.278764146007994
419,-36.18377288320065
420,-36.08569733737418
421,-35.984632563334884
422,-35.87806401656249
423,-35.76051798901432
424,-35.6406528107292
425,-35.52297214599885
426,-35.40539549904201
427,-35.277933734297704
428,-35.14517226359294
429,-35.008080877099324
430,-34.864884684782126
431,-34.719760283756806
432,-34.57335600993776
433,-34.418466184631036
434,-34.24873322366972
435,-34.0727969938247
436,-33.89621905214671
437,-33.71372349246614
438,-33.53220493902209
439,-33.34830167988331
440,-33.35260671396472
441,-33.47335686617923
442,-33.591252338987125
443,-33.70130542455906
444,-33.80279242807893
445,-33.902485315901814
446,-33.99731376889297
447,-34.083547334389344
448,-34.16653397493241
449,-34.24372067008684
450,-34.311413101173876
451,-34.378262244848514
452,-34.44203670342719
453,-34.49688485702147
454,-34.55013263602219
455,-34.59938509316803
456,-34.6422939009248
457,-34.687831856072336
458,-34.73276956538255
459,-34.77413876393362
460,-34.81825852559195
461,-34.85975225698685
462,-34.90016500098524
463,-34.94550286224806
464,-34.98726071945
465,-35.029452155570574
466,-35.07546471707613
467,-35.11501529284928
468,-35.15865451244104
469,-35.203971528144216
470,-35.242158555469516
471,-35.28265530346975
472,-35.3196675848687
473,-35.35489591565219
474,-35.39410958351179
475,-35.425821814914435
476,-35.45625534484544
477,-35.48411879127684
478,-35.501526981716935
479,-35.51958398973821
480,-35.52932185925789
481,-35.53269279461086
482,-35.532030813400425
483,-35.51317060455927
484,-35.488726213956895
485,-35.45065578088335
486,-35.398977719279635
487,-35.338297545854225
488,-35.252046260818084
489,-35.1540831182882
490,-35.03693649125624
491,-34.903904378281105
492,-34.76230118676043
493,-34.59912233467561
494,-34.42809827252495
495,-34.23760124074294
496,-34.032264226022214
497,-33.81578376648659
498,-33.58184156982505
499,-33.34653131766699
500,-33.09662259332211
501,-32.84441666632809
502,-32.58325249404601
503,-32.31129264001829
504,-32.03694773232622
505,-31.747727899666216
506,-31.46400685949148
507,-31.172065893633025
508,-30.884594266029808
509,-30.595367040007616
510,-30.30219954704145
511,-30.012210756384313
512,-29.712093064884517
513,-29.422307327080482
514,-29.12484757908485
515,-28.83891266288582
516,-28.55209363345723
517,-28.268487583892544
518,-27.985799065668516
519,-27.697124056115783
520,-27.41476161645162
521,-27.12304411034807
522,-26.845812885216894
523,-26.560126249651834
524,-26.288880814216945
525,-26.01415769681416
526,-25.747541441575144
527,-25.48121953145872
528,-25.216398599351038
529,-24.957617645322827
530,-24.69743339196389
531,-24.45218112195979
532,-24.202382628914517
533,-23.972491179490063
534,-23.729684413371885
535,-23.504378676642794
536,-23.26629010199146
537,-23.04246683603872
538,-22.811924596558917
539,-22.592562570866072
540,-22.368990075749412
541,-22.148597606147778
542,-21.92452198772932
543,-21.6982659317992
544,-21.472130299845993
545,-21.23891469529819
546,-21.00669581753703
547,-20.760372484304398
548,-20.517312366924344
549,-20.256347672238867
550,-20.003409473115383
551,-19.728349629295494
552,-19.46507414167574
553,-19.17562196779373
554,-18.90285097452249
555,-18.601652340843405
556,-18.322213792251844
557,-18.010394107244316
558,-17.723390100915864
559,-17.399235410822953
560,-17.10091637856408
561,-16.76064580542185
562,-16.441051648693126
563,-16.070754059289293
564,-15.713187534354201
565,-15.293180369276783
566,-14.877517614709024
567,-14.388394728735548
568,-13.901104252889517
569,-13.336066686929666
570,-12.778425911726533
571,-12.145087359275664
572,-11.526470881493847
573,-10.842495476461945
574,-10.176235688397526
575,-9.453478056896142
576,-8.746746064352592
577,-7.991508467228014
578,-7.249187861485494
579,-6.4711672930366255
580,-6.857722677540707
581,-8.038732971431163
582,-9.284984988735363
583,-10.570318891883268
584,-11.902009334836468
585,-13.273121617517454
586,-14.673482601391786
587,-16.106964879186062
588,-17.545275321122958
589,-19.00470154085318
590,-20.441981772527555
591,-21.88584503463088
592,-23.281541200369766
593,-24.662029932617788
594,-25.978272734318864
595,-27.248358806774895
596,-28.438004697672877
597,-29.550955200306163
598,-30.569885910007187
599,-31.487405650471405
600,-32.29982208570822
601,-32.98889379240805
602,-33.56345126032413
603,-33.996637265347275
604,-34.30742821298249
605,-34.46423074374586
606,-34.48754159255087
607,-34.3557990753078
608,-34.07808006560097
609,-33.645733790141676
610,-33.06040949158772
611,-32.3324808771609
612,-31.459429951926737
613,-30.470010602710687
614,-29.35556255237382
615,-28.15300890619032
616,-26.861342814783665
617,-25.505392018454216
618,-24.097378645952325
619,-22.647996870698968
620,-21.176742362384765
621,-19.673566356026026
622,-20.433896953984707
623,-21.625200722366202
624,-22.767561387084793
625,-23.849244511725622
626,-24.871818911710598
627,-25.840566688180623
628,-26.745494783560602
629,-27.60845317281497
630,-28.41161813684912
631,-29.17772663538758
632,-29.900326930591035
633,-30.580143685067245
634,-31.231562213992436
635,-31.827637343204792
636,-32.39530280882696
637,-32.916894723754886
638,-1033.83188624612
639,-1036.1933172565746
640,-1038.6467414106094
641,-1040.9325945069495
642,-1043.3279980740353
643,-1045.5215837636995
644,-1047.6904384996667
645,-1049.9298435504745
646,-1051.9821925423166
647,-1054.0203698879259
648,-1056.0680751912746
649,-1057.9851593096198
650,-1059.9596271673604
651,-1061.7382261211815
652,-1063.7362863536207
653,-1065.3048336214504
654,-1067.726983854076
655,-1070.4198752487475
656,-1072.977398220614
657,-1075.6349651728178
658,-1078.0172573867162
659,-1080.399397479711
660,-1082.7527064856563
661,-1084.95238056246
662,-1087.1666137528493
663,-1089.1768400483445
664,-1091.1298990304495
665,-1093.0198070376587
666,-1094.7454601305353
667,-1096.4200453890637
668,-1097.885809586314
669,-1099.3051433300795
670,-1100.4752486130265
671,-1101.5155252293061
672,-1102.4362572587067
673,-1103.1274279687796
674,-1103.7131093852963
675,-1104.0428075352052
676,-1104.221211393538
677,-1104.2554443303443
678,-1104.0723630900836
679,-1103.7806662994074
680,-1103.2529816619324
681,-1102.5982328223654
682,-1101.8248602792921
683,-1100.8718324479096
684,-1099.8204956113666
685,-1098.6279085416797
686,-1097.304039929409
687,-1095.9096486303004
688,-1094.316451883865
689,-1092.6753983923118
690,-1090.9699583466502
691,-1089.0460871524895
692,-1088.3201149611843
693,-1087.8203395921114
694,-1087.3577358255245
695,-1086.9548561361398
696,-1086.5042055765753
697,-1086.083019997309
698,-1085.6985932573552
699,-1085.2839043349704
700,-1084.914879238334
701,-1084.5603864364687
702,-1084.2247400495723
703,-1083.9318146299718
704,-1083.6464277236273
705,-1083.4070252070096
706,-1083.2103026848063
707,-1083.006414921169
708,-1082.8651016809029
709,-1082.7651670249402
710,-1082.6450847491667
711,-1082.6052608144414
712,-1082.5528862223557
713,-1082.5767630895532
714,-1082.6428103539063
715,-1082.677120160462
716,-1082.8021366183464
717,-1082.8909562057013
718,-1083.0632723465246
719,-1083.1881744444024
720,-1083.3862073175965
721,-1083.5175965454428
722,-1083.7071467971462
723,-1083.8042943113453
724,-1083.9441131088652
725,-1083.9659080575723
726,-1084.0183433862226
727,-1083.9260982377818
728,-1083.8507396892267
729,-1083.599594311705
730,-1083.2567628645666
731,-1082.8995387572102
732,-1082.3404818111017
733,-1081.7648789101295
734,-1080.9641454575083
735,-1080.035690232928
736,-1079.075829002139
737,-1077.8697138594598
738,-1076.6399306489088
739,-1075.1515808539423
740,-1073.527013857382
741,-1071.8905334827452
742,-1069.9924493792244
743,-1067.9641920011682
744,-1065.9420100063903
745,-1063.6632523512933
746,-1061.2717375355533
747,-1058.774003539464
748,-1056.3126337503181
749,-1053.6104302117167
750,-1051.5654559024372
751,-1049.8604036345243
752,-1048.0649498263997
753,-1046.2596439862175
754,-1044.5102748369898
755,-1042.6869501923877
756,-1040.931708682981
757,-1039.0994169282123
758,-1037.2680032518244
759,-1035.498828845798
760,-1033.6550174176923
761,-1032.0349525832905
762,-1032.7077927814266
763,-1033.447417464414
764,-1034.1282329737849
765,-1034.8637839385026
766,-1035.5988421456723
767,-1036.2647929901875
768,-1036.9809361074197
769,-1037.6959513406348
770,-1038.343965280813
771,-1039.050404620322
772,-1039.7615536774108
773,-1040.4080373305878
774,-1041.1226645146505
775,-1041.7866315031745
776,-1042.5051293526192
777,-1043.230369243749
778,-1043.898742355231
779,-1044.629655601884
780,-1045.326313113171
781,-1046.0840576809671
782,-1046.8701509302236
783,-1047.6260329318463
784,-1048.4481472209259
785,-1049.2993742111817
786,-1050.118134936673
787,-1051.0164693301422
788,-1051.8995244927955
789,-1052.8414796160707
790,-1053.8117345444753
791,-1054.7538417187998
792,-1055.7625755786694
793,-1056.8081242997334
794,-1057.8217809883379
795,-1058.9073771508852
796,-1059.9720917487257
797,-1061.0820159045652
798,-1062.2205872429959
799,-1063.3292316873976
800,-1064.4923478103583
801,-1065.67961822496
802,-1066.8099361435534
803,-1067.9879655194354
804,-1069.1278370752198
805,-1070.2817602236091
806,-1071.4390321021033
807,-1072.5295783715528
808,-1073.6228545771482
809,-1074.6979176159623
810,-1075.6722443365827
811,-1076.654812126178
812,-1077.5760603372837
813,-1078.4571993284567
814,-1079.316295256547
815,-1080.0985006111748
816,-1080.8585847966954
817,-1081.612528244132
818,-1082.280285228025
819,-1082.9479525198876
820,-1083.6234916093988
821,-1084.1940740367
822,-1084.790912147252
823,-1085.3747491132704
824,-1085.8908960895735
825,-1086.4393590654793
826,-1086.9785189162797
827,-1087.463666651906
828,-1088.0156829147122
829,-88.55888087837599
830,-89.05731966180036
831,-89.68320794298035
832,-90.29960522250316
833,-90.87313873803268
834,-91.68515514538831
835,-92.44766998693254
836,-93.12304295507671
837,-94.23357203071723
838,-95.14922883521704
839,-95.87913016149761
840,-97.23097669609663
841,-98.23184709214206
842,-99.00447875060631
843,-100.42076744508562
844,-101.49814555518068
845,-102.41038501904912
846,-103.79617763071279
847,-105.01769250239634
848,-106.15805565501105
849,-107.55785762664428
850,-108.94820866117807
851,-110.29037281547059
852,-111.77934703637314
853,-113.30079984407297
854,-114.77304895633571
855,-116.31781059142185
856,-117.88843442106969
857,-119.39748412539336
858,-120.94709398463864
859,-122.52551580851534
860,-124.0575161485198
861,-125.60606302860656
862,-127.16668763305539
863,-128.69990662041585
864,-130.22649221193743
865,-131.75883396677287
866,-133.2763557943625
867,-134.7614669027143
868,-136.23219124751137
869,-137.6809219762477
870,-139.0680414908709
871,-140.42276589168677
872,-141.7412078597286
873,-143.00994593908894
874,-144.2231008562733
875,-145.39286912842869
876,-146.5253154902589
877,-147.5963656625882
878,-148.6290510382724
879,-149.62349097280972
880,-150.58398046404
881,-151.5028536407234
882,-152.4033173157396
883,-153.3064833429793
884,-154.18551347252966
885,-155.06789636214447
886,-155.95328074385995
887,-156.84955353506734
888,-157.7212481291142
889,-158.5823836779235
890,-159.44608949290316
891,-160.2601331283341
892,-161.05170893275124
893,-161.81899633206876
894,-162.5788078863866
895,-163.27866721061704
896,-163.94210030718972
897,-164.56480816233295
898,-165.1630432227369
899,-165.67896476122687
900,-166.13615353530366
901,-166.53167894522124
902,-166.89050905316302
903,-167.1564272116974
904,-167.35881267721277
905,-167.4957619688722
906,-167.5930134329894
907,-167.58784058044142
908,-167.51661801887886
909,-167.38481533749413
910,-167.22831812225547
911,-166.97940474782158
912,-166.67442763661126
913,-166.31290720109405
914,-165.93278113116395
915,-165.4612333077127
916,-164.94458062053118
917,-164.38686476686848
918,-1163.7905364814528
919,-1163.1936467465343
920,-1162.51853077708
921,-1161.8051807939871
922,-1161.0508379735393
923,-1160.2941345059567
924,-1159.4425404371182
925,-1158.536155041091
926,-1157.5678881333768
927,-1156.5305000181902
928,-1155.4619737595845
929,-1154.2659043256995
930,-1152.9858283021795
931,-1151.6201952364106
932,-1150.1703117890593
933,-1148.6853156789045
934,-1147.0706373974087
935,-1145.3760896397825
936,-1143.6013614631404
937,-1141.7975481678548
938,-1139.8580494458902
939,-1137.8358160973773
940,-1135.7291331288657
941,-1133.5358422908193
942,-1131.308830924942
943,-1128.940002080294
944,-1126.489144556002
945,-1123.9609152738701
946,-1121.4168394654716
947,-1118.741899464338
948,-1115.9993209147021
949,-1113.192355725159
950,-1110.3241017818689
951,-1107.4560587744743
952,-1104.470924367838
953,-1101.435150620425
954,-1098.3536794467057
955,-1095.293087065713
956,-1092.1290625143174
957,-1088.9318571001577
958,-1085.706111371596
959,-1082.5219078850257
960,-1079.2470889914887
961,-1075.9562878633621
962,-1072.6553355851472
963,-1069.3512420600653
964,-1066.11971412783
965,-1062.8303681960276
966,-1060.0884153302986
967,-1062.3721789902227
968,-1064.535899801704
969,-1066.7182965400145
970,-1068.83276745511
971,-1070.875132552574
972,-1072.8424779944849
973,-1074.6596412046417
974,-1076.467661578893
975,-1078.1957473955722
976,-1079.843692029343
977,-1081.4107747646465
978,-1082.8286147600074
979,-1084.2316764763018
980,-1085.554931627314
981,-1086.798930425817
982,-1087.9659204884397
983,-1089.059226455899
984,-1090.0194835925972
985,-1090.9814582206452
986,-1091.8909875224217
987,-1092.7575368501757
988,-1093.5910375601775
989,-1094.4022068365468
990,-1095.141749372125
991,-1095.9352556358936
992,-1096.7335100343316
993,-1097.5436560187534
994,-1098.3723480478318
995,-1099.2253059877419
996,-1100.1080351922371
997,-1101.0249235089896
998,-1101.9236938430297
999,-1102.9149937329694
1000,-1103.9447172996313
1001,-1105.010950305693
1002,-1106.1114987130713
1003,-1107.2439424439988
1004,-1108.4059138115483
1005,-1109.5941761337665
1006,-1110.7544504825219
1007,-1111.9790170958856
1008,-1113.2139265587969
1009,-1114.4543670411556
1010,-1115.6962029098024
1011,-1116.936460804985
1012,-1118.1719222852253
1013,-1119.3991668111544
1014,-1120.6139694585909
1015,-1121.7677461804267
1016,-1122.9406492947662
1017,-1124.085332450032
1018,-1125.1964352445502
1019,-1126.26998742991
1020,-1127.3034280658555
1021,-1128.2946114877614
1022,-1129.2423237685343
1023,-1130.1449573652667
1024,-1131.0030652686162
1025,-1131.7802456299873
1026,-1132.55225120597
1027,-1133.2873051533504
1028,-1133.988843248054
1029,-1134.6596308478145
1030,-135.3013470613909
1031,-135.9150670428224
1032,-136.50158918956643
1033,-137.06183176755738
1034,-137.59732379211889
1035,-138.081653819469
1036,-138.57020301312716
1037,-139.03751381198154
1038,-139.48299902522535
1039,-139.9063784587824
1040,-140.30784958273858
1041,-140.68794090515138
1042,-141.04659846883936
1043,-141.38336943610705
1044,-141.69724534444734
1045,-141.988114633217
1046,-142.25596136247526
1047,-142.47911454796053
1048,-142.69659920802917
1049,-142.8890599387094
1050,-143.05509854014238
1051,-143.19370110566976
1052,-143.30387819934035
1053,-143.38498945051614
1054,-143.4357635548145
1055,-143.45485812555282
1056,-143.44058007701813
1057,-143.39123045138533
1058,-143.30463914836324
1059,-143.17823645947078
1060,-142.98591295618297
1061,-142.7548155333537
1062,-142.46867970917674
1063,-142.1224886766056
1064,-141.71166806189123
1065,-141.23301699502883
1066,-140.68527145412372
1067,-141.69161039781142
1068,-142.84481398123796
1069,-143.91495088009995
1070,-144.91141022224417
